,group,variable,month,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS FUERA,17.24 COVID 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
POCONA,otras vacunaciones,covid 2da dosis,2021-05-01,33,30,0,0,33,30,63
POJO (CBBA),otras vacunaciones,covid 2da dosis,2021-05-01,44,45,0,0,44,45,89
POOPO,otras vacunaciones,covid 2da dosis,2021-05-01,62,74,0,0,62,74,136
PORCO,otras vacunaciones,covid 2da dosis,2021-05-01,39,41,0,0,39,41,80
PORONGO,otras vacunaciones,covid 2da dosis,2021-05-01,4,5,0,0,4,5,9
PORTACHUELO,otras vacunaciones,covid 2da dosis,2021-05-01,3,4,0,0,3,4,7
PORVENIR,otras vacunaciones,covid 2da dosis,2021-05-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,covid 2da dosis,2021-05-01,176,197,7,3,183,200,383
PRESTO,otras vacunaciones,covid 2da dosis,2021-05-01,2,1,0,0,2,1,3
PUCARA,otras vacunaciones,covid 2da dosis,2021-05-01,169,169,0,0,169,169,338
PUCARANI,otras vacunaciones,covid 2da dosis,2021-05-01,141,130,3,1,144,131,275
PUERTO ACOSTA,otras vacunaciones,covid 2da dosis,2021-05-01,17,18,38,34,55,52,107
PUERTO CARABUCO,otras vacunaciones,covid 2da dosis,2021-05-01,42,29,45,49,87,78,165
PUERTO GONZALO MORENO,otras vacunaciones,covid 2da dosis,2021-05-01,193,158,276,271,469,429,898
PUERTO RICO,otras vacunaciones,covid 2da dosis,2021-05-01,78,78,128,110,206,188,394
PUERTO SILES,otras vacunaciones,covid 2da dosis,2021-05-01,36,38,0,0,36,38,74
PUERTO SUAREZ,otras vacunaciones,covid 2da dosis,2021-05-01,991,899,846,125,1837,1024,2861
PUERTO VILLARROEL,otras vacunaciones,covid 2da dosis,2021-05-01,26,23,0,0,26,23,49
PUNA,otras vacunaciones,covid 2da dosis,2021-05-01,1,0,0,0,1,0,1
PUNATA,otras vacunaciones,covid 2da dosis,2021-05-01,23,30,0,0,23,30,53
QUIABAYA,otras vacunaciones,covid 2da dosis,2021-05-01,0,0,51,49,51,49,100
QUILLACOLLO,otras vacunaciones,covid 2da dosis,2021-05-01,31,38,0,0,31,38,69
QUIME,otras vacunaciones,covid 2da dosis,2021-05-01,48,35,33,26,81,61,142
QUIRUSILLAS,otras vacunaciones,covid 2da dosis,2021-05-01,10,13,2,4,12,17,29
REYES,otras vacunaciones,covid 2da dosis,2021-05-01,251,265,0,0,251,265,516
RIBERALTA,otras vacunaciones,covid 2da dosis,2021-05-01,631,926,18,26,649,952,1601
ROBORE,otras vacunaciones,covid 2da dosis,2021-05-01,2,5,0,0,2,5,7
RURRENABAQUE,otras vacunaciones,covid 2da dosis,2021-05-01,218,257,0,0,218,257,475
SABAYA,otras vacunaciones,covid 2da dosis,2021-05-01,9,10,0,0,9,10,19
SACABA,otras vacunaciones,covid 2da dosis,2021-05-01,7,9,0,0,7,9,16
SACABAMBA,otras vacunaciones,covid 2da dosis,2021-05-01,1,0,0,0,1,0,1
SACACA,otras vacunaciones,covid 2da dosis,2021-05-01,41,49,0,0,41,49,90
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 2da dosis,2021-05-01,5,7,2,2,7,9,16
SAMAIPATA,otras vacunaciones,covid 2da dosis,2021-05-01,40,27,3,3,43,30,73
SAN AGUSTIN,otras vacunaciones,covid 2da dosis,2021-05-01,9,7,0,0,9,7,16
SAN ANDRES,otras vacunaciones,covid 2da dosis,2021-05-01,132,115,6,12,138,127,265
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 2da dosis,2021-05-01,27,33,3,9,30,42,72
SAN BORJA,otras vacunaciones,covid 2da dosis,2021-05-01,449,402,0,0,449,402,851
SAN BUENA VENTURA,otras vacunaciones,covid 2da dosis,2021-05-01,83,82,2,4,85,86,171
SAN CARLOS,otras vacunaciones,covid 2da dosis,2021-05-01,46,41,0,0,46,41,87
SAN IGNACIO,otras vacunaciones,covid 2da dosis,2021-05-01,107,81,43,34,150,115,265
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 2da dosis,2021-05-01,19,40,0,0,19,40,59
SAN JAVIER(BNI),otras vacunaciones,covid 2da dosis,2021-05-01,16,14,11,4,27,18,45
SAN JAVIER(STC),otras vacunaciones,covid 2da dosis,2021-05-01,46,51,0,0,46,51,97
SAN JOAQUIN,otras vacunaciones,covid 2da dosis,2021-05-01,191,183,0,0,191,183,374
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 2da dosis,2021-05-01,21,38,0,0,21,38,59
SAN JUAN DE YAPACANI,otras vacunaciones,covid 2da dosis,2021-05-01,10,23,0,0,10,23,33
SAN JULIAN,otras vacunaciones,covid 2da dosis,2021-05-01,398,306,1,1,399,307,706
SAN LUCAS,otras vacunaciones,covid 2da dosis,2021-05-01,70,81,0,0,70,81,151
SAN MATIAS,otras vacunaciones,covid 2da dosis,2021-05-01,835,834,0,0,835,834,1669
SAN PABLO DE LIPEZ,otras vacunaciones,covid 2da dosis,2021-05-01,25,27,1,1,26,28,54
SAN PEDRO,otras vacunaciones,covid 2da dosis,2021-05-01,16,20,1,1,17,21,38
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 2da dosis,2021-05-01,45,49,0,0,45,49,94
SAN PEDRO DE MACHA,otras vacunaciones,covid 2da dosis,2021-05-01,7,11,0,0,7,11,18
SAN PEDRO DE QUEMES,otras vacunaciones,covid 2da dosis,2021-05-01,8,10,0,0,8,10,18
SAN PEDRO(PND),otras vacunaciones,covid 2da dosis,2021-05-01,1,1,32,31,33,32,65
SAN RAFAEL,otras vacunaciones,covid 2da dosis,2021-05-01,112,123,0,0,112,123,235
SAN RAMON BENI,otras vacunaciones,covid 2da dosis,2021-05-01,0,0,142,166,142,166,308
SAN RAMON SCZ,otras vacunaciones,covid 2da dosis,2021-05-01,6,4,0,0,6,4,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 2da dosis,2021-05-01,2930,3478,1116,1204,4046,4682,8728
SANTA ROSA,otras vacunaciones,covid 2da dosis,2021-05-01,192,169,0,0,192,169,361
SANTA ROSA DEL SARA,otras vacunaciones,covid 2da dosis,2021-05-01,110,86,6,5,116,91,207
SANTIAGO DE HUARI,otras vacunaciones,covid 2da dosis,2021-05-01,32,55,62,63,94,118,212
SANTIAGO DE HUATA,otras vacunaciones,covid 2da dosis,2021-05-01,0,0,37,64,37,64,101
SANTIAGO DE MACHACA,otras vacunaciones,covid 2da dosis,2021-05-01,30,28,7,14,37,42,79
SAPAHAQUI,otras vacunaciones,covid 2da dosis,2021-05-01,56,44,13,20,69,64,133
SHINAOTA,otras vacunaciones,covid 2da dosis,2021-05-01,3,5,0,0,3,5,8
SIPE SIPE,otras vacunaciones,covid 2da dosis,2021-05-01,7,6,0,0,7,6,13
SOPACHUY,otras vacunaciones,covid 2da dosis,2021-05-01,36,55,0,0,36,55,91
SORACACHI,otras vacunaciones,covid 2da dosis,2021-05-01,10,10,4,4,14,14,28
SORATA,otras vacunaciones,covid 2da dosis,2021-05-01,65,59,178,120,243,179,422
SUCRE,otras vacunaciones,covid 2da dosis,2021-05-01,361,497,21,27,382,524,906
TACACOMA,otras vacunaciones,covid 2da dosis,2021-05-01,50,22,36,37,86,59,145
TACOBAMBA,otras vacunaciones,covid 2da dosis,2021-05-01,14,20,10,17,24,37,61
TACOPAYA,otras vacunaciones,covid 2da dosis,2021-05-01,4,5,5,15,9,20,29
TAHUA,otras vacunaciones,covid 2da dosis,2021-05-01,1,1,13,12,14,13,27
TAPACARI,otras vacunaciones,covid 2da dosis,2021-05-01,60,68,0,0,60,68,128
TARABUCO,otras vacunaciones,covid 2da dosis,2021-05-01,27,33,0,0,27,33,60
TARIJA,otras vacunaciones,covid 2da dosis,2021-05-01,634,700,396,381,1030,1081,2111
TEOPONTE,otras vacunaciones,covid 2da dosis,2021-05-01,25,17,21,10,46,27,73
TINGUIPAYA,otras vacunaciones,covid 2da dosis,2021-05-01,42,31,0,0,42,31,73
TIPUANI,otras vacunaciones,covid 2da dosis,2021-05-01,127,70,0,0,127,70,197
TIQUIPAYA,otras vacunaciones,covid 2da dosis,2021-05-01,4,6,0,0,4,6,10
TIRAQUE (CBBA),otras vacunaciones,covid 2da dosis,2021-05-01,93,102,0,0,93,102,195
TOLEDO,otras vacunaciones,covid 2da dosis,2021-05-01,44,56,0,0,44,56,100
TOMAVE,otras vacunaciones,covid 2da dosis,2021-05-01,16,13,0,1,16,14,30
TOMINA,otras vacunaciones,covid 2da dosis,2021-05-01,0,1,0,1,0,2,2
TORO TORO,otras vacunaciones,covid 2da dosis,2021-05-01,48,57,7,9,55,66,121
TOTORA(CBBA),otras vacunaciones,covid 2da dosis,2021-05-01,6,1,0,0,6,1,7
TOTORA(ORR),otras vacunaciones,covid 2da dosis,2021-05-01,136,153,70,86,206,239,445
TRIGAL,otras vacunaciones,covid 2da dosis,2021-05-01,4,5,0,0,4,5,9
TRINIDAD,otras vacunaciones,covid 2da dosis,2021-05-01,263,198,76,83,339,281,620
TUPIZA,otras vacunaciones,covid 2da dosis,2021-05-01,100,150,31,62,131,212,343
TURCO,otras vacunaciones,covid 2da dosis,2021-05-01,50,72,0,0,50,72,122
UNCIA,otras vacunaciones,covid 2da dosis,2021-05-01,49,69,0,0,49,69,118
URUBICHA,otras vacunaciones,covid 2da dosis,2021-05-01,69,76,0,0,69,76,145
UYUNI,otras vacunaciones,covid 2da dosis,2021-05-01,0,3,0,5,0,8,8
VACAS,otras vacunaciones,covid 2da dosis,2021-05-01,30,50,0,0,30,50,80
VALLEGRANDE,otras vacunaciones,covid 2da dosis,2021-05-01,39,46,0,0,39,46,85
VILLA CHARCAS,otras vacunaciones,covid 2da dosis,2021-05-01,122,134,0,0,122,134,256
VILLA MONTES,otras vacunaciones,covid 2da dosis,2021-05-01,76,75,16,22,92,97,189
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid 2da dosis,2021-05-01,23,19,65,63,88,82,170
VILLA RIVERO,otras vacunaciones,covid 2da dosis,2021-05-01,3,4,0,0,3,4,7
VILLA SERRANO,otras vacunaciones,covid 2da dosis,2021-05-01,556,550,74,72,630,622,1252
VILLA TUNARI,otras vacunaciones,covid 2da dosis,2021-05-01,10,16,0,0,10,16,26
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid 2da dosis,2021-05-01,424,396,117,114,541,510,1051
VILLAZON,otras vacunaciones,covid 2da dosis,2021-05-01,12,16,0,0,12,16,28
VINTO,otras vacunaciones,covid 2da dosis,2021-05-01,49,61,0,0,49,61,110
VITICHI,otras vacunaciones,covid 2da dosis,2021-05-01,64,99,0,1,64,100,164
WALDO BALLIVIAN,otras vacunaciones,covid 2da dosis,2021-05-01,14,19,4,4,18,23,41
YACO,otras vacunaciones,covid 2da dosis,2021-05-01,34,32,66,53,100,85,185
YACUIBA,otras vacunaciones,covid 2da dosis,2021-05-01,18,27,4,3,22,30,52
YAMPARAEZ,otras vacunaciones,covid 2da dosis,2021-05-01,20,27,27,46,47,73,120
YANACACHI,otras vacunaciones,covid 2da dosis,2021-05-01,84,82,10,12,94,94,188
YAPACANI,otras vacunaciones,covid 2da dosis,2021-05-01,195,157,0,0,195,157,352
YOCALLA,otras vacunaciones,covid 2da dosis,2021-05-01,36,51,0,0,36,51,87
YOTALA,otras vacunaciones,covid 2da dosis,2021-05-01,75,74,167,257,242,331,573
YUNCHARA,otras vacunaciones,covid 2da dosis,2021-05-01,12,10,54,50,66,60,126
ZUDAÑEZ,otras vacunaciones,covid 2da dosis,2021-05-01,111,124,0,0,111,124,235
ACACIO,otras vacunaciones,covid 2da dosis,2021-06-01,17,19,6,5,23,24,47
ACHACACHI,otras vacunaciones,covid 2da dosis,2021-06-01,174,178,441,447,615,625,1240
AIQUILE,otras vacunaciones,covid 2da dosis,2021-06-01,926,882,0,0,926,882,1808
ALALAY,otras vacunaciones,covid 2da dosis,2021-06-01,46,50,17,12,63,62,125
ALCALA,otras vacunaciones,covid 2da dosis,2021-06-01,90,95,191,178,281,273,554
ALTO BENI,otras vacunaciones,covid 2da dosis,2021-06-01,214,154,102,78,316,232,548
ANCORAIMES,otras vacunaciones,covid 2da dosis,2021-06-01,89,57,8,10,97,67,164
ANDAMARCA,otras vacunaciones,covid 2da dosis,2021-06-01,200,199,0,0,200,199,399
ANTEQUERA,otras vacunaciones,covid 2da dosis,2021-06-01,209,187,0,0,209,187,396
ANZALDO,otras vacunaciones,covid 2da dosis,2021-06-01,102,126,0,0,102,126,228
APOLO,otras vacunaciones,covid 2da dosis,2021-06-01,193,181,51,69,244,250,494
ARAMPAMPA,otras vacunaciones,covid 2da dosis,2021-06-01,1,3,3,7,4,10,14
ARANI,otras vacunaciones,covid 2da dosis,2021-06-01,136,172,0,0,136,172,308
ARBIETO,otras vacunaciones,covid 2da dosis,2021-06-01,299,378,0,0,299,378,677
ARQUE,otras vacunaciones,covid 2da dosis,2021-06-01,53,46,65,85,118,131,249
ASCENCION DE GUARAYOS,otras vacunaciones,covid 2da dosis,2021-06-01,111,121,85,68,196,189,385
ATOCHA,otras vacunaciones,covid 2da dosis,2021-06-01,12,21,31,11,43,32,75
AUCAPATA,otras vacunaciones,covid 2da dosis,2021-06-01,46,35,56,46,102,81,183
AYATA,otras vacunaciones,covid 2da dosis,2021-06-01,68,61,52,69,120,130,250
AYO AYO,otras vacunaciones,covid 2da dosis,2021-06-01,91,71,22,19,113,90,203
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 2da dosis,2021-06-01,196,164,358,438,554,602,1156
AZURDUY,otras vacunaciones,covid 2da dosis,2021-06-01,207,189,0,0,207,189,396
BATALLAS,otras vacunaciones,covid 2da dosis,2021-06-01,116,122,0,0,116,122,238
BAURES,otras vacunaciones,covid 2da dosis,2021-06-01,38,39,0,0,38,39,77
BELEN DE ANDAMARCA,otras vacunaciones,covid 2da dosis,2021-06-01,45,57,0,0,45,57,102
BELEN DE URMIRI,otras vacunaciones,covid 2da dosis,2021-06-01,15,7,0,1,15,8,23
BELLA FLOR,otras vacunaciones,covid 2da dosis,2021-06-01,127,36,108,97,235,133,368
BERMEJO,otras vacunaciones,covid 2da dosis,2021-06-01,1,0,0,0,1,0,1
BETANZOS,otras vacunaciones,covid 2da dosis,2021-06-01,202,210,29,33,231,243,474
BOLIVAR,otras vacunaciones,covid 2da dosis,2021-06-01,33,32,11,13,44,45,89
BOLPEBRA,otras vacunaciones,covid 2da dosis,2021-06-01,17,24,27,15,44,39,83
BOYUIBE,otras vacunaciones,covid 2da dosis,2021-06-01,99,129,0,0,99,129,228
CABEZAS,otras vacunaciones,covid 2da dosis,2021-06-01,811,781,0,0,811,781,1592
CAIROMA,otras vacunaciones,covid 2da dosis,2021-06-01,67,38,9,10,76,48,124
"CAIZA ""D""",otras vacunaciones,covid 2da dosis,2021-06-01,77,100,27,44,104,144,248
CAJUATA,otras vacunaciones,covid 2da dosis,2021-06-01,248,200,49,48,297,248,545
CALACOTO,otras vacunaciones,covid 2da dosis,2021-06-01,17,15,27,36,44,51,95
CALAMARCA,otras vacunaciones,covid 2da dosis,2021-06-01,190,209,67,98,257,307,564
CAMARGO,otras vacunaciones,covid 2da dosis,2021-06-01,230,351,287,357,517,708,1225
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 2da dosis,2021-06-01,81,102,24,31,105,133,238
CAMIRI,otras vacunaciones,covid 2da dosis,2021-06-01,241,238,0,0,241,238,479
CAPINOTA,otras vacunaciones,covid 2da dosis,2021-06-01,468,311,0,0,468,311,779
CAQUIAVIRI,otras vacunaciones,covid 2da dosis,2021-06-01,63,56,55,50,118,106,224
CARACOLLO,otras vacunaciones,covid 2da dosis,2021-06-01,450,439,0,1,450,440,890
CARANAVI,otras vacunaciones,covid 2da dosis,2021-06-01,360,286,21,13,381,299,680
CARANGAS,otras vacunaciones,covid 2da dosis,2021-06-01,4,10,0,0,4,10,14
CARAPARI,otras vacunaciones,covid 2da dosis,2021-06-01,37,61,194,24,231,85,316
CARIPUYO,otras vacunaciones,covid 2da dosis,2021-06-01,39,49,19,25,58,74,132
CARMEN RIVERO TORREZ,otras vacunaciones,covid 2da dosis,2021-06-01,57,74,0,0,57,74,131
CATACORA,otras vacunaciones,covid 2da dosis,2021-06-01,23,10,33,33,56,43,99
CHACARILLA,otras vacunaciones,covid 2da dosis,2021-06-01,15,10,8,3,23,13,36
CHALLAPATA,otras vacunaciones,covid 2da dosis,2021-06-01,301,355,285,287,586,642,1228
CHAQUI,otras vacunaciones,covid 2da dosis,2021-06-01,10,13,17,18,27,31,58
CHARAGUA,otras vacunaciones,covid 2da dosis,2021-06-01,99,102,0,0,99,102,201
CHARAÑA,otras vacunaciones,covid 2da dosis,2021-06-01,19,15,6,6,25,21,46
CHAYANTA,otras vacunaciones,covid 2da dosis,2021-06-01,46,41,4,7,50,48,98
CHIMORE,otras vacunaciones,covid 2da dosis,2021-06-01,644,460,29,30,673,490,1163
CHIPAYA,otras vacunaciones,covid 2da dosis,2021-06-01,19,15,0,0,19,15,34
CHOQUE COTA,otras vacunaciones,covid 2da dosis,2021-06-01,94,99,0,0,94,99,193
CHUA COCANI,otras vacunaciones,covid 2da dosis,2021-06-01,63,108,0,0,63,108,171
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 2da dosis,2021-06-01,216,198,2,0,218,198,416
CHUMA,otras vacunaciones,covid 2da dosis,2021-06-01,67,38,105,123,172,161,333
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 2da dosis,2021-06-01,0,4,4,7,4,11,15
CKOCHAS,otras vacunaciones,covid 2da dosis,2021-06-01,30,29,0,3,30,32,62
CLIZA,otras vacunaciones,covid 2da dosis,2021-06-01,606,705,0,0,606,705,1311
COBIJA,otras vacunaciones,covid 2da dosis,2021-06-01,456,414,231,170,687,584,1271
COCAPATA,otras vacunaciones,covid 2da dosis,2021-06-01,74,84,0,0,74,84,158
COCHABAMBA,otras vacunaciones,covid 2da dosis,2021-06-01,18013,19116,0,0,18013,19116,37129
COIPASA,otras vacunaciones,covid 2da dosis,2021-06-01,25,24,0,0,25,24,49
COLCAPIRHUA,otras vacunaciones,covid 2da dosis,2021-06-01,750,906,0,1,750,907,1657
"COLCHA ""K""",otras vacunaciones,covid 2da dosis,2021-06-01,85,100,7,11,92,111,203
COLLANA,otras vacunaciones,covid 2da dosis,2021-06-01,24,31,31,46,55,77,132
COLOMI,otras vacunaciones,covid 2da dosis,2021-06-01,200,196,7,6,207,202,409
COLPA BELGICA,otras vacunaciones,covid 2da dosis,2021-06-01,380,317,0,0,380,317,697
COLQUECHACA,otras vacunaciones,covid 2da dosis,2021-06-01,20,31,3,7,23,38,61
COLQUENCHA,otras vacunaciones,covid 2da dosis,2021-06-01,135,124,1,1,136,125,261
COLQUIRI,otras vacunaciones,covid 2da dosis,2021-06-01,114,111,128,151,242,262,504
COMANCHE,otras vacunaciones,covid 2da dosis,2021-06-01,18,32,20,16,38,48,86
COMBAYA,otras vacunaciones,covid 2da dosis,2021-06-01,24,19,46,38,70,57,127
CONCEPCION,otras vacunaciones,covid 2da dosis,2021-06-01,659,728,0,0,659,728,1387
COPACABANA,otras vacunaciones,covid 2da dosis,2021-06-01,20,4,4,5,24,9,33
CORIPATA,otras vacunaciones,covid 2da dosis,2021-06-01,338,286,0,0,338,286,624
CORO CORO,otras vacunaciones,covid 2da dosis,2021-06-01,50,62,51,67,101,129,230
COROICO,otras vacunaciones,covid 2da dosis,2021-06-01,395,312,48,36,443,348,791
CORQUE,otras vacunaciones,covid 2da dosis,2021-06-01,247,235,5,3,252,238,490
COTAGAITA,otras vacunaciones,covid 2da dosis,2021-06-01,221,268,169,225,390,493,883
COTOCA,otras vacunaciones,covid 2da dosis,2021-06-01,1068,1106,4,5,1072,1111,2183
CRUZ DE MACHACAMARCA,otras vacunaciones,covid 2da dosis,2021-06-01,10,10,0,0,10,10,20
CUATRO CAÑADAS,otras vacunaciones,covid 2da dosis,2021-06-01,508,396,73,35,581,431,1012
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 2da dosis,2021-06-01,25,37,0,0,25,37,62
CUEVO,otras vacunaciones,covid 2da dosis,2021-06-01,55,64,0,0,55,64,119
CULPINA,otras vacunaciones,covid 2da dosis,2021-06-01,204,296,0,0,204,296,500
CURAHUARA DE CARANGAS,otras vacunaciones,covid 2da dosis,2021-06-01,47,59,25,26,72,85,157
CURVA,otras vacunaciones,covid 2da dosis,2021-06-01,25,18,18,19,43,37,80
DESAGUADERO,otras vacunaciones,covid 2da dosis,2021-06-01,61,47,0,0,61,47,108
EL ALTO,otras vacunaciones,covid 2da dosis,2021-06-01,7163,6455,2443,2530,9606,8985,18591
EL CHORO,otras vacunaciones,covid 2da dosis,2021-06-01,106,152,5,14,111,166,277
EL PUENTE(STC),otras vacunaciones,covid 2da dosis,2021-06-01,163,142,2,0,165,142,307
EL PUENTE(TJA),otras vacunaciones,covid 2da dosis,2021-06-01,271,337,36,45,307,382,689
EL TORNO,otras vacunaciones,covid 2da dosis,2021-06-01,1627,1640,0,0,1627,1640,3267
EL VILLAR,otras vacunaciones,covid 2da dosis,2021-06-01,0,0,268,258,268,258,526
ENTRE RIOS TRJ,otras vacunaciones,covid 2da dosis,2021-06-01,438,432,91,104,529,536,1065
ENTRE RIOS CBBA,otras vacunaciones,covid 2da dosis,2021-06-01,909,748,0,0,909,748,1657
ESCARA,otras vacunaciones,covid 2da dosis,2021-06-01,7,16,0,0,7,16,23
ESCOMA,otras vacunaciones,covid 2da dosis,2021-06-01,138,96,35,43,173,139,312
ESMERALDA,otras vacunaciones,covid 2da dosis,2021-06-01,27,19,0,0,27,19,46
EUCALIPTUS,otras vacunaciones,covid 2da dosis,2021-06-01,72,79,0,0,72,79,151
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 2da dosis,2021-06-01,0,0,42,39,42,39,81
EXALTACION,otras vacunaciones,covid 2da dosis,2021-06-01,15,16,1,2,16,18,34
FERNANDEZ ALONSO,otras vacunaciones,covid 2da dosis,2021-06-01,103,95,74,73,177,168,345
FILADELFIA,otras vacunaciones,covid 2da dosis,2021-06-01,11,8,32,15,43,23,66
GENERAL SAAVEDRA,otras vacunaciones,covid 2da dosis,2021-06-01,546,544,0,0,546,544,1090
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 2da dosis,2021-06-01,43,22,45,21,88,43,131
GUANAY,otras vacunaciones,covid 2da dosis,2021-06-01,187,183,138,103,325,286,611
GUAQUI,otras vacunaciones,covid 2da dosis,2021-06-01,97,68,5,8,102,76,178
GUAYARAMERIN,otras vacunaciones,covid 2da dosis,2021-06-01,108,87,0,1,108,88,196
GUTIERREZ,otras vacunaciones,covid 2da dosis,2021-06-01,486,466,47,81,533,547,1080
HUACARETA,otras vacunaciones,covid 2da dosis,2021-06-01,129,110,34,39,163,149,312
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 2da dosis,2021-06-01,14,17,11,18,25,35,60
HUACHACALLA,otras vacunaciones,covid 2da dosis,2021-06-01,78,2,0,0,78,2,80
HUANUNI,otras vacunaciones,covid 2da dosis,2021-06-01,701,624,12,12,713,636,1349
HUARACAJE,otras vacunaciones,covid 2da dosis,2021-06-01,76,78,0,2,76,80,156
HUARINA,otras vacunaciones,covid 2da dosis,2021-06-01,45,54,103,57,148,111,259
HUATAJATA,otras vacunaciones,covid 2da dosis,2021-06-01,54,59,1,1,55,60,115
HUAYLLAMARCA,otras vacunaciones,covid 2da dosis,2021-06-01,220,238,52,52,272,290,562
HUMANATA,otras vacunaciones,covid 2da dosis,2021-06-01,41,21,10,3,51,24,75
ICHOCA,otras vacunaciones,covid 2da dosis,2021-06-01,14,13,89,57,103,70,173
ICLA,otras vacunaciones,covid 2da dosis,2021-06-01,53,86,93,122,146,208,354
INCAHUASI,otras vacunaciones,covid 2da dosis,2021-06-01,86,83,16,27,102,110,212
INGAVI (HUMAITA),otras vacunaciones,covid 2da dosis,2021-06-01,19,23,15,12,34,35,69
INQUISIVI,otras vacunaciones,covid 2da dosis,2021-06-01,170,98,82,100,252,198,450
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 2da dosis,2021-06-01,267,221,23,24,290,245,535
IXIAMAS,otras vacunaciones,covid 2da dosis,2021-06-01,163,124,6,5,169,129,298
JESUS DE MACHACA,otras vacunaciones,covid 2da dosis,2021-06-01,103,83,37,41,140,124,264
LA ASUNTA,otras vacunaciones,covid 2da dosis,2021-06-01,266,199,54,39,320,238,558
LA GUARDIA,otras vacunaciones,covid 2da dosis,2021-06-01,1480,1678,0,0,1480,1678,3158
LA PAZ,otras vacunaciones,covid 2da dosis,2021-06-01,11606,15202,10713,11002,22319,26204,48523
LA RIVERA,otras vacunaciones,covid 2da dosis,2021-06-01,11,8,0,0,11,8,19
LAGUNILLAS,otras vacunaciones,covid 2da dosis,2021-06-01,95,110,0,0,95,110,205
LAJA,otras vacunaciones,covid 2da dosis,2021-06-01,129,130,25,35,154,165,319
LAS CARRERAS,otras vacunaciones,covid 2da dosis,2021-06-01,78,97,0,0,78,97,175
LICOMA PAMPA,otras vacunaciones,covid 2da dosis,2021-06-01,9,6,36,33,45,39,84
LLALLAGUA,otras vacunaciones,covid 2da dosis,2021-06-01,482,527,0,0,482,527,1009
LLICA,otras vacunaciones,covid 2da dosis,2021-06-01,40,41,3,3,43,44,87
LORETO,otras vacunaciones,covid 2da dosis,2021-06-01,5,7,11,17,16,24,40
LURIBAY,otras vacunaciones,covid 2da dosis,2021-06-01,36,23,251,268,287,291,578
MACHACAMARCA,otras vacunaciones,covid 2da dosis,2021-06-01,138,193,0,0,138,193,331
MACHARETI,otras vacunaciones,covid 2da dosis,2021-06-01,79,77,20,23,99,100,199
MAGDALENA,otras vacunaciones,covid 2da dosis,2021-06-01,227,239,0,0,227,239,466
MAIRANA,otras vacunaciones,covid 2da dosis,2021-06-01,253,230,188,193,441,423,864
MALLA,otras vacunaciones,covid 2da dosis,2021-06-01,2,1,10,25,12,26,38
MAPIRI,otras vacunaciones,covid 2da dosis,2021-06-01,96,78,33,40,129,118,247
MECAPACA,otras vacunaciones,covid 2da dosis,2021-06-01,2,4,18,16,20,20,40
MINEROS,otras vacunaciones,covid 2da dosis,2021-06-01,412,415,10,8,422,423,845
MIZQUE,otras vacunaciones,covid 2da dosis,2021-06-01,346,393,179,225,525,618,1143
MOCOMOCO,otras vacunaciones,covid 2da dosis,2021-06-01,78,55,167,184,245,239,484
MOJINETE,otras vacunaciones,covid 2da dosis,2021-06-01,6,9,16,16,22,25,47
MOJOCOYA,otras vacunaciones,covid 2da dosis,2021-06-01,152,161,53,43,205,204,409
MONTEAGUDO,otras vacunaciones,covid 2da dosis,2021-06-01,371,367,40,32,411,399,810
MONTERO,otras vacunaciones,covid 2da dosis,2021-06-01,524,541,8,9,532,550,1082
MORO MORO,otras vacunaciones,covid 2da dosis,2021-06-01,32,42,45,59,77,101,178
MOROCHATA,otras vacunaciones,covid 2da dosis,2021-06-01,83,64,0,0,83,64,147
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 2da dosis,2021-06-01,31,28,11,10,42,38,80
NAZACARA DE PACAJES,otras vacunaciones,covid 2da dosis,2021-06-01,10,14,0,0,10,14,24
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid 2da dosis,2021-06-01,0,0,11,8,11,8,19
OCURI,otras vacunaciones,covid 2da dosis,2021-06-01,34,41,9,13,43,54,97
OMEREQUE,otras vacunaciones,covid 2da dosis,2021-06-01,65,59,192,191,257,250,507
