,group,variable,month,17.26 COVID DOSIS DE REFUERZO DENTRO,17.26 COVID DOSIS DE REFUERZO DENTRO,17.26 COVID DOSIS DE REFUERZO FUERA,17.26 COVID DOSIS DE REFUERZO FUERA,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis de refuerzo,2021-12-01,11.0,13.0,22.0,38.0,33.0,51.0,84.0
BAURES,otras vacunaciones,covid dosis de refuerzo,2021-12-01,152.0,67.0,0.0,0.0,152.0,67.0,219.0
BELEN DE ANDAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
BETANZOS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,74.0,102.0,69.0,88.0,143.0,190.0,333.0
BOYUIBE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,166.0,190.0,20.0,21.0,186.0,211.0,397.0
BUENA VISTA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,200.0,167.0,0.0,0.0,200.0,167.0,367.0
CABEZAS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,74.0,98.0,0.0,0.0,74.0,98.0,172.0
CAMARGO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,0.0,0.0,130.0,190.0,130.0,190.0,320.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid dosis de refuerzo,2021-12-01,51.0,39.0,6.0,4.0,57.0,43.0,100.0
CAMIRI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,343.0,361.0,0.0,0.0,343.0,361.0,704.0
CAPINOTA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,71.0,24.0,0.0,0.0,71.0,24.0,95.0
CARACOLLO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,24.0,23.0,0.0,0.0,24.0,23.0,47.0
CARMEN RIVERO TORREZ,otras vacunaciones,covid dosis de refuerzo,2021-12-01,184.0,224.0,0.0,0.0,184.0,224.0,408.0
CHALLAPATA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,101.0,103.0,0.0,0.0,101.0,103.0,204.0
CHARAGUA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,336.0,296.0,34.0,48.0,370.0,344.0,714.0
CHIMORE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,0.0,1.0,43.0,60.0,43.0,61.0,104.0
CLIZA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,50.0,62.0,1.0,1.0,51.0,63.0,114.0
COCHABAMBA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,5805.0,7808.0,189.0,57.0,5994.0,7865.0,13859.0
COLCAPIRHUA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,92.0,152.0,299.0,395.0,391.0,547.0,938.0
"COLCHA ""K""",otras vacunaciones,covid dosis de refuerzo,2021-12-01,412.0,262.0,137.0,47.0,549.0,309.0,858.0
COLOMI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,6.0,2.0,0.0,0.0,6.0,2.0,8.0
COLQUECHACA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,1.0,4.0,15.0,19.0,16.0,23.0,39.0
CONCEPCION,otras vacunaciones,covid dosis de refuerzo,2021-12-01,421.0,562.0,9.0,5.0,430.0,567.0,997.0
CORQUE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,41.0,37.0,0.0,0.0,41.0,37.0,78.0
COTAGAITA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,66.0,131.0,20.0,47.0,86.0,178.0,264.0
COTOCA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,548.0,763.0,108.0,123.0,656.0,886.0,1542.0
CUATRO CAÑADAS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,106.0,114.0,98.0,84.0,204.0,198.0,402.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis de refuerzo,2021-12-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
CUEVO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,223.0,56.0,0.0,0.0,223.0,56.0,279.0
CULPINA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,4.0,4.0,0.0,0.0,4.0,4.0,8.0
EL ALTO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,1534.0,1874.0,994.0,893.0,2528.0,2767.0,5295.0
EL CHORO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,3.0,7.0,0.0,0.0,3.0,7.0,10.0
EL PUENTE(STC),otras vacunaciones,covid dosis de refuerzo,2021-12-01,38.0,50.0,1.0,0.0,39.0,50.0,89.0
EL TORNO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,666.0,812.0,0.0,0.0,666.0,812.0,1478.0
ESMERALDA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,32.0,33.0,0.0,0.0,32.0,33.0,65.0
EUCALIPTUS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,12.0,15.0,0.0,0.0,12.0,15.0,27.0
GENERAL SAAVEDRA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,47.0,65.0,0.0,0.0,47.0,65.0,112.0
GUAYARAMERIN,otras vacunaciones,covid dosis de refuerzo,2021-12-01,217.0,323.0,8.0,23.0,225.0,346.0,571.0
GUTIERREZ,otras vacunaciones,covid dosis de refuerzo,2021-12-01,92.0,115.0,0.0,0.0,92.0,115.0,207.0
HUACARETA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,49.0,60.0,9.0,10.0,58.0,70.0,128.0
HUACHACALLA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,191.0,9.0,0.0,0.0,191.0,9.0,200.0
HUARACAJE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,29.0,36.0,0.0,0.0,29.0,36.0,65.0
INCAHUASI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,13.0,15.0,0.0,0.0,13.0,15.0,28.0
LA GUARDIA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,810.0,1029.0,159.0,49.0,969.0,1078.0,2047.0
LA PAZ,otras vacunaciones,covid dosis de refuerzo,2021-12-01,10047.0,12111.0,2423.0,2480.0,12470.0,14591.0,27061.0
LAGUNILLAS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,125.0,218.0,75.0,104.0,200.0,322.0,522.0
LLALLAGUA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,260.0,309.0,42.0,55.0,302.0,364.0,666.0
LLICA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,12.0,17.0,11.0,14.0,23.0,31.0,54.0
LORETO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,20.0,20.0,0.0,0.0,20.0,20.0,40.0
MACHACAMARCA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,17.0,23.0,0.0,0.0,17.0,23.0,40.0
MACHARETI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,108.0,81.0,30.0,67.0,138.0,148.0,286.0
MAIRANA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,169.0,101.0,3.0,7.0,172.0,108.0,280.0
MINEROS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,137.0,169.0,0.0,0.0,137.0,169.0,306.0
MIZQUE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,95.0,109.0,4.0,4.0,99.0,113.0,212.0
MONTERO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,216.0,280.0,10.0,12.0,226.0,292.0,518.0
MORO MORO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,6.0,8.0,11.0,22.0,17.0,30.0,47.0
ORURO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,3421.0,4209.0,1.0,1.0,3422.0,4210.0,7632.0
PAILON,otras vacunaciones,covid dosis de refuerzo,2021-12-01,260.0,238.0,0.0,0.0,260.0,238.0,498.0
PAMPA GRANDE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,111.0,101.0,17.0,20.0,128.0,121.0,249.0
POJO (CBBA),otras vacunaciones,covid dosis de refuerzo,2021-12-01,18.0,8.0,2.0,4.0,20.0,12.0,32.0
PORCO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,8.0,11.0,0.0,0.0,8.0,11.0,19.0
PORONGO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,186.0,253.0,0.0,0.0,186.0,253.0,439.0
POTOSI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,913.0,1294.0,61.0,67.0,974.0,1361.0,2335.0
PRESTO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,8.0,4.0,8.0,8.0,16.0,12.0,28.0
PUCARA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,34.0,51.0,0.0,0.0,34.0,51.0,85.0
PUERTO SUAREZ,otras vacunaciones,covid dosis de refuerzo,2021-12-01,456.0,545.0,273.0,236.0,729.0,781.0,1510.0
PUERTO VILLARROEL,otras vacunaciones,covid dosis de refuerzo,2021-12-01,0.0,0.0,15.0,13.0,15.0,13.0,28.0
PUNA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,15.0,15.0,0.0,0.0,15.0,15.0,30.0
PUNATA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,5.0,12.0,0.0,0.0,5.0,12.0,17.0
QUILLACOLLO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,936.0,1285.0,56.0,80.0,992.0,1365.0,2357.0
QUIRUSILLAS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,27.0,36.0,12.0,10.0,39.0,46.0,85.0
REYES,otras vacunaciones,covid dosis de refuerzo,2021-12-01,143.0,185.0,0.0,0.0,143.0,185.0,328.0
RIBERALTA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,804.0,560.0,0.0,0.0,804.0,560.0,1364.0
ROBORE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,348.0,276.0,5.0,5.0,353.0,281.0,634.0
RURRENABAQUE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,47.0,70.0,0.0,0.0,47.0,70.0,117.0
SABAYA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,98.0,68.0,0.0,0.0,98.0,68.0,166.0
SACABA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,300.0,414.0,22.0,4.0,322.0,418.0,740.0
SACABAMBA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,20.0,19.0,25.0,32.0,45.0,51.0,96.0
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,30.0,30.0,15.0,25.0,45.0,55.0,100.0
SAMAIPATA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,54.0,61.0,65.0,81.0,119.0,142.0,261.0
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,8.0,5.0,0.0,0.0,8.0,5.0,13.0
SAN BENITO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,17.0,20.0,0.0,0.0,17.0,20.0,37.0
SAN BORJA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,54.0,53.0,12.0,8.0,66.0,61.0,127.0
SAN CARLOS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,84.0,115.0,0.0,0.0,84.0,115.0,199.0
SAN IGNACIO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,102.0,87.0,30.0,29.0,132.0,116.0,248.0
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,363.0,525.0,0.0,0.0,363.0,525.0,888.0
SAN JAVIER(BNI),otras vacunaciones,covid dosis de refuerzo,2021-12-01,0.0,0.0,8.0,4.0,8.0,4.0,12.0
SAN JAVIER(STC),otras vacunaciones,covid dosis de refuerzo,2021-12-01,280.0,393.0,0.0,0.0,280.0,393.0,673.0
SAN JOAQUIN,otras vacunaciones,covid dosis de refuerzo,2021-12-01,100.0,140.0,0.0,0.0,100.0,140.0,240.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid dosis de refuerzo,2021-12-01,287.0,403.0,26.0,35.0,313.0,438.0,751.0
SAN JUAN DE YAPACANI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,196.0,220.0,0.0,0.0,196.0,220.0,416.0
SAN JULIAN,otras vacunaciones,covid dosis de refuerzo,2021-12-01,303.0,242.0,18.0,22.0,321.0,264.0,585.0
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,84.0,142.0,19.0,37.0,103.0,179.0,282.0
SAN PEDRO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,25.0,22.0,0.0,0.0,25.0,22.0,47.0
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,80.0,61.0,4.0,2.0,84.0,63.0,147.0
SAN RAFAEL,otras vacunaciones,covid dosis de refuerzo,2021-12-01,53.0,60.0,0.0,0.0,53.0,60.0,113.0
SAN RAMON BENI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,16.0,19.0,0.0,0.0,16.0,19.0,35.0
SAN RAMON SCZ,otras vacunaciones,covid dosis de refuerzo,2021-12-01,135.0,180.0,0.0,0.0,135.0,180.0,315.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,4440.0,5743.0,1638.0,2088.0,6078.0,7831.0,13909.0
SANTA ROSA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,112.0,158.0,1.0,1.0,113.0,159.0,272.0
SANTIAGO DE HUARI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,17.0,20.0,46.0,37.0,63.0,57.0,120.0
SANTIVAÑES,otras vacunaciones,covid dosis de refuerzo,2021-12-01,10.0,13.0,0.0,0.0,10.0,13.0,23.0
SHINAOTA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,51.0,52.0,0.0,0.0,51.0,52.0,103.0
SICAYA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,13.0,9.0,0.0,0.0,13.0,9.0,22.0
SIPE SIPE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,42.0,69.0,40.0,53.0,82.0,122.0,204.0
SORACACHI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,23.0,19.0,0.0,0.0,23.0,19.0,42.0
SUCRE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,4715.0,5874.0,7.0,12.0,4722.0,5886.0,10608.0
TACACHI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TARATA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,60.0,67.0,0.0,0.0,60.0,67.0,127.0
TARIJA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,4154.0,4908.0,1198.0,1375.0,5352.0,6283.0,11635.0
TIQUIPAYA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,328.0,397.0,15.0,18.0,343.0,415.0,758.0
TIRAQUE (CBBA),otras vacunaciones,covid dosis de refuerzo,2021-12-01,11.0,22.0,0.0,0.0,11.0,22.0,33.0
TOCO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,43.0,48.0,13.0,19.0,56.0,67.0,123.0
TOLATA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,14.0,21.0,12.0,20.0,26.0,41.0,67.0
TOLEDO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,7.0,10.0,0.0,0.0,7.0,10.0,17.0
TOMAVE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,50.0,47.0,99.0,115.0,149.0,162.0,311.0
TORO TORO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,12.0,11.0,5.0,6.0,17.0,17.0,34.0
TOTORA(CBBA),otras vacunaciones,covid dosis de refuerzo,2021-12-01,9.0,19.0,0.0,0.0,9.0,19.0,28.0
TOTORA(ORR),otras vacunaciones,covid dosis de refuerzo,2021-12-01,44.0,41.0,0.0,0.0,44.0,41.0,85.0
TRIGAL,otras vacunaciones,covid dosis de refuerzo,2021-12-01,11.0,21.0,24.0,24.0,35.0,45.0,80.0
TRINIDAD,otras vacunaciones,covid dosis de refuerzo,2021-12-01,110.0,118.0,41.0,57.0,151.0,175.0,326.0
TUPIZA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,665.0,778.0,35.0,49.0,700.0,827.0,1527.0
TURCO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,23.0,17.0,0.0,0.0,23.0,17.0,40.0
UNCIA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,121.0,176.0,84.0,138.0,205.0,314.0,519.0
URUBICHA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,135.0,69.0,4.0,1.0,139.0,70.0,209.0
VALLEGRANDE,otras vacunaciones,covid dosis de refuerzo,2021-12-01,167.0,229.0,33.0,32.0,200.0,261.0,461.0
VILLA MONTES,otras vacunaciones,covid dosis de refuerzo,2021-12-01,227.0,286.0,14.0,25.0,241.0,311.0,552.0
VILLA RIVERO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,25.0,29.0,0.0,0.0,25.0,29.0,54.0
VILLA SERRANO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,322.0,418.0,71.0,79.0,393.0,497.0,890.0
VILLA TUNARI,otras vacunaciones,covid dosis de refuerzo,2021-12-01,123.0,92.0,15.0,12.0,138.0,104.0,242.0
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis de refuerzo,2021-12-01,64.0,97.0,46.0,68.0,110.0,165.0,275.0
VILLAZON,otras vacunaciones,covid dosis de refuerzo,2021-12-01,439.0,588.0,52.0,97.0,491.0,685.0,1176.0
VINTO,otras vacunaciones,covid dosis de refuerzo,2021-12-01,49.0,87.0,12.0,20.0,61.0,107.0,168.0
YACUIBA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,784.0,1002.0,709.0,766.0,1493.0,1768.0,3261.0
YOCALLA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,35.0,61.0,0.0,0.0,35.0,61.0,96.0
YOTALA,otras vacunaciones,covid dosis de refuerzo,2021-12-01,42.0,58.0,9.0,11.0,51.0,69.0,120.0
ZUDAÑEZ,otras vacunaciones,covid dosis de refuerzo,2021-12-01,31.0,43.0,0.0,0.0,31.0,43.0,74.0
