,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,14,23,40,0,54,23,77
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,31,2,3,5,34,7,41
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,1,0,1,0,1
CHOQUE COTA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,0,7,12,8,12,20
CHUA COCANI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,30,0,0,0,30,0,30
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,5,2,0,0,5,2,7
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,22,13,69,54,91,67,158
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,32,41,6,13,38,54,92
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,7,3,0,0,7,3,10
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,218,2,218,3,221
COLPA BELGICA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,1,0,1,1,2
COLQUENCHA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,6,5,0,0,6,5,11
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,9,0,0,1,9,10
CORQUE,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,21,0,0,0,21,0,21
COTAGAITA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,3,10,0,0,3,10,13
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,4,6,0,0,4,6,10
CUEVO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,46,63,32,53,78,116,194
EL PUENTE(TJA),otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,2,0,0,0,2,2
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,5,8,0,0,5,8,13
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,7,1,0,0,7,1,8
EUCALIPTUS,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,1,0,0,2,1,3
EXALTACION,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,1,7,1,7,8
FILADELFIA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,9,4,9,4,13
HUACARETA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,0,0,1,2,1,3
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,1,3,1,4,5
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,46,61,24,16,70,77,147
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,38,76,9,18,47,94,141
LAGUNILLAS,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,7,0,7,0,7
LAS CARRERAS,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,11,0,3,1,14,15
MACHARETI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,6,3,6,3,9
MAGDALENA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,1,0,1,0,1
MAPIRI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,2,9,5,10,7,17
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,0,0,0,2,0,2
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,28,4,4,7,32,11,43
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,21,18,17,20,38,38,76
PALOS BLANCOS,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,3,9,6,4,9,13,22
PATACAMAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,5,12,0,0,5,12,17
POROMA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,3,0,0,2,3,5
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,9,0,0,1,9,10
PUERTO ACOSTA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,3,5,0,0,3,5,8
PUERTO GONZALO MORENO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,0,0,2,1,2,3
PUERTO VILLARROEL,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,3,2,0,0,3,2,5
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,10,11,1,2,11,13,24
QUILLACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,4,7,7,8,11,19
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,7,1,0,3,7,10
ROBORE,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,6,2,2,8,8,10,18
SACACA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,0,0,0,1,0,1
SAMAIPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,1,0,0,1,1,2
SAN ANDRES,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,2,6,2,6,8
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,3,10,0,5,3,15,18
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,0,5,2,6,2,8
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,12,9,31,14,43,23,66
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,3,2,3,2,5
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,4,0,0,0,4,4
SAN PEDRO DE CURAHUARA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,1,0,0,1,1,2
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,2,6,1,8,3,11
SAN RAMON BENI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,557,490,566,607,1123,1097,2220
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,0,0,0,2,0,2
SANTIAGO DE HUARI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,1,0,0,2,1,3
SORATA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,0,5,0,5,5
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,14,4,0,2,14,6,20
TACACOMA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,1,3,5,3,6,9
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,14,12,2,7,16,19,35
TIPUANI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,3,6,3,6,9
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,20,18,4,4,24,22,46
TIRAQUE (CBBA),otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,27,15,37,82,64,97,161
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,4,0,0,2,4,6
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,1,1,1,1,2
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,6,2,3,4,9,6,15
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,6,3,1,0,7,3,10
VILLA NUEVA (LOMA ALTA),otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,3,2,3,2,5
VILLA TUNARI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,57,4,100,0,157,4,161
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,2,24,0,0,2,24,26
VITICHI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,0,0,1,2,1,2,3
WARNES,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,20,22,7,14,27,36,63
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,38,15,6,6,44,21,65
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2021-06-01,17,10,2,7,19,17,36
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,8,23,2,2,10,25,35
ANCORAIMES,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,5,0,0,4,5,9
ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,1,4,3,4,4,8
ANTEQUERA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,0,1,2,4,2,6
APOLO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,1,5,1,5,6
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,35,10,72,90,107,100,207
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,3,3,4,7,7,14
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,3,0,0,4,3,7
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,7,0,0,5,7,12
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,2,0,0,2,2,4
BOLPEBRA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,5,3,5,3,8
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,4,1,5,1,6
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,4,0,0,5,4,9
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,1,0,2,3,3,6
CARACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,4,0,0,3,4,7
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,13,18,0,0,13,18,31
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,8,2,3,8,11,10,21
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,1,3,3,3,4,7
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,1,0,0,4,1,5
CHUA COCANI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,2,1,0,5,2,7
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,0,3,0,3,3
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,8,4,36,33,44,37,81
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,5,1,1,5,6,11
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,30,73,36,20,66,93,159
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,7,6,0,0,7,6,13
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,6,2,3,4,9,13
COLLANA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,3,0,0,0,3,3
COLOMI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,0,1,0,1
COLPA BELGICA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,0,1,0,1
COLQUECHACA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,1,0,0,1,1,2
COLQUENCHA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,1,6,10,8,11,19
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,8,1,0,6,8,14
COTAGAITA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,3,26,36,30,39,69
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,2,2,1,5,3,8
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,40,51,11,15,51,66,117
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,718,699,0,0,718,699,1417
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,9,9,4,14,13,27
EUCALIPTUS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,2,2,2,2,4
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,3,0,0,1,3,4
HUMANATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,1,1,1,1,2
IXIAMAS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,4,2,1,3,5,8
LA ASUNTA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,0,0,0,2,0,2
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,17,19,17,26,34,45,79
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,102,101,108,56,210,157,367
LLALLAGUA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,2,6,20,9,22,31
LLICA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,0,1,0,1
MACHARETI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,3,0,0,2,3,5
MAGDALENA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,2,1,2,1,3
MAPIRI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,4,0,0,4,4,8
MINEROS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,3,2,3,2,5
MONTEAGUDO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,3,5,3,5,8
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,30,45,11,25,41,70,111
PADILLA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,2,0,0,2,2,4
PAILON,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,3,1,1,6,4,10
PALOS BLANCOS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,13,8,5,13,18,31
POCOATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,0,1,0,1,1
PORONGO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,5,1,5,6
PUERTO ACOSTA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,3,4,5,6,8,14
PUERTO GONZALO MORENO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,2,4,2,4,6
PUERTO SUAREZ,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,5,0,0,3,5,8
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,6,15,2,5,8,20,28
QUILLACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,5,11,16,16,21,37
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,2,3,3,3,5,8
RURRENABAQUE,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,3,108,0,109,3,112
SABAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,3,1,3,1,4
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,9,4,6,7,15,11,26
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,3,3,12,8,15,23
SAMAIPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,2,0,0,1,2,3
SAN ANDRES,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,9,0,9,0,9
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,3,0,1,3,4,7
SAN BENITO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,3,0,0,3,3,6
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,10,12,2,4,12,16,28
SAN CARLOS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,0,0,0,2,0,2
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,9,0,0,1,9,10
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,3,4,3,4,7
SAN JOAQUIN,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,2,0,0,1,2,3
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,10,32,0,0,10,32,42
SAN LORENZO(PND),otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,10,0,2,13,12,13,25
SAN LUCAS,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,1,0,1,0,1
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,0,7,0,7,7
SAN RAMON BENI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,1,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,407,470,52,44,459,514,973
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,6,0,0,2,6,8
SANTIAGO DE HUARI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,0,0,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,1,0,0,1,1,2
SENA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,2,3,2,3,5
SHINAOTA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,2,0,0,0,2,0,2
SICA SICA (VILLA AROMA),otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,1,0,1,0,1
SORATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,7,6,6,18,13,24,37
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,5,0,0,5,5,10
TACACOMA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,13,8,0,0,13,8,21
TARATA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,15,26,0,2,15,28,43
TIPUANI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,2,4,2,4,6
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,7,12,0,2,7,14,21
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,274,138,399,521,673,659,1332
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,6,9,0,0,6,9,15
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,0,0,0,3,0,3
URUBICHA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,6,0,0,4,6,10
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,4,2,1,2,5,4,9
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,14,8,0,0,14,8,22
VILLA RIVERO,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,1,2,0,0,1,2,3
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,5,19,0,0,5,19,24
VITICHI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,3,2,3,2,5
WARNES,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,11,7,1,5,12,12,24
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,20,9,4,5,24,14,38
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,3,4,1,5,4,9,13
YOCALLA,otras vacunaciones,antiamarilica ( dosis unica),2021-07-01,0,0,0,1,0,1,1
ACACIO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,2,0,0,0,2,2
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,8,2,3,2,11,13
ACHOCALLA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,10,2,0,0,10,2,12
ANCORAIMES,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,0,0,0,2,0,2
ANTEQUERA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,3,5,3,5,8
ARANI,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,1,1,1,1,2
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,10,1,0,0,10,1,11
ATOCHA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,2,2,4,4,6,10
BATALLAS,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,1,0,0,0,1,1
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,3,3,2,0,5,3,8
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,7,1,7,1,8
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,5,2,1,4,6,10
BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,1,0,3,6,4,6,10
"CAIZA ""D""",otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,5,10,0,0,5,10,15
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,1,1,0,0,1,1,2
CARACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,8,3,1,0,9,3,12
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,10,8,1,2,11,10,21
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,3,6,3,6,9
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,10,13,0,2,10,15,25
CHAYANTA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,0,1,0,1,1
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,1,119,1,121,2,123
CKOCHAS,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,3,1,0,0,3,1,4
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,6,11,55,67,61,78,139
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,1,1,1,1,2
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,69,95,18,31,87,126,213
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,3,0,0,2,3,5
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,4,3,4,3,7
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,4,1,10,15,14,16,30
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,1,0,4,2,5,2,7
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,1,0,0,2,1,3
CURAHUARA DE CARANGAS,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,47,53,124,53,171,106,277
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,7,1,3,3,10,13
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,11,3,0,0,11,3,14
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,5,7,4,0,9,7,16
ESCOMA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,1,2,3,3,4,5,9
EUCALIPTUS,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,10,6,0,0,10,6,16
EXALTACION,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,3,4,3,4,7
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,1,0,1,6,2,6,8
FILADELFIA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,10,3,10,3,13
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,1,0,0,0,1,1
GUANAY,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,2,6,2,8,4,12
GUTIERREZ,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,1,2,0,0,1,2,3
HUACARETA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,2,1,0,0,2,1,3
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,1,4,1,4,5
HUARINA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,2,0,0,0,2,2
HUMANATA,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,0,0,4,1,4,1,5
IXIAMAS,otras vacunaciones,antiamarilica ( dosis unica),2021-08-01,3,2,0,0,3,2,5
