,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
PAMPA GRANDE,estado nutricional,a baja,2013-03-01,1,0,7,3,4,2,12,5,17
PAPEL PAMPA,estado nutricional,a baja,2013-03-01,0,2,9,3,3,3,12,8,20
PASORAPA,estado nutricional,a baja,2013-03-01,1,1,3,5,4,5,8,11,19
PATACAMAYA,estado nutricional,a baja,2013-03-01,9,6,14,17,19,16,42,39,81
PAZÑA,estado nutricional,a baja,2013-03-01,2,4,15,7,14,14,31,25,56
PELECHUCO,estado nutricional,a baja,2013-03-01,4,2,10,2,9,14,23,18,41
POCOATA,estado nutricional,a baja,2013-03-01,30,25,74,52,104,99,208,176,384
POCONA,estado nutricional,a baja,2013-03-01,8,4,25,9,22,17,55,30,85
POJO (CBBA),estado nutricional,a baja,2013-03-01,4,6,3,3,3,4,10,13,23
POOPO,estado nutricional,a baja,2013-03-01,3,2,5,5,6,6,14,13,27
PORCO,estado nutricional,a baja,2013-03-01,18,9,19,13,26,19,63,41,104
POROMA,estado nutricional,a baja,2013-03-01,12,9,22,20,61,48,95,77,172
PORONGO,estado nutricional,a baja,2013-03-01,2,0,1,0,1,2,4,2,6
PORTACHUELO,estado nutricional,a baja,2013-03-01,0,1,4,3,2,1,6,5,11
PORVENIR,estado nutricional,a baja,2013-03-01,0,1,6,5,3,4,9,10,19
POSTRER VALLE,estado nutricional,a baja,2013-03-01,0,2,0,1,0,1,0,4,4
POTOSI,estado nutricional,a baja,2013-03-01,209,111,271,171,149,115,629,397,1026
PRESTO,estado nutricional,a baja,2013-03-01,17,15,20,18,84,51,121,84,205
PUCARA,estado nutricional,a baja,2013-03-01,2,0,1,1,0,3,3,4,7
PUCARANI,estado nutricional,a baja,2013-03-01,11,5,30,23,12,12,53,40,93
PUERTO ACOSTA,estado nutricional,a baja,2013-03-01,7,3,5,5,7,3,19,11,30
PUERTO CARABUCO,estado nutricional,a baja,2013-03-01,6,2,10,6,18,17,34,25,59
PUERTO GONZALO MORENO,estado nutricional,a baja,2013-03-01,11,5,35,22,36,36,82,63,145
PUERTO PEREZ,estado nutricional,a baja,2013-03-01,0,0,1,2,0,0,1,2,3
PUERTO QUIJARRO,estado nutricional,a baja,2013-03-01,2,0,2,2,0,0,4,2,6
PUERTO RICO,estado nutricional,a baja,2013-03-01,2,1,5,6,5,3,12,10,22
PUERTO SILES,estado nutricional,a baja,2013-03-01,1,0,1,1,0,4,2,5,7
PUERTO SUAREZ,estado nutricional,a baja,2013-03-01,5,2,7,3,3,0,15,5,20
PUERTO VILLARROEL,estado nutricional,a baja,2013-03-01,18,10,35,20,20,24,73,54,127
PUNA,estado nutricional,a baja,2013-03-01,14,13,34,37,55,69,103,119,222
PUNATA,estado nutricional,a baja,2013-03-01,2,2,11,10,8,10,21,22,43
QUIABAYA,estado nutricional,a baja,2013-03-01,1,3,3,5,4,4,8,12,20
QUILLACOLLO,estado nutricional,a baja,2013-03-01,23,20,44,37,46,43,113,100,213
QUIME,estado nutricional,a baja,2013-03-01,10,4,3,7,12,9,25,20,45
QUIRUSILLAS,estado nutricional,a baja,2013-03-01,0,1,1,1,1,1,2,3,5
RAVELO,estado nutricional,a baja,2013-03-01,29,35,69,48,123,135,221,218,439
REYES,estado nutricional,a baja,2013-03-01,5,2,10,1,8,2,23,5,28
RIBERALTA,estado nutricional,a baja,2013-03-01,49,36,129,88,59,55,237,179,416
ROBORE,estado nutricional,a baja,2013-03-01,0,2,1,1,0,1,1,4,5
RURRENABAQUE,estado nutricional,a baja,2013-03-01,9,7,7,3,4,4,20,14,34
SABAYA,estado nutricional,a baja,2013-03-01,0,1,2,0,2,1,4,2,6
SACABA,estado nutricional,a baja,2013-03-01,42,27,96,65,51,64,189,156,345
SACABAMBA,estado nutricional,a baja,2013-03-01,7,5,13,9,8,6,28,20,48
SACACA,estado nutricional,a baja,2013-03-01,51,34,81,56,100,87,232,177,409
SAIPINA,estado nutricional,a baja,2013-03-01,0,1,1,5,4,4,5,10,15
SALINAS DE GARCI MENDOZA,estado nutricional,a baja,2013-03-01,10,4,29,7,21,19,60,30,90
SAMAIPATA,estado nutricional,a baja,2013-03-01,2,0,0,4,0,2,2,6,8
SAN AGUSTIN,estado nutricional,a baja,2013-03-01,1,0,2,0,1,1,4,1,5
SAN ANDRES,estado nutricional,a baja,2013-03-01,1,2,5,1,1,2,7,5,12
SAN ANDRES DE MACHACA,estado nutricional,a baja,2013-03-01,1,0,3,0,1,3,5,3,8
SAN ANTONIO DE ESMORUCO,estado nutricional,a baja,2013-03-01,2,0,5,1,5,7,12,8,20
SAN ANTONIO DE LOMERIO,estado nutricional,a baja,2013-03-01,8,6,11,6,12,12,31,24,55
SAN BENITO,estado nutricional,a baja,2013-03-01,6,4,14,14,9,4,29,22,51
SAN BORJA,estado nutricional,a baja,2013-03-01,25,6,47,25,64,46,136,77,213
SAN BUENA VENTURA,estado nutricional,a baja,2013-03-01,2,2,10,1,10,8,22,11,33
SAN CARLOS,estado nutricional,a baja,2013-03-01,6,4,8,9,5,10,19,23,42
SAN IGNACIO,estado nutricional,a baja,2013-03-01,14,10,20,10,21,32,55,52,107
SAN IGNACIO DE VELASCO,estado nutricional,a baja,2013-03-01,6,5,14,20,19,18,39,43,82
SAN JAVIER(STC),estado nutricional,a baja,2013-03-01,0,0,0,1,0,0,0,1,1
SAN JOAQUIN,estado nutricional,a baja,2013-03-01,1,4,9,2,1,1,11,7,18
SAN JOSE DE CHIQUITOS,estado nutricional,a baja,2013-03-01,1,4,8,2,4,4,13,10,23
SAN JUAN DE YAPACANI,estado nutricional,a baja,2013-03-01,0,1,1,0,1,0,2,1,3
SAN JULIAN,estado nutricional,a baja,2013-03-01,7,6,3,7,6,12,16,25,41
SAN LORENZO(PND),estado nutricional,a baja,2013-03-01,0,1,4,4,4,7,8,12,20
SAN LORENZO(TJA),estado nutricional,a baja,2013-03-01,10,4,11,11,12,11,33,26,59
SAN LUCAS,estado nutricional,a baja,2013-03-01,30,28,74,55,136,166,240,249,489
SAN MATIAS,estado nutricional,a baja,2013-03-01,0,1,2,1,1,5,3,7,10
SAN MIGUEL DE VELASCO,estado nutricional,a baja,2013-03-01,22,8,28,11,17,19,67,38,105
SAN PABLO DE LIPEZ,estado nutricional,a baja,2013-03-01,1,0,4,1,0,2,5,3,8
SAN PEDRO,estado nutricional,a baja,2013-03-01,1,0,3,3,11,4,15,7,22
SAN PEDRO DE BUENA VISTA,estado nutricional,a baja,2013-03-01,39,44,93,71,98,104,230,219,449
SAN PEDRO DE CURAHUARA,estado nutricional,a baja,2013-03-01,0,1,5,3,2,6,7,10,17
SAN PEDRO DE QUEMES,estado nutricional,a baja,2013-03-01,0,0,1,0,1,1,2,1,3
SAN PEDRO DE TIQUINA,estado nutricional,a baja,2013-03-01,1,1,1,0,4,3,6,4,10
SAN PEDRO(PND),estado nutricional,a baja,2013-03-01,0,0,2,0,2,3,4,3,7
SAN RAFAEL,estado nutricional,a baja,2013-03-01,1,0,3,1,5,3,9,4,13
SAN RAMON BENI,estado nutricional,a baja,2013-03-01,2,0,0,2,4,0,6,2,8
SAN RAMON SCZ,estado nutricional,a baja,2013-03-01,6,4,5,6,7,5,18,15,33
SANTA ANA,estado nutricional,a baja,2013-03-01,5,2,6,4,4,6,15,12,27
SANTA CRUZ DE LA SIERRA,estado nutricional,a baja,2013-03-01,110,63,103,88,65,72,278,223,501
SANTA ROSA,estado nutricional,a baja,2013-03-01,3,3,2,4,1,0,6,7,13
SANTA ROSA DEL SARA,estado nutricional,a baja,2013-03-01,3,2,3,3,2,9,8,14,22
SANTIAGO DE CALLAPA,estado nutricional,a baja,2013-03-01,2,2,3,7,0,0,5,9,14
SANTIAGO DE HUARI,estado nutricional,a baja,2013-03-01,11,4,26,10,12,9,49,23,72
SANTIAGO DE HUATA,estado nutricional,a baja,2013-03-01,0,1,11,3,7,6,18,10,28
SANTIAGO DE MACHACA,estado nutricional,a baja,2013-03-01,9,2,7,5,7,6,23,13,36
SANTIVAÑES,estado nutricional,a baja,2013-03-01,1,1,5,1,6,2,12,4,16
SANTUARIO DE QUILLACAS,estado nutricional,a baja,2013-03-01,5,0,4,5,3,3,12,8,20
SAPAHAQUI,estado nutricional,a baja,2013-03-01,5,6,22,8,15,13,42,27,69
SENA,estado nutricional,a baja,2013-03-01,0,2,7,5,8,4,15,11,26
SHINAOTA,estado nutricional,a baja,2013-03-01,9,7,17,18,7,14,33,39,72
SICA SICA (VILLA AROMA),estado nutricional,a baja,2013-03-01,4,8,29,11,20,17,53,36,89
SICAYA,estado nutricional,a baja,2013-03-01,4,5,8,17,18,11,30,33,63
SIPE SIPE,estado nutricional,a baja,2013-03-01,19,12,51,33,31,39,101,84,185
SOPACHUY,estado nutricional,a baja,2013-03-01,2,2,16,12,47,49,65,63,128
SORACACHI,estado nutricional,a baja,2013-03-01,18,6,21,14,18,28,57,48,105
SORATA,estado nutricional,a baja,2013-03-01,1,8,9,10,16,13,26,31,57
SUCRE,estado nutricional,a baja,2013-03-01,73,34,182,120,169,131,424,285,709
TACACOMA,estado nutricional,a baja,2013-03-01,2,3,11,4,2,1,15,8,23
TACOBAMBA,estado nutricional,a baja,2013-03-01,9,4,17,14,10,4,36,22,58
TACOPAYA,estado nutricional,a baja,2013-03-01,11,9,23,19,43,33,77,61,138
TAHUA,estado nutricional,a baja,2013-03-01,1,0,4,0,0,0,5,0,5
TAPACARI,estado nutricional,a baja,2013-03-01,44,22,79,47,83,57,206,126,332
TARABUCO,estado nutricional,a baja,2013-03-01,18,15,41,19,110,120,169,154,323
TARACO,estado nutricional,a baja,2013-03-01,1,0,2,1,0,1,3,2,5
TARATA,estado nutricional,a baja,2013-03-01,3,0,4,1,1,4,8,5,13
TARIJA,estado nutricional,a baja,2013-03-01,30,36,32,35,48,39,110,110,220
TARVITA,estado nutricional,a baja,2013-03-01,9,6,37,32,103,108,149,146,295
TEOPONTE,estado nutricional,a baja,2013-03-01,1,0,1,0,6,2,8,2,10
TIAWANACU,estado nutricional,a baja,2013-03-01,1,2,2,5,3,5,6,12,18
TINGUIPAYA,estado nutricional,a baja,2013-03-01,44,36,56,53,71,49,171,138,309
TIPUANI,estado nutricional,a baja,2013-03-01,2,1,6,2,7,2,15,5,20
TIQUIPAYA,estado nutricional,a baja,2013-03-01,17,18,38,33,28,34,83,85,168
TIRAQUE (CBBA),estado nutricional,a baja,2013-03-01,20,22,22,28,28,31,70,81,151
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a baja,2013-03-01,0,0,0,1,2,2,2,3,5
TOCO,estado nutricional,a baja,2013-03-01,2,1,5,7,7,3,14,11,25
TOLATA,estado nutricional,a baja,2013-03-01,2,0,0,3,0,1,2,4,6
TOLEDO,estado nutricional,a baja,2013-03-01,3,2,14,4,6,1,23,7,30
TOMAVE,estado nutricional,a baja,2013-03-01,11,8,31,16,38,36,80,60,140
TOMINA,estado nutricional,a baja,2013-03-01,2,4,21,16,80,71,103,91,194
TORO TORO,estado nutricional,a baja,2013-03-01,7,5,31,21,40,44,78,70,148
TOTORA(CBBA),estado nutricional,a baja,2013-03-01,16,5,35,15,18,16,69,36,105
TOTORA(ORR),estado nutricional,a baja,2013-03-01,3,2,8,3,0,5,11,10,21
TRIGAL,estado nutricional,a baja,2013-03-01,1,0,2,0,0,0,3,0,3
TRINIDAD,estado nutricional,a baja,2013-03-01,21,9,18,16,17,17,56,42,98
TUPIZA,estado nutricional,a baja,2013-03-01,18,18,37,31,36,41,91,90,181
TURCO,estado nutricional,a baja,2013-03-01,1,0,2,3,0,5,3,8,11
UMALA,estado nutricional,a baja,2013-03-01,7,3,10,9,4,5,21,17,38
UNCIA,estado nutricional,a baja,2013-03-01,31,8,65,41,51,29,147,78,225
URIONDO (A. CONCEPCION),estado nutricional,a baja,2013-03-01,1,3,4,1,3,6,8,10,18
URUBICHA,estado nutricional,a baja,2013-03-01,5,2,9,2,0,1,14,5,19
UYUNI,estado nutricional,a baja,2013-03-01,13,8,30,25,9,17,52,50,102
VACAS,estado nutricional,a baja,2013-03-01,18,6,30,16,24,18,72,40,112
VALLEGRANDE,estado nutricional,a baja,2013-03-01,3,0,5,3,1,1,9,4,13
VIACHA,estado nutricional,a baja,2013-03-01,27,29,55,29,39,44,121,102,223
VILA VILA,estado nutricional,a baja,2013-03-01,10,13,17,8,27,34,54,55,109
VILLA CHARCAS,estado nutricional,a baja,2013-03-01,7,18,46,33,92,67,145,118,263
VILLA MONTES,estado nutricional,a baja,2013-03-01,1,2,11,3,10,24,22,29,51
VILLA NUEVA (LOMA ALTA),estado nutricional,a baja,2013-03-01,1,0,0,1,0,4,1,5,6
VILLA RIVERO,estado nutricional,a baja,2013-03-01,0,1,9,3,2,4,11,8,19
VILLA SERRANO,estado nutricional,a baja,2013-03-01,7,7,20,16,61,48,88,71,159
VILLA TUNARI,estado nutricional,a baja,2013-03-01,18,24,65,55,68,63,151,142,293
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a baja,2013-03-01,6,0,4,9,11,9,21,18,39
VILLAZON,estado nutricional,a baja,2013-03-01,35,29,69,33,54,27,158,89,247
VINTO,estado nutricional,a baja,2013-03-01,2,3,13,16,18,11,33,30,63
VITICHI,estado nutricional,a baja,2013-03-01,5,6,22,18,29,34,56,58,114
WALDO BALLIVIAN,estado nutricional,a baja,2013-03-01,1,3,4,5,3,3,8,11,19
WARNES,estado nutricional,a baja,2013-03-01,26,11,31,27,20,12,77,50,127
YACO,estado nutricional,a baja,2013-03-01,1,6,9,8,7,6,17,20,37
YACUIBA,estado nutricional,a baja,2013-03-01,13,3,12,10,18,10,43,23,66
YAMPARAEZ,estado nutricional,a baja,2013-03-01,6,2,13,9,60,60,79,71,150
YANACACHI,estado nutricional,a baja,2013-03-01,2,2,1,4,1,3,4,9,13
YAPACANI,estado nutricional,a baja,2013-03-01,3,0,8,7,6,1,17,8,25
YOCALLA,estado nutricional,a baja,2013-03-01,6,7,10,6,13,5,29,18,47
YOTALA,estado nutricional,a baja,2013-03-01,3,4,9,6,28,15,40,25,65
YUNCHARA,estado nutricional,a baja,2013-03-01,14,3,9,11,44,25,67,39,106
ZUDAÑEZ,estado nutricional,a baja,2013-03-01,1,2,10,13,44,45,55,60,115
ACACIO,estado nutricional,a baja,2013-04-01,6,7,27,19,35,31,68,57,125
ACHACACHI,estado nutricional,a baja,2013-04-01,23,16,19,26,38,24,80,66,146
ACHOCALLA,estado nutricional,a baja,2013-04-01,11,7,20,14,12,11,43,32,75
AIQUILE,estado nutricional,a baja,2013-04-01,18,5,45,18,17,17,80,40,120
ALALAY,estado nutricional,a baja,2013-04-01,9,7,5,7,7,5,21,19,40
ALCALA,estado nutricional,a baja,2013-04-01,0,0,2,0,13,13,15,13,28
ALTO BENI,estado nutricional,a baja,2013-04-01,1,2,13,0,7,10,21,12,33
ANCORAIMES,estado nutricional,a baja,2013-04-01,15,4,26,25,31,28,72,57,129
ANDAMARCA,estado nutricional,a baja,2013-04-01,1,0,9,9,20,17,30,26,56
ANTEQUERA,estado nutricional,a baja,2013-04-01,7,4,5,2,3,2,15,8,23
ANZALDO,estado nutricional,a baja,2013-04-01,12,6,31,15,28,27,71,48,119
APOLO,estado nutricional,a baja,2013-04-01,12,5,23,14,35,32,70,51,121
ARAMPAMPA,estado nutricional,a baja,2013-04-01,1,2,11,14,11,11,23,27,50
ARANI,estado nutricional,a baja,2013-04-01,1,6,5,5,14,21,20,32,52
ARBIETO,estado nutricional,a baja,2013-04-01,4,1,6,7,9,15,19,23,42
ARQUE,estado nutricional,a baja,2013-04-01,13,12,69,47,109,95,191,154,345
ASCENCION DE GUARAYOS,estado nutricional,a baja,2013-04-01,10,7,7,5,11,4,28,16,44
ATOCHA,estado nutricional,a baja,2013-04-01,5,6,16,22,11,21,32,49,81
AUCAPATA,estado nutricional,a baja,2013-04-01,1,0,8,5,7,5,16,10,26
AYATA,estado nutricional,a baja,2013-04-01,9,2,37,15,29,37,75,54,129
AYO AYO,estado nutricional,a baja,2013-04-01,7,10,27,14,25,9,59,33,92
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a baja,2013-04-01,33,25,57,44,73,69,163,138,301
AZURDUY,estado nutricional,a baja,2013-04-01,9,10,22,18,73,88,104,116,220
BATALLAS,estado nutricional,a baja,2013-04-01,10,3,24,6,4,10,38,19,57
BAURES,estado nutricional,a baja,2013-04-01,0,0,0,5,7,4,7,9,16
BELEN DE ANDAMARCA,estado nutricional,a baja,2013-04-01,3,0,1,1,1,8,5,9,14
BELEN DE URMIRI,estado nutricional,a baja,2013-04-01,2,2,3,6,4,8,9,16,25
BELLA FLOR,estado nutricional,a baja,2013-04-01,0,1,5,0,2,4,7,5,12
BERMEJO,estado nutricional,a baja,2013-04-01,12,7,8,10,9,7,29,24,53
BETANZOS,estado nutricional,a baja,2013-04-01,52,38,78,87,127,111,257,236,493
BOLIVAR,estado nutricional,a baja,2013-04-01,39,10,46,25,67,64,152,99,251
BOLPEBRA,estado nutricional,a baja,2013-04-01,0,0,1,0,1,2,2,2,4
BOYUIBE,estado nutricional,a baja,2013-04-01,0,0,0,2,0,2,0,4,4
BUENA VISTA,estado nutricional,a baja,2013-04-01,1,4,1,1,2,1,4,6,10
CABEZAS,estado nutricional,a baja,2013-04-01,4,0,3,1,9,2,16,3,19
CAIROMA,estado nutricional,a baja,2013-04-01,8,3,19,19,16,12,43,34,77
"CAIZA ""D""",estado nutricional,a baja,2013-04-01,7,5,16,9,17,31,40,45,85
CAJUATA,estado nutricional,a baja,2013-04-01,0,1,1,1,0,0,1,2,3
CALACOTO,estado nutricional,a baja,2013-04-01,0,0,2,1,4,1,6,2,8
CALAMARCA,estado nutricional,a baja,2013-04-01,27,11,27,21,21,36,75,68,143
CAMARGO,estado nutricional,a baja,2013-04-01,17,6,33,15,60,49,110,70,180
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a baja,2013-04-01,1,1,9,2,12,6,22,9,31
CAMIRI,estado nutricional,a baja,2013-04-01,5,4,12,5,7,4,24,13,37
CAPINOTA,estado nutricional,a baja,2013-04-01,13,6,27,35,36,24,76,65,141
CAQUIAVIRI,estado nutricional,a baja,2013-04-01,7,6,9,8,10,5,26,19,45
CARACOLLO,estado nutricional,a baja,2013-04-01,17,9,36,16,36,33,89,58,147
CARANAVI,estado nutricional,a baja,2013-04-01,17,10,32,26,51,65,100,101,201
CARANGAS,estado nutricional,a baja,2013-04-01,1,0,0,0,0,0,1,0,1
CARAPARI,estado nutricional,a baja,2013-04-01,6,0,4,3,7,4,17,7,24
CARIPUYO,estado nutricional,a baja,2013-04-01,13,6,28,19,27,51,68,76,144
CATACORA,estado nutricional,a baja,2013-04-01,1,2,4,0,3,0,8,2,10
CHACARILLA,estado nutricional,a baja,2013-04-01,0,0,2,1,2,4,4,5,9
CHALLAPATA,estado nutricional,a baja,2013-04-01,33,6,54,39,59,57,146,102,248
CHAQUI,estado nutricional,a baja,2013-04-01,6,6,19,11,15,17,40,34,74
CHARAGUA,estado nutricional,a baja,2013-04-01,5,9,10,3,10,8,25,20,45
CHARAÑA,estado nutricional,a baja,2013-04-01,2,0,3,4,0,6,5,10,15
CHAYANTA,estado nutricional,a baja,2013-04-01,18,21,54,35,38,42,110,98,208
CHIMORE,estado nutricional,a baja,2013-04-01,4,6,12,14,21,13,37,33,70
CHIPAYA,estado nutricional,a baja,2013-04-01,3,1,2,6,12,4,17,11,28
CHOQUE COTA,estado nutricional,a baja,2013-04-01,0,1,4,1,0,0,4,2,6
CHUA COCANI,estado nutricional,a baja,2013-04-01,1,0,3,0,1,1,5,1,6
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a baja,2013-04-01,1,5,4,4,12,7,17,16,33
CHUMA,estado nutricional,a baja,2013-04-01,6,1,22,22,21,22,49,45,94
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a baja,2013-04-01,12,3,24,17,17,12,53,32,85
CKOCHAS,estado nutricional,a baja,2013-04-01,30,27,67,47,44,42,141,116,257
CLIZA,estado nutricional,a baja,2013-04-01,9,7,6,2,3,4,18,13,31
COBIJA,estado nutricional,a baja,2013-04-01,31,10,32,10,19,13,82,33,115
COCAPATA,estado nutricional,a baja,2013-04-01,37,25,93,56,97,96,227,177,404
COCHABAMBA,estado nutricional,a baja,2013-04-01,80,62,174,149,156,151,410,362,772
COLCAPIRHUA,estado nutricional,a baja,2013-04-01,5,7,16,14,19,15,40,36,76
"COLCHA ""K""",estado nutricional,a baja,2013-04-01,10,10,22,13,21,17,53,40,93
COLLANA,estado nutricional,a baja,2013-04-01,3,1,2,6,7,2,12,9,21
COLOMI,estado nutricional,a baja,2013-04-01,15,14,51,24,23,32,89,70,159
COLQUECHACA,estado nutricional,a baja,2013-04-01,62,58,159,113,59,64,280,235,515
COLQUENCHA,estado nutricional,a baja,2013-04-01,10,4,22,5,18,12,50,21,71
COLQUIRI,estado nutricional,a baja,2013-04-01,9,12,21,17,30,24,60,53,113
COMANCHE,estado nutricional,a baja,2013-04-01,2,1,7,2,1,4,10,7,17
COMARAPA,estado nutricional,a baja,2013-04-01,1,2,8,2,2,6,11,10,21
COMBAYA,estado nutricional,a baja,2013-04-01,2,1,3,3,10,4,15,8,23
CONCEPCION,estado nutricional,a baja,2013-04-01,8,7,7,8,4,6,19,21,40
COPACABANA,estado nutricional,a baja,2013-04-01,8,7,9,6,7,3,24,16,40
CORIPATA,estado nutricional,a baja,2013-04-01,4,1,16,8,14,8,34,17,51
CORO CORO,estado nutricional,a baja,2013-04-01,12,4,16,15,15,26,43,45,88
COROICO,estado nutricional,a baja,2013-04-01,6,3,5,6,7,8,18,17,35
CORQUE,estado nutricional,a baja,2013-04-01,0,3,16,9,6,9,22,21,43
COTAGAITA,estado nutricional,a baja,2013-04-01,15,13,43,12,51,51,109,76,185
COTOCA,estado nutricional,a baja,2013-04-01,6,4,5,5,2,10,13,19,32
CUATRO CAÑADAS,estado nutricional,a baja,2013-04-01,2,2,3,3,4,2,9,7,16
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a baja,2013-04-01,0,0,0,0,0,1,0,1,1
CUEVO,estado nutricional,a baja,2013-04-01,2,2,2,1,7,5,11,8,19
CULPINA,estado nutricional,a baja,2013-04-01,6,4,9,7,2,5,17,16,33
CURAHUARA DE CARANGAS,estado nutricional,a baja,2013-04-01,6,1,11,4,17,7,34,12,46
CURVA,estado nutricional,a baja,2013-04-01,0,1,7,2,16,10,23,13,36
DESAGUADERO,estado nutricional,a baja,2013-04-01,1,0,3,2,2,3,6,5,11
EL ALTO,estado nutricional,a baja,2013-04-01,465,232,736,435,425,405,1626,1072,2698
EL CHORO,estado nutricional,a baja,2013-04-01,1,2,5,3,7,6,13,11,24
EL PUENTE(STC),estado nutricional,a baja,2013-04-01,0,1,1,1,3,3,4,5,9
EL PUENTE(TJA),estado nutricional,a baja,2013-04-01,5,4,10,12,17,15,32,31,63
EL TORNO,estado nutricional,a baja,2013-04-01,5,4,7,5,10,4,22,13,35
EL VILLAR,estado nutricional,a baja,2013-04-01,1,0,4,1,10,12,15,13,28
ENTRE RIOS TRJ,estado nutricional,a baja,2013-04-01,4,8,9,3,13,9,26,20,46
ENTRE RIOS CBBA,estado nutricional,a baja,2013-04-01,7,8,25,20,29,21,61,49,110
ESCARA,estado nutricional,a baja,2013-04-01,0,0,1,1,3,1,4,2,6
ESCOMA,estado nutricional,a baja,2013-04-01,4,2,2,5,2,2,8,9,17
ESMERALDA,estado nutricional,a baja,2013-04-01,0,0,0,0,2,0,2,0,2
EUCALIPTUS,estado nutricional,a baja,2013-04-01,9,5,18,10,4,5,31,20,51
EUREKA (SANTOS MERCADO),estado nutricional,a baja,2013-04-01,1,0,2,2,2,2,5,4,9
EXALTACION,estado nutricional,a baja,2013-04-01,0,1,3,0,1,1,4,2,6
FERNANDEZ ALONSO,estado nutricional,a baja,2013-04-01,1,1,3,2,7,2,11,5,16
FILADELFIA,estado nutricional,a baja,2013-04-01,4,1,4,4,7,4,15,9,24
GENERAL SAAVEDRA,estado nutricional,a baja,2013-04-01,2,3,3,2,8,3,13,8,21
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a baja,2013-04-01,8,8,32,16,20,33,60,57,117
GUANAY,estado nutricional,a baja,2013-04-01,5,1,12,6,14,14,31,21,52
GUAQUI,estado nutricional,a baja,2013-04-01,4,5,9,12,17,7,30,24,54
GUAYARAMERIN,estado nutricional,a baja,2013-04-01,52,26,48,40,36,31,136,97,233
GUTIERREZ,estado nutricional,a baja,2013-04-01,15,11,27,18,54,48,96,77,173
HUACARETA,estado nutricional,a baja,2013-04-01,1,1,4,2,10,10,15,13,28
HUACAYA (VILLA DE HUACAYA),estado nutricional,a baja,2013-04-01,2,1,4,3,16,7,22,11,33
HUACHACALLA,estado nutricional,a baja,2013-04-01,2,1,1,0,5,1,8,2,10
HUANUNI,estado nutricional,a baja,2013-04-01,27,11,46,20,36,35,109,66,175
HUARACAJE,estado nutricional,a baja,2013-04-01,0,0,0,2,4,0,4,2,6
HUARINA,estado nutricional,a baja,2013-04-01,4,1,6,2,8,5,18,8,26
HUATAJATA,estado nutricional,a baja,2013-04-01,6,5,5,5,8,5,19,15,34
HUAYLLAMARCA,estado nutricional,a baja,2013-04-01,0,1,8,2,4,12,12,15,27
HUMANATA,estado nutricional,a baja,2013-04-01,9,2,13,19,19,22,41,43,84
ICHOCA,estado nutricional,a baja,2013-04-01,6,3,10,7,7,8,23,18,41
ICLA,estado nutricional,a baja,2013-04-01,7,8,20,10,93,77,120,95,215
INCAHUASI,estado nutricional,a baja,2013-04-01,18,5,33,23,56,55,107,83,190
INGAVI (HUMAITA),estado nutricional,a baja,2013-04-01,0,1,1,0,0,0,1,1,2
INQUISIVI,estado nutricional,a baja,2013-04-01,1,2,4,3,11,9,16,14,30
IRUPANA (VILLA DE LANZA),estado nutricional,a baja,2013-04-01,4,6,7,6,11,10,22,22,44
IXIAMAS,estado nutricional,a baja,2013-04-01,2,1,4,1,10,10,16,12,28
JESUS DE MACHACA,estado nutricional,a baja,2013-04-01,4,3,12,9,4,15,20,27,47
LA ASUNTA,estado nutricional,a baja,2013-04-01,6,3,19,11,35,20,60,34,94
LA GUARDIA,estado nutricional,a baja,2013-04-01,6,7,4,8,4,5,14,20,34
LA PAZ,estado nutricional,a baja,2013-04-01,425,265,484,299,432,428,1341,992,2333
LAGUNILLAS,estado nutricional,a baja,2013-04-01,1,3,3,2,7,14,11,19,30
LAJA,estado nutricional,a baja,2013-04-01,7,4,18,14,10,1,35,19,54
LAS CARRERAS,estado nutricional,a baja,2013-04-01,0,0,1,2,3,4,4,6,10
LICOMA PAMPA,estado nutricional,a baja,2013-04-01,3,0,7,0,4,2,14,2,16
LLALLAGUA,estado nutricional,a baja,2013-04-01,22,19,59,47,24,25,105,91,196
LLICA,estado nutricional,a baja,2013-04-01,5,4,5,3,3,1,13,8,21
LORETO,estado nutricional,a baja,2013-04-01,0,1,0,3,3,0,3,4,7
LURIBAY,estado nutricional,a baja,2013-04-01,2,2,7,8,7,6,16,16,32
MACHACAMARCA,estado nutricional,a baja,2013-04-01,6,10,5,8,5,8,16,26,42
MACHARETI,estado nutricional,a baja,2013-04-01,1,2,10,2,8,11,19,15,34
MAGDALENA,estado nutricional,a baja,2013-04-01,6,3,12,3,2,3,20,9,29
MAIRANA,estado nutricional,a baja,2013-04-01,4,1,6,5,4,1,14,7,21
