,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
ATOCHA,estado nutricional,a normal,2013-04-01,107,90,84,69,130,137,321,296,617
AUCAPATA,estado nutricional,a normal,2013-04-01,33,46,24,48,26,21,83,115,198
AYATA,estado nutricional,a normal,2013-04-01,59,73,61,49,55,44,175,166,341
AYO AYO,estado nutricional,a normal,2013-04-01,39,58,37,39,24,27,100,124,224
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a normal,2013-04-01,249,212,183,212,233,198,665,622,1287
AZURDUY,estado nutricional,a normal,2013-04-01,90,83,68,74,149,123,307,280,587
BATALLAS,estado nutricional,a normal,2013-04-01,101,138,94,101,106,87,301,326,627
BAURES,estado nutricional,a normal,2013-04-01,35,42,31,24,38,28,104,94,198
BELEN DE ANDAMARCA,estado nutricional,a normal,2013-04-01,18,16,13,17,25,16,56,49,105
BELEN DE URMIRI,estado nutricional,a normal,2013-04-01,15,16,9,10,9,12,33,38,71
BELLA FLOR,estado nutricional,a normal,2013-04-01,28,18,38,18,42,41,108,77,185
BERMEJO,estado nutricional,a normal,2013-04-01,275,286,241,232,178,216,694,734,1428
BETANZOS,estado nutricional,a normal,2013-04-01,250,257,213,227,224,257,687,741,1428
BOLIVAR,estado nutricional,a normal,2013-04-01,65,51,34,53,58,54,157,158,315
BOLPEBRA,estado nutricional,a normal,2013-04-01,14,8,14,10,11,12,39,30,69
BOYUIBE,estado nutricional,a normal,2013-04-01,31,26,21,33,47,40,99,99,198
BUENA VISTA,estado nutricional,a normal,2013-04-01,104,107,85,77,91,67,280,251,531
CABEZAS,estado nutricional,a normal,2013-04-01,188,147,111,102,130,130,429,379,808
CAIROMA,estado nutricional,a normal,2013-04-01,67,63,62,53,46,55,175,171,346
"CAIZA ""D""",estado nutricional,a normal,2013-04-01,78,74,65,50,56,59,199,183,382
CAJUATA,estado nutricional,a normal,2013-04-01,98,73,55,63,92,72,245,208,453
CALACOTO,estado nutricional,a normal,2013-04-01,31,35,20,26,32,24,83,85,168
CALAMARCA,estado nutricional,a normal,2013-04-01,62,69,68,82,79,50,209,201,410
CAMARGO,estado nutricional,a normal,2013-04-01,122,110,81,91,127,141,330,342,672
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a normal,2013-04-01,22,24,23,16,41,27,86,67,153
CAMIRI,estado nutricional,a normal,2013-04-01,410,319,269,264,385,357,1064,940,2004
CAPINOTA,estado nutricional,a normal,2013-04-01,121,102,85,94,89,82,295,278,573
CAQUIAVIRI,estado nutricional,a normal,2013-04-01,75,60,59,64,41,44,175,168,343
CARACOLLO,estado nutricional,a normal,2013-04-01,190,157,120,122,194,175,504,454,958
CARANAVI,estado nutricional,a normal,2013-04-01,347,404,308,301,262,298,917,1003,1920
CARANGAS,estado nutricional,a normal,2013-04-01,0,0,2,1,3,1,5,2,7
CARAPARI,estado nutricional,a normal,2013-04-01,164,153,112,109,166,181,442,443,885
CARIPUYO,estado nutricional,a normal,2013-04-01,78,78,39,45,37,37,154,160,314
CARMEN RIVERO TORREZ,estado nutricional,a normal,2013-04-01,19,31,22,13,26,17,67,61,128
CATACORA,estado nutricional,a normal,2013-04-01,2,5,5,3,9,5,16,13,29
CHACARILLA,estado nutricional,a normal,2013-04-01,9,3,11,2,11,10,31,15,46
CHALLAPATA,estado nutricional,a normal,2013-04-01,364,349,214,183,231,206,809,738,1547
CHAQUI,estado nutricional,a normal,2013-04-01,59,65,51,40,27,28,137,133,270
CHARAGUA,estado nutricional,a normal,2013-04-01,241,217,163,171,199,223,603,611,1214
CHARAÑA,estado nutricional,a normal,2013-04-01,14,11,21,13,16,14,51,38,89
CHAYANTA,estado nutricional,a normal,2013-04-01,93,97,73,68,39,42,205,207,412
CHIMORE,estado nutricional,a normal,2013-04-01,104,102,89,71,114,104,307,277,584
CHIPAYA,estado nutricional,a normal,2013-04-01,20,13,17,12,17,24,54,49,103
CHOQUE COTA,estado nutricional,a normal,2013-04-01,10,9,10,6,7,2,27,17,44
CHUA COCANI,estado nutricional,a normal,2013-04-01,7,7,11,15,20,8,38,30,68
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a normal,2013-04-01,138,127,71,63,104,96,313,286,599
CHUMA,estado nutricional,a normal,2013-04-01,52,56,62,56,45,56,159,168,327
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a normal,2013-04-01,65,38,59,46,48,50,172,134,306
CKOCHAS,estado nutricional,a normal,2013-04-01,141,122,119,103,87,81,347,306,653
CLIZA,estado nutricional,a normal,2013-04-01,245,174,106,126,148,116,499,416,915
COBIJA,estado nutricional,a normal,2013-04-01,536,512,326,336,285,316,1147,1164,2311
COCAPATA,estado nutricional,a normal,2013-04-01,144,135,150,162,141,130,435,427,862
COCHABAMBA,estado nutricional,a normal,2013-04-01,3384,2968,2212,2034,1883,1698,7479,6700,14179
COIPASA,estado nutricional,a normal,2013-04-01,6,3,6,2,10,10,22,15,37
COLCAPIRHUA,estado nutricional,a normal,2013-04-01,395,387,262,255,252,228,909,870,1779
"COLCHA ""K""",estado nutricional,a normal,2013-04-01,135,120,103,90,105,98,343,308,651
COLLANA,estado nutricional,a normal,2013-04-01,19,17,19,12,18,24,56,53,109
COLOMI,estado nutricional,a normal,2013-04-01,219,171,144,109,125,116,488,396,884
COLPA BELGICA,estado nutricional,a normal,2013-04-01,4,7,1,1,0,0,5,8,13
COLQUECHACA,estado nutricional,a normal,2013-04-01,263,265,182,200,80,90,525,555,1080
COLQUENCHA,estado nutricional,a normal,2013-04-01,63,65,47,56,56,54,166,175,341
COLQUIRI,estado nutricional,a normal,2013-04-01,141,130,78,73,80,79,299,282,581
COMANCHE,estado nutricional,a normal,2013-04-01,30,17,27,22,15,11,72,50,122
COMARAPA,estado nutricional,a normal,2013-04-01,129,118,92,85,76,70,297,273,570
COMBAYA,estado nutricional,a normal,2013-04-01,17,15,18,16,14,11,49,42,91
CONCEPCION,estado nutricional,a normal,2013-04-01,134,134,65,77,66,73,265,284,549
COPACABANA,estado nutricional,a normal,2013-04-01,62,74,72,57,62,74,196,205,401
CORIPATA,estado nutricional,a normal,2013-04-01,173,122,127,98,105,126,405,346,751
CORO CORO,estado nutricional,a normal,2013-04-01,66,55,51,53,56,59,173,167,340
COROICO,estado nutricional,a normal,2013-04-01,116,116,73,86,101,111,290,313,603
CORQUE,estado nutricional,a normal,2013-04-01,41,49,39,35,52,31,132,115,247
COTAGAITA,estado nutricional,a normal,2013-04-01,149,142,117,117,139,154,405,413,818
COTOCA,estado nutricional,a normal,2013-04-01,389,349,222,189,176,182,787,720,1507
CRUZ DE MACHACAMARCA,estado nutricional,a normal,2013-04-01,1,1,0,3,7,4,8,8,16
CUATRO CAÑADAS,estado nutricional,a normal,2013-04-01,157,175,131,112,208,192,496,479,975
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a normal,2013-04-01,5,8,8,7,11,6,24,21,45
CUEVO,estado nutricional,a normal,2013-04-01,23,31,23,45,56,34,102,110,212
CULPINA,estado nutricional,a normal,2013-04-01,174,174,117,122,171,191,462,487,949
CURAHUARA DE CARANGAS,estado nutricional,a normal,2013-04-01,40,54,38,20,44,32,122,106,228
CURVA,estado nutricional,a normal,2013-04-01,20,26,15,21,20,9,55,56,111
DESAGUADERO,estado nutricional,a normal,2013-04-01,26,40,25,26,21,22,72,88,160
EL ALTO,estado nutricional,a normal,2013-04-01,5476,5284,4108,3979,3872,3760,13456,13023,26479
EL CHORO,estado nutricional,a normal,2013-04-01,66,50,47,63,53,63,166,176,342
EL PUENTE(STC),estado nutricional,a normal,2013-04-01,95,86,67,81,82,80,244,247,491
EL PUENTE(TJA),estado nutricional,a normal,2013-04-01,105,94,85,70,99,97,289,261,550
EL TORNO,estado nutricional,a normal,2013-04-01,359,343,228,228,242,216,829,787,1616
EL VILLAR,estado nutricional,a normal,2013-04-01,33,28,31,28,56,59,120,115,235
ENTRE RIOS TRJ,estado nutricional,a normal,2013-04-01,194,211,178,184,172,178,544,573,1117
ENTRE RIOS CBBA,estado nutricional,a normal,2013-04-01,352,333,306,294,288,246,946,873,1819
ESCARA,estado nutricional,a normal,2013-04-01,2,1,1,0,1,4,4,5,9
ESCOMA,estado nutricional,a normal,2013-04-01,23,28,27,22,27,26,77,76,153
ESMERALDA,estado nutricional,a normal,2013-04-01,1,5,2,3,2,2,5,10,15
EUCALIPTUS,estado nutricional,a normal,2013-04-01,78,64,56,39,60,54,194,157,351
EUREKA (SANTOS MERCADO),estado nutricional,a normal,2013-04-01,19,22,24,10,14,13,57,45,102
EXALTACION,estado nutricional,a normal,2013-04-01,16,10,7,17,12,8,35,35,70
FERNANDEZ ALONSO,estado nutricional,a normal,2013-04-01,123,101,82,97,136,119,341,317,658
FILADELFIA,estado nutricional,a normal,2013-04-01,58,61,60,59,50,37,168,157,325
GENERAL SAAVEDRA,estado nutricional,a normal,2013-04-01,116,110,91,109,90,99,297,318,615
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a normal,2013-04-01,87,81,53,43,70,63,210,187,397
GUANAY,estado nutricional,a normal,2013-04-01,103,117,109,109,116,123,328,349,677
GUAQUI,estado nutricional,a normal,2013-04-01,38,53,50,38,44,51,132,142,274
GUAYARAMERIN,estado nutricional,a normal,2013-04-01,580,496,362,356,337,299,1279,1151,2430
GUTIERREZ,estado nutricional,a normal,2013-04-01,162,157,131,145,162,182,455,484,939
HUACARETA,estado nutricional,a normal,2013-04-01,66,89,83,70,140,148,289,307,596
HUACAYA (VILLA DE HUACAYA),estado nutricional,a normal,2013-04-01,26,43,17,18,51,42,94,103,197
HUACHACALLA,estado nutricional,a normal,2013-04-01,4,8,6,4,15,8,25,20,45
HUANUNI,estado nutricional,a normal,2013-04-01,209,207,124,153,163,160,496,520,1016
HUARACAJE,estado nutricional,a normal,2013-04-01,31,47,35,29,25,30,91,106,197
HUARINA,estado nutricional,a normal,2013-04-01,27,50,30,33,30,40,87,123,210
HUATAJATA,estado nutricional,a normal,2013-04-01,24,20,14,29,34,32,72,81,153
HUAYLLAMARCA,estado nutricional,a normal,2013-04-01,32,30,31,19,53,43,116,92,208
HUMANATA,estado nutricional,a normal,2013-04-01,26,30,25,27,50,45,101,102,203
ICHOCA,estado nutricional,a normal,2013-04-01,20,19,20,13,23,16,63,48,111
ICLA,estado nutricional,a normal,2013-04-01,64,58,40,56,95,127,199,241,440
INCAHUASI,estado nutricional,a normal,2013-04-01,112,87,73,78,139,141,324,306,630
INGAVI (HUMAITA),estado nutricional,a normal,2013-04-01,17,17,10,5,10,13,37,35,72
INQUISIVI,estado nutricional,a normal,2013-04-01,75,64,59,66,53,68,187,198,385
IRUPANA (VILLA DE LANZA),estado nutricional,a normal,2013-04-01,89,86,72,77,133,125,294,288,582
IXIAMAS,estado nutricional,a normal,2013-04-01,65,54,69,67,56,71,190,192,382
JESUS DE MACHACA,estado nutricional,a normal,2013-04-01,73,99,56,83,91,82,220,264,484
LA ASUNTA,estado nutricional,a normal,2013-04-01,416,321,389,332,351,317,1156,970,2126
LA GUARDIA,estado nutricional,a normal,2013-04-01,666,623,282,313,264,276,1212,1212,2424
LA PAZ,estado nutricional,a normal,2013-04-01,4895,4680,3499,3277,4975,4807,13369,12764,26133
LA RIVERA,estado nutricional,a normal,2013-04-01,1,2,4,3,0,2,5,7,12
LAGUNILLAS,estado nutricional,a normal,2013-04-01,56,66,54,62,127,104,237,232,469
LAJA,estado nutricional,a normal,2013-04-01,105,101,69,66,68,64,242,231,473
LAS CARRERAS,estado nutricional,a normal,2013-04-01,29,22,25,36,64,43,118,101,219
LICOMA PAMPA,estado nutricional,a normal,2013-04-01,28,34,23,18,28,30,79,82,161
LLALLAGUA,estado nutricional,a normal,2013-04-01,308,263,212,197,127,166,647,626,1273
LLICA,estado nutricional,a normal,2013-04-01,29,30,18,23,10,19,57,72,129
LORETO,estado nutricional,a normal,2013-04-01,16,17,15,28,39,38,70,83,153
LURIBAY,estado nutricional,a normal,2013-04-01,57,50,60,62,61,58,178,170,348
MACHACAMARCA,estado nutricional,a normal,2013-04-01,58,39,28,37,51,61,137,137,274
MACHARETI,estado nutricional,a normal,2013-04-01,64,67,60,59,162,116,286,242,528
MAGDALENA,estado nutricional,a normal,2013-04-01,106,102,58,78,59,78,223,258,481
MAIRANA,estado nutricional,a normal,2013-04-01,94,74,65,68,49,51,208,193,401
MALLA,estado nutricional,a normal,2013-04-01,14,11,10,7,14,14,38,32,70
MAPIRI,estado nutricional,a normal,2013-04-01,109,157,118,109,96,104,323,370,693
MECAPACA,estado nutricional,a normal,2013-04-01,96,91,91,85,79,80,266,256,522
MINEROS,estado nutricional,a normal,2013-04-01,214,205,136,142,136,123,486,470,956
MIZQUE,estado nutricional,a normal,2013-04-01,329,305,307,285,274,261,910,851,1761
MOCOMOCO,estado nutricional,a normal,2013-04-01,95,102,94,68,78,76,267,246,513
MOJINETE,estado nutricional,a normal,2013-04-01,2,5,1,3,4,1,7,9,16
MOJOCOYA,estado nutricional,a normal,2013-04-01,55,46,58,53,95,106,208,205,413
MONTEAGUDO,estado nutricional,a normal,2013-04-01,224,218,221,190,249,283,694,691,1385
MONTERO,estado nutricional,a normal,2013-04-01,1106,1100,737,817,666,663,2509,2580,5089
MORO MORO,estado nutricional,a normal,2013-04-01,25,20,18,17,16,19,59,56,115
MOROCHATA,estado nutricional,a normal,2013-04-01,77,88,65,79,113,113,255,280,535
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a normal,2013-04-01,19,17,15,7,23,7,57,31,88
NAZACARA DE PACAJES,estado nutricional,a normal,2013-04-01,2,2,5,4,5,4,12,10,22
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a normal,2013-04-01,20,20,14,23,49,34,83,77,160
OCURI,estado nutricional,a normal,2013-04-01,132,125,88,92,89,76,309,293,602
OKINAWA,estado nutricional,a normal,2013-04-01,127,117,72,1823,95,71,294,2011,2305
OMEREQUE,estado nutricional,a normal,2013-04-01,83,57,88,58,95,72,266,187,453
ORURO,estado nutricional,a normal,2013-04-01,2031,1966,1486,1532,1110,1134,4627,4632,9259
PADCAYA,estado nutricional,a normal,2013-04-01,150,134,131,145,181,169,462,448,910
PADILLA,estado nutricional,a normal,2013-04-01,64,98,67,79,156,183,287,360,647
PAILON,estado nutricional,a normal,2013-04-01,265,224,143,114,181,159,589,497,1086
PALCA,estado nutricional,a normal,2013-04-01,123,108,122,95,88,77,333,280,613
PALOS BLANCOS,estado nutricional,a normal,2013-04-01,270,271,229,234,246,247,745,752,1497
PAMPA AULLAGAS,estado nutricional,a normal,2013-04-01,22,16,9,12,20,15,51,43,94
PAMPA GRANDE,estado nutricional,a normal,2013-04-01,71,73,49,56,40,36,160,165,325
PAPEL PAMPA,estado nutricional,a normal,2013-04-01,37,48,52,32,42,27,131,107,238
PASORAPA,estado nutricional,a normal,2013-04-01,30,23,22,19,42,37,94,79,173
PATACAMAYA,estado nutricional,a normal,2013-04-01,177,143,122,112,106,92,405,347,752
PAZÑA,estado nutricional,a normal,2013-04-01,58,58,63,39,102,80,223,177,400
PELECHUCO,estado nutricional,a normal,2013-04-01,62,54,48,37,44,65,154,156,310
POCOATA,estado nutricional,a normal,2013-04-01,153,140,122,136,97,123,372,399,771
POCONA,estado nutricional,a normal,2013-04-01,124,110,119,93,138,137,381,340,721
POJO (CBBA),estado nutricional,a normal,2013-04-01,129,122,136,111,130,158,395,391,786
POOPO,estado nutricional,a normal,2013-04-01,78,55,37,47,38,50,153,152,305
PORCO,estado nutricional,a normal,2013-04-01,116,104,56,71,66,53,238,228,466
POROMA,estado nutricional,a normal,2013-04-01,128,137,98,100,165,163,391,400,791
PORONGO,estado nutricional,a normal,2013-04-01,73,62,54,61,59,71,186,194,380
PORTACHUELO,estado nutricional,a normal,2013-04-01,50,47,24,19,16,20,90,86,176
PORVENIR,estado nutricional,a normal,2013-04-01,40,46,56,64,70,63,166,173,339
POSTRER VALLE,estado nutricional,a normal,2013-04-01,12,8,15,15,20,12,47,35,82
POTOSI,estado nutricional,a normal,2013-04-01,1368,1329,691,770,624,620,2683,2719,5402
PRESTO,estado nutricional,a normal,2013-04-01,69,75,43,43,64,75,176,193,369
PUCARA,estado nutricional,a normal,2013-04-01,15,2,8,9,9,14,32,25,57
PUCARANI,estado nutricional,a normal,2013-04-01,211,210,177,169,124,119,512,498,1010
PUERTO ACOSTA,estado nutricional,a normal,2013-04-01,57,61,45,50,33,38,135,149,284
PUERTO CARABUCO,estado nutricional,a normal,2013-04-01,81,83,87,80,92,100,260,263,523
PUERTO GONZALO MORENO,estado nutricional,a normal,2013-04-01,74,96,93,87,129,116,296,299,595
PUERTO PEREZ,estado nutricional,a normal,2013-04-01,29,40,43,33,47,40,119,113,232
PUERTO QUIJARRO,estado nutricional,a normal,2013-04-01,149,139,90,90,76,62,315,291,606
PUERTO RICO,estado nutricional,a normal,2013-04-01,64,50,54,42,14,23,132,115,247
PUERTO SILES,estado nutricional,a normal,2013-04-01,9,5,6,15,13,11,28,31,59
PUERTO SUAREZ,estado nutricional,a normal,2013-04-01,110,129,70,72,65,54,245,255,500
PUERTO VILLARROEL,estado nutricional,a normal,2013-04-01,681,589,540,413,436,419,1657,1421,3078
PUNA,estado nutricional,a normal,2013-04-01,182,167,142,160,131,159,455,486,941
PUNATA,estado nutricional,a normal,2013-04-01,383,281,176,161,171,235,730,677,1407
QUIABAYA,estado nutricional,a normal,2013-04-01,16,18,10,9,36,22,62,49,111
QUILLACOLLO,estado nutricional,a normal,2013-04-01,1119,1040,924,778,769,733,2812,2551,5363
QUIME,estado nutricional,a normal,2013-04-01,102,90,70,58,77,62,249,210,459
QUIRUSILLAS,estado nutricional,a normal,2013-04-01,9,11,9,7,14,16,32,34,66
RAVELO,estado nutricional,a normal,2013-04-01,107,98,67,79,113,134,287,311,598
REYES,estado nutricional,a normal,2013-04-01,107,126,88,87,73,85,268,298,566
RIBERALTA,estado nutricional,a normal,2013-04-01,1098,1066,794,802,602,558,2494,2426,4920
ROBORE,estado nutricional,a normal,2013-04-01,98,104,111,86,51,55,260,245,505
RURRENABAQUE,estado nutricional,a normal,2013-04-01,101,111,76,83,69,54,246,248,494
SABAYA,estado nutricional,a normal,2013-04-01,28,29,19,17,32,33,79,79,158
SACABA,estado nutricional,a normal,2013-04-01,1298,1199,925,917,859,860,3082,2976,6058
SACABAMBA,estado nutricional,a normal,2013-04-01,43,20,36,26,23,42,102,88,190
SACACA,estado nutricional,a normal,2013-04-01,174,166,98,114,124,141,396,421,817
SAIPINA,estado nutricional,a normal,2013-04-01,53,41,43,48,56,50,152,139,291
SALINAS DE GARCI MENDOZA,estado nutricional,a normal,2013-04-01,113,88,73,72,109,128,295,288,583
SAMAIPATA,estado nutricional,a normal,2013-04-01,69,71,59,67,73,46,201,184,385
SAN AGUSTIN,estado nutricional,a normal,2013-04-01,10,9,12,7,5,8,27,24,51
SAN ANDRES,estado nutricional,a normal,2013-04-01,81,99,98,92,107,123,286,314,600
SAN ANDRES DE MACHACA,estado nutricional,a normal,2013-04-01,25,17,13,22,13,13,51,52,103
SAN ANTONIO DE ESMORUCO,estado nutricional,a normal,2013-04-01,11,13,3,9,9,7,23,29,52
SAN ANTONIO DE LOMERIO,estado nutricional,a normal,2013-04-01,58,57,65,62,121,87,244,206,450
SAN BENITO,estado nutricional,a normal,2013-04-01,83,125,111,79,169,119,363,323,686
SAN BORJA,estado nutricional,a normal,2013-04-01,401,411,306,271,314,291,1021,973,1994
SAN BUENA VENTURA,estado nutricional,a normal,2013-04-01,78,82,69,61,91,67,238,210,448
SAN CARLOS,estado nutricional,a normal,2013-04-01,201,245,184,175,208,155,593,575,1168
SAN IGNACIO,estado nutricional,a normal,2013-04-01,207,213,208,185,280,234,695,632,1327
SAN IGNACIO DE VELASCO,estado nutricional,a normal,2013-04-01,652,623,440,459,500,477,1592,1559,3151
SAN JAVIER(BNI),estado nutricional,a normal,2013-04-01,18,12,24,15,24,24,66,51,117
SAN JAVIER(STC),estado nutricional,a normal,2013-04-01,147,138,62,70,89,101,298,309,607
SAN JOAQUIN,estado nutricional,a normal,2013-04-01,60,53,40,35,39,34,139,122,261
SAN JOSE DE CHIQUITOS,estado nutricional,a normal,2013-04-01,132,145,93,96,111,121,336,362,698
SAN JUAN DE YAPACANI,estado nutricional,a normal,2013-04-01,89,52,53,42,42,35,184,129,313
SAN JULIAN,estado nutricional,a normal,2013-04-01,407,344,343,322,291,273,1041,939,1980
SAN LORENZO(PND),estado nutricional,a normal,2013-04-01,39,60,34,34,42,38,115,132,247
SAN LORENZO(TJA),estado nutricional,a normal,2013-04-01,249,220,143,182,209,186,601,588,1189
SAN LUCAS,estado nutricional,a normal,2013-04-01,186,166,105,108,229,247,520,521,1041
SAN MATIAS,estado nutricional,a normal,2013-04-01,98,73,72,41,77,81,247,195,442
SAN MIGUEL DE VELASCO,estado nutricional,a normal,2013-04-01,130,152,115,111,159,162,404,425,829
SAN PABLO DE LIPEZ,estado nutricional,a normal,2013-04-01,19,22,12,16,12,19,43,57,100
SAN PEDRO,estado nutricional,a normal,2013-04-01,127,135,132,112,152,114,411,361,772
SAN PEDRO DE BUENA VISTA,estado nutricional,a normal,2013-04-01,189,209,157,187,146,166,492,562,1054
SAN PEDRO DE CURAHUARA,estado nutricional,a normal,2013-04-01,39,23,31,25,33,20,103,68,171
SAN PEDRO DE QUEMES,estado nutricional,a normal,2013-04-01,6,5,0,0,0,2,6,7,13
SAN PEDRO DE TIQUINA,estado nutricional,a normal,2013-04-01,29,19,27,22,40,50,96,91,187
SAN PEDRO(PND),estado nutricional,a normal,2013-04-01,11,15,14,9,33,20,58,44,102
SAN RAFAEL,estado nutricional,a normal,2013-04-01,78,52,51,35,51,49,180,136,316
SAN RAMON BENI,estado nutricional,a normal,2013-04-01,39,27,17,12,19,26,75,65,140
SAN RAMON SCZ,estado nutricional,a normal,2013-04-01,58,43,29,18,55,45,142,106,248
SANTA ANA,estado nutricional,a normal,2013-04-01,194,173,126,108,78,81,398,362,760
SANTA CRUZ DE LA SIERRA,estado nutricional,a normal,2013-04-01,8257,7583,4398,4193,3839,3581,16494,15357,31851
SANTA ROSA,estado nutricional,a normal,2013-04-01,95,101,77,89,35,77,207,267,474
SANTA ROSA DEL SARA,estado nutricional,a normal,2013-04-01,140,131,120,104,84,103,344,338,682
SANTIAGO DE CALLAPA,estado nutricional,a normal,2013-04-01,28,17,17,22,6,13,51,52,103
SANTIAGO DE HUARI,estado nutricional,a normal,2013-04-01,83,98,82,83,128,107,293,288,581
SANTIAGO DE HUATA,estado nutricional,a normal,2013-04-01,38,33,45,33,42,30,125,96,221
SANTIAGO DE MACHACA,estado nutricional,a normal,2013-04-01,23,42,18,20,12,30,53,92,145
SANTIVAÑES,estado nutricional,a normal,2013-04-01,65,59,56,34,63,62,184,155,339
SANTUARIO DE QUILLACAS,estado nutricional,a normal,2013-04-01,21,30,20,22,24,16,65,68,133
SAPAHAQUI,estado nutricional,a normal,2013-04-01,54,58,45,36,68,57,167,151,318
SENA,estado nutricional,a normal,2013-04-01,48,44,31,25,34,26,113,95,208
SHINAOTA,estado nutricional,a normal,2013-04-01,449,376,303,264,427,363,1179,1003,2182
SICA SICA (VILLA AROMA),estado nutricional,a normal,2013-04-01,157,155,169,167,179,212,505,534,1039
SICAYA,estado nutricional,a normal,2013-04-01,31,27,22,35,33,29,86,91,177
SIPE SIPE,estado nutricional,a normal,2013-04-01,528,501,365,335,368,324,1261,1160,2421
SOPACHUY,estado nutricional,a normal,2013-04-01,51,54,52,52,98,104,201,210,411
SORACACHI,estado nutricional,a normal,2013-04-01,102,97,89,91,112,115,303,303,606
SORATA,estado nutricional,a normal,2013-04-01,108,82,95,83,88,79,291,244,535
SUCRE,estado nutricional,a normal,2013-04-01,2808,2754,2334,2388,2722,2663,7864,7805,15669
TACACHI,estado nutricional,a normal,2013-04-01,9,12,1,12,10,6,20,30,50
TACACOMA,estado nutricional,a normal,2013-04-01,53,56,25,37,40,31,118,124,242
TACOBAMBA,estado nutricional,a normal,2013-04-01,75,85,42,52,49,44,166,181,347
TACOPAYA,estado nutricional,a normal,2013-04-01,74,65,54,67,157,159,285,291,576
TAHUA,estado nutricional,a normal,2013-04-01,7,4,2,2,5,9,14,15,29
TAPACARI,estado nutricional,a normal,2013-04-01,192,178,138,158,173,184,503,520,1023
TARABUCO,estado nutricional,a normal,2013-04-01,122,109,101,105,161,142,384,356,740
TARACO,estado nutricional,a normal,2013-04-01,33,21,29,25,39,35,101,81,182
TARATA,estado nutricional,a normal,2013-04-01,101,87,76,89,57,78,234,254,488
TARIJA,estado nutricional,a normal,2013-04-01,1787,1826,1305,1176,1301,1177,4393,4179,8572
TARVITA,estado nutricional,a normal,2013-04-01,112,92,91,97,170,142,373,331,704
TEOPONTE,estado nutricional,a normal,2013-04-01,113,129,120,95,168,115,401,339,740
TIAWANACU,estado nutricional,a normal,2013-04-01,102,112,92,77,79,92,273,281,554
TINGUIPAYA,estado nutricional,a normal,2013-04-01,155,143,111,96,138,129,404,368,772
TIPUANI,estado nutricional,a normal,2013-04-01,146,104,100,75,111,79,357,258,615
TIQUIPAYA,estado nutricional,a normal,2013-04-01,602,560,397,382,479,421,1478,1363,2841
TIRAQUE (CBBA),estado nutricional,a normal,2013-04-01,155,126,135,109,105,113,395,348,743
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a normal,2013-04-01,4,4,3,2,8,4,15,10,25
TOCO,estado nutricional,a normal,2013-04-01,57,34,33,37,37,47,127,118,245
TODOS SANTOS,estado nutricional,a normal,2013-04-01,1,1,2,5,1,0,4,6,10
TOLATA,estado nutricional,a normal,2013-04-01,40,26,40,33,48,64,128,123,251
TOLEDO,estado nutricional,a normal,2013-04-01,42,40,38,37,33,37,113,114,227
TOMAVE,estado nutricional,a normal,2013-04-01,91,98,55,48,61,47,207,193,400
TOMINA,estado nutricional,a normal,2013-04-01,59,73,67,63,124,132,250,268,518
TORO TORO,estado nutricional,a normal,2013-04-01,97,77,75,94,91,94,263,265,528
TOTORA(CBBA),estado nutricional,a normal,2013-04-01,194,179,158,141,102,89,454,409,863
TOTORA(ORR),estado nutricional,a normal,2013-04-01,45,36,40,33,31,49,116,118,234
TRIGAL,estado nutricional,a normal,2013-04-01,4,9,7,8,21,13,32,30,62
TRINIDAD,estado nutricional,a normal,2013-04-01,877,733,490,442,398,403,1765,1578,3343
TUPIZA,estado nutricional,a normal,2013-04-01,372,397,320,334,406,394,1098,1125,2223
TURCO,estado nutricional,a normal,2013-04-01,20,52,37,31,34,29,91,112,203
UMALA,estado nutricional,a normal,2013-04-01,55,45,36,49,54,49,145,143,288
UNCIA,estado nutricional,a normal,2013-04-01,183,164,108,140,106,92,397,396,793
URIONDO (A. CONCEPCION),estado nutricional,a normal,2013-04-01,161,151,134,132,194,188,489,471,960
URUBICHA,estado nutricional,a normal,2013-04-01,71,59,75,69,138,130,284,258,542
UYUNI,estado nutricional,a normal,2013-04-01,215,191,147,155,83,77,445,423,868
VACAS,estado nutricional,a normal,2013-04-01,79,70,66,62,62,68,207,200,407
VALLEGRANDE,estado nutricional,a normal,2013-04-01,103,125,121,96,81,83,305,304,609
VIACHA,estado nutricional,a normal,2013-04-01,483,443,335,335,340,301,1158,1079,2237
VILA VILA,estado nutricional,a normal,2013-04-01,43,46,16,41,41,56,100,143,243
VILLA CHARCAS,estado nutricional,a normal,2013-04-01,151,139,91,102,122,139,364,380,744
