,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
ALCALA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,0,0,2
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,8,0,1,14
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,10,5,3,21
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,1,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,1,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,3,0,2,9
APOLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,14,13,1,2,30
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,1,1,2
ARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,13,6,5,2,26
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,12,9,3,4,28
ARQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,1,4,0,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,30,33,3,4,70
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,17,6,3,3,29
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,4,0,1,7
AYATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,0,3,4,10
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,4,1,1,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,14,5,13,5,37
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,8,4,2,18
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,9,7,5,26
BAURES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,3,1,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,2,4,2,9
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,21,21,4,2,48
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,15,18,5,8,46
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,4,1,5,12
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,9,0,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,9,5,2,22
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,18,14,8,11,51
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,6,1,3,20
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,7,0,0,9
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,10,1,0,15
CALACOTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,0,1,1
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,9,7,0,1,17
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,15,7,2,3,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,2,0,0,5
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,32,34,4,5,75
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,20,21,3,3,47
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,4,1,5,14
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,9,11,5,29
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,26,23,6,2,57
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,14,13,3,3,33
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,7,3,2,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,3,2,2,12
CATACORA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,20,20,13,18,71
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,3,1,1,8
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,13,10,24,29,76
CHARAÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,0,1,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,9,4,7,27
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,14,19,1,2,36
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,0,0,0,3
CHOQUE COTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,1,1,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,19,14,2,2,37
CHUMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,5,6,0,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,4,2,2,14
CKOCHAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,5,1,6,17
CLIZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,14,12,0,1,27
COBIJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,49,62,7,4,122
COCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,9,4,4,6,23
COCHABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,606,576,5,5,1192
COIPASA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,1,1,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,40,42,4,2,88
"COLCHA ""K""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,8,1,2,18
COLLANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,1,0,0,2
COLOMI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,20,8,3,3,34
COLPA BELGICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,2,2,1,15
COLQUECHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,15,13,9,7,44
COLQUENCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,7,0,0,12
COLQUIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,7,8,10,29
COMANCHE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,1,1,0,5
COMARAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,20,17,0,2,39
COMBAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,0,0,2
CONCEPCION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,19,22,5,4,50
COPACABANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,4,7,4,22
CORIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,13,8,1,0,22
CORO CORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,2,1,3,8
COROICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,16,6,3,5,30
CORQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,1,1,4,11
COTAGAITA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,14,10,12,4,40
COTOCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,54,47,7,12,120
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,20,10,0,2,32
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,1,2,1,5
CUEVO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,5,1,2,11
CULPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,8,11,2,7,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,3,0,2,7
CURVA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,0,1,1,3
DESAGUADERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,0,0,3,8
EL ALTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,563,586,146,151,1446
EL CHORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,0,0,0,1
EL PUENTE(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,13,14,4,4,35
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,6,1,4,17
EL TORNO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,37,40,2,4,83
EL VILLAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,3,0,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,15,10,8,6,39
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,37,26,2,0,65
ESCARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,1,0,2,6
EUCALIPTUS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,3,1,0,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,0,0,2
EXALTACION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,3,0,0,7
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,12,10,2,1,25
FILADELFIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,8,0,0,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,11,10,0,0,21
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,8,4,0,16
GUANAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,5,6,3,21
GUAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,1,4,4,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,38,38,2,2,80
GUTIERREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,5,5,10,25
HUACARETA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,9,8,1,2,20
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,2,1,3
HUANUNI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,22,15,3,4,44
HUARACAJE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,2,1,0,6
HUARINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,0,3,2,8
HUATAJATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,1,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,0,2,1,7
HUMANATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,2,0,0,2
ICHOCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,1,2,5
ICLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,1,2,1,5
INCAHUASI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,7,6,4,23
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,2,0,0,4
INQUISIVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,5,7,2,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,7,7,6,24
IXIAMAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,8,2,2,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,4,1,0,12
LA ASUNTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,37,33,3,10,83
LA GUARDIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,81,84,8,6,179
LA PAZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,633,591,4,6,1234
LAGUNILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,3,2,1,11
LAJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,7,3,1,21
LAS CARRERAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,4,0,0,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,3,0,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,16,17,23,26,82
LLICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,2,1,1,5
LORETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,4,3,9
LURIBAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,3,1,1,9
MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,0,1,0,4
MACHARETI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,1,3,3,10
MAGDALENA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,10,1,0,21
MAIRANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,11,13,0,0,24
MALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,1,1,0,2
MAPIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,12,14,3,2,31
MECAPACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,6,2,4,17
MINEROS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,19,22,6,4,51
MIZQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,24,10,13,7,54
MOCOMOCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,8,6,3,20
MOJOCOYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,3,3,4,12
MONTEAGUDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,15,19,2,2,38
MONTERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,88,99,4,1,192
MORO MORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,1,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,1,7,1,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,3,1,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,2,0,0,5
OCURI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,9,7,5,24
OKINAWA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,11,9,2,2,24
OMEREQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,3,7,3,15
ORURO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,238,272,46,41,597
PADCAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,12,4,0,26
PADILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,6,3,2,16
PAILON,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,29,21,5,8,63
PALCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,17,5,4,6,32
PALOS BLANCOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,18,15,2,3,38
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,0,2,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,5,2,4,21
PAPEL PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,2,0,0,3
PASORAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,0,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,10,5,4,29
PAZÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,1,0,0,3
PELECHUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,5,1,4,17
POCOATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,8,5,5,14,32
POCONA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,4,3,7,18
POJO (CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,5,0,4,15
POOPO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,3,1,0,7
PORCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,8,7,4,1,20
POROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,5,8,8,26
PORONGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,8,1,4,23
PORTACHUELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,26,16,3,1,46
PORVENIR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,5,0,2,8
POSTRER VALLE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,185,198,13,15,411
PRESTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,1,3,1,8
PUCARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,0,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,16,18,7,5,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,3,2,6,14
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,7,8,3,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,12,0,0,22
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,2,5,6,13
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,11,15,0,0,26
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,8,10,2,2,22
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,17,7,1,1,26
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,44,42,1,4,91
PUNA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,7,9,7,29
PUNATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,31,26,2,1,60
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,2,1,0,3
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,112,121,69,93,395
QUIME,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,7,0,0,13
QUIRUSILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,1,0,0,3
RAVELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,7,4,8,21
REYES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,10,13,7,37
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,114,82,12,10,218
ROBORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,15,8,0,0,23
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,21,12,0,2,35
SABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,4,1,5
SACABA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,106,108,5,7,226
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,1,2,0,5
SACACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,15,11,4,11,41
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,3,2,2,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,3,2,4,12
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,9,3,1,0,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,2,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,3,1,0,7
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1,4,0,2,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,3,5,0,2,10
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,11,4,4,24
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,30,33,6,11,80
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,14,7,4,30
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,16,16,2,2,36
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,12,14,2,0,28
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,43,60,6,8,117
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,6,6,8,25
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,9,10,0,1,20
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,7,0,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,18,9,33,18,78
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,3,6,3,14
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,36,34,5,7,82
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,6,6,10,24
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,12,11,1,1,25
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,12,16,7,19,54
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,13,18,1,2,34
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,7,6,2,1,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,5,3,1,0,9
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,9,11,3,0,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,14,21,10,8,53
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,5,1,0,10
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,1,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,2,1,1,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,1,0,3
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,7,0,0,9
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,4,7,1,2,14
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,11,6,0,0,17
SANTA ANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,19,14,1,4,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,1273,1216,31,26,2546
SANTA ROSA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,10,8,0,1,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,12,11,4,4,31
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,1,2,3,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,0,7,4,13
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,2,4,1,1,8
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,1,0,0,1
SANTIVAÑES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,7,0,0,13
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,0,0,3,3,6
SAPAHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2016-04-01,6,2,3,1,12
