,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,3,0,2,5
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,1,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,1,2,1,5
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,2,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,1,3,5
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,38,39,29,28,134
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,5,0,0,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,2,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,3,3,0,0,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,0,2,0,4
CUEVO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,54,52,11,12,129
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,3,3,4,11
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,1,2
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,2,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,0,0,0,2
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,1,0,1,4
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,5,5
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,1,0,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,6,4,2,1,13
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,39,38,5,7,89
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,0,2,1,5
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,1,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,8,5,0,0,13
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,1,0,0,3
ORURO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,17,22,0,0,39
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
PADILLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,1,3,4,9
PALCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,1,1,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,1,2
PORCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,4,4,0,0,8
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,3,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,4,12,4,6,26
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,0,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,2,2
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,1,0,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,1,1,0,4
PUNA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,7,6,7,11,31
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,8,8
REYES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,4,2,3,3,12
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,3,4
SACABA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,4,3,0,0,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,3,0,1,6
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,2,0,1,5
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,1,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,1,2,0,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,4,3,0,1,8
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,2,0,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,2,1,1,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,172,123,14,14,323
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,1,0,1,3
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,2,2,5
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,5,8,0,0,13
TARATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,1,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,7,2,1,12
TARVITA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,0,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,0,0,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,4,0,3,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,2,0,2
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,0,0,1,3
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,3,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,12,6,0,1,19
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,3,0,0,4
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,4,0,0,4
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,3,1,0,0,4
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,2,3
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,4,1,5,3,13
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,1,1,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,3,7,3,3,16
WARNES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,10,8,0,1,19
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,2,4,1,2,9
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-03-01,0,1,2,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,1,0,2
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,2,0,0,2
APOLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,1,1,3
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,2,3,5
ARANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,10,9,2,0,21
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,0,1
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,3,0,1,4
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,0,0,2
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,3,4,0,0,7
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,2,0,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,3,1,1,1,6
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,1,2,4
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,2,6,2,10
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,2,8,5,16
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,4,3,7
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,4,7,0,1,12
CHOQUE COTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,2,2
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,2,0,0,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,5,3,10
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,52,53,15,20,140
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,3,4,3,2,12
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,1,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,2,0,2
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,2,1,2,5,10
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,2,0,0,3
COROICO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,3,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,9,1,19,18,47
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,1,1,3
CUEVO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,51,49,38,36,174
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,7,6,6,9,28
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,3,0,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,3,1,0,0,4
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,4,1,6
GUANAY,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,2,0,4,5,11
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,23,17,29,28,97
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,0,0,2
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,5,2,8
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,5,3,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,2,0,0,3
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,2,3
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,6,2,1,10
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,78,37,9,7,131
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,10,7,18
LORETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,4,5,0,1,10
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,1,2
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,2,2,1,6
MALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,3,0,3,7
MINEROS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,2,0,1,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,6,14,2,3,25
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,14,7,21
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,1,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,20,15,13,15,63
PAILON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,18,13,33
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,2,1,0,0,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,2,3
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,0,1
POCOATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,6,2,8
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,0,0,2
POOPO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,2,1,3
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,8,13,8,11,40
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,5,1,1,7
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,9,3,12
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,4,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,3,1,3,7
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,7,4,8,5,24
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,2,3
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,2,1,8,13,24
ROBORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,3,4,2,9
SACABA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,4,3,5,4,16
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,1,2
SACACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,3,2,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,5,3,8
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,4,1,6
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,4,9,5,6,24
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,6,6,0,0,12
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,2,1,2,5
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,9,7,9,5,30
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,3,0,0,1,4
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,5,7,8,5,25
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,3,1,1,0,5
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,21,30,52
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,1,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,216,218,127,87,648
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,1,0,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,2,3
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,1,1,3
