,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,3,2,12,4,21
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,1,0,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,2,0,1,3
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,5,7,2,1,15
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,2,2,1,6
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,3,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,1,0,2,4
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,1,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,1,0,0,2
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,2,3,5
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,14,17,1,8,40
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,1,1,3
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,4,5
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,2,1,1,1,5
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,1,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,1,4,0,0,5
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,2,0,0,0,2
VITICHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,1,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,2,1,1,2,6
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,1,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-05-01,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,2,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,4,3,0,1,8
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,23,19,7,8,57
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,1,0,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,1,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,2,0,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,4,5,0,1,10
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,5,5
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,2,1,0,3
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,7,3,2,0,12
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,3,3,1,0,7
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
PUNA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,2,1,0,1,4
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,5,1,0,0,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,3,2,0,0,5
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,12,16,2,4,34
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,1,1,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,1,1,2,5
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,2,2,1,6
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,2,0,3,1,6
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,1,1,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,1,0,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,0,0,2,4,6
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,3,0,0,0,3
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-06-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,1,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,0,1,0,3
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,1,0,1,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,13,9,0,4,26
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,1,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,8,5,4,7,24
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,0,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,3,1,0,0,4
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,3,0,0,0,3
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,4,0,0,0,4
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,3,3,1,1,8
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,0,0,0,2
PRESTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,1,2,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,1,1,0,0,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,0,1,1
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,0,0,0,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,1,0,0,3
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,2,0,0,2
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,4,0,3,2,9
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,2,0,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,16,19,5,4,44
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,1,1,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,2,1,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,1,0,1,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,1,1,0,0,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,0,0,1,3
UMALA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,0,1,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,2,3,0,0,5
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-07-01,0,0,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,1,0,1,2
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,1,2
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,2,1,0,0,3
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,23,14,0,0,37
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,2,2,5,10
COLLANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,0,1,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,1,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,7,3,8,2,20
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,2,1,0,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,2,1,0,0,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,4,5,2,0,11
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,1,0,1,3
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,1,1,4,7
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,4,2,6
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,2,0,0,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,3,3,0,2,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,1,0,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,1,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,2,0,3,3,8
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,1,0,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,1,0,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,25,16,3,2,46
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,1,1,0,2
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,3,2,6
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,0,0,2,3
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,2,1,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,2,0,0,0,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,1,1,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-08-01,0,2,0,0,2
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,1,0,0,1,2
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,1,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,2,1,2,1,6
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,1,2,1,4
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,8,11,2,1,22
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,4,2,0,0,6
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,7,10,9,8,34
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,2,2,0,0,4
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,5,5,0,0,10
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,2,1,3
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,4,4,0,0,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,1,4,2,7,14
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,6,6,1,13
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,2,1,0,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,3,1,4
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,2,0,2
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 3ra dosis,2015-09-01,0,0,0,1,1
