,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,2,2
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,1,0,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,0,0,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,5,2,5,5,17
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,4,2,5,3,14
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,3,4
SACABA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,4,5,0,0,9
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,2,0,1,3
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,0,0,1,3
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,1,3,0,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,4,3,0,1,8
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,1,0,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,2,3,5
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,2,1,1,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,196,150,21,15,382
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,2,2,5
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,20,22,10,8,60
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,2,1,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,6,2,0,10
TARVITA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,4,0,2,7
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,1,2
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
TOMINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,2,0,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,13,7,2,3,25
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,4,2,0,0,6
UYUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,0,0,0,2
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,3,10,14
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,0,2,0,3
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,4,1,1,0,6
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,1,3,0,0,4
WARNES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,7,7,0,1,15
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,2,3,1,2,8
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,0,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-03-01,0,1,2,0,3
ACACIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,1,3,8,14
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,2,2,2,6
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,1,0,2
ALCALA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,4,7,3,4,18
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,6,1,4,13
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,4,9,8,10,31
APOLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,27,23,2,1,53
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,3,5
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,9,2,12
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,9,9,2,0,20
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,4,25,17,49
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,2,3
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,20,10,18,23,71
BELEN DE URMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,0,1,3
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,7,0,0,10
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,27,27,25,16,95
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,6,5,11
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,1,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
CALACOTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,0,0,3
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,6,8,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,13,6,11,13,43
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,2,5,1,11
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,2,3,6
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,3,3,2,10
CARANGAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,5,13,18,38
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,21,20,43
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,2,3,3,10
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,9,31,29,72
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,7,6,13
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,2,0,1,3
CHOQUE COTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,5,2,2,11
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,6,6,5,5,22
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,3,0,3
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,5,12,48,56,121
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,33,30,18,19,100
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,3,2,2,8
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
COLLANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,1,2,0,5
COLOMI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,3,3,6
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,16,21,39
COMANCHE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,0,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,1,2,5,10
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,1,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,0,0,3
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,2,4
CORQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,3,2,1,9
COTOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,120,115,231,250,716
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,19,31,25,27,102
CUEVO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
CURVA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,63,58,95,103,319
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,6,1,6,9,22
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,3,0,1,5
ESMERALDA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,4,0,0,7
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,19,5,19,17,60
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,3,7,5,17
GUANAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,1,1,4,8
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,4,5
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,3,4
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,26,27,9,14,76
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,2,3,6
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,5,4,9
ICLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,21,27,21,35,104
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,7,13,21
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,4,4,13,13,34
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,0,0,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,0,1,4
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,2,3,4,11
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,97,97,9,1,204
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,3,0,1,7
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,3,2,7
LORETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,9,0,4,9,22
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,26,19,48
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,3,4
MALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,4,10,0,3,17
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,1,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,8,5,7,5,25
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,0,11,7,20
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,3,9,6,20
MONTERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,121,130,113,134,498
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,7,2,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,4,1,1,7
OCURI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,13,10,40,34,97
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,22,19,47,39,127
ORURO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,11,15,54,43,123
PAILON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,18,17,38
PALCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,0,0,2
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,2,3
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,5,7
POCOATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,21,24,45
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,0,1
POOPO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,13,7,0,0,20
PORONGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,2,3
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,3,4
POTOSI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,54,70,124,123,371
PRESTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,3,5,8
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,12,12,44,56,124
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,4,2,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,3,5
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,1,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,4,2,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,5,1,3,10
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,6,3,9,4,22
QUIME,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,4,2,0,9,15
RAVELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,2,3
REYES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,1,8,13,24
ROBORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,2,4,1,7
SABAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,2,3
SACABA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,9,6,6,4,25
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,0,1
SACACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,3,2,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,3,3,6
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,4,3,8
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,8,7,4,21
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,32,16,69,97,214
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,6,8,1,2,17
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,8,7,9,5,29
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,6,8
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,4,1,6
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,36,44,80
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,2,0,0,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,14,8,28,16,66
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,1,1,0,5
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,6,6,28,29,69
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,35,73,68,101,277
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,0,1,3,7
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,1,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,686,688,1277,1250,3901
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,4,5,10
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,5,8,13
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,5,11,17
SENA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,15,19,34
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,2,2,2,9
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,4,0,0,5
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,12,21,0,0,33
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,4,1,5
SUCRE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,112,132,23,22,289
TACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,5,7
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,0,1
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,12,14,26
TAHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,5,2,7
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,5,1,1,10
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,7,4,8,8,27
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,8,3,1,1,13
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,3,3,2,1,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,1,2,4
TOLATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,5,2,7
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,7,9,0,0,16
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,0,0,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,21,18,72,62,173
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,4,0,2,1,7
TURCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,2,2
URUBICHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,18,21,39
UYUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,2,3
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,1,2,6
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,1,0,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,1,1,2,5
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,11,10,41,29,91
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,6,2,3,0,11
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,4,3,7
