,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,1,1,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,1,2
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,2,3,1,6
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,7,8,5,6,26
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,4,8,12
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
MALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,3,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,0,1,0,3
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,8,9,17
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,5,15,15,35
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,1,6,5,13
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,3,4,12,6,25
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,2,0,0,3
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,30,36,0,4,70
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,0,1,0,3
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,8,10,2,0,20
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1
SACACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,2,0,0,4
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,0,3,5,10
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,1,1,3
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,2,0,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,6,2,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,3,2,6
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,5,6,11
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,3,0,0,0,3
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,4,5,9
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,5,8,13
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,1,0,0,3
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,61,46,29,22,158
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,0,0,1
TACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
TAHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,0,0,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,8,9,17
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,6,1,7
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,4,5,10,7,26
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,0,2,1,4
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,0,1,3,6
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,0,0,1,1,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,1,1,0,1,3
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,3,0,0,5
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,2,1,2,1,6
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-04-01,9,12,4,3,28
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,2,1,0,0,3
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,19,12,31
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,2,4
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,1,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,2,0,0,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,4,2,1,0,7
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,1,0,2
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,1,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,4,1,4,1,10
CORQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,5,4,4,6,19
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,2,2,4
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,1,1,0,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,12,13,0,2,27
LAJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,4,0,0,0,4
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,2,0,2
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,2,0,0,0,2
MALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,2,2
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,1,0,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,2,0,0,0,2
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,4,4,3,3,14
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,7,2,5,5,19
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,1
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,3,4,0,1,8
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,1
PORCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,2,0,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,7,3,2,0,12
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,2,2
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,2,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,2
SACACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,2,0,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,3,3
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,1,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,1,1,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,4,6,10
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,4,0,0,5
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,24,24,2,0,50
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,1,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,1,2,4
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,1,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,3,3,0,0,6
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,3,0,0,4
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,2,1,1,4
UMALA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,1,0,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,3,5,0,0,8
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,0,0,1,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,2,0,1,0,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,0,1,1,0,2
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-05-01,2,1,3,0,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,2,0,0,3
CAIROMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,2,0,0,0,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,5,7,0,2,14
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,3,7,0,1,11
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,8,2,1,3,14
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,4,4,10,10,28
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,2,2
MALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,2,1,2,0,5
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,4,2,3,0,9
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,21,0,1,8,30
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,1,1,1,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
PASORAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,1
POOPO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,1,3,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,2,1,0,4
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,2,0,0,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,1,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,14,11,14,10,49
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,0,1,0,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,1,2
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,4,2,2,3,11
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,2,4,6,4,16
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,2,2
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,1,2
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,3,0,0,0,3
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-06-01,1,2,0,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,4,2,1,2,9
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,2,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,3,1,0,0,4
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,2,1,3
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,5,5,0,0,10
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,3,0,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,5,4,9,5,23
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,3,1,0,1,5
LAJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,2,0,0,2,4
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,1,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,2
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,3,4,7
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,3,2,0,0,5
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,2,2,1,1,6
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,2,0,0,0,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,4,4,8
