,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,2,4,6
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,1,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,3,4,0,2,9
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,0,1
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,4,4,0,0,8
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,2,2,1,1,6
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,2,1,1,1,5
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,1,0,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,2,0,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,1,3,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,4,3,8
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,21,20,8,7,56
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,1,2,4
SORATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,1,0,1
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,6,2,1,9
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,2,0,0,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,2,1,3
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,1,1,2
UMALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,1,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,1,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,0,1,1,0,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-05-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,3,1,0,5
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,0,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,2,0,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,0,8,8
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,2,4,2,2,10
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,1,0,10,12
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,3,7,2,3,15
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,4,0,0,4
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,8,2,1,0,11
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,2,0,0,3
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,2,1,0,3
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,3,3,0,6
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,5,1,0,0,6
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,2,1,0,0,3
RAVELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,3,4,7
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,1,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,2,0,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,5,9,0,4,18
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,16,11,4,2,33
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,1,2
TARATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,2,0,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,2,1,0,4
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,0,0,1,1,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,4,2,7
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,0,0,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-06-01,1,1,0,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,7,7,0,0,14
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,0,8,5,14
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,7,1,0,0,8
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,4,8,1,2,15
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,2,0,0,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,2,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,1,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,4,0,3,6,13
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,1,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,0,0,1,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,4,0,1,6
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,2,2,2,3,9
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,1,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,2,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,0,1,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,0,1,2,4
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,1,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,18,27,2,3,50
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,2,1,3
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,0,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,0,0,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,1,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,0,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,1,1,1,3
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,1,1,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-07-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,2,0,0,3
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,0,2,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,1,0,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,16,14,0,1,31
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,4,4,1,1,10
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,1,2
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,4,9,10,2,25
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,5,0,0,6
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,0,2,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,2,2,4
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,0,2,4,7
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,3,3,0,0,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,2,0,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,2,3,1,4,10
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,1,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,2,2,1,1,6
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,1,3,5
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,26,18,1,0,45
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,0,1,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,2,0,0,0,2
TARATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,1,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,0,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,1,1,1,3
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,2,3,5
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,3,3,0,6
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,1,1,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,3,2,8,7,20
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,0,1,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,1,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,4,2,7
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,5,4,1,5,15
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,0,1,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,4,3,5,8,20
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,2,7,0,0,9
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,5,0,0,6
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,4,0,0,4
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,2,2,7,5,16
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,1,0,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,2,1,2,5
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,1,0,0,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,4,2,2,1,9
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,3,1,4
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,15,18,1,2,36
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,2,0,0,0,2
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,0,3,3
