,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,2,1,1,1,5
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,1,0,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,2,0,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,3,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,4,3,8
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,20,19,8,7,54
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,1,2,4
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,1,1,2
UMALA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,0,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,1,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,1,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,0,1,1,0,2
ZUDAÑEZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-05-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,3,1,0,5
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,2,0,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,2,5,2,2,11
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,6,9,2,3,20
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,5,1,1,0,7
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,4,2,6
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,2,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,2,0,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,3,3,0,6
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,5,1,0,0,6
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,2,0,1,0,3
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,3,4,7
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,1,0,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,2,0,0,3
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,16,12,4,2,34
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,1
TARATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,1,2,0,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,2,0,0,3
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,0,0,1,1,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,0,0,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-06-01,1,1,0,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,7,7,0,0,14
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,5,5,1,2,13
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,2,0,0,2
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,2,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,4,0,3,6,13
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,1,1,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,1,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,4,0,1,6
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,2,2,2,7
POCONA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,1,2
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,0,1,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,0,1,2,4
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,19,27,2,3,51
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,0,0,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,1,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,1,1,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-07-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,0,2,2
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,1,0,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,17,13,0,1,31
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,3,3,1,1,8
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,1,2
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,4,9,10,2,25
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,5,0,0,6
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,4,4,8
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,2,2,4
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,0,2,4,7
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,3,3,0,0,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,2,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,1,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,2,2,1,1,6
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,1,3,5
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,0,0,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,17,8,1,0,26
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,2,0,0,0,2
TARATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,1,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,0,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,1,1,1,3
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,2,3,5
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,3,2,0,5
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,1,1,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,0,1,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-08-01,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,4,2,7
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,5,4,1,5,15
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,0,1,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,4,3,5,8,20
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,1,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,1,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,2,7,0,0,9
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,3,0,0,3
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,2,2,7,5,16
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,1,0,0,1
PORVENIR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,2,1,2,5
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,1,0,0,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,1,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,3,1,4
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,13,20,1,1,35
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,2,0,0,0,2
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,0,0,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,0,3,3
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,3,0,0,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,3,2,0,0,5
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,7,10,0,0,17
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,0,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,2,0,0,0,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,2,1,0,0,3
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-09-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,0,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,1,0,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,7,8,2,0,17
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,0,1,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,3,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,11,5,7,5,28
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,1,0,0,2
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,1,1,0,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,2,0,1,4
MINEROS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,2,2,1,6
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,0,1,1,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,1,0,0,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 2da dosis,2015-10-01,0,1,0,0,1
