,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,3,20,20,52
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,26,32,26,23,107
PUNA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,2,19,11,34
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,8,3,4,23
QUIABAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,1,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,21,14,19,25,79
QUIME,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,7,3,8,23
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,16,15,30,65
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,2,5,8
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,12,13,25,57
ROBORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,0,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,6,8,6,27
SABAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,2,9,11
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,25,23,20,10,78
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,1,2
SACACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,25,21,33,45,124
SAIPINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,1,31,30,68
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,6,4,12
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,3,14,11,35
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,4,0,0,10
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,14,14,29
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,0,0,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,5,13,15,35
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,2,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,11,9,47,47,114
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,6,17,15,44
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,14,11,28,30,83
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,7,8,3,25
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,87,88,122,140,437
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,6,2,3,6,17
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,9,48,60,126
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,3,9,4,17
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,30,23,56
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,2,4,3,11
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,25,23,64,52,164
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,2,9,10,23
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,3,4,3,15
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,1,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,52,43,98
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,0,1,3
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,3,19,20,47
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,23,20,17,14,74
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,1,0,1,7
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,0,0,0,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,3,4
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,15,7,22
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,18,22,10,20,70
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,1,1,1,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,567,457,817,735,2576
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,0,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,11,6,20,21,58
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,1,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,14,16,30
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,0,1,2
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,2,0,0,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,0,0,2
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,7,4,12
SENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,0,0,2
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,15,35,20,79
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,4,4,5,21
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,18,16,9,9,52
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,0,0,2
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,6,23,18,51
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,11,10,21
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,83,94,11,14,202
TACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,0,0,2
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,1,0,3
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,3,3,8
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,3,18,8,32
TARACO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,1,0,0,3
TARATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,0,1,4
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,18,17,8,12,55
TARVITA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,0,1,2
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,7,9,23,46
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,9,2,1,16
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,6,45,37,91
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,7,16,22,52
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,19,14,19,18,70
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,2,11,9,24
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,0,1,1
TOCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,3,1,1,1,6
TODOS SANTOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,1,0,1
TOLATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,0,2,2
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,15,8,24
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,6,17,17,47
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,7,10,18,11,46
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,1,1,1,5
TOTORA(ORR),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,1,3,2,8
TRIGAL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,0,0,2
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,26,28,114,128,296
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,29,30,40,32,131
TURCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,5,2,7
UMALA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,10,10,11,13,44
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,9,10,42,39,100
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,4,1,4,3,12
URUBICHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,10,8,18
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,16,23,3,3,45
VACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,3,3,9,17
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,15,11,47,38,111
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,2,1,4,7
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,2,1,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,6,5,13
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,5,4,9
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,2,1,1,0,4
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,0,1,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,52,30,13,7,102
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,1,1,1,4
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,19,16,21,15,71
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,10,13,5,4,32
VITICHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,5,8,3,10,26
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,0,6,7,13
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,90,82,102,113,387
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,15,10,79,74,178
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,0,1
YANACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,0,1,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,38,29,42,32,141
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,8,9,4,11,32
YUNCHARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-04-01,1,3,2,3,9
ACACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,1,1,0,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,5,6,3,5,19
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,4,4,2,6,16
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,4,8,3,17
ALALAY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,1,5,3,10
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,1,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,1,1,3,6
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,2,1,0,3
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,3,0,3
ANZALDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,1,11,5,17
APOLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,2,21,9,33
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,1,2,3,7
ARANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,2,0,1,6
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,5,4,3,2,14
ARQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,2,11,8,23
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,18,17,7,5,47
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,4,8,6,21
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,2,7,9,21
AYATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,2,1,1,5
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,1,2,1,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,3,10,12,28
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,1,1,1,3
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,1,5,3,11
BAURES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,1,4,2,8
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,2,1,3
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,0,1,0,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,0,1,2,6
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,2,3,2,9
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,0,5,0,6
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,1,6,5,15
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,8,5,8,0,21
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,11,6,7,27
CAIROMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,1,0,1,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,8,2,0,11
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,2,5,5,14
CALACOTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,0,1,1
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,1,2,2,7
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,0,1,3,5
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,2,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,22,19,14,7,62
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,8,5,3,4,20
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,2,1,0,4
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,1,2,4,9
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,14,5,8,7,34
CARANGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,1,1,2
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,1,0,0,1
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,1,10,18,29
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,1,1,7,11
CHACARILLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,1,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,5,4,5,5,19
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,5,7,0,0,12
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,6,6,31,28,71
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,4,3,4,5,16
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,8,7,3,4,22
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,0,1,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,0,0,3,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,10,2,4,2,18
CHUMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,2,3,2,4,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,1,2,0,0,3
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-05-01,3,2,1,0,6
