municipality,group,variable,month,Niños de 1 año a menores de 5 años con 1ra dosis vitamina A,TOTAL
ANTEQUERA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,17,17
ANZALDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,107,107
APOLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,120,120
ARAMPAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,51,51
ARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,81,81
ARBIETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,101,101
ARQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,253,253
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,891,891
ATOCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,92,92
AUCAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,36,36
AYATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,43,43
AYO AYO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,183,183
AZURDUY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,103,103
BATALLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,69,69
BAURES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,18,18
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,7,7
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,12,12
BELLA FLOR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,2,2
BERMEJO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,272,272
BETANZOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,393,393
BOLIVAR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,81,81
BOLPEBRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,6,6
BOYUIBE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,42,42
BUENA VISTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,172,172
CABEZAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,453,453
CAIROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,61,61
"CAIZA ""D""",nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,66,66
CAJUATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,70,70
CALACOTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,34,34
CALAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,63,63
CAMARGO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,181,181
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,9,9
CAMIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,307,307
CAPINOTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,90,90
CAQUIAVIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,68,68
CARACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,71,71
CARANAVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,418,418
CARANGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,4,4
CARAPARI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,149,149
CARIPUYO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,55,55
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,136,136
CATACORA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,17,17
CHACARILLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,28,28
CHALLAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,325,325
CHAQUI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,76,76
CHARAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,390,390
CHARAÑA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,17,17
CHAYANTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,261,261
CHIMORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,140,140
CHIPAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,17,17
CHOQUE COTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,5,5
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,74,74
CHUMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,40,40
CLIZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,170,170
COBIJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,266,266
COCHABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,3368,3368
COIPASA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,2,2
COLCAPIRHUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,201,201
COLLANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,9,9
COLOMI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,127,127
COLPA BELGICA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,103,103
COLQUECHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,357,357
COLQUENCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,51,51
COLQUIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,88,88
COMANCHE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,20,20
COMARAPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,163,163
COMBAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,16,16
CONCEPCION,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,440,440
COPACABANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,72,72
CORIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,84,84
CORO CORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,62,62
COROICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,64,64
CORQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,82,82
COTAGAITA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,226,226
COTOCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,1172,1172
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,402,402
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,24,24
CUEVO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,63,63
CULPINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,200,200
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,34,34
CURVA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,19,19
DESAGUADERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,46,46
EL ALTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,6419,6419
EL CHORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,32,32
EL PUENTE(STC),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,97,97
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,77,77
EL TORNO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,491,491
EL VILLAR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,148,148
ENTRE RIOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,115,115
ENTRE RIOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,147,147
ESCARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,11,11
ESMERALDA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,2,2
EUCALIPTUS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,70,70
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,9,9
EXALTACION,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,43,43
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,166,166
FILADELFIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,13,13
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,174,174
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,68,68
GUANAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,63,63
GUAQUI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,49,49
GUAYARAMERIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,431,431
GUTIERREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,62,62
HUACARETA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,157,157
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,20,20
HUACHACALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,18,18
HUANUNI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,374,374
HUARACAJE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,61,61
HUAYLLAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,39,39
ICHOCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,34,34
ICLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,29,29
INCAHUASI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,440,440
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,5,5
INQUISIVI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,100,100
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,104,104
IXIAMAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,29,29
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,70,70
LA ASUNTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,164,164
LA GUARDIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,755,755
LA PAZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,8143,8143
LA RIVERA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,1,1
LAGUNILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,52,52
LAJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,117,117
LAS CARRERAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,50,50
LICOMA PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,25,25
LLALLAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,1857,1857
LLICA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,35,35
LORETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,52,52
LURIBAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,36,36
MACHACAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,45,45
MACHARETI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,172,172
MAGDALENA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,71,71
MAIRANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,76,76
MALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,19,19
MAPIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,72,72
MECAPACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,72,72
MINEROS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,333,333
MIZQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,234,234
MOCOMOCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,99,99
MOJINETE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,6,6
MOJOCOYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,39,39
MONTEAGUDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,463,463
MONTERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,1247,1247
MORO MORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,47,47
MOROCHATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,252,252
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,41,41
NAZACARA DE PACAJES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,25,25
OCURI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,144,144
OKINAWA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,221,221
OMEREQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,39,39
ORURO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,2426,2426
PADCAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,152,152
PADILLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,96,96
PAILON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,144,144
PALCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,111,111
PALOS BLANCOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,143,143
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,31,31
PAMPA GRANDE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,78,78
PAPEL PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,3,3
PASORAPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,20,20
PATACAMAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,60,60
PAZÑA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,49,49
PELECHUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,82,82
POCOATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,186,186
POCONA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,143,143
POJO (CBBA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,147,147
POOPO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,64,64
PORCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,131,131
POROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,303,303
PORONGO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,81,81
PORTACHUELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,383,383
PORVENIR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,47,47
POSTRER VALLE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,29,29
POTOSI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,2438,2438
PRESTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,114,114
PUCARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,25,25
PUCARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,145,145
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,117,117
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,98,98
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,43,43
PUERTO PEREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,23,23
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,388,388
PUERTO RICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,54,54
PUERTO SILES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,23,23
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,233,233
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,566,566
PUNA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,299,299
PUNATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,291,291
QUIABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,40,40
QUILLACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,1015,1015
QUIME,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,62,62
QUIRUSILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,22,22
RAVELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,243,243
REYES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,176,176
RIBERALTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,1201,1201
ROBORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,176,176
RURRENABAQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,209,209
SABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,36,36
SACABA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,775,775
SACABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,54,54
SACACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,219,219
SAIPINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,121,121
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,103,103
SAMAIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,131,131
SAN AGUSTIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,28,28
SAN ANDRES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,103,103
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,23,23
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,26,26
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,63,63
SAN BENITO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,76,76
SAN BORJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,522,522
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,42,42
SAN CARLOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,461,461
SAN IGNACIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,259,259
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-04-01,851,851
