municipality,group,variable,month,Niños (as) 6 a 23 meses que reciben Alimento complementario: Nutribebé,TOTAL
VINTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,202,202
VITICHI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,9,9
WALDO BALLIVIAN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,34,34
YACUIBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,1119,1119
YAMPARAEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,148,148
YOCALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,93,93
YOTALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,136,136
YUNCHARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,162,162
ZUDAÑEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-03-01,166,166
ACACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,151,151
AIQUILE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,540,540
ALALAY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,55,55
ALCALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,74,74
ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,85,85
ANTEQUERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,58,58
ANZALDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,90,90
ARANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,143,143
ARBIETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,145,145
ARQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,200,200
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,505,505
AYO AYO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,80,80
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,376,376
AZURDUY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,148,148
BAURES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,51,51
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,32,32
BELEN DE URMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,20,20
BERMEJO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,692,692
BETANZOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,715,715
BOLIVAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,246,246
BOLPEBRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,31,31
"CAIZA ""D""",nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,212,212
CAJUATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,228,228
CALACOTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,2,2
CAMARGO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,333,333
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,68,68
CAMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,4,4
CAPINOTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,311,311
CARACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,1,1
CARANAVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,3,3
CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,2,2
CARAPARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,318,318
CATACORA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,33,33
CHALLAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,548,548
CHAQUI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,118,118
CHARAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,35,35
CHAYANTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,94,94
CHIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,65,65
CHOQUE COTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,16,16
CHUMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,186,186
CLIZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,133,133
COBIJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,648,648
COIPASA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,6,6
COLCAPIRHUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,205,205
"COLCHA ""K""",nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,3,3
COLLANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,10,10
COLOMI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,4,4
COLPA BELGICA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,29,29
COLQUECHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,898,898
COLQUENCHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,104,104
COMANCHE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,48,48
COPACABANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,116,116
CORO CORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,183,183
CORQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,133,133
COTAGAITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,314,314
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,17,17
CUEVO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,88,88
CULPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,261,261
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,113,113
CURVA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,39,39
EL ALTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,4085,4085
EL CHORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,143,143
EL PUENTE(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,159,159
EL PUENTE(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,253,253
EL VILLAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,100,100
ENTRE RIOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,610,610
ESMERALDA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,2,2
EUCALIPTUS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,145,145
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,29,29
EXALTACION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,42,42
FILADELFIA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,24,24
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,127,127
GUAYARAMERIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,49,49
GUTIERREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,117,117
HUACHACALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,17,17
HUARACAJE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,22,22
HUAYLLAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,60,60
ICLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,98,98
INCAHUASI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,218,218
INGAVI (HUMAITA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,1,1
INQUISIVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,2,2
JESUS DE MACHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,23,23
LA RIVERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,5,5
LAGUNILLAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,23,23
LAS CARRERAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,64,64
LICOMA PAMPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,27,27
LLALLAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,493,493
LLICA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,37,37
LORETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,19,19
LURIBAY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,65,65
MACHACAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,70,70
MACHARETI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,404,404
MAIRANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,100,100
MIZQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,368,368
MOJOCOYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,145,145
MONTEAGUDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,657,657
MORO MORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,36,36
MOROCHATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,481,481
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,68,68
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,20,20
OCURI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,470,470
ORURO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,859,859
PADCAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,512,512
PADILLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,217,217
PAMPA AULLAGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,8,8
PAPEL PAMPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,14,14
PAZÑA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,112,112
PELECHUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,86,86
POCOATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,563,563
POJO (CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,540,540
POOPO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,71,71
PORCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,141,141
POROMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,264,264
PORVENIR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,96,96
POSTRER VALLE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,35,35
POTOSI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,3,3
PRESTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,262,262
PUCARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,34,34
PUERTO RICO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,165,165
PUERTO SILES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,16,16
PUNA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,474,474
PUNATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,365,365
QUIABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,44,44
QUIRUSILLAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,39,39
RAVELO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,451,451
RIBERALTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,2489,2489
ROBORE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,267,267
RURRENABAQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,39,39
SABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,27,27
SACABA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,1156,1156
SACABAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,13,13
SACACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,405,405
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,215,215
SAN AGUSTIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,22,22
SAN ANDRES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,9,9
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,17,17
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,36,36
SAN BENITO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,126,126
SAN BORJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,44,44
SAN IGNACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,61,61
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,1,1
SAN JAVIER(BNI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,4,4
SAN JOAQUIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,38,38
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,37,37
SAN LORENZO(PND),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,9,9
SAN LORENZO(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,398,398
SAN LUCAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,894,894
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,10,10
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,403,403
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,60,60
SAN RAFAEL,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,101,101
SAN RAMON,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,69,69
SANTA ANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,148,148
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,8556,8556
SANTA ROSA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,72,72
SANTIAGO DE CALLAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,58,58
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,125,125
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,58,58
SAPAHAQUI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,159,159
SENA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,51,51
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,31,31
SICAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,59,59
SIPE SIPE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,262,262
SOPACHUY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,213,213
SORACACHI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,224,224
SUCRE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,146,146
TACOBAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,113,113
TACOPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,276,276
TAPACARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,566,566
TARABUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,550,550
TARATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,271,271
TARIJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,1985,1985
TARVITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,181,181
TIQUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,247,247
TIRAQUE (CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,12,12
TOCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,98,98
TODOS SANTOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,8,8
TOLATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,66,66
TOLEDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,97,97
TOMAVE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,183,183
TOMINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,258,258
TORO TORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,234,234
TOTORA(CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,379,379
TOTORA(ORR),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,55,55
TRIGAL,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,22,22
TRINIDAD,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,78,78
TUPIZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,490,490
TURCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,89,89
UMALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,198,198
UNCIA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,61,61
URIONDO (A. CONCEPCION),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,356,356
URUBICHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,31,31
UYUNI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,21,21
VACAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,133,133
VIACHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,468,468
VILA VILA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,101,101
VILLA MONTES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,742,742
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,22,22
VILLA RIVERO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,44,44
VILLA SERRANO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,173,173
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,310,310
VILLAZON,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,256,256
VINTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,254,254
VITICHI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,3,3
WALDO BALLIVIAN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,24,24
WARNES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,1,1
YACUIBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,1340,1340
YAMPARAEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento complementario: nutribebe,2009-04-01,13,13
