municipality,group,variable,month,Nº de Personas con Discapacidad atendidas en el Establecimiento,TOTAL
APOLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
BAURES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,14,14
CAMIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,4,4
CARACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,68,68
CARANAVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,7,7
CHIPAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,5,5
COBIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,6,6
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,64,64
COLQUENCHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,7,7
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,15,15
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,8,8
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
FILADELFIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,4,4
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
HUARINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
ICLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,5,5
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,16,16
LAJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,8,8
OCURI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
PALCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,5,5
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
POCOATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,5,5
PORONGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,10,10
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,4,4
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,67,67
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
SABAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,46,46
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,18,18
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,5,5
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,10,10
TARACO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,11,11
TARVITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,6,6
TIAHUANACU,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,10,10
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
TORO TORO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,4,4
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,74,74
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,6,6
UMALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,13,13
VIACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,7,7
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,4,4
WARNES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-08-01,17,17
ACHOCALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,8,8
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,19,19
ALTO BENI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
APOLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,12,12
ARBIETO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,5,5
BETANZOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
CAIROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,11,11
CAJUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,24,24
CALAMARCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,10,10
CAMIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
CARAPARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,9,9
CHIMORE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,64,64
COLQUENCHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,15,15
CORO CORO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,5,5
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,10,10
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
EL VILLAR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,4,4
ICLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,17,17
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,26,26
LAJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,5,5
LURIBAY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,13,13
MALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
MAPIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
PAILON,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
PALCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,4,4
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,6,6
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,7,7
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
PUERTO RICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,82,82
SABAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
SACABA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
SAN CARLOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,48,48
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,6,6
SAN JULIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,8,8
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,28,28
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
SHINAOTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,6,6
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,6,6
SORATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1147,1147
TACACOMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,22,22
TIAHUANACU,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,4,4
TORO TORO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,73,73
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
UMALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,11,11
VACAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,4,4
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,3,3
WARNES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,9,9
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,24,24
YUNCHARA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-09-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
ACHOCALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,7,7
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,8,8
ALTO BENI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,3,3
BAURES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
BETANZOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
BOLPEBRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
CALAMARCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,10,10
CAMARGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,8,8
CAMIRI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,6,6
CARANAVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
CHIMORE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,63,63
COROICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,5,5
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,20,20
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,5,5
HUANUNI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
HUARACAJE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,3,3
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,24,24
LURIBAY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
MOJOCOYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,6,6
ORURO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,7,7
PALCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,6,6
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
POROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,5,5
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,3,3
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,3,3
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,60,60
RIBERALTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SABAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,3,3
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,10,10
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,50,50
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
SAN JULIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SAN MATIAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,10,10
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,44,44
SANTA ROSA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
SORATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,13,13
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,24,24
TARVITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,5,5
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,5,5
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,83,83
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,4,4
UMALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,22,22
VIACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-10-01,8,8
