,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,7,6,3,4,10,10,20
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,5,1,2,2,7,9
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,1,0,2,1,3
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,0,2,0,2,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,2,2,2,2,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,30,25,0,5,30,30,60
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,7,6,12,15,19,34
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,2,4,2,5,7
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,3,2,6,4,9,13
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,6,8,10,12,16,28
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,11,16,24,7,35,23,58
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,8,5,3,10,11,21
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,3,6,2,8,5,13
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,5,0,0,5,5,10
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,1,1,0,4,1,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,4,1,0,5,4,9
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,9,2,0,6,9,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,2,0,1,3,3,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,40,34,1,0,41,34,75
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,16,14,0,5,16,19,35
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,7,0,3,3,10,13
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,8,11,9,20,17,37
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,38,34,2,4,40,38,78
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,3,15,9,24,12,36
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,4,2,2,5,6,11
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,17,14,19,15,34
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,2,1,3,1,4
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,24,18,11,16,35,34,69
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,4,2,2,11,6,17
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,12,7,16,18,28,25,53
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,0,3,0,3,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,8,11,5,1,13,12,25
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,21,27,5,4,26,31,57
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,0,3,0,3,3
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,0,0,0,1,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,2,1,2,3,4,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,13,18,4,2,17,20,37
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,4,1,3,5,7,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,2,2,4,5,6,11
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,8,9,11,15,19,34
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,8,5,4,3,12,8,20
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,40,42,22,21,62,63,125
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,4,3,1,6,5,11
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,501,512,8,6,509,518,1027
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,29,22,0,0,29,22,51
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,16,13,0,1,16,14,30
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,2,1,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,5,4,5,9,10,19
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,2,0,2,3,4,7
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,20,15,16,18,36,33,69
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,5,6,12,7,17,24
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,2,11,12,15,14,29
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,0,0,2,1,3
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,31,9,5,5,36,14,50
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,1,1,2,2,4
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,28,23,4,9,32,32,64
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,3,2,5,5,8,13
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,14,11,1,2,15,13,28
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,6,3,7,4,11
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,7,9,6,15,13,28
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,2,4,3,6,5,11
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,16,11,6,5,22,16,38
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,64,58,4,6,68,64,132
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,24,5,4,1,28,6,34
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,1,2,1,2,3
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,5,2,5,2,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,11,9,3,13,14,27
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,2,0,3,0,5,5
CURVA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,1,0,3,1,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,493,473,212,219,705,692,1397
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,1,4,3,5,8
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,13,10,0,3,13,13,26
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,0,7,3,9,3,12
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,40,47,16,6,56,53,109
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,3,0,0,1,3,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,8,12,8,21,16,37
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,50,52,1,4,51,56,107
ESCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,0,0,0,2,0,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,3,2,4,2,7,9
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,2,0,2,0,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,2,5,5,5,7,12
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,4,13,11,17,15,32
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,4,10,5,14,9,23
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,25,30,1,3,26,33,59
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,3,0,0,6,3,9
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,2,8,5,13,7,20
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,2,0,0,3,2,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,12,12,8,8,20,20,40
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,8,6,6,6,14,12,26
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,10,4,6,10,16,26
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,1,3,1,4,5
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,7,13,9,7,16,20,36
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,2,13,9,16,11,27
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,4,3,1,5,5,10
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,0,0,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,3,1,1,2,4,6
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,2,0,2,0,4,4
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,2,2,3,2,5
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,2,8,5,12,7,19
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,4,3,3,6,7,13
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,2,0,2,0,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,4,3,1,3,5,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,8,5,8,6,16,11,27
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,1,2,2,7,3,10
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,7,3,0,0,7,3,10
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,37,38,8,15,45,53,98
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,89,77,8,8,97,85,182
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,552,496,18,15,570,511,1081
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,0,0,1,0,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,2,5,8,6,10,16
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,11,13,0,2,11,15,26
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,5,3,5,3,8
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,3,3,3,4,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,13,19,29,31,42,50,92
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,0,0,0,3,0,3
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,4,10,7,14,11,25
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,6,2,1,7,7,14
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,7,0,0,6,7,13
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,1,5,2,9,3,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,0,23,20,27,20,47
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,18,12,2,0,20,12,32
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,1,1,2,1,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,12,4,3,13,15,28
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,8,2,7,8,15,23
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,22,19,12,7,34,26,60
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,10,7,11,9,21,16,37
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,7,2,2,4,9,13
MOJINETE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,0,1,0,2,2
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,6,0,1,4,7,11
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,18,19,7,7,25,26,51
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,120,106,6,8,126,114,240
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,1,0,3,1,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,2,6,4,7,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,1,2,1,2,3
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,2,0,0,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,0,1,2,1,2,3
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,6,7,10,10,16,26
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,12,0,3,4,15,19
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,0,5,5,7,5,12
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,208,235,42,37,250,272,522
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,15,6,4,3,19,9,28
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,5,3,3,9,8,17
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,27,17,35,38,62,55,117
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,10,12,3,10,13,22,35
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,18,16,11,13,29,29,58
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,5,8,6,9,15
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,10,4,4,13,14,27
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,3,2,2,3,5,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,2,0,0,0,2,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,8,6,1,2,9,8,17
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,2,2,4,3,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,1,0,2,2,3,5
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,3,9,9,9,12,21
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,2,3,4,7,6,13
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,8,15,2,2,10,17,27
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,4,3,2,7,6,13
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,7,10,8,16,15,31
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,4,11,3,16,7,23
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,7,8,8,11,15,19,34
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,20,19,0,0,20,19,39
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,4,4,5,9,9,18
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,0,0,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,161,130,34,33,195,163,358
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,2,3,6,5,8,13
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,3,0,0,1,3,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,18,17,7,5,25,22,47
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,1,2,8,2,9,11
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,2,5,12,10,14,24
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,3,0,4,0,4
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,2,4,0,4,2,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,22,9,9,1,31,10,41
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,3,4,1,7,4,11
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,0,1,0,3,0,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,18,18,9,2,27,20,47
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,37,40,7,6,44,46,90
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,1,12,11,15,12,27
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,19,13,3,4,22,17,39
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,0,3,1,4,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,48,56,64,49,112,105,217
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,5,3,1,8,6,14
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,0,0,1,1,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,5,5,11,14,16,30
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,7,3,4,9,11,20
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,81,79,22,21,103,100,203
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,4,8,5,14,9,23
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,13,10,3,6,16,16,32
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,2,3,1,3,3,6
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,83,79,31,28,114,107,221
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,3,0,0,1,3,4
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,5,10,4,15,9,24
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,7,16,8,16,24
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,4,7,9,10,13,23
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,3,5,3,11,6,17
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,2,2,0,0,2,2,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,11,9,5,15,16,31
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,0,3,0,0,0,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,3,2,4,6,7,13
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,2,12,6,17,8,25
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,66,38,6,12,72,50,122
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,5,7,4,12,9,21
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,20,14,18,3,38,17,55
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,15,22,14,7,29,29,58
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,33,37,4,4,37,41,78
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,2,9,6,12,8,20
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,27,17,0,0,27,17,44
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,3,0,0,5,3,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,8,21,10,30,18,48
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,2,2,3,7,5,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,37,45,17,16,54,61,115
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,4,13,9,19,13,32
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,17,8,1,0,18,8,26
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,12,15,8,6,20,21,41
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,14,15,0,0,14,15,29
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,9,17,4,4,13,21,34
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,5,7,0,0,5,7,12
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,10,6,13,8,23,14,37
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,22,18,30,7,52,25,77
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,3,0,0,4,3,7
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,4,2,1,0,5,2,7
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,2,0,3,1,5,6
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,3,1,6,2,9,3,12
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,6,5,9,4,15,9,24
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,17,12,0,1,17,13,30
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1065,1030,3,11,1068,1041,2109
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,7,10,14,7,21,17,38
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,11,9,3,6,14,15,29
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-04-01,1,1,0,1,1,2,3
