,group,variable,month,ANTINEUMOCOCICA 2DA DOSIS < A 1 AÑO - D,ANTINEUMOCOCICA 2DA DOSIS < A 1 AÑO - D,ANTINEUMOCOCICA 2DA DOSIS < A 1 AÑO - F,ANTINEUMOCOCICA 2DA DOSIS < A 1 AÑO - F,ANTINEUMOCOCICA 2DA DOSIS 12 A 23 MESES - D,ANTINEUMOCOCICA 2DA DOSIS 12 A 23 MESES - D,ANTINEUMOCOCICA 2DA DOSIS 12 A 23 MESES - F,ANTINEUMOCOCICA 2DA DOSIS 12 A 23 MESES - F,ANTINEUMOCOCICA 2DA DOSIS 2 AÑOS - D,ANTINEUMOCOCICA 2DA DOSIS 2 AÑOS - D,ANTINEUMOCOCICA 2DA DOSIS 2 AÑOS - F,ANTINEUMOCOCICA 2DA DOSIS 2 AÑOS - F,ANTINEUMOCOCICA 2DA DOSIS 3 AÑOS - D,ANTINEUMOCOCICA 2DA DOSIS 3 AÑOS - D,ANTINEUMOCOCICA 2DA DOSIS 3 AÑOS - F,ANTINEUMOCOCICA 2DA DOSIS 3 AÑOS - F,ANTINEUMOCOCICA 2DA DOSIS 4 AÑOS - D,ANTINEUMOCOCICA 2DA DOSIS 4 AÑOS - D,ANTINEUMOCOCICA 2DA DOSIS 4 AÑOS - F,ANTINEUMOCOCICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
DESAGUADERO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
EL ALTO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,433,347,131,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,492,1056
EL CHORO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
EL PUENTE(STC),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
EL PUENTE(TJA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
EL TORNO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,45
EL VILLAR,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,22
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,36
ESCOMA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
EUCALIPTUS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
EXALTACION,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
FILADELFIA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
GIA-TIM,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
GUANAY,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,23
GUAQUI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
GUAYARAMERIN,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,19,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,38
GUTIERREZ,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,8,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,25
HUACARAJE,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUACARETA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUACHACALLA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUANUNI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
HUARINA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
HUATAJATA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUAYLLAMARCA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
HUMANATA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ICHOCA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ICLA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
INCAHUASI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
INQUISIVI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
IXIAMAS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
JESUS DE MACHACA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
LA ASUNTA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,27,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,57
LA GUARDIA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,102
LA PAZ,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,362,322,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,342,725
LAGUNILLAS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
LAJA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,8,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
LAS CARRERAS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LLALLAGUA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,13,12,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,67
LLICA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
LORETO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
LURIBAY,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
MACHACAMARCA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
MACHARETI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
MAGDALENA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
MAIRANA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
MALLA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
MAPIRI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,14,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,29
MINEROS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
MIZQUE,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,12,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,26
MOCOMOCO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
MOJOCOYA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
MONTEAGUDO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
MONTERO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,52,50,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,53,107
MOROCHATA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OCURI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
OKINAWA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
OMEREQUE,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
ORURO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,154,145,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,150,309
PADCAYA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15
PADILLA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
PAILON,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,10,18,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,56,93
PALCA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,13,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,20
PALOS BLANCOS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,26
PAMPA AULLAGAS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PAMPA GRANDE,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAPEL PAMPA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
PASORAPA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PATACAMAYA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,12,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
PAZÑA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PELECHUCO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
POCOATA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28
POCONA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
POJO (CBBA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
POOPO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
PORCO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
POROMA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,5,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
PORONGO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
PORTACHUELO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
PORVENIR,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
POSTRER VALLE,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,178,181,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,197,390
PRESTO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PUCARA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUCARANI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,15,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,39
PUERTO ACOSTA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PUERTO CARABUCO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
PUERTO PEREZ,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
PUERTO RICO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
PUERTO SILES,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO SUAREZ,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,39,28,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,32,80
PUNA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
PUNATA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,9,14,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,42
QUIABAYA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
QUILLACOLLO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,59,60,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,105,211
QUIME,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
RAVELO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
REYES,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10
RIBERALTA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,76,68,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,75,164
ROBORE,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
RURRENABAQUE,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,9,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,23
SABAYA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
SACABA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,85,68,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,78,180
SACABAMBA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SACACA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
SAIPINA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
SAMAIPATA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
SAN AGUSTIN,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN ANDRES,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
SAN BENITO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SAN BORJA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,43,28,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,32,85
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,2,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
SAN CARLOS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18
SAN IGNACIO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,24,24,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,57
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
SAN JAVIER(STC),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
SAN JOAQUIN,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,6,6,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,52
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN JULIAN,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,25,38,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,72
SAN LORENZO(PND),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,9,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24
SAN LUCAS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,15,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,39
SAN MATIAS,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
SAN PEDRO,vacunacion en menores  de 5 anos,antineumococica 2da dosis,2024-02-01,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8
