,group,variable,month,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
RAVELO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,1,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,47
REYES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,42
ROBORE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,24,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,42
RURRENABAQUE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,20,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,43
SABAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SACABA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,78,86,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,204
SACABAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
SACACA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,5,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,42
SAIPINA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SAMAIPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,10,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,26
SAN AGUSTIN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,9,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,37
SAN BENITO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,21,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,35
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,16,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,30
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,21,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,40
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,13,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,25,36,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,84
SAN JAVIER(STC),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23
SAN JOAQUIN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,58,62,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,65,128
SAN LORENZO(PND),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,9,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15
SAN LUCAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,47,28,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,46,115
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,11,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,30
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,26,19,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,71
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,23
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,13,20,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,58
SAN PEDRO DE CURAHUARA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,12,12,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,37
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN PEDRO(PND),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAN RAMON BENI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,626,654,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,657,1289
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,16,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,35
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SANTIVAÑES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SAPAHAQUI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SENA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
SHINAOTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,13,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,32
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
SICAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SIPE SIPE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,37,26,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,37,93
SOPACHUY,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SORACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
SORATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
SUCRE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,201,189,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,190,397
TACACOMA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,3,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,24
TACOPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20
TAPACARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,23,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,66
TARABUCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,2,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,24
TARACO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
TARATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
TARIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,76,70,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,73,150
TARVITA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,8,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41
TEOPONTE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
TIAHUANACU,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,3,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,29
TIPUANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
TIQUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,10,17,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,48
TOCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
TOLATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TOMAVE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
TOMINA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22
TORO TORO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,22
TOTORA(CBBA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
TOTORA(ORR),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
TRIGAL,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,59,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,55,114
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,42,32,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,36,86
TURCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
UMALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
UNCIA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,11,11,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,37
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,27,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,58
VACAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,12,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,27
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,37,42,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,96
VILA VILA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
VILLA CHARCAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,2,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,29,24,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,66
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
VILLA RIVERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
VILLA SERRANO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
VILLA TUNARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,91,89,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,101,219
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,20,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,39
VINTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,21,20,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,55
VITICHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,7,9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,29
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
WARNES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,129,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,133,262
YACO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,31,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,64
YAMPARAEZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,11,18,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,72
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
YOTALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
YUNCHARA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
ZUDAÑEZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-06-01,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
ACACIO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,16,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,30
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,34,17,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25,70
ALALAY,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ALCALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ANCORAIMES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
