,group,variable,month,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
PELECHUCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
POCOATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,7,8,6,3,0,0,0,0,0,0,1,0,0,0,0,0,14,11,25
POCONA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19
POJO (CBBA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
POOPO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,2,6,2,0,0,0,0,0,0,0,0,0,1,0,0,9,5,14
PORCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,12,8,6,6,0,0,1,0,0,0,0,0,0,0,0,0,19,14,33
POROMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
PORONGO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,6,7,8,8,0,1,0,0,0,0,0,0,0,0,0,0,14,16,30
PORTACHUELO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,14,15,2,0,0,2,0,0,0,0,0,0,1,0,0,0,17,17,34
PORVENIR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,4,6,10
POSTRER VALLE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,205,167,14,17,5,4,4,4,2,2,0,0,3,0,2,0,235,194,429
PRESTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
PUCARA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUCARANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,16,13,13,11,0,0,0,0,0,1,0,0,0,0,0,0,29,25,54
PUERTO ACOSTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,6,7,13
PUERTO CARABUCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3,5,8
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
PUERTO PEREZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,11,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
PUERTO RICO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,5,4,9
PUERTO SUAREZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,9,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,17,12,29
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,32,46,4,9,0,0,0,1,1,0,0,0,1,0,0,0,38,56,94
PUNA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
PUNATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,19,18,13,8,0,0,0,0,0,1,1,2,0,0,2,0,35,29,64
QUIABAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
QUILLACOLLO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,56,74,56,63,2,4,5,3,0,1,6,4,0,0,1,0,126,149,275
QUIME,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
QUIRUSILLAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
RAVELO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18
REYES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16
RIBERALTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,94,95,16,13,1,1,1,0,0,1,0,0,1,0,0,0,113,110,223
ROBORE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,12,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,13,18,31
RURRENABAQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,12,12,11,14,0,0,0,0,0,1,0,0,1,0,0,0,24,27,51
SABAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
SACABA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,82,89,23,17,1,1,2,2,2,1,3,1,3,4,2,1,118,116,234
SACABAMBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SACACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,7,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
SAIPINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,13
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
SAMAIPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,16
SAN AGUSTIN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SAN ANDRES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,13,14,10,2,1,1,2,0,1,1,0,0,0,0,2,1,29,19,48
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
SAN BENITO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,12,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,15,7,22
SAN BORJA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,50,40,15,16,1,2,7,6,1,2,2,3,1,4,1,2,78,75,153
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
SAN CARLOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,10,6,10,0,0,0,0,0,0,0,0,0,0,0,0,11,20,31
SAN IGNACIO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,18,14,3,6,4,2,1,1,0,0,0,0,0,0,0,0,26,23,49
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,49,40,8,8,1,4,1,3,0,1,0,3,0,1,1,0,60,60,120
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,1,13,7,0,0,0,0,0,0,0,0,0,0,0,0,16,8,24
SAN JAVIER(STC),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,16,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,9,26
SAN JOAQUIN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,13,8,20,27,0,1,9,10,0,0,0,3,0,0,2,1,44,50,94
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
SAN JULIAN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,37,37,6,16,2,1,2,3,0,0,0,0,0,0,0,0,47,57,104
SAN LORENZO(PND),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,1,8,2,0,0,0,0,0,0,0,1,0,0,0,0,10,4,14
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,21,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,24,13,37
SAN LUCAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,18,16,8,7,0,0,0,0,0,0,0,0,0,0,0,0,26,23,49
SAN MATIAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,8,15,5,7,1,0,1,2,0,0,0,0,1,0,0,0,16,24,40
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,2,10,9,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN PEDRO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,20,20,16,14,0,0,0,0,0,0,0,0,0,0,0,0,36,34,70
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
SAN PEDRO(PND),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN RAFAEL,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,6,6,12
SAN RAMON BENI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN RAMON SCZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,9,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11,6,17
SANTA ANA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,9,10,4,6,0,0,2,2,0,0,3,1,1,0,3,0,22,19,41
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,839,849,33,21,32,28,2,5,20,20,6,2,17,10,4,15,953,950,1903
SANTA ROSA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,7,3,1,1,0,0,0,1,0,0,0,0,0,0,9,4,17,9,26
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,8,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,11,8,19
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SANTIVAÑES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,8,11
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAPAHAQUI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,3,2,4,0,0,3,0,1,0,0,2,0,0,1,0,7,9,16
SENA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,7,6,4,0,0,3,1,2,0,3,4,3,3,1,4,23,23,46
SHINAOTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,23,28,10,5,0,1,1,0,0,0,1,1,1,0,2,0,38,35,73
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,11,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,12,14,26
SICAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SIPE SIPE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,49,52,5,8,0,1,4,0,1,1,0,2,0,0,1,1,60,65,125
SOPACHUY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
SORACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,11,4,4,5,0,0,0,0,0,1,0,0,0,0,0,0,15,10,25
SORATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,8,4,8,7,0,0,0,1,0,0,0,0,0,0,0,0,16,12,28
SUCRE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,201,203,6,4,1,3,1,0,1,0,0,0,1,1,0,0,211,211,422
TACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
TACACOMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,3,5,4,0,1,3,0,1,1,1,0,0,0,0,0,15,9,24
TACOPAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
TAHUA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4
TAPACARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,9,9,14,8,0,0,0,0,0,0,1,0,0,0,0,0,24,17,41
TARABUCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20
TARACO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
TARATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
TARIJA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,131,100,9,8,3,2,0,1,0,1,1,0,0,3,0,1,144,116,260
TARVITA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,6,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23
TEOPONTE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
TIAHUANACU,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
TINGUIPAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
TIPUANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,4,7,11
TIQUIPAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,27,29,10,10,1,0,0,0,1,0,0,2,1,1,0,1,40,43,83
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,4,14,10,0,0,0,0,0,0,0,0,0,0,0,0,19,14,33
TITO YUPANQUI (PARQUIPUJIO),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TOCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
TOLATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,3,1,2,0,0,1,0,0,0,0,0,1,0,0,0,7,5,12
TOLEDO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
TOMAVE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,6,7,13
TOMINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
TORO TORO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
TOTORA(CBBA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,9,4,5,2,0,0,0,0,0,0,0,1,0,0,0,1,14,8,22
TOTORA(ORR),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TRIGAL,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,99,72,2,2,3,2,0,0,1,0,0,0,0,4,0,0,105,80,185
TUPIZA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,29,21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,32,21,53
TURCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UMALA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UNCIA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,8,12,1,7,1,0,0,0,0,0,0,0,0,0,0,0,10,19,29
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,13,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,14,19,33
URUBICHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
UYUNI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,21,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,45
VACAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10
VALLEGRANDE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,10,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25
VIACHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,36,26,4,11,2,1,0,2,2,2,1,0,0,0,0,0,45,42,87
VILA VILA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
VILLA CHARCAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
VILLA MONTES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,26,35,11,10,0,0,1,3,1,1,0,1,0,0,0,0,39,50,89
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
VILLA RIVERO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,1,0,0,0,1,1,8,9
VILLA SERRANO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
VILLA TUNARI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,83,85,13,22,0,2,1,0,0,0,2,0,1,1,0,0,100,110,210
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
VILLAZON,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,20,19,3,0,0,1,0,0,3,0,0,0,0,0,0,0,26,20,46
VINTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,18,20,33,26,0,0,2,1,2,0,4,2,1,1,2,0,62,50,112
VITICHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WARNES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,104,115,1,2,5,8,2,0,0,0,0,0,4,2,2,2,118,129,247
YACO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
YACUIBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,65,60,24,16,1,1,3,1,2,2,0,6,1,3,2,2,98,91,189
YAMPARAEZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
YANACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-02-01,0,0,0,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
