,group,variable,month,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,1,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,10,11
SAN JAVIER(STC),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
SAN JOAQUIN,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,6,6,19,21,0,1,4,3,0,0,1,1,0,0,0,0,0,0,0,0,30,32,62
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN JULIAN,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,26,42,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,48,76
SAN LORENZO(PND),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,9,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24
SAN LUCAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,15,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,39
SAN MATIAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,6,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
SAN PEDRO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,12,6,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,9,27
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,9,12,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
SAN PEDRO(PND),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAN RAFAEL,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,7,13
SAN RAMON BENI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAN RAMON SCZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
SANTA ANA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,15,10,0,2,1,1,2,0,0,0,1,2,0,0,1,0,0,0,1,1,21,16,37
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,566,607,20,16,12,7,1,6,6,6,4,4,4,3,2,0,3,6,2,2,620,657,1277
SANTA ROSA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,7,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,6,15
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,11,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SANTIVAÑES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAPAHAQUI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
SENA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,8,7,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
SHINAOTA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,16,16,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,20,18,38
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,8,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,23
SICAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SIPE SIPE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,39,42,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,44,50,94
SOPACHUY,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SORACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,7,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,10,16
SORATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,9,9,1,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,11,15,26
SUCRE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,161,145,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,149,312
TACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TACACOMA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,7
TACOPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
TAPACARI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,13,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,32
TARABUCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
TARACO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
TARATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13
TARIJA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,134,88,5,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,144,91,235
TARVITA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
TEOPONTE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
TIAHUANACU,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
TINGUIPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
TIPUANI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
TIQUIPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,27,33,3,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,34,38,72
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,4,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
TOCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
TOLATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
TOLEDO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
TOMAVE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
TOMINA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TORO TORO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
TOTORA(CBBA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,14,10,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,15,32
TRIGAL,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
TRINIDAD,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,77,47,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,79,48,127
TUPIZA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,23,18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,46
TURCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
UMALA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
UNCIA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,12,13,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,17,33
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12
URUBICHA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UYUNI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,16,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,36
VACAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
VALLEGRANDE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,9,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
VIACHA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,29,33,8,6,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,38,44,82
VILA VILA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
VILLA CHARCAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,12
VILLA MONTES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,17,25,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,49
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
VILLA RIVERO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
VILLA SERRANO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VILLA TUNARI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,61,51,7,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70,56,126
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
VILLAZON,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,23,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,51
VINTO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,23,16,19,18,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,46,35,81
VITICHI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
WARNES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,66,92,0,4,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,70,100,170
YACO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
YACUIBA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,42,31,9,5,2,0,2,4,0,1,0,1,0,0,1,0,0,0,0,0,56,42,98
YAMPARAEZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,8
YANACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
YAPACANI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,10,12,8,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,44
YOCALLA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
YOTALA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
YUNCHARA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ZUDAÑEZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-02-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ACACIO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ACHACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,9,13,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,15,27
ACHOCALLA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,20,16,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,17,39
AIQUILE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,15,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,35
ALCALA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALTO BENI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
ANCORAIMES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ANDAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ANTEQUERA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ANZALDO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
APOLO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,14,15,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,34
ARAMPAMPA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ARANI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
ARBIETO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,14,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,26
ARQUE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,24,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,52
ATOCHA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,6,14
AUCAPATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
AYATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
AYO AYO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,12,13,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,16,31
AZURDUY,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
BATALLAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
BAURES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
BERMEJO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,14,17,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,16,21,37
BETANZOS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,20,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,39
BOLIVAR,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
BOYUIBE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3
BUENA VISTA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
CABEZAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,14,8,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,11,28
CAIROMA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
"CAIZA ""D""",vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19
CAJUATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
CALACOTO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CALAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,6,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
CAMARGO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,5,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CAMIRI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,12,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28
CAPINOTA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,15,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,15,32
CAQUIAVIRI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CARACOLLO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,8,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
CARANAVI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,32,25,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,29,62
CARAPARI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24
CARIPUYO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,5,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
CATACORA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-03-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
