,group,variable,month,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
PASORAPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PATACAMAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,13,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23
PAZÑA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PELECHUCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
POCOATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,7,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,28
POCONA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,9,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,17
POJO (CBBA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
POOPO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
PORCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,9,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
POROMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
PORONGO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13
PORTACHUELO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,26
PORVENIR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
POTOSI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,168,154,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,167,356
PRESTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
PUCARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUCARANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,14,14,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41
PUERTO ACOSTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
PUERTO CARABUCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
PUERTO PEREZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
PUERTO RICO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
PUERTO SUAREZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,9,14,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,30
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,51,50,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,64,129
PUNA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17
PUNATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,24,14,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,59
QUIABAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
QUILLACOLLO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,69,61,52,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,106,227
QUIME,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
RAVELO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,20
REYES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14
RIBERALTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,73,55,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,64,145
ROBORE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
RURRENABAQUE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,16,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,37
SABAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SACABA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,88,81,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,92,198
SACABAMBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SACACA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
SAIPINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
SAMAIPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
SAN ANDRES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
SAN BENITO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAN BORJA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,43,26,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,37,85
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15
SAN CARLOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,14,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28
SAN IGNACIO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,12,8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,34
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,42,31,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,39,86
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN JAVIER(STC),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,30
SAN JOAQUIN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,8,4,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,58
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
SAN JULIAN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,23,34,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,39,65
SAN LORENZO(PND),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,11,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
SAN LUCAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,14,12,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,39
SAN MATIAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23
SAN PEDRO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,6,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,8,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,35
SAN PEDRO DE CURAHUARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,10,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAN PEDRO(PND),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN RAFAEL,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
SAN RAMON BENI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN RAMON SCZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA ANA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,770,718,59,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,772,1601
SANTA ROSA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SANTIVAÑES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
SAPAHAQUI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
SENA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19
SHINAOTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,17,18,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,46
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,13,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,35
SIPE SIPE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,37,32,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,78
SORACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
SORATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,14,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,29
SUCRE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,172,155,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,160,335
TACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TACACOMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
TACOBAMBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TACOPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TAPACARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,15,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,33
TARABUCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
TARACO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
TARATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
TARIJA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,112,127,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,138,257
TARVITA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
TEOPONTE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
TIAHUANACU,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
TINGUIPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
TIPUANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
TIQUIPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,26,35,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,71
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19
TOCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
TOLATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
TOLEDO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TOMAVE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
TOMINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
TORO TORO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16
TOTORA(CBBA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,9,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29
TOTORA(ORR),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
TRIGAL,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TRINIDAD,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,64,56,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,57,124
TUPIZA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,31,32,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,68
TURCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
UMALA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UNCIA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,28
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,11,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,27
URUBICHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
UYUNI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28
VACAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
VALLEGRANDE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26
VIACHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,34,31,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,37,76
VILA VILA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
VILLA CHARCAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,3,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
VILLA MONTES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,30,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,53
VILLA RIVERO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
VILLA SERRANO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
VILLA TUNARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,60,56,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,72,141
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
VILLAZON,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,21,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,43
VINTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,22,14,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,31,75
VITICHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
WARNES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,89,74,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,81,171
YACO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
YACUIBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,40,37,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,83
YAMPARAEZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
YANACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
YAPACANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,30,20,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,90
YOCALLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
YOTALA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-03-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
