,group,variable,month,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
WARNES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,438,447,16,11,0,0,0,0,0,0,0,0,0,0,0,0,454,458,912
YACO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,12,11,6,9,0,0,0,0,0,0,0,0,0,0,0,0,18,20,38
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,139,150,21,16,3,4,0,1,4,0,2,0,3,2,0,1,172,174,346
YAMPARAEZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,14,13,9,3,0,0,0,0,0,0,1,1,1,1,0,0,25,18,43
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,6,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,83,62,130,116,0,0,0,0,0,0,0,0,0,0,0,0,213,178,391
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,11,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25
YOTALA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,11,11,21,11,0,0,0,0,0,0,0,0,0,0,0,0,32,22,54
YUNCHARA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,1,1,23,11,1,1,3,4,0,0,0,0,0,0,0,0,28,17,45
ZUDAÑEZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-05-01,0,0,0,0,15,13,13,11,5,10,10,13,6,6,9,11,2,4,5,9,65,77,142
ACACIO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,19,24,14,5,0,1,0,0,0,0,0,1,0,1,8,2,41,34,75
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,45,35,1,0,1,0,0,0,0,0,0,1,0,0,2,1,49,37,86
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,22,25,20,11,7,3,12,5,0,2,3,1,1,2,2,0,67,49,116
ALALAY,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
ALCALA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,2,0,2,0,0,1,3,0,1,0,0,1,0,0,1,4,9,13
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,5,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,11,17,28
ANCORAIMES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,19,9,5,7,1,1,2,0,0,0,0,0,0,0,0,0,27,17,44
ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ANTEQUERA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,0,2,2,0,0,4,4,0,0,1,6,0,0,5,5,12,17,29
ANZALDO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,4,2,6,8,1,1,3,11,0,1,5,4,0,0,5,5,24,32,56
APOLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,27,15,10,7,2,1,0,0,0,0,3,4,2,1,7,3,51,31,82
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
ARANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,15,17,3,5,1,3,6,10,1,0,0,1,1,1,8,8,35,45,80
ARBIETO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,23,38,8,14,3,1,0,2,1,0,1,1,0,0,9,5,45,61,106
ARQUE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,13,13,13,3,4,3,20,13,0,1,0,1,0,0,5,0,55,34,89
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,56,43,4,4,0,0,0,0,0,0,0,0,0,0,0,0,60,47,107
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,17,27,2,3,0,0,0,0,0,0,0,0,0,0,0,0,19,30,49
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
AYATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,5,15,11,0,0,0,0,0,0,0,0,0,0,0,0,17,16,33
AYO AYO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,9,12,2,6,0,0,0,0,0,1,0,0,0,0,0,0,11,19,30
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,20,34,24,16,0,0,14,22,0,0,3,1,0,0,1,4,62,77,139
AZURDUY,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,4,14,7,12,0,0,0,0,0,0,0,0,0,0,0,0,11,26,37
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,14,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,28,44
BAURES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,5,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELEN DE URMIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,33,25,5,4,8,1,1,0,3,2,1,2,3,5,7,5,61,44,105
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,27,25,16,21,0,0,0,0,0,0,0,0,0,0,0,0,43,46,89
BOLIVAR,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,0,5,1,2,2,4,5,0,0,1,2,0,0,5,2,20,12,32
BOLPEBRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BOYUIBE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,9,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,21,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,28,49
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,40,33,14,29,0,0,0,0,0,0,0,0,0,0,0,0,54,62,116
CAIROMA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,24,25,4,4,0,0,0,0,0,0,0,0,0,0,0,0,28,29,57
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,15,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17,15,32
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,16,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,20,12,32
CALACOTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,4,0,2,0,1,2,1,1,1,0,2,0,0,0,1,6,12,18
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,2,4,3,0,0,0,0,0,0,0,1,1,0,2,0,9,6,15
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,2,3,1,2,2,0,0,0,0,0,1,0,0,2,3,10,9,19
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,29,32,13,6,0,0,0,0,0,0,0,0,0,0,0,0,42,38,80
CAPINOTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,35,35,2,1,6,8,9,3,3,4,1,6,2,4,5,11,63,72,135
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,18,22,10,8,0,1,6,3,2,1,1,4,7,8,18,19,62,66,128
CARANAVI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,52,58,25,4,0,0,0,0,0,0,0,0,0,0,0,0,77,62,139
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,16,10,7,1,9,17,18,11,3,9,9,15,4,6,3,9,69,78,147
CARIPUYO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,4,6,5,3,0,1,1,0,0,0,1,0,0,0,1,1,12,11,23
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
CATACORA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHACARILLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
CHALLAPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,23,16,15,28,5,5,5,2,6,4,4,7,2,3,23,20,83,85,168
CHAQUI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,12,20,5,8,0,0,0,0,0,0,0,0,0,0,0,0,17,28,45
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,14,12,52,41,0,0,0,0,0,0,0,0,0,0,0,0,66,53,119
CHARAÑA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
CHAYANTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,9,17,10,12,0,0,0,0,0,0,0,0,0,0,0,0,19,29,48
CHIMORE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,44,51,15,12,0,0,0,0,0,0,0,0,0,0,0,0,59,63,122
CHOQUE COTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,20,11,6,13,0,0,0,0,0,0,0,0,0,0,0,0,26,24,50
CHUMA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,10,17,27
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,8,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,7,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0,13,16,29
CLIZA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,35,20,9,12,4,11,10,11,13,9,18,11,10,6,19,16,118,96,214
COBIJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,43,33,44,25,4,4,19,14,2,2,30,18,3,3,21,21,166,120,286
COCAPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,27,28,15,16,0,0,0,0,0,0,0,0,0,0,0,0,42,44,86
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,749,658,61,46,2,3,1,0,1,3,2,1,4,2,2,7,822,720,1542
COLCAPIRHUA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,35,29,10,7,0,0,0,0,0,0,0,0,0,0,0,0,45,36,81
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,28,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,30,16,46
COLLANA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,0,6,2,1,0,0,0,1,0,0,0,0,0,0,0,11,2,13
COLOMI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,50,28,4,5,3,16,2,1,12,10,3,4,2,8,4,8,80,80,160
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
COLQUECHACA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,29,28,11,12,3,6,3,6,2,1,2,7,1,2,15,11,66,73,139
COLQUENCHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,15,20,0,0,0,0,0,0,0,0,1,0,1,0,1,6,18,26,44
COLQUIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
COMANCHE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,20,28,3,2,0,0,0,0,0,0,0,0,0,0,0,0,23,30,53
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,36,30,18,18,0,0,0,0,0,0,0,0,0,0,0,0,54,48,102
CORIPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,13,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,17,14,31
CORO CORO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,4,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20
COROICO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,20,23,9,7,0,0,0,0,0,0,0,0,0,0,0,0,29,30,59
CORQUE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,22,23,3,4,6,5,5,2,1,2,1,3,3,1,19,32,60,72,132
COTOCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,163,142,11,8,0,0,0,0,0,0,0,0,0,0,0,0,174,150,324
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,24,40,7,7,0,0,0,0,0,0,0,0,0,0,0,0,31,47,78
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,4,0,6,6,2,0,0,0,1,0,2,0,0,0,1,0,16,6,22
CUEVO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
CULPINA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,31,30,8,4,3,8,2,2,8,5,6,8,4,2,23,24,85,83,168
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,4,2,2,3,2,3,0,2,1,2,4,0,2,4,2,16,17,33
CURVA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,7,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,14,6,20
DESAGUADERO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,11,5,2,2,0,1,0,3,0,0,0,0,0,0,5,3,18,14,32
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,520,530,277,238,80,95,124,88,84,88,124,113,88,91,234,249,1531,1492,3023
EL CHORO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
EL PUENTE(STC),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,20,15,5,7,0,0,0,0,0,0,0,0,0,0,0,0,25,22,47
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,4,5,3,5,1,3,7,6,1,2,5,1,0,0,6,11,27,33,60
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,96,121,11,8,0,0,0,0,0,0,0,0,0,0,0,0,107,129,236
EL VILLAR,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,6,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,10,4,14
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,20,23,12,8,0,0,0,0,0,0,0,0,0,0,0,0,32,31,63
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,41,48,8,15,4,2,3,3,0,0,0,0,0,0,0,0,56,68,124
ESCOMA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ESMERALDA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EUCALIPTUS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,6,4,10
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,1,4,2,0,0,0,1,1,0,0,0,0,0,2,4,9,8,17
EXALTACION,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,13,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,23,24,47
FILADELFIA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,21,25,13,5,0,0,0,0,0,0,0,0,0,0,0,0,34,30,64
GIA-TIM,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,24,19,17,14,0,0,0,0,0,0,0,0,0,0,0,0,41,33,74
GUANAY,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,11,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41
GUAQUI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,12,5,0,0,0,1,0,2,2,1,0,1,0,1,6,4,20,15,35
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,68,66,6,2,2,2,1,1,2,1,0,0,4,2,28,22,111,96,207
GUTIERREZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,12,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,28,25,53
HUACARAJE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
HUACARETA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,2,11,2,7,0,0,0,0,1,2,0,0,1,1,0,0,6,21,27
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
HUACHACALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUANUNI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,14,11,6,14,6,7,7,10,4,1,6,6,2,4,2,3,47,56,103
HUARINA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,12,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,18,11,29
HUATAJATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
HUAYLLAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,5,11,6,15,21
HUMANATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ICHOCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
ICLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
INCAHUASI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,12,11,9,11,2,3,2,1,3,3,1,2,1,2,7,4,37,37,74
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
INQUISIVI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,9,4,13,11,0,0,0,0,0,0,0,0,0,0,0,0,22,15,37
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,24,17,18,27,0,0,0,0,0,0,0,0,0,0,0,0,42,44,86
IXIAMAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,7,7,0,1,0,0,0,0,0,1,0,2,0,0,0,2,7,13,20
JESUS DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,7,7,0,0,0,0,0,0,1,0,0,1,2,0,5,8,15,16,31
LA ASUNTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,86,71,4,4,0,0,0,0,0,0,0,0,0,0,0,0,90,75,165
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,201,171,10,6,0,0,0,0,0,0,0,0,0,0,0,0,211,177,388
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,498,505,34,27,40,55,22,17,26,25,29,27,37,33,61,61,747,750,1497
LAGUNILLAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,3,10,14,0,0,0,0,0,0,0,0,0,0,0,0,13,17,30
LAJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,26,32,2,2,3,0,2,2,2,1,4,4,3,1,32,33,74,75,149
LAS CARRERAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-06-01,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
