,group,variable,month,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
MACHARETI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,5,2,1,0,0,0,1,1,0,0,0,1,0,0,0,6,7,13
MAGDALENA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,7,0,6,1,1,0,0,0,0,0,0,0,0,0,0,5,14,19
MAIRANA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,6,2,2,0,1,0,2,0,0,1,1,0,0,0,0,12,12,24
MALLA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MAPIRI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,11,10,1,2,2,0,0,0,0,0,0,0,0,2,0,2,14,16,30
MECAPACA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
MINEROS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,16,10,2,3,2,0,5,1,0,1,2,1,0,0,0,0,27,16,43
MIZQUE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,10,8,2,3,0,1,1,0,0,0,0,1,0,0,0,0,13,13,26
MOCOMOCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
MOJOCOYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
MONTEAGUDO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,13,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25
MONTERO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,43,53,6,4,3,0,4,3,0,0,1,1,0,0,0,0,57,61,118
MORO MORO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
MOROCHATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
OCURI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
OKINAWA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,4,8
OMEREQUE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
ORURO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,139,141,8,7,13,9,6,4,8,5,5,0,3,0,0,1,182,167,349
PADCAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,7,18
PADILLA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
PAILON,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,10,14,20,23,0,2,21,21,0,0,7,5,0,1,7,10,65,76,141
PALCA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,6,13,3,4,0,0,1,0,1,0,0,0,0,0,0,0,11,17,28
PALOS BLANCOS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,14,12,3,10,1,2,0,0,0,0,0,0,0,0,0,0,18,24,42
PAMPA AULLAGAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
PAMPA GRANDE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
PAPEL PAMPA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PASORAPA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PATACAMAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,7,1,2,2,1,1,0,0,0,0,0,0,0,0,0,8,10,18
PAZÑA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,6
PELECHUCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,11,17
POCOATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,8,7,6,8,1,0,0,0,0,0,1,0,0,0,0,0,16,15,31
POCONA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,3,5,8
POJO (CBBA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,8,5,2,1,0,0,1,0,0,0,1,0,0,0,0,10,12,22
POOPO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
PORCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,15,2,3,1,1,0,0,1,2,0,0,0,0,0,0,8,21,29
POROMA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,8,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,10,3,13
PORONGO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,8,1,1,0,1,0,0,1,0,0,0,0,0,0,0,6,10,16
PORTACHUELO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,10,7,0,3,1,0,0,0,1,1,0,0,0,0,0,0,12,11,23
PORVENIR,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,2,3,0,0,5,1,0,1,0,0,0,0,1,0,9,6,15
POTOSI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,142,129,12,13,9,8,6,10,0,3,3,1,2,2,1,6,175,172,347
PRESTO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PUCARA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUCARANI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,17,14,7,7,0,3,0,1,0,0,0,3,0,0,0,0,24,28,52
PUERTO ACOSTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,2,8
PUERTO CARABUCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,8
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
PUERTO PEREZ,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,7,0,0,3,5,0,1,0,0,0,0,0,0,0,0,12,13,25
PUERTO RICO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,4,7
PUERTO SILES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUERTO SUAREZ,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,22,11,2,3,0,1,0,0,0,0,0,0,0,0,0,0,24,15,39
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,37,27,8,6,3,0,1,2,4,2,11,3,0,2,1,0,65,42,107
PUNA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,13,4,17
PUNATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,13,8,14,0,0,5,1,0,2,2,0,0,1,1,1,25,32,57
QUIABAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
QUILLACOLLO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,51,40,53,55,1,4,4,3,0,3,5,3,0,1,0,1,114,110,224
QUIME,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,7,4,11
QUIRUSILLAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,6
RAVELO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
REYES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,7,3,0,3,1,1,0,0,1,0,1,0,0,0,0,0,10,7,17
RIBERALTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,29,41,4,1,2,8,0,0,3,2,0,0,1,0,0,0,39,52,91
ROBORE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,4,1,2,1,0,2,1,0,0,1,1,0,1,0,0,14,9,23
RURRENABAQUE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,15,1,0,1,1,2,0,0,0,0,0,0,0,0,0,13,16,29
SABAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,7,7
SACABA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,71,82,25,22,5,3,2,6,3,1,7,5,6,4,5,3,124,126,250
SACABAMBA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,4
SACACA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,7,10,7,3,0,0,1,0,0,0,0,0,0,0,0,0,15,13,28
SAIPINA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,7,3,10
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SAMAIPATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,6,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,11,3,14
SAN AGUSTIN,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN ANDRES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,9,2,0,1,1,3,1,1,0,0,0,0,0,1,0,12,11,23
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
SAN BENITO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,6,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,9,4,13
SAN BORJA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,23,21,2,4,8,8,5,10,1,3,2,5,2,1,1,5,44,57,101
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,2,7,4,0,0,0,0,0,1,0,0,0,0,0,0,8,7,15
SAN CARLOS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,8,10,3,1,0,0,0,0,1,0,0,0,0,0,0,0,12,11,23
SAN IGNACIO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,10,3,1,2,2,1,0,0,2,0,0,0,1,0,0,1,16,7,23
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,26,25,8,5,4,5,1,8,3,0,1,4,0,0,1,0,44,47,91
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,1,4,5,0,0,3,1,0,0,1,0,0,0,0,3,11,10,21
SAN JAVIER(STC),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,11,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,14,7,21
SAN JOAQUIN,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,8
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,11,12,7,7,1,1,7,10,1,0,1,1,0,0,0,0,28,31,59
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,6,3,4,0,0,1,1,0,0,0,1,0,0,0,0,8,12,20
SAN JULIAN,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,25,34,5,5,4,2,2,0,0,0,0,1,1,2,0,0,37,44,81
SAN LORENZO(PND),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,2,2,2,1,0,1,0,1,1,0,2,0,0,0,1,6,8,14
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,11,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,10,22
SAN LUCAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,13,12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,15,19,34
SAN MATIAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,12,5,3,1,0,1,1,0,0,0,0,0,0,0,0,16,16,32
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN PEDRO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,9,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,5,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4
SAN PEDRO(PND),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
SAN RAFAEL,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,6,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8,5,13
SAN RAMON BENI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
SAN RAMON SCZ,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,11
SANTA ANA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,7,7,6,4,1,1,1,3,0,1,1,2,0,0,0,0,16,18,34
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,536,481,20,15,69,82,9,9,34,36,11,13,27,33,17,13,723,682,1405
SANTA ROSA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,8,3,0,0,0,3,1,0,0,0,3,0,0,0,9,5,21,11,32
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,15,9,1,0,2,1,0,1,1,0,0,0,0,0,0,0,19,11,30
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,5
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTIVAÑES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,3,7
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SAPAHAQUI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,8,3,11
SENA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,7,5,2,3,0,1,3,1,4,0,4,4,1,1,2,1,23,16,39
SHINAOTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,19,17,1,2,1,1,0,1,0,1,1,0,1,1,1,3,24,26,50
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,5,6,0,1,2,0,0,0,0,1,0,1,0,0,0,0,7,9,16
SICAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
SIPE SIPE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,26,34,8,13,0,0,1,3,0,0,1,2,0,0,2,0,38,52,90
SOPACHUY,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
SORACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
SORATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,5,4,5,5,1,1,2,0,1,0,0,0,0,0,0,0,14,10,24
SUCRE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,171,158,6,3,6,7,2,0,4,3,1,2,3,2,0,1,193,176,369
TACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TACACOMA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,5,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,5,10
TACOBAMBA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TACOPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
TAHUA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TAPACARI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,12,7,7,12,0,0,0,1,0,0,0,0,0,0,0,0,19,20,39
TARABUCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
TARACO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,3,7
TARATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,7,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,7,10,17
TARIJA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,89,89,9,10,8,8,4,2,2,5,5,1,1,3,0,2,118,120,238
TARVITA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,1,7,3,3,0,0,0,0,0,0,0,1,0,0,0,0,4,11,15
TEOPONTE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,5,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,6,12
TIAHUANACU,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,5,10,15
TINGUIPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,0,5,4,4,0,0,0,1,0,0,0,0,0,0,0,0,4,10,14
TIPUANI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-02-01,0,0,0,0,3,7,4,0,1,3,1,0,0,0,0,0,0,0,0,0,9,10,19
