,group,variable,month,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,12,20,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,45
SAN LORENZO(PND),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,6,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,30,15,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,58
SAN LUCAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,56,36,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,59,143
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,14,21,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,55
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,25,18,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,80
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SAN PEDRO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,13,23,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,45
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,21,27,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49,94
SAN PEDRO DE CURAHUARA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,14,18,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,42
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN PEDRO(PND),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26
SAN RAMON BENI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,2,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,21,16,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,46
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1725,1722,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,1772,3547
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,9,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,26
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,20,21,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,61
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SANTIVAÑES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,11,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,33
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SAPAHAQUI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
SENA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,9,15,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,41
SHINAOTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,32,43,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,51,88
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,13,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,35
SICAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
SIPE SIPE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,65,53,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,63,138
SOPACHUY,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
SORACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,11,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26
SORATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,9,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
SUCRE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,399,436,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,445,859
TACACOMA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,8,4,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,39
TACOPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,26
TAHUA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TAPACARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,34,29,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,44,99
TARABUCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,8,4,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,34
TARACO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
TARATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,20
TARIJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,199,205,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,220,434
TARVITA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,10,13,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
TEOPONTE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,29
TIAHUANACU,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,10,6,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,54
TIPUANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
TIQUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,43,47,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,58,118
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,21,22,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,79
TOCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,11,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,23
TOLATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
TOMAVE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
TOMINA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,9,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,30
TORO TORO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,3,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,40
TOTORA(CBBA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,19,22,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,67
TOTORA(ORR),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
TRIGAL,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,139,108,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,116,269
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,67,62,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,68,147
TURCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
UMALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
UNCIA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,18,21,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,88
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,12,17,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,41
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,7,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,23
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,47,40,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,43,96
VACAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,11,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,24
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,39,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,29,69
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,77,71,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,89,184
VILA VILA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
VILLA CHARCAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,14,4,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,37
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,59,40,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,60,137
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,2,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
VILLA RIVERO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25
VILLA SERRANO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,6,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
VILLA TUNARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,179,182,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,204,407
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,8,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,69,58,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,65,139
VINTO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,45,41,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,70,156
VITICHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,8,15,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
WARNES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,285,277,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,284,575
YACO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,11,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,27
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,112,98,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,110,234
YAMPARAEZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,0,13,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,25
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,45,46,70,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,108,223
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
YOTALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,5,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25
YUNCHARA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,0,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18
ZUDAÑEZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-05-01,7,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24
ACACIO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,19,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,26
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,34
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,18,11,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,44
ALALAY,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ALCALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18
ANCORAIMES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ANTEQUERA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ANZALDO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,2,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
APOLO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,18,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,36
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ARANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
ARBIETO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,16,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,34
ARQUE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,27,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,57
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,11,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
AYATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,1,6,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23
AYO AYO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,8,14,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,45
AZURDUY,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,13,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,29
BAURES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELEN DE URMIRI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,19,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,27
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,22,14,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,59
BOLIVAR,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
BOLPEBRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BOYUIBE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,11,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,31
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-06-01,23,27,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,71
