,group,variable,month,PENTAVELENTE 3RA DOSIS < A 1 AÑO - D,PENTAVELENTE 3RA DOSIS < A 1 AÑO - D,PENTAVELENTE 3RA DOSIS < A 1 AÑO - F,PENTAVELENTE 3RA DOSIS < A 1 AÑO - F,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - D,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - D,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - F,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - F,PENTAVELENTE 3RA DOSIS 2 AÑOS - D,PENTAVELENTE 3RA DOSIS 2 AÑOS - D,PENTAVELENTE 3RA DOSIS 2 AÑOS - F,PENTAVELENTE 3RA DOSIS 2 AÑOS - F,PENTAVELENTE 3RA DOSIS 3 AÑOS - D,PENTAVELENTE 3RA DOSIS 3 AÑOS - D,PENTAVELENTE 3RA DOSIS 3 AÑOS - F,PENTAVELENTE 3RA DOSIS 3 AÑOS - F,PENTAVELENTE 3RA DOSIS 4 AÑOS - D,PENTAVELENTE 3RA DOSIS 4 AÑOS - D,PENTAVELENTE 3RA DOSIS 4 AÑOS - F,PENTAVELENTE 3RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
AYATA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
AYO AYO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,10
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,28
AZURDUY,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
BATALLAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
BAURES,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,11
BELEN DE URMIRI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
BELLA FLOR,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
BERMEJO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,19,11,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,24,12,36
BETANZOS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,15,11,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,35
BOLIVAR,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
BOYUIBE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
BUENA VISTA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,8,19
CABEZAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,11,11,6,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17,20,37
CAIROMA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
"CAIZA ""D""",vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
CAJUATA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
CALACOTO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CALAMARCA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CAMARGO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,6,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,11,22
CAPINOTA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,11,15,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,18,30
CAQUIAVIRI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
CARACOLLO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,10,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
CARANAVI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,22,16,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,20,47
CARAPARI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
CARIPUYO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
CATACORA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHACARILLA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,12,17,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16,19,35
CHAQUI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
CHARAGUA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,14,13,5,16,1,1,1,3,1,3,5,1,0,0,0,0,0,0,0,0,27,37,64
CHARAÑA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHAYANTA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,3,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,7,13
CHIMORE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,15,17,3,2,0,3,0,1,2,1,0,1,0,1,0,0,0,1,0,0,20,27,47
CHIPAYA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CHUA COCANI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,12,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9,15,24
CHUMA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
CKOCHAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
CLIZA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,8,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,22
COBIJA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,14,18,15,18,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30,38,68
COCAPATA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,13,12,5,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20,16,36
COCHABAMBA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,368,365,11,10,12,15,1,6,8,9,6,0,1,1,3,5,4,1,6,3,420,415,835
COLCAPIRHUA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,23,26,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,34,60
"COLCHA ""K""",vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
COLLANA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COLOMI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,5,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
COLPA BELGICA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
COLQUECHACA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,8,1,3,1,2,0,0,1,0,0,0,1,0,0,0,2,1,0,0,12,14,26
COLQUENCHA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12
COLQUIRI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,8,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,12,28
COMANCHE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
COMARAPA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22
COMBAYA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CONCEPCION,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,10,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24
CORIPATA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,7,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,18
CORO CORO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
COROICO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,5,3,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,8,20
CORQUE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
COTAGAITA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
COTOCA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,46,38,10,6,1,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,58,49,107
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,11,10,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,15,12,27
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CUEVO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
CULPINA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CURVA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
DESAGUADERO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
EL ALTO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,389,360,183,191,12,20,6,19,9,8,19,17,8,6,16,11,2,1,10,15,654,648,1302
EL CHORO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
EL PUENTE(STC),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
EL PUENTE(TJA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
EL TORNO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,17,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,12,30
EL VILLAR,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,15,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,7,24
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,25,22,2,5,1,3,4,4,0,0,1,1,0,0,1,1,0,0,0,0,34,36,70
EUCALIPTUS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
EXALTACION,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16
FILADELFIA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,21
GIA-TIM,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,6,16
GUANAY,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,9,1,7,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,5,22
GUAQUI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
GUAYARAMERIN,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,32,28,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,33,33,66
GUTIERREZ,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,15,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,28
HUACARAJE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3
HUACARETA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUANUNI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,4,4,7,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,10,13,23
HUARINA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
HUAYLLAMARCA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
HUMANATA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4
ICHOCA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,5
ICLA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
INCAHUASI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
INQUISIVI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,8,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20
IXIAMAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
JESUS DE MACHACA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
LA ASUNTA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,34,29,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,32,67
LA GUARDIA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,55,52,2,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,60,56,116
LA PAZ,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,308,301,33,30,18,14,2,0,8,5,0,0,1,1,0,0,1,1,3,1,374,353,727
LAGUNILLAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
LAJA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,7,18
LAS CARRERAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LICOMA PAMPA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
LLALLAGUA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,17,14,25,28,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,43,43,86
LLICA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
LORETO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,5,4,9
LURIBAY,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,10
MACHACAMARCA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MACHARETI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
MAGDALENA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,11
MAIRANA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
MALLA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
MAPIRI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,12,12,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
MECAPACA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
MINEROS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,1,1,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7,5,12
MIZQUE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,9,12,6,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,18,15,33
MOCOMOCO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,10
MOJOCOYA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
MONTEAGUDO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
MONTERO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,55,67,8,6,4,0,2,3,1,0,1,1,0,0,0,1,0,0,2,0,73,78,151
MORO MORO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MOROCHATA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,3,6,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,7,15
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
OCURI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13
OKINAWA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
OMEREQUE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
ORURO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,144,118,11,16,5,4,1,3,2,4,5,2,1,2,2,1,0,1,1,3,172,154,326
PADCAYA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
PADILLA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
PAILON,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,12,6,8,1,0,0,0,1,1,3,0,0,0,1,2,0,0,0,2,18,25,43
PALCA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,6,13,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,13,23
PALOS BLANCOS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,15,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,30
PAMPA AULLAGAS,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-03-01,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
