,group,variable,month,PENTAVALENTE 1RA DOSIS < A 1 AÑO - D,PENTAVALENTE 1RA DOSIS < A 1 AÑO - D,PENTAVALENTE 1RA DOSIS < A 1 AÑO - F,PENTAVALENTE 1RA DOSIS < A 1 AÑO - F,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - D,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - D,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - F,PENTAVALENTE 1RA DOSIS 12 A 23 MESES - F,PENTAVALENTE 1RA DOSIS 2 AÑOS - D,PENTAVALENTE 1RA DOSIS 2 AÑOS - D,PENTAVALENTE 1RA DOSIS 2 AÑOS - F,PENTAVALENTE 1RA DOSIS 2 AÑOS - F,PENTAVALENTE 1RA DOSIS 3 AÑOS - D,PENTAVALENTE 1RA DOSIS 3 AÑOS - D,PENTAVALENTE 1RA DOSIS 3 AÑOS - F,PENTAVALENTE 1RA DOSIS 3 AÑOS - F,PENTAVALENTE 1RA DOSIS 4 AÑOS - D,PENTAVALENTE 1RA DOSIS 4 AÑOS - D,PENTAVALENTE 1RA DOSIS 4 AÑOS - F,PENTAVALENTE 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
EL CHORO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
EL PUENTE(STC),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,8,15
EL PUENTE(TJA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
EL TORNO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,65
EL VILLAR,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,16
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,28,44,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,48,80
ESCOMA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EUCALIPTUS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
EUREKA (SANTOS MERCADO),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
EXALTACION,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,7,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
FILADELFIA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,9,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,28
GIA-TIM,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
GUANAY,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,6,6,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,9,21
GUAQUI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
GUAYARAMERIN,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,31,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,29,61
GUTIERREZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,14
HUACARAJE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUACARETA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,5
HUANUNI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,4,12,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23
HUARINA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUATAJATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
HUAYLLAMARCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
HUMANATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
ICHOCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ICLA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
INCAHUASI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,4,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,10,17
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
INQUISIVI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,8,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,22
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,7,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,9,19
IXIAMAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
JESUS DE MACHACA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,7,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
LA ASUNTA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,35,30,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,31,68
LA GUARDIA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,95,118,6,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,104,124,228
LA PAZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,388,360,3,4,2,1,0,0,1,0,1,0,2,0,0,1,0,1,0,0,397,367,764
LA RIVERA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LAGUNILLAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
LAJA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,22
LAS CARRERAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
LICOMA PAMPA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
LLALLAGUA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,12,8,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,62
LLICA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LORETO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
LURIBAY,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
MACHACAMARCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
MACHARETI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8
MAGDALENA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
MAIRANA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
MALLA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
MAPIRI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,31
MECAPACA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,15
MINEROS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,12,26,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,30,48
MIZQUE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,14,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,9,24
MOCOMOCO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,4,11
MOJOCOYA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
MONTEAGUDO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22
MONTERO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,108,91,2,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,111,96,207
MORO MORO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
MOROCHATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
NAZACARA DE PACAJES,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
OCURI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
OKINAWA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,9,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
OMEREQUE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
ORURO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,231,247,14,11,0,1,2,2,2,0,0,1,0,1,2,0,0,0,1,0,252,263,515
PADCAYA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
PADILLA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
PAILON,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,13,18,14,9,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,31,29,60
PALCA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,8,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,14,21
PALOS BLANCOS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,20,22,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,49
PAMPA AULLAGAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PAMPA GRANDE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,10
PAPEL PAMPA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PASORAPA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PATACAMAYA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,18,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,30
PAZÑA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12
PELECHUCO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
POCOATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
POCONA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
POJO (CBBA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
POOPO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
PORCO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,8,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,12,22
POROMA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
PORONGO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
PORTACHUELO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,14,12,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16,15,31
PORVENIR,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,10
POSTRER VALLE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
POTOSI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,181,153,14,6,1,0,2,1,0,1,0,1,0,0,0,1,0,0,1,0,199,163,362
PRESTO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PUCARANI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,17,15,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,19,42
PUERTO ACOSTA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
PUERTO CARABUCO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
PUERTO PEREZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17
PUERTO RICO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
PUERTO SILES,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
PUERTO SUAREZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,12,11,5,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,19,19,38
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,41,52,6,12,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,50,66,116
PUNA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
PUNATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,22,11,5,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,22,49
QUILLACOLLO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,64,64,29,43,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,94,109,203
QUIME,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
QUIRUSILLAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,10
RAVELO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
REYES,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,13,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23
RIBERALTA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,88,82,2,2,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,91,88,179
ROBORE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,10,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,15,25
RURRENABAQUE,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,9,17,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,31
SABAYA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SACABA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,93,102,13,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109,111,220
SACABAMBA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
SACACA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,6,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17
SAIPINA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAMAIPATA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
SAN AGUSTIN,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANDRES,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,6,10,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAN BENITO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,6,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
SAN BORJA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,33,28,8,23,0,1,2,1,2,1,3,2,0,0,1,3,0,0,1,0,50,59,109
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
SAN CARLOS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
SAN IGNACIO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,15,13,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,24,13,37
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,43,44,19,12,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,67,58,125
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN JAVIER(STC),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,28
SAN JOAQUIN,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,5,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,14
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,21,17,16,14,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,40,32,72
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
SAN JULIAN,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,40,52,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,56,98
SAN LORENZO(PND),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,4,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,22
SAN LUCAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,7,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,32
SAN MATIAS,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,12,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,26
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,pentavalente 1ra dosis,2024-04-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
