,group,variable,month,SRP 1RA DOSIS < A 1 AÑO - D,SRP 1RA DOSIS < A 1 AÑO - D,SRP 1RA DOSIS < A 1 AÑO - F,SRP 1RA DOSIS < A 1 AÑO - F,SRP 1RA DOSIS 12 A 23 MESES - D,SRP 1RA DOSIS 12 A 23 MESES - D,SRP 1RA DOSIS 12 A 23 MESES - F,SRP 1RA DOSIS 12 A 23 MESES - F,SRP 1RA DOSIS 2 AÑOS - D,SRP 1RA DOSIS 2 AÑOS - D,SRP 1RA DOSIS 2 AÑOS - F,SRP 1RA DOSIS 2 AÑOS - F,SRP 1RA DOSIS 3 AÑOS - D,SRP 1RA DOSIS 3 AÑOS - D,SRP 1RA DOSIS 3 AÑOS - F,SRP 1RA DOSIS 3 AÑOS - F,SRP 1RA DOSIS 4 AÑOS - D,SRP 1RA DOSIS 4 AÑOS - D,SRP 1RA DOSIS 4 AÑOS - F,SRP 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAN JOAQUIN,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,13,8,18,26,0,1,9,10,0,0,0,3,0,0,2,1,42,49,91
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
SAN JULIAN,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,37,37,6,16,1,1,2,3,0,0,0,0,0,0,0,0,46,57,103
SAN LORENZO(PND),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,1,8,2,0,0,0,0,0,0,0,1,0,0,0,0,10,4,14
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,22,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,25,13,38
SAN LUCAS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,18,16,8,7,0,0,0,0,0,0,0,0,0,0,0,0,26,23,49
SAN MATIAS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,6,14,5,7,6,2,1,3,0,0,0,0,1,1,3,1,22,28,50
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,2,10,9,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN PEDRO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,20,20,16,14,0,0,0,0,0,0,0,0,0,0,0,0,36,34,70
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,5,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN PEDRO DE QUEMES,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
SAN PEDRO(PND),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN RAFAEL,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,6,6,12
SAN RAMON BENI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
SAN RAMON SCZ,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,9,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,12,6,18
SANTA ANA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,9,10,4,6,0,0,2,2,0,0,3,1,1,0,3,0,22,19,41
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,832,846,33,21,27,26,3,6,19,20,5,2,18,10,3,10,940,941,1881
SANTA ROSA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,7,3,1,1,0,0,0,1,0,0,0,0,0,0,9,4,17,9,26
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,9,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,12,8,20
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,5,7
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SANTIVAÑES,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,8,11
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAPAHAQUI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,3,2,4,0,0,3,0,1,0,0,2,0,0,1,0,7,9,16
SENA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,5,7,6,4,0,0,3,1,2,0,3,4,3,3,1,4,23,23,46
SHINAOTA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,23,28,10,5,0,2,1,0,0,0,1,1,1,0,2,0,38,36,74
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,11,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,12,14,26
SICAYA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SIPE SIPE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,49,52,5,8,0,1,4,0,1,1,0,2,0,0,1,1,60,65,125
SOPACHUY,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
SORACACHI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,13,7,1,3,0,0,0,0,0,1,0,0,0,0,0,0,14,11,25
SORATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,8,4,8,8,0,0,0,1,0,0,0,0,0,0,0,0,16,13,29
SUCRE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,202,203,6,4,1,2,1,0,1,0,0,0,1,0,0,0,212,209,421
TACACHI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
TACACOMA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,5,3,5,4,0,1,3,0,0,1,1,0,0,0,0,0,14,9,23
TACOPAYA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
TAHUA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4
TAPACARI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,8,9,14,7,0,0,0,0,0,0,1,0,0,0,0,0,23,16,39
TARABUCO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,4,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20
TARACO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
TARATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
TARIJA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,127,104,9,8,3,1,0,0,0,1,3,0,2,1,0,0,144,115,259
TARVITA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,6,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23
TEOPONTE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
TIAHUANACU,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
TINGUIPAYA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
TIPUANI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,7,10
TIQUIPAYA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,27,29,10,10,1,0,0,0,1,0,0,2,1,0,0,1,40,42,82
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,5,4,14,10,0,0,0,0,0,0,0,0,0,0,0,0,19,14,33
TITO YUPANQUI (PARQUIPUJIO),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TOCO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
TOLATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,4,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,6,5,11
TOLEDO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
TOMAVE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
TOMINA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
TORO TORO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
TOTORA(CBBA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,1,14,8,22
TOTORA(ORR),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TRIGAL,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,98,70,0,2,3,2,0,0,1,0,0,0,0,3,0,0,102,77,179
TUPIZA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,27,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,29,21,50
TURCO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UMALA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UNCIA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,8,13,1,7,1,0,0,0,0,0,0,0,0,0,0,0,10,20,30
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,13,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,14,19,33
URUBICHA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
UYUNI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,21,22,5,1,0,0,0,0,0,0,0,0,0,0,0,0,26,23,49
VACAS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10
VALLEGRANDE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,10,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25
VIACHA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,36,26,4,11,2,1,0,1,2,2,1,0,0,0,0,0,45,41,86
VILA VILA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
VILLA CHARCAS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
VILLA MONTES,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,25,35,12,7,2,0,1,1,0,0,0,0,0,0,0,0,40,43,83
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
VILLA RIVERO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
VILLA SERRANO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
VILLA TUNARI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,83,85,13,22,0,2,1,0,0,0,2,0,1,1,0,0,100,110,210
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
VILLAZON,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,20,19,3,0,0,1,0,0,1,0,0,0,0,0,0,0,24,20,44
VINTO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,18,20,33,26,0,0,2,1,2,0,4,2,1,1,2,0,62,50,112
VITICHI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WARNES,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,104,115,1,2,5,8,2,0,0,0,0,0,3,2,2,2,117,129,246
YACO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
YACUIBA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,65,59,25,18,0,2,4,1,2,1,0,6,1,3,0,1,97,91,188
YAMPARAEZ,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
YANACACHI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
YAPACANI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,15,17,18,31,0,0,0,0,1,0,0,0,1,0,0,0,35,48,83
YOCALLA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
YOTALA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,6,8,14
YUNCHARA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
YUNGUYO DE LITORAL,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ZUDAÑEZ,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-02-01,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
ACHACACHI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,8,5,4,2,2,1,1,1,1,0,0,0,1,0,0,0,17,9,26
ACHOCALLA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,12,16,0,2,2,1,0,0,1,0,0,0,0,1,0,1,15,21,36
AIQUILE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,6,11,4,7,0,1,0,0,0,0,0,0,0,1,0,0,10,20,30
ALALAY,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALCALA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALTO BENI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,8,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9,10,19
ANCORAIMES,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,6,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
ANDAMARCA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
ANTEQUERA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,6,7
ANZALDO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
APOLO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,15,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,8,26
ARAMPAMPA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ARANI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
ARBIETO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,7,11,2,3,0,0,1,0,0,1,0,0,0,0,0,0,10,15,25
ARQUE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,4,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,22,32,7,6,3,0,1,1,0,0,0,0,0,1,0,0,33,40,73
ATOCHA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
AUCAPATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
AYATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,2,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,5,5,10
AYO AYO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,4,0,1,1,2,1,1,0,0,0,0,0,0,1,2,1,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,5,8,10,7,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
AZURDUY,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
BATALLAS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,6,10,1,2,0,0,0,0,0,0,0,0,0,1,0,0,7,13,20
BAURES,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,4,10
BELEN DE ANDAMARCA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
BELEN DE URMIRI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BELLA FLOR,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
BERMEJO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,14,14,10,6,0,4,3,3,0,3,2,0,2,1,0,0,31,31,62
BETANZOS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,12,12,5,9,0,0,0,0,0,0,0,0,0,0,0,0,17,21,38
BOLIVAR,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4
BOLPEBRA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BOYUIBE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
BUENA VISTA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18
CABEZAS,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,16,7,15,11,0,0,0,4,1,1,2,1,1,0,1,0,36,24,60
CAIROMA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
"CAIZA ""D""",vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,7,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,14,7,21
CAJUATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
CALACOTO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CALAMARCA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,5,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,8,14
CAMARGO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,5,4,7,2,0,0,2,0,0,0,0,0,0,0,0,0,14,6,20
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CAMIRI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,8,13,6,5,0,0,2,0,0,0,0,0,0,0,0,1,16,19,35
CAPINOTA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,7,10,0,3,0,0,1,1,0,1,1,0,2,1,1,0,12,16,28
CAQUIAVIRI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,8
CARACOLLO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,5,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18
CARANAVI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,16,17,3,9,2,0,3,1,0,1,0,0,0,0,0,0,24,28,52
CARAPARI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
CARIPUYO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,1,10,7,0,0,0,0,0,0,1,0,0,0,0,0,12,8,20
CATACORA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHACARILLA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHALLAPATA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,5,8,6,11,2,0,1,1,0,1,0,2,0,0,0,0,14,23,37
CHAQUI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-03-01,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
