,group,variable,month,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
GUTIERREZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
HUACARAJE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,12
HUACARETA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,5,1,6
HUARINA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,2,3,5
ICLA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,0,3,5,0,1,5,2,1,0,3,3,13,11,24
JESUS DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,4,3,7
LA ASUNTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,9,8,1,0,4,11,0,1,1,2,6,6,21,28,49
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,6,1,0,0,3,0,0,3,3,0,0,6,12,18
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,55,53,2,2,21,28,6,8,32,33,69,57,185,181,366
LLALLAGUA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,5,7,18,15,2,6,7,12,7,2,9,7,48,49,97
LLICA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3,1,4
LORETO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,4,1,5
MACHARETI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,2,3,5,2,0,0,1,0,0,1,1,6,9,15
MONTEAGUDO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,18,22,4,2,11,12,3,5,6,8,3,5,45,54,99
MONTERO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,29,21,13,19,15,17,11,13,15,14,3,4,86,88,174
OCURI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3,0,0,0,0,2,6,4,10
ORURO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PAILON,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,9,4,5,6,0,0,0,0,0,0,0,0,14,10,24
PALCA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,3,2,1,0,3,2,1,3,2,2,0,0,10,9,19
PAMPA GRANDE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,2,2,5,5,10
POROMA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,1,1,1,1,2,5,9,14
PORONGO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,15,17,2,1,10,10,3,2,11,15,9,11,50,56,106
POTOSI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,18,8,9,8,15,17,8,7,4,13,44,86,98,139,237
PUERTO CARABUCO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
PUERTO RICO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,3,5,0,0,2,7,0,0,2,9,7,21,28
PUERTO SUAREZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,6,6
PUNATA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,2,4,6
QUILLACOLLO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,36,29,89,72,24,20,66,84,27,28,105,120,347,353,700
QUIRUSILLAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,2,0,2,1,1,6,9,15
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,1,34,27,37,31,68
RURRENABAQUE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,2,4
SACABA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,2,3,5
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,9,10,0,3,4,7,7,15,5,5,10,12,35,52,87
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,4,3,7
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,3,1,0,4,5,9
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,0,0,4,3,7
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,4
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,2,4
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,0,5,5,10
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,8,0,1,6,7,1,0,1,2,0,1,10,19,29
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,2,3,5
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,142,120,39,27,112,126,60,48,134,132,65,56,552,509,1061
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,7,9,6,4,4,9,3,4,5,3,27,15,52,44,96
SHINAOTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,2,9,3,12
TARIJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,0,1,1,0,0,5,4,9
TRIGAL,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,3,0,0,0,3,5,10,15
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,5,2,0,0,1,0,4,13,4,1,10,8,24,24,48
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,6,2,4,4,5,4,1,1,5,4,4,4,25,19,44
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,7,7,1,4,3,8,9,6,0,2,21,20,41,47,88
UYUNI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,2,4,3,7
VILLA TUNARI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,0,0,0,0,1,4,5,9
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
VITICHI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,3,4,7
WARNES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,92,89,24,12,62,63,29,23,48,49,27,39,282,275,557
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,4,6
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,16,17,0,0,7,16,0,0,9,6,0,0,32,39,71
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
BAURES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,4,0,8,5,2,1,1,6,5,1,2,0,22,13,35
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,13,13,0,0,8,9,0,1,5,4,1,0,27,27,54
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,4,1,0,0,0,2,4,4,7,6,3,4,18,17,35
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,0,3,1,5,2,16,5,21
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,4,5,2,2,3,7,7,5,4,4,2,2,22,25,47
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,11,6,5,9,0,5,0,0,3,2,0,0,19,22,41
CHIMORE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,5,9,0,0,2,0,0,0,2,0,1,1,10,10,20
COBIJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,4,2,6
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,47,43,10,7,24,24,10,19,28,37,8,11,127,141,268
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,7,8,3,0,10,2,1,4,3,5,1,0,25,19,44
COMBAYA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,4
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,15,6,2,4,11,14,10,3,8,9,3,5,49,41,90
CORIPATA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COTOCA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,3,4
CURVA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,3
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,11,14,6,8,12,7,7,2,10,24,5,8,51,63,114
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,3
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,14,14,2,1,7,6,3,3,4,15,1,3,31,42,73
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,3
GUAYARAMERIN,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,2,4
GUTIERREZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HUACARAJE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ICLA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
LA ASUNTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
LA GUARDIA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,2,0,0,1,1,6,8,14
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,57,63,3,3,23,20,0,2,53,37,9,16,145,141,286
LLALLAGUA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,9,7,51,48,2,4,7,7,2,5,3,11,74,82,156
LORETO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MAGDALENA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,4,2,6
MOCOMOCO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,6,3,9
MONTEAGUDO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,11,9,0,1,5,10,0,0,4,9,0,0,20,29,49
MONTERO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,40,36,4,4,24,15,12,10,20,22,11,13,111,100,211
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
OKINAWA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,6,4,10
ORURO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,3
PADCAYA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,3
PAILON,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PALCA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
PAMPA GRANDE,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,3,6,4,5,12,19,31
PORCO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,0,0,0,0,0,4,4,8
POROMA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,5,2,7
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,9,12,3,0,20,14,3,3,17,27,4,4,56,60,116
PORVENIR,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
POTOSI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,14,14,2,0,12,12,3,2,18,11,1,1,50,40,90
PUERTO CARABUCO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,1,2,2,1,7,7,14
PUERTO SUAREZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,31,24,2,4,18,20,5,7,19,15,3,6,78,76,154
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,3,2,5
QUIRUSILLAS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,1,3,1,0,2,2,0,1,0,1,0,7,4,11
REYES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,2,0,3,1,1,2,0,3,2,3,2,0,10,9,19
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,2,2,4,7,0,3,5,4,2,0,4,7,17,23,40
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1,4
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,7,3,0,0,10,8,2,1,5,12,0,1,24,25,49
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,4,5
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,3,5
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,0,4,13,2,1,4,8,0,1,2,1,13,24,37
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,1,0,0,1,1,4,6,10
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAN PEDRO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,4,0,0,0,0,5,2,1,0,2,4,2,10,10,20
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,1,4
SAN RAMON BENI,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,3
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,9,4,2,3,10,1,1,4,5,12,4,4,31,28,59
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-07-01,0,0,0,0,0,0,0,0,90,105,14,13,51,53,5,5,60,70,10,8,230,254,484
