municipality,group,variable,month,Anestesias generales y regionales,TOTAL
WARNES,cirugias y anestesias,anestesias generales y regionales,2009-04-01,24,24
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,115,115
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2009-04-01,6,6
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-04-01,5,5
YOTALA,cirugias y anestesias,anestesias generales y regionales,2009-04-01,12,12
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2009-04-01,3,3
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-05-01,20,20
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-05-01,38,38
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2009-05-01,15,15
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-05-01,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,56,56
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-05-01,5,5
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,25,25
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-05-01,83,83
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-05-01,39,39
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,9,9
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,7,7
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2009-05-01,2,2
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,126,126
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,3165,3165
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,56,56
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,15,15
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-05-01,11,11
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,21,21
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,3,3
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,14,14
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,18,18
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,810,810
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,14,14
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-05-01,57,57
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-05-01,2793,2793
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,54,54
LURIBAY,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1,1
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1,1
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,6,6
MIZQUE,cirugias y anestesias,anestesias generales y regionales,2009-05-01,6,6
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,64,64
OCURI,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1,1
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,584,584
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,11,11
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,5,5
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,31,31
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-05-01,21,21
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-05-01,684,684
PUERTO RICO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,96,96
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-05-01,62,62
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-05-01,43,43
PUNA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1,1
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,60,60
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,45,45
REYES,cirugias y anestesias,anestesias generales y regionales,2009-05-01,2,2
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,289,289
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-05-01,13,13
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-05-01,6,6
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,119,119
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1,1
SAN ANTONIO DE LOMERIO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1,1
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,33,33
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,16,16
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-05-01,21,21
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,4,4
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,59,59
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-05-01,11,11
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-05-01,30,30
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-05-01,38,38
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-05-01,35,35
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-05-01,23,23
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-05-01,21,21
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-05-01,4,4
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-05-01,3,3
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,19,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,3963,3963
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,69,69
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-05-01,2,2
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1056,1056
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,20,20
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,523,523
TARVITA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,1,1
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-05-01,10,10
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-05-01,176,176
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,22,22
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-05-01,32,32
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,13,13
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2009-05-01,55,55
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2009-05-01,47,47
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2009-05-01,69,69
VINTO,cirugias y anestesias,anestesias generales y regionales,2009-05-01,4,4
WARNES,cirugias y anestesias,anestesias generales y regionales,2009-05-01,24,24
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,113,113
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-05-01,6,6
YOTALA,cirugias y anestesias,anestesias generales y regionales,2009-05-01,15,15
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2009-05-01,2,2
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,1,1
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-06-01,11,11
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-06-01,27,27
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2009-06-01,17,17
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-06-01,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,59,59
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-06-01,8,8
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,31,31
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,115,115
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,3,3
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,37,37
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,11,11
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,12,12
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2009-06-01,2,2
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,134,134
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,3264,3264
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,65,65
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,16,16
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-06-01,8,8
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,18,18
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,17,17
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,24,24
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,729,729
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,5,5
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-06-01,35,35
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,7,7
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-06-01,2982,2982
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,59,59
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,2,2
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,7,7
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,43,43
OCURI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,1,1
OMEREQUE,cirugias y anestesias,anestesias generales y regionales,2009-06-01,15,15
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,482,482
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,17,17
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,14,14
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,56,56
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-06-01,21,21
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,645,645
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,3,3
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-06-01,64,64
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-06-01,41,41
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,74,74
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,64,64
REYES,cirugias y anestesias,anestesias generales y regionales,2009-06-01,8,8
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,297,297
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-06-01,9,9
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-06-01,6,6
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,105,105
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,3,3
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,38,38
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,16,16
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-06-01,24,24
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,7,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,56,56
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-06-01,6,6
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2009-06-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-06-01,56,56
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,15,15
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-06-01,40,40
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-06-01,28,28
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-06-01,27,27
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-06-01,4,4
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,20,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,3250,3250
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,3,3
SANTA ROSA DEL SARA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,1,1
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-06-01,1,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-06-01,982,982
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,15,15
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,539,539
TARVITA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,7,7
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-06-01,20,20
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-06-01,339,339
UYUNI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,13,13
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-06-01,42,42
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,20,20
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2009-06-01,75,75
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,54,54
VINTO,cirugias y anestesias,anestesias generales y regionales,2009-06-01,23,23
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,103,103
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-06-01,13,13
YOTALA,cirugias y anestesias,anestesias generales y regionales,2009-06-01,17,17
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2009-06-01,8,8
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1,1
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-07-01,11,11
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-07-01,35,35
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2009-07-01,8,8
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-07-01,2,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,82,82
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-07-01,5,5
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,10,10
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,80,80
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1,1
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,45,45
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,10,10
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,8,8
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,148,148
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,3592,3592
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,79,79
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,12,12
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-07-01,17,17
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,12,12
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,10,10
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,31,31
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,841,841
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,18,18
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-07-01,79,79
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-07-01,3208,3208
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,42,42
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,4,4
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,11,11
MIZQUE,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1,1
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,51,51
MONTERO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,136,136
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,733,733
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,18,18
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,13,13
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,82,82
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-07-01,3,3
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,671,671
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1,1
PUERTO RICO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,131,131
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-07-01,59,59
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-07-01,96,96
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,73,73
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,54,54
REYES,cirugias y anestesias,anestesias generales y regionales,2009-07-01,6,6
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,129,129
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-07-01,63,63
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-07-01,9,9
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,125,125
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1,1
SAN ANDRES,cirugias y anestesias,anestesias generales y regionales,2009-07-01,6,6
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,28,28
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,18,18
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-07-01,20,20
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,12,12
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,110,110
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-07-01,12,12
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2009-07-01,2,2
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-07-01,26,26
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,19,19
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-07-01,35,35
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-07-01,9,9
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-07-01,26,26
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-07-01,7,7
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-07-01,2,2
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,14,14
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,4071,4071
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1,1
SANTA ROSA DEL SARA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1,1
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-07-01,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-07-01,1252,1252
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,15,15
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,533,533
TARVITA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,2,2
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-07-01,29,29
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-07-01,302,302
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,26,26
UYUNI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,8,8
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-07-01,29,29
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,24,24
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2009-07-01,78,78
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,48,48
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2009-07-01,49,49
VINTO,cirugias y anestesias,anestesias generales y regionales,2009-07-01,21,21
WARNES,cirugias y anestesias,anestesias generales y regionales,2009-07-01,21,21
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,89,89
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-07-01,8,8
YOTALA,cirugias y anestesias,anestesias generales y regionales,2009-07-01,11,11
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2009-07-01,4,4
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2009-08-01,1,1
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-08-01,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-08-01,80,80
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2009-08-01,9,9
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-08-01,2,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,64,64
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-08-01,3,3
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,22,22
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-08-01,98,98
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-08-01,39,39
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,33,33
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,9,9
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,79,79
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,3211,3211
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,81,81
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,14,14
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-08-01,8,8
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,24,24
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,7,7
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,14,14
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,840,840
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,20,20
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-08-01,42,42
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-08-01,2963,2963
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,38,38
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,1,1
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,5,5
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,44,44
MONTERO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,146,146
OCURI,cirugias y anestesias,anestesias generales y regionales,2009-08-01,2,2
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,732,732
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,9,9
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,18,18
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,43,43
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-08-01,5,5
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-08-01,698,698
PRESTO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,1,1
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,1,1
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,5,5
PUERTO RICO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,107,107
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-08-01,45,45
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-08-01,97,97
PUNATA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,71,71
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,39,39
REYES,cirugias y anestesias,anestesias generales y regionales,2009-08-01,7,7
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,114,114
ROBORE,cirugias y anestesias,anestesias generales y regionales,2009-08-01,10,10
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2009-08-01,7,7
SACABA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,92,92
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,2,2
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,24,24
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,8,8
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2009-08-01,31,31
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,8,8
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,60,60
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2009-08-01,8,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2009-08-01,49,49
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2009-08-01,20,20
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2009-08-01,52,52
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2009-08-01,22,22
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2009-08-01,18,18
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-08-01,5,5
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2009-08-01,3,3
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,20,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,4674,4674
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,2,2
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2009-08-01,2,2
SUCRE,cirugias y anestesias,anestesias generales y regionales,2009-08-01,1113,1113
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2009-08-01,12,12
TARIJA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,243,243
TARVITA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,5,5
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2009-08-01,18,18
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2009-08-01,311,311
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,31,31
UYUNI,cirugias y anestesias,anestesias generales y regionales,2009-08-01,14,14
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2009-08-01,40,40
VIACHA,cirugias y anestesias,anestesias generales y regionales,2009-08-01,19,19
