,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
UYUNI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,4,14,18
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2012-04-01,8,23,31
VIACHA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,1,2
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2012-04-01,5,55,60
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,7,48,55
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2012-04-01,10,83,93
VINTO,cirugias y anestesias,anestesias generales y regionales,2012-04-01,18,19,37
WARNES,cirugias y anestesias,anestesias generales y regionales,2012-04-01,1,7,8
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2012-04-01,53,106,159
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-04-01,6,38,44
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,3,3
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-05-01,5,14,19
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-05-01,6,14,20
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,5,5
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,26,44,70
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,22,33,55
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,6,57,63
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,3,3,6
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,7,29,36
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,7,7
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,12,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,12,13
CLIZA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,7,7
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,51,102,153
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1033,1946,2979
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,33,40,73
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,3,3
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,13,13
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,10,18,28
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,1,2
COTOCA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,2,0,2
CULPINA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,5,20,25
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,237,514,751
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,21,46,67
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,8,8
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,4,4
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-05-01,11,52,63
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,22,22
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-05-01,967,1546,2513
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,22,40,62
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,48,29,77
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,11,12
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,23,28,51
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,28,98,126
OCURI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,1,1
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,188,363,551
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,5,18,23
PAILON,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,6,6
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,4,6,10
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,16,23,39
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,298,497,795
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2012-05-01,28,49,77
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2012-05-01,9,2,11
PUNATA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,16,36,52
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,31,66,97
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,61,213,274
ROBORE,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,7,7
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2012-05-01,4,17,21
SACABA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,22,121,143
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,7,7
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,12,37,49
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,2,2
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2012-05-01,2,17,19
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,9,10
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,18,63,81
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2012-05-01,3,9,12
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2012-05-01,2,13,15
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,47,0,47
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,7,7
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2012-05-01,6,7,13
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2012-05-01,4,4,8
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,21,22
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1393,2359,3752
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,7,7
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,15,15
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,1,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2012-05-01,306,474,780
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,2,1,3
TARIJA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,197,408,605
TARVITA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,3,3
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,27,27
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,4,5
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2012-05-01,48,60,108
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,20,21,41
UYUNI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,11,14,25
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2012-05-01,8,28,36
VIACHA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,8,5,13
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2012-05-01,14,48,62
VILLA SERRANO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,16,16
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,8,4,12
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2012-05-01,25,70,95
VINTO,cirugias y anestesias,anestesias generales y regionales,2012-05-01,0,5,5
WARNES,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,13,14
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2012-05-01,75,91,166
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-05-01,4,35,39
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2012-05-01,1,0,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,2,2
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,15,15
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-06-01,13,17,30
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,5,5
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,22,63,85
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,4,4,8
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,17,56,73
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,5,7
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,24,26
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,14,15
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,12,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,10,11
CLIZA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,3,3
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,32,80,112
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1193,2155,3348
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,12,34,46
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,4,4
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,15,16
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,11,18,29
COTOCA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,3,3
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,317,687,1004
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,15,39,54
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,10,11
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,3,3
GUANAY,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,4,5
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-06-01,23,68,91
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,3,12,15
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,4,5,9
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-06-01,880,1450,2330
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,24,35,59
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,8,17,25
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,12,13
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,24,38,62
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,36,135,171
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,300,450,750
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,9,21,30
PAILON,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,7,7
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,4,7,11
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,20,32,52
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,319,415,734
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2012-06-01,19,39,58
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,1,1
PUNATA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,23,54,77
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,17,38,55
REYES,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,7,7
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,71,105,176
ROBORE,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,11,11
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,12,14
SACABA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,16,103,119
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,6,7
SAN ANTONIO DE ESMORUCO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,1,1
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,9,35,44
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,14,16
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2012-06-01,3,15,18
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,13,28,41
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,15,60,75
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,7,9
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,16,16
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,42,0,42
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2012-06-01,3,8,11
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2012-06-01,3,10,13
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,11,11
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,2,2
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,18,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1702,2335,4037
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,2,2
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,9,9
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2012-06-01,417,624,1041
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,1,2
TARIJA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,207,428,635
TARVITA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,0,1,1
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,1,37,38
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2012-06-01,59,63,122
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,3,23,26
UYUNI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,12,18,30
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2012-06-01,10,30,40
VIACHA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,4,4,8
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,19,13,32
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2012-06-01,60,72,132
VINTO,cirugias y anestesias,anestesias generales y regionales,2012-06-01,28,24,52
WARNES,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,26,28
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2012-06-01,41,100,141
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,37,39
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2012-06-01,2,2,4
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,9,9
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,13,15
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-07-01,8,3,11
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,17,5,22
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,3,4
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,24,53,77
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,3,3
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,6,18,24
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,23,74,97
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,26,28
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,4,16,20
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,8,8
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,9,11
CLIZA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,10,10
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,46,109,155
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1401,2408,3809
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,39,44,83
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,9,9
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,14,15
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,11,15,26
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,2,2
COTOCA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,3,3
CULPINA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,5,5
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,333,632,965
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,43,18,61
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,7,9
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,3,3
GUANAY,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,2,2
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-07-01,22,67,89
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,18,20
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1722,1631,3353
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,26,42,68
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,4,4
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,15,16
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,15,38,53
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,30,129,159
OCURI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,3,3
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,316,479,795
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,5,8,13
PAILON,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,4,4
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,3,3
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,20,33,53
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,364,653,1017
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,4,4
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2012-07-01,18,43,61
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,15,17
PUNATA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,21,49,70
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,40,77,117
REYES,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,5,5
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,80,231,311
ROBORE,cirugias y anestesias,anestesias generales y regionales,2012-07-01,13,48,61
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,17,18
SACABA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,33,118,151
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,6,7
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,6,30,36
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,6,6
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,10,11
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,4,3,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,6,34,40
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,12,14
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2012-07-01,4,29,33
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,41,0,41
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2012-07-01,12,8,20
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2012-07-01,6,4,10
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2012-07-01,3,6,9
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,8,8
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2012-07-01,4,1,5
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,2,11,13
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,2372,2524,4896
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,5,6
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,10,10
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,0,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2012-07-01,546,707,1253
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,3,12,15
TARIJA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,227,487,714
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,3,15,18
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2012-07-01,1,13,14
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2012-07-01,69,212,281
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,19,18,37
UYUNI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,22,29,51
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2012-07-01,3,37,40
VIACHA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,1,1
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2012-07-01,11,45,56
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,19,10,29
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2012-07-01,30,80,110
VINTO,cirugias y anestesias,anestesias generales y regionales,2012-07-01,21,28,49
WARNES,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,18,18
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,44,106,150
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2012-07-01,8,36,44
YOTALA,cirugias y anestesias,anestesias generales y regionales,2012-07-01,0,15,15
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,4,4
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,15,15
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-08-01,12,5,17
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,9,9,18
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,15,74,89
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,3,3
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,8,17,25
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-08-01,29,70,99
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,9,7,16
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-08-01,6,21,27
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,1,16,17
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,13,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,11,11
CLIZA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,7,7
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,44,104,148
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,1274,2143,3417
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,15,32,47
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,19,19
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-08-01,6,16,22
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,8,23,31
COTOCA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,5,4,9
CULPINA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,7,7
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,370,621,991
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,23,37,60
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2012-08-01,1,7,8
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,6,6
GUANAY,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,5,5
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-08-01,19,52,71
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2012-08-01,7,14,21
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,1,1
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-08-01,1176,1801,2977
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,9,25,34
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,2,9,11
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,15,15
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,25,42,67
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,36,130,166
OCURI,cirugias y anestesias,anestesias generales y regionales,2012-08-01,1,4,5
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,150,422,572
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,6,12,18
PAILON,cirugias y anestesias,anestesias generales y regionales,2012-08-01,0,5,5
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-08-01,14,5,19
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-08-01,6,14,20
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-08-01,358,506,864
