,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,8,23,31
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,1,1,2
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,5,49,54
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,7,48,55
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,2,14,16
VINTO,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,18,19,37
WARNES,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,1,7,8
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,53,106,159
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2012-04-01,6,38,44
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,3,3
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,5,14,19
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,6,7
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,5,5
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,11,27,38
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,22,33,55
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,5,43,48
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,3,3,6
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,7,29,36
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,7,7
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,12,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,12,13
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,7,7
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,50,96,146
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,959,1886,2845
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,33,40,73
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,13,13
COROICO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,9,12,21
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,1,2
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,2,0,2
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,4,5
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,237,452,689
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,21,46,67
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,6,6
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,2,2
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,11,52,63
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,22,22
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,943,1523,2466
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,22,40,62
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,48,29,77
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,11,12
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,17,27,44
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,28,98,126
ORURO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,188,363,551
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,5,18,23
PAILON,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,6,6
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,4,6,10
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,16,23,39
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,172,259,431
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,28,46,74
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,9,2,11
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,16,36,52
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,28,66,94
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,61,213,274
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,7,7
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,4,17,21
SACABA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,19,85,104
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,7,7
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,12,37,49
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,2,2
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,2,17,19
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,9,10
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,18,63,81
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2012-05-01,3,9,12
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,2,13,15
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,47,0,47
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,7,7
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,3,1,4
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,4,4,8
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,21,22
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1356,2304,3660
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,7,7
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,15,15
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,221,381,602
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,2,1,3
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,187,391,578
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,3,3
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,27,27
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,4,5
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,48,60,108
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,9,18,27
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,11,14,25
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,8,28,36
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,8,5,13
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,9,47,56
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,8,4,12
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,4,13,17
VINTO,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,0,5,5
WARNES,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,13,14
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,75,91,166
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,4,35,39
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2012-05-01,1,0,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,2,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,15,15
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,4,9,13
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,5,5
BAURES,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,12,36,48
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,4,4,8
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,15,39,54
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,5,7
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,22,24
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,14,15
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,12,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,10,11
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,2,2
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,32,79,111
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1016,2067,3083
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,12,34,46
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,15,16
COROICO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,6,16,22
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,3,3
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,317,585,902
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,15,39,54
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,10,11
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,1,1
GUANAY,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,4,5
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,23,68,91
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,3,12,15
JESUS DE MACHACA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,4,5,9
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,854,1418,2272
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,24,35,59
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,8,17,25
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,12,13
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,18,34,52
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,36,135,171
ORURO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,300,450,750
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,9,21,30
PAILON,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,7,7
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,4,7,11
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,20,32,52
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,158,207,365
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,19,36,55
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,1,1
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,23,54,77
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,13,34,47
REYES,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,7,7
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,71,105,176
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,11,11
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,12,14
SACABA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,13,73,86
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,6,7
SAN ANTONIO DE ESMORUCO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,1,1
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,9,35,44
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,8,10
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,3,15,18
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,13,28,41
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,15,60,75
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,7,9
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,14,14
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,42,0,42
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,3,8,11
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,3,10,13
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,11,11
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,2,2
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,18,20
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1582,2249,3831
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,2,2
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,9,9
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,337,503,840
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,1,2
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,207,417,624
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,0,1,1
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,1,37,38
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,59,63,122
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,3,23,26
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,12,18,30
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,10,30,40
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,4,4,8
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,19,13,32
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,8,25,33
VINTO,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,28,24,52
WARNES,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,26,28
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,41,97,138
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2012-06-01,2,37,39
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,5,5
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,11,13
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,7,3,10
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,17,5,22
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,1,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,6,19,25
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,3,3
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,6,18,24
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,23,60,83
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,26,28
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,4,16,20
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,8,8
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,9,11
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,5,5
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,46,109,155
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1318,2306,3624
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,39,44,83
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,9,9
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,14,15
COROICO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,8,13,21
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,2,2
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,3,3
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,5,5
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,333,573,906
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,43,18,61
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,7,9
GUANAY,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,2,2
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,22,67,89
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,18,20
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1640,1616,3256
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,26,42,68
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,4,4
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,15,16
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,12,32,44
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,30,129,159
ORURO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,316,479,795
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,5,8,13
PAILON,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,4,4
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,3,3
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,20,33,53
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,213,343,556
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,18,34,52
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,15,17
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,21,49,70
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,40,55,95
REYES,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,5,5
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,80,231,311
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,13,48,61
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,17,18
SACABA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,29,81,110
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,6,7
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,6,30,36
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,6,6
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,10,11
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,4,3,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,6,34,40
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,12,14
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,5,5
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,4,24,28
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,41,0,41
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,12,8,20
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,4,6
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,6,7
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,8,8
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,4,1,5
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,2,11,13
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1880,2235,4115
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,5,6
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,10,10
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,0,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,408,585,993
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,3,12,15
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,217,467,684
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,3,15,18
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2012-07-01,1,13,14
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,69,212,281
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,19,18,37
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,22,29,51
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,3,37,40
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,1,1
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,5,32,37
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,19,10,29
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,13,20,33
VINTO,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,16,26,42
WARNES,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,18,18
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,44,106,150
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,8,8,16
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2012-07-01,0,2,2
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,4,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,15,15
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,2,4,6
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,9,9,18
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,12,49,61
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,8,17,25
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,24,61,85
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,9,7,16
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,6,21,27
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,1,16,17
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,13,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,11,11
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,6,6
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,44,101,145
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,1210,2073,3283
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,15,32,47
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,12,12
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,6,16,22
COROICO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,8,17,25
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,5,4,9
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,7,7
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,370,554,924
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,23,37,60
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,1,7,8
GUANAY,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,5,5
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,19,52,71
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,7,14,21
JESUS DE MACHACA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,1,1
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,1130,1659,2789
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,9,25,34
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,2,9,11
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,15,15
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,25,41,66
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,36,130,166
ORURO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,150,422,572
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,6,12,18
PAILON,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,5,5
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,14,0,14
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,6,14,20
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,180,238,418
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,23,38,61
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,11,38,49
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,12,58,70
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,19,54,73
REYES,cirugias y anestesias,cirugias medianas y mayores,2012-08-01,0,6,6
