,group,variable,month,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,TOTALES
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,11,11
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,5,5
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,4,4
PAZÑA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,7,7
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,11,11
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,22,22
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,18,18
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,15,15
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,442,442
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,6,6
PUERTO CARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,5,5
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,226,226
PUNA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1,1
PUNATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,86,86
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,9,9
REYES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,16,16
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,13,13
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,25,25
RURRENABAQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,43,43
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,171,171
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,11,11
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,11,11
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,21,21
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,14,14
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,37,37
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,11,11
SAN JAVIER(BNI),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,3,3
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,9,9
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,25,25
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,8,8
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,18,18
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,10,10
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,2,2
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,10,10
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1028,1028
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,8,8
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,16,16
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1,1
SICA SICA (VILLA AROMA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,8,8
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,5,5
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,9,9
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,622,622
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,7,7
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,14,14
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,8,8
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,63,63
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,14,14
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,2,2
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,4,4
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,8,8
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,7,7
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1,1
TOTORA(CBBA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,50,50
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1,1
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,28,28
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,32,32
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,5,5
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,15,15
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,12,12
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,11,11
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,24,24
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,91,91
WALDO BALLIVIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,1,1
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,22,22
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,2,2
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,4,4
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,5,5
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,7,7
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-04-01,0,10,10
ACACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
ANCORAIMES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
APOLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,29,29
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
AYATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,11,11
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,29,29
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
CABEZAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,12,12
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,14,14
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,12,12
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,17,17
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,72,72
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,11,11
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,24,24
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,37,37
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,8,8
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,32,32
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,276,276
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,36,36
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
COLLANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,33,33
COLPA BELGICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,10,10
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,29,29
COLQUENCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
COMARAPA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,16,16
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,36,36
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,4,4
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,16,16
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,28,28
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,4,4
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,469,469
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,19,19
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,18,18
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,85,85
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,10,10
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,8,8
GUAYARAMERIN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,6,6
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
ICLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,19,19
INQUISIVI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,117,117
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,94,94
LAGUNILLAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,4,4
LLICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,6,6
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,6,6
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,36,36
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,35,35
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,26,26
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,52,52
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,743,743
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,11,11
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,8,8
PALOS BLANCOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,8,8
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,7,7
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,13,13
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,16,16
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,13,13
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,295,295
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,7,7
PUERTO CARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,201,201
PUNA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,7,7
REYES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,13,13
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,318,318
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,24,24
RURRENABAQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,32,32
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,142,142
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,8,8
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,12,12
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
SAN BUENA VENTURA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,14,14
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
SAN JAVIER(BNI),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,4,4
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,15,15
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,7,7
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,17,17
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,10,10
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,952,952
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,6,6
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,20,20
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
SANTIAGO DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,1,1
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,10,10
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,547,547
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,10,10
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,7,7
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,14,14
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,4,4
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,13,13
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
TOTORA(CBBA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,44,44
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,30,30
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,12,12
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,31,31
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,80,80
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,10,10
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,12,12
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,4,4
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,8,8
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,17,17
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,70,70
WALDO BALLIVIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,14,14
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,3,3
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,2,2
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,5,5
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,9,9
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-05-01,0,4,4
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,1,1
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,3,3
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,2,2
APOLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,21,21
ARAMPAMPA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,9,9
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,12,12
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,29,29
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,5,5
CABEZAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,5,5
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,14,14
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,14,14
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-06-01,0,14,14
