,group,variable,month,6. Nº DE MUJERES CON PRUEBA PARA SIFILIS EN EL PARTO O PUERPERIO CANTIDAD,6. Nº DE MUJERES CON PRUEBA PARA SIFILIS EN EL PARTO O PUERPERIO CANTIDAD,TOTALES
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,164,164
ENTRE RIOS TRJ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,16,16
LA ASUNTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
LA GUARDIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
LLICA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,3,3
MIZQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,16,16
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,4,4
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,18,18
PAILON,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,3,3
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,157,157
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,8,8
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
SAIPINA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,10,10
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,13,13
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,6,6
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,3,3
TURCO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,1,1
UYUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,4,4
VILLAZON,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-08-01,0,5,5
ACACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,2,2
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,4,4
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,11,11
CHAYANTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,4,4
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,6,6
CHUMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
CKOCHAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,20,20
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,5,5
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,7,7
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,10,10
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,9,9
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,422,422
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,18,18
LA PAZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,10,10
LAGUNILLAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
MIZQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,14,14
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,4,4
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,13,13
PAMPA GRANDE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,7,7
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,86,86
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,4,4
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,9,9
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,8,8
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,13,13
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,4,4
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,13,13
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,6,6
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,2,2
TURCO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,2,2
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,4,4
UYUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,30,30
VILLA TUNARI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-09-01,0,1,1
ACACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
ANDAMARCA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,18,18
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
CHUMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,17,17
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,4,4
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,19,19
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,9,9
COTAGAITA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,18,18
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,3,3
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,15,15
LA GUARDIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
LAS CARRERAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
LLICA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
MIZQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,20,20
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
OMEREQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,6,6
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,9,9
PASORAPA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,5,5
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,105,105
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,6,6
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,10,10
RAVELO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,12,12
SACABA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,353,353
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,10,10
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,3,3
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,14,14
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,7,7
TARIJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,3,3
TOLEDO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,3,3
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
TRINIDAD,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,2,2
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,4,4
VILLA TUNARI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,1,1
VINTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-10-01,0,3,3
"CAIZA ""D""",vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,3,3
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,7,7
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,2,2
CHUMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,3,3
COBIJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,4,4
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,20,20
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,2,2
"COLCHA ""K""",vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,4,4
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,9,9
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,16,16
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,17,17
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,313,313
LA GUARDIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
LA PAZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,37,37
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
OMEREQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,11,11
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,11,11
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,107,107
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,4,4
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,4,4
QUILLACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
RIBERALTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,3,3
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,8,8
SACACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,2,2
SAMAIPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,2,2
SAN BORJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,3,3
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
SAN LORENZO(PND),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,3,3
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,3,3
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,14,14
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,154,154
TOLEDO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,3,3
VILA VILA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
VINTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-11-01,0,1,1
ACACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,1,1
CARACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,4,4
CARIPUYO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,2,2
CHIMORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,2,2
COBIJA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,2,2
COCAPATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,22,22
COCHABAMBA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,96,96
COLOMI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,3,3
COLQUECHACA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,10,10
COROICO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,7,7
COTOCA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,2,2
CUATRO CAÑADAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,12,12
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,4,4
EL ALTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,293,293
HUANUNI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,10,10
LA GUARDIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,2,2
LA PAZ,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,12,12
MAIRANA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,3,3
MIZQUE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,11,11
OCURI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,1,1
ORURO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,11,11
POCOATA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,5,5
POROMA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,1,1
POTOSI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,7,7
PRESTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,8,8
PUERTO VILLARROEL,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,10,10
QUILLACOLLO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,296,296
ROBORE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,7,7
SAN IGNACIO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,11,11
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,1,1
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,5,5
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,8,8
SUCRE,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,43,43
TOTORA(CBBA),vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,4,4
UNCIA,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,3,3
VINTO,vih - sifilis,no de mujeres con prueba para sifilis en el parto o puerperio,2024-12-01,0,6,6
