,group,variable,month,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,TOTALES
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,28,28
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,113,113
ESMERALDA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,29,29
FILADELFIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,3,3
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
GENERAL SAAVEDRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
GUANAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,43,43
GUAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
GUAYARAMERIN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,41,41
HUACARAJE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,24,24
HUARINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,6,6
HUATAJATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,3,3
HUMANATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,16,16
IXIAMAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,225,225
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1306,1306
LAGUNILLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,6,6
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,29,29
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
LLALLAGUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,166,166
LLICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,5,5
LURIBAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
MAGDALENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
MAPIRI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,24,24
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,38,38
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,17,17
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,29,29
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,295,295
MOROCHATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,3,3
NUEVO MANOA (NUEVA ESPERANZA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,17,17
OKINAWA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
OMEREQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,990,990
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,18,18
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,98,98
PALCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,3,3
PALOS BLANCOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,31,31
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
PAPEL PAMPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
PATACAMAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,46,46
PAZÑA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,5,5
PELECHUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,29,29
POCONA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,13,13
POJO (CBBA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,16,16
POOPO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,37,37
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,18,18
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,14,14
PORTACHUELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,12,12
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
POSTRER VALLE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,493,493
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,6,6
PUCARANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,24,24
PUERTO CARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
PUERTO GONZALO MORENO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,10,10
PUERTO QUIJARRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,25,25
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
PUERTO SUAREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,35,35
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,252,252
PUNA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
PUNATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,87,87
QUILLACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,192,192
QUIME,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,17,17
QUIRUSILLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
RAQAYPAMPA(ETA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,9,9
REYES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,17,17
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,162,162
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,27,27
RURRENABAQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,49,49
SABAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,508,508
SACABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
SACACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,20,20
SAIPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
SAN ANDRES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
SAN ANDRES DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
SAN BENITO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,13,13
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,110,110
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,56,56
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,184,184
SAN JAVIER(BNI),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
SAN JAVIER(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,24,24
SAN JOAQUIN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,18,18
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,134,134
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
SAN LORENZO(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,37,37
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,28,28
SAN MATIAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,23,23
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,13,13
SAN PABLO DE LIPEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,28,28
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,31,31
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,21,21
SAN PEDRO DE TIQUINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,5,5
SAN PEDRO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,3,3
SAN RAFAEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,12,12
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,13,13
SANTA ANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,61,61
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2741,2741
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,20,20
SANTIAGO DE CALLAPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,6,6
SANTIAGO DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,6,6
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
SAPAHAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
SHINAOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,76,76
SICA SICA (VILLA AROMA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,20,20
SICAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,143,143
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,5,5
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,9,9
SORATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,18,18
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,715,715
TACACOMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
TACOPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,5,5
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,21,21
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
TARACO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,5,5
TARATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,17,17
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,239,239
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,14,14
TEOPONTE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
TIAHUANACU,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,9,9
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,14,14
TIPUANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,14,14
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,162,162
TIRAQUE (CBBA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
TOCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
TODOS SANTOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
TOLATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,4,4
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,10,10
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,10,10
TOTORA(CBBA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,51,51
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,134,134
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,36,36
TURCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,3,3
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,37,37
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,20,20
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,123,123
VACAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,8,8
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,37,37
VIACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,222,222
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,5,5
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,15,15
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,35,35
VILLA NUEVA (LOMA ALTA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,12,12
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,320,320
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,11,11
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,57,57
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,91,91
VITICHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
WALDO BALLIVIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,1,1
WARNES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,235,235
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,251,251
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
YANACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,2,2
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,176,176
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,7,7
YUNCHARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,6,6
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-04-01,0,10,10
ACACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,4,4
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,26,26
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,43,43
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,2,2
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,2,2
ALTO BENI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,7,7
ANCORAIMES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,4,4
ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,2,2
ANZALDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,9,9
APOLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,29,29
ARAMPAMPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,1,1
ARANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,18,18
ARBIETO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,43,43
ARQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,10,10
ASCENCION DE GUARAYOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,6,6
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,4,4
AUCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,1,1
AYATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,17,17
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,11,11
BATALLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,29,29
BELEN DE ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,3,3
BELLA FLOR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,5,5
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,79,79
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,29,29
BOLIVAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,4,4
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,4,4
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,32,32
CABEZAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,25,25
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,12,12
CALAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,12,12
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,14,14
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,5,5
CAMIRI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,2,2
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,12,12
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,23,23
CARANAVI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,133,133
CARAPARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,22,22
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,3,3
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,2,2
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,82,82
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,11,11
CHARAGUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,72,72
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,28,28
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,47,47
CHIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-05-01,0,3,3
