,group,variable,month,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,TOTALES
BOYUIBE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,0,2
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,38,42
"CAIZA ""D""",vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,3,9
CAJUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,1,2
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,6,9
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,13,25,38
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,9,12,21
CAMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,2,4
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,9,13
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,5,9,14
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,65,52,117
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,3,5
CARAPARI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,5,7
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,2,2
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,24,25,49
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,14,41,55
CHAYANTA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,3,3
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,67,90,157
CHIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,23,17,40
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,4,7
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
CKOCHAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,0,1
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1078,771,1849
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1762,3247,5009
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,87,164,251
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,16,17
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,13,16
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,17,18,35
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,8,11
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,9,15
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,5,2,7
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,10,23,33
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,24,22,46
COPACABANA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,3,4
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,6,8
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,19,14,33
CORQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,2,2
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,16,18
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,85,159,244
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,36,84,120
CUCHUMUELA (V. G. VILLARROEL),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,2,5
CUEVO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,3,3
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,5,13,18
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,2,4
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,18,25,43
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1164,1564,2728
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,18,44,62
EL PUENTE(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,5,11
EL VILLAR,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,1,5
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,6,6
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,84,272,356
ESCARA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,2,6
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,4,4
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,1,2
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,49,85,134
GAIOC JATUN AYLLU YURA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
GENERAL SAAVEDRA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,1,3
GUANAY,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,23,25
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,170,299,469
GUTIERREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,0,1
HUANUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,51,64,115
HUAYLLAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,11,13,24
HUMANATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,10,7,17
ICLA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
INCAHUASI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,11,17,28
JESUS DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,4,6
LA GUARDIA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,32,69,101
LA PAZ,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1155,1952,3107
LA RIVERA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,5,7
LAGUNILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
LAJA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,10,16
LAS CARRERAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,1,3
LLALLAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,8,8,16
LLICA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,13,14
MACHARETI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,5,8
MAPIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,9,15
MINEROS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,5,11
MIZQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,71,101,172
MOCOMOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,1,3
MOJOCOYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,2,3
MONTEAGUDO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,29,56,85
MONTERO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,244,361,605
OCURI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,3,5
OKINAWA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,5,4,9
OMEREQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,4,10
ORURO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,502,1115,1617
PADCAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,0,1
PADILLA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,24,30
PAILON,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,48,186,234
PALOS BLANCOS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,9,54,63
PAMPA AULLAGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,51,26,77
PATACAMAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,30,79,109
PAZÑA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,12,15,27
PELECHUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,27,20,47
POCOATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,5,21,26
POCONA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,6,7
POJO (CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
POOPO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,7,17,24
PORCO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,1,4
POROMA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,9,9
PORONGO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,5,7
PORTACHUELO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,1,4
PORVENIR,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
POTOSI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,67,168,235
PRESTO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,5,6
PUCARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,4,5
PUERTO QUIJARRO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,13,35,48
PUERTO RICO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,12,14
PUERTO SUAREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,11,49,60
PUERTO VILLARROEL,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,170,214,384
PUNATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,146,162,308
QUILLACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,89,112,201
QUIME,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,11,10,21
RAQAYPAMPA(ETA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,1,2
RAVELO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,5,5
REYES,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,6,10
RIBERALTA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,360,450,810
ROBORE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,9,4,13
RURRENABAQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,35,42,77
SABAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,11,15,26
SACABA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,315,417,732
SACACA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,5,6
SAIPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
SALINAS DE GARCI MENDOZA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,5,7
SAMAIPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,6,8
SAN ANDRES,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
SAN BENITO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,7,9
SAN BORJA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,30,34,64
SAN BUENA VENTURA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,14,40,54
SAN CARLOS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,25,45,70
SAN IGNACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,10,13,23
SAN IGNACIO DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,14,30,44
SAN JAVIER(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,8,9,17
SAN JOAQUIN,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,20,22
SAN JUAN DE YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,16,18
SAN JULIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,76,161,237
SAN LORENZO(PND),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,4,4
SAN LORENZO(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,9,47,56
SAN LUCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,11,27,38
SAN MATIAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,13,21,34
SAN MIGUEL DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,2,5
SAN PEDRO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,28,43,71
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,11,12,23
SAN PEDRO DE MACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,2,4
SAN PEDRO DE TIQUINA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,4,6
SAN RAFAEL,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,0,3
SAN RAMON BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,11,15
SANTA ANA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,29,22,51
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1391,2243,3634
SANTA ROSA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,3,7
SANTA ROSA DEL SARA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,5,7,12
SANTIAGO DE CALLAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,12,13
SANTIAGO DE HUARI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,9,39,48
SANTIAGO DE HUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
SANTIAGO DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,6,8
SANTIVAÑES,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,3,5
SANTUARIO DE QUILLACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,3,4
SAPAHAQUI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,7,3,10
SHINAOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,41,101,142
SICA SICA (VILLA AROMA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,8,9
SICAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,12,13,25
SIPE SIPE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,23,13,36
SOPACHUY,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,7,25,32
SORATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,9,16,25
SUCRE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,446,720,1166
TACOBAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,0,2
TAPACARI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,20,32,52
TARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,17,26,43
TARATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,3,4
TARIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,154,320,474
TARVITA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,13,29,42
TIAHUANACU,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,9,7,16
TINGUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,2,4
TIPUANI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,3,6
TIQUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,54,125,179
TITO YUPANQUI (PARQUIPUJIO),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
TOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,1,2
TODOS SANTOS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,4,5
TOLATA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,2,8,10
TOLEDO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,14,12,26
TOMINA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,2,5
TORO TORO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,5,25,30
TOTORA(CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,16,82,98
TRINIDAD,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,46,491,537
TUPIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,25,28,53
UNCIA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,35,5,40
URUBICHA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,8,14,22
UYUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,12,20,32
VACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,4,7
VALLEGRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,58,84,142
VIACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,73,266,339
VILA VILA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,2,6
VILLA CHARCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,7,8,15
VILLA MONTES,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,37,60,97
VILLA SERRANO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,1,4,5
VILLA TUNARI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,349,319,668
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,4,27,31
VILLAZON,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,42,106,148
VINTO,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,52,68,120
VITICHI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
WALDO BALLIVIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,6,14,20
WARNES,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,77,324,401
YACUIBA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,119,182,301
YAMPARAEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,3,3
YANACACHI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,20,36,56
YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,39,31,70
YOTALA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,1,1
YUNCHARA,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,3,4,7
ZUDAÑEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-04-01,0,11,11
ACACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,7,9
ACHACACHI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,105,95,200
AIQUILE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,17,42,59
ALCALA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,8,9
ANDAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,0,2
ANTEQUERA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,20,29
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,15,12,27
APOLO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,4,7
ARAMPAMPA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,4,7
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,10,13
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,7,9
ASCENCION DE GUARAYOS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,4,9
AYATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,4,6
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,20,23
BATALLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,5,12
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,19,32,51
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,2,6
BOLIVAR,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,5,6
BOLPEBRA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,1,2
BOYUIBE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,1,1
BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,8,13
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,23,32
"CAIZA ""D""",vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,2,5
CAJUATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,8,9
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,11,20,31
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,19,25,44
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,9,11
CAMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,17,120,137
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,14,19
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,8,12,20
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,85,75,160
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,3,3
CARAPARI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,3,4
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,5,5
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,29,38,67
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,25,31
CHAYANTA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,1,1
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,29,41,70
CHIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,0,7
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,20,21,41
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,4,6
CLIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,8,7,15
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,177,462,639
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1852,3129,4981
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,23,64,87
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,7,10
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,14,16
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,14,8,22
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,8,15
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,7,13
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,0,2
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,16,28,44
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,13,11,24
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,16,19,35
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,16,21
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,33,60,93
CUCHUMUELA (V. G. VILLARROEL),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,0,2
CUEVO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,3,3
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,5,22,27
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,3,12
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,3,3
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1175,1846,3021
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,12,16
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,12,15,27
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,13,15
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,59,262,321
ESCOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,2,3
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,2,5
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,1,3
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,20,45,65
GAIOC JATUN AYLLU YURA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,0,1,1
GENERAL SAAVEDRA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,2,3
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,138,234,372
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
HUANUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,30,68,98
HUAYLLAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,8,12
HUMANATA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
ICLA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,11,18,29
INCAHUASI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,9,23,32
IXIAMAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,10,24,34
JESUS DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,8,9,17
LA GUARDIA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,51,51,102
LA PAZ,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1037,1999,3036
LAJA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,3,4,7
LAS CARRERAS,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,3,4
LLALLAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,7,5,12
LURIBAY,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,1,0,1
MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,4,13,17
MACHARETI,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,2,3,5
MAIRANA,vih - sifilis,no de personas con prueba rapida de vih,2024-05-01,6,17,23
