,group,variable,month,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,TOTALES
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,5,5
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,2,2
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,2,2
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,15,15
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,1,1
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,8,8
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,21,21
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,26,26
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,18,18
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,4,4
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,5,5
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,103,103
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,5,5
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,13,13
SENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,1,1
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,6,6
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,290,290
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,5,5
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,12,12
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,103,103
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,11,11
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,3,3
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,2,2
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,2,2
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,4,4
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,6,6
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,2,2
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,2,2
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,3,3
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,6,6
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,11,11
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,6,6
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,12,12
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,16,16
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,80,80
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,1,1
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,6,6
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-03-01,0,5,5
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,14,14
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,13,13
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,16,16
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,34,34
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,3,3
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,36,36
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,13,13
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,14,14
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,40,40
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,27,27
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,11,11
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,61,61
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,9,9
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,15,15
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,55,55
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,11,11
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,3,3
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,12,12
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,5,5
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,7,7
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,60,60
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,17,17
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,34,34
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,15,15
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,20,20
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,6,6
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,30,30
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,83,83
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,12,12
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,344,344
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,18,18
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,7,7
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,7,7
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,16,16
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,3,3
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,25,25
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,7,7
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,25,25
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,8,8
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,11,11
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,5,5
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,6,6
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,9,9
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,33,33
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,29,29
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,19,19
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,7,7
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,94,94
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,3,3
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,12,12
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,5,5
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,406,406
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,10,10
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,82,82
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,14,14
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,3,3
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,3,3
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,5,5
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,1,1
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,18,18
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,23,23
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,5,5
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,32,32
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,114,114
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,5,5
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,53,53
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,4,4
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-04-01,0,7,7
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,5,5
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
ASCENCION DE GUARAYOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,10,10
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,12,12
BOLPEBRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,11,11
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,28,28
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,22,22
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,13,13
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,22,22
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,31,31
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,10,10
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,12,12
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,20,20
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
COTAGAITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,351,351
EL CHORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,5,5
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,25,25
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,46,46
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,5,5
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,9,9
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,15,15
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
MAGDALENA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,19,19
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,81,81
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,11,11
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,411,411
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,12,12
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,9,9
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,26,26
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,21,21
QUIRUSILLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,13,13
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,14,14
SACACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,5,5
SAIPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,5,5
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,10,10
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,33,33
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,20,20
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,10,10
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,118,118
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,337,337
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,1,1
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,77,77
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,14,14
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,6,6
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,13,13
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,26,26
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
