,group,variable,month,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,TOTALES
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,25,25
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,8,8
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,11,11
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,14,14
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,9,9
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,5,5
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,9,9
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,6,6
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,72,72
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,11,11
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,5,5
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,325,325
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,6,6
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,22,22
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,14,14
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,5,5
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,14,14
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,5,5
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,32,32
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,112,112
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,2,2
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-04-01,0,4,4
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,10,10
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,12,12
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,11,11
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,28,28
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,16,16
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,20,20
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,21,21
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,31,31
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,10,10
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,12,12
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,20,20
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,311,311
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,5,5
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,26,26
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,46,46
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,15,15
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,6,6
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,6,6
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,18,18
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,14,14
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,139,139
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,9,9
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,6,6
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,12,12
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,29,29
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,7,7
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,21,21
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,6,6
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,14,14
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,6,6
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,4,4
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,6,6
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,9,9
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,10,10
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,94,94
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,5,5
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,337,337
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,6,6
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,14,14
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,2,2
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,12,12
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,7,7
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,3,3
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,7,7
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,79,79
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-05-01,0,7,7
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,10,10
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,21,21
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,17,17
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,36,36
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,22,22
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,25,25
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,7,7
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,34,34
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,9,9
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,15,15
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,42,42
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,63,63
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,4,4
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,25,25
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,7,7
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,17,17
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,5,5
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,8,8
HUACHACALLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,37,37
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,12,12
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,5,5
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,7,7
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,26,26
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,27,27
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,27,27
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,244,244
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,10,10
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,10,10
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
PELECHUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,5,5
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,2,2
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,2,2
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,14,14
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,18,18
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,20,20
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,6,6
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,17,17
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,8,8
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,15,15
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,12,12
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,19,19
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,4,4
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,11,11
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,4,4
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,13,13
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,4,4
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,10,10
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,78,78
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,7,7
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,2,2
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,324,324
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,9,9
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,19,19
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,12,12
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,2,2
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,9,9
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,5,5
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,10,10
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,10,10
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,4,4
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,8,8
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,9,9
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,97,97
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,3,3
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,10,10
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-06-01,0,7,7
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,10,10
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,14,14
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,16,16
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,34,34
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,25,25
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,14,14
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,11,11
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,32,32
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,10,10
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,12,12
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,76,76
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,48,48
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,336,336
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,10,10
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,22,22
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,20,20
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,6,6
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,49,49
ICLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,12,12
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,14,14
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,12,12
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
LLICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
