,group,variable,month,L 18.4 DPT 2DA DOSIS,L 18.4 DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,5,0,5,0,5
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,2,0,2,2
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,3,0,3,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,26,0,26,0,26
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,1,2,1,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,9,13,9,13,22
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,19,34,19,34,53
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,5,0,5,5
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,13,0,13,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,5,0,5,5
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,2,2,2,4
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,6,0,6,0,6
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,0,2,0,2
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,4,3,4,3,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,13,0,13,13
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,20,15,20,15,35
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,3,0,3,3
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,4,5,4,5,9
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,0,2,0,2
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,104,131,104,131,235
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,2,0,2,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,46,0,46,46
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,5,0,5,0,5
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,5,0,5,0,5
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,5,0,5,0,5
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-04-01,1,0,1,0,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,0,3,0,3,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,5,0,5,0,5
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,3,0,3,0,3
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,0,4,0,4,4
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,3,0,3,0,3
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,5,0,5,0,5
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,0,3,0,3,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,41,0,41,0,41
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-05-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,2,3,2,3,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,2,0,2,0,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,1,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,4,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,1,0,1,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,2,0,2,0,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,38,0,38,38
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,3,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,7,0,7,0,7
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,2,0,2,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,18,0,18,0,18
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,2,0,2,0,2
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,12,0,12,0,12
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,2,0,2,0,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,8,0,8,0,8
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,5,0,5,0,5
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,6,0,6,0,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,2,2,2,2,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,5,1,5,1,6
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,0,20,0,20,20
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,1,1,1,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,0,4,0,4,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,6,0,6,0,6
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,2,0,2,0,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,2,15,2,15,17
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,54,16,54,16,70
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-07-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,4,9,4,9,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,3,0,3,0,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,7,0,7,0,7
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,2,1,2,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,7,2,7,2,9
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,0,5,0,5,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,7,0,7,0,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,6,0,6,0,6
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,12,1,12,1,13
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,3,1,3,1,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,3,0,3,0,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,2,1,2,1,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,25,4,25,4,29
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,3,0,3,0,3
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,0,19,0,19,19
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-08-01,1,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,5,0,5,0,5
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,16,4,16,4,20
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,5,0,5,0,5
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,1,1,1,2
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,5,0,5,0,5
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,1,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,3,2,3,2,5
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,11,1,11,1,12
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,4,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,8,0,8,0,8
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,2,2,2,2,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,3,1,3,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,2,3,2,3,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,11,0,11,0,11
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,4,1,4,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,0,1,0,1
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,9,0,9,0,9
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,1,1,1,1,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,2,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-09-01,0,1,0,1,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,4,0,4,0,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,3,1,3,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,1,0,1,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,20,0,20,0,20
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,4,0,4,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,3,0,3,0,3
