,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,616,78,616,78,694
TACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,3,2,3,2,5
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,2,2,2,2,4
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,24,3,24,3,27
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,17,15,17,15,32
TAHUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,30,14,30,14,44
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,20,38,20,38,58
TARACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,6,0,6,0,6
TARATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,6,2,6,2,8
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,348,14,348,14,362
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,18,15,18,15,33
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,6,3,6,3,9
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,11,16,11,16,27
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,36,16,36,16,52
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,8,17,8,17,25
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,90,9,90,9,99
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,42,73,42,73,115
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,4,11,4,11,15
TOLATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,6,9,6,9,15
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,3,2,3,2,5
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,4,29,4,29,33
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,15,12,15,12,27
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,5,16,5,16,21
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,19,22,19,22,41
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,8,3,8,3,11
TRIGAL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,0,7,0,7,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,188,13,188,13,201
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,59,17,59,17,76
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,4,4,4,4,8
UMALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,0,12,0,12,12
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,11,9,11,9,20
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,10,18,10,18,28
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,10,7,10,7,17
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,55,0,55,0,55
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,7,20,7,20,27
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,24,2,24,2,26
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,91,8,91,8,99
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,1,4,1,4,5
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,21,26,21,26,47
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,66,40,66,40,106
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,5,2,5,2,7
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,3,12,3,12,15
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,22,4,22,4,26
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,121,62,121,62,183
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,13,22,13,22,35
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,53,23,53,23,76
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,63,5,63,5,68
VITICHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,4,1,4,1,5
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,4,1,4,1,5
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,180,52,180,52,232
YACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,5,9,5,9,14
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,141,43,141,43,184
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,10,8,10,8,18
YANACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,8,10,8,10,18
YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,86,47,86,47,133
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,0,8,0,8,8
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,6,3,6,3,9
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,2,11,2,11,13
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-03-01,4,10,4,10,14
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,35,24,35,24,59
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,5,0,5,5
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,30,20,30,20,50
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,12,0,12,12
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,1,8,1,9
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,28,1,28,1,29
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,13,9,13,9,22
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,3,2,3,5
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,6,0,6,0,6
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,3,4,3,7
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,16,15,16,31
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,1,0,1,1
ARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,14,0,14,0,14
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,10,21,10,21,31
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,32,5,32,5,37
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,0,12,0,12
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,7,3,7,10
AYATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,19,1,19,20
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,11,5,11,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,27,24,27,24,51
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,17,26,17,26,43
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,25,9,25,9,34
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,10,0,10,0,10
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,41,56,41,56,97
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,6,2,6,8
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,6,14,6,14,20
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,18,35,18,35,53
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,9,15,9,24
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,5,0,5,5
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,10,0,10,10
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,12,5,12,17
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,23,9,23,9,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,2,2,2,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,29,8,29,8,37
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,52,3,52,3,55
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,8,8,8,16
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,16,4,16,4,20
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,68,30,68,30,98
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,20,1,20,21
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,15,4,15,19
CATACORA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,2,2,2,4
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,21,21,21,21,42
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,77,8,77,85
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,1,1,1,2
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,33,11,33,11,44
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,33,10,33,10,43
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,32,15,32,47
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,7,1,7,8
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,24,4,24,4,28
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,7,9,7,16
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,21,1,21,22
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,746,18,746,18,764
COIPASA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,61,10,61,10,71
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,14,7,14,7,21
COLLANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,1,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,34,17,34,17,51
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,3,5,3,8
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,0,15,0,15
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,12,0,12,12
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,47,4,47,51
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,3,3,3,6
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,36,19,36,19,55
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,16,2,16,2,18
COPACABANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,14,8,14,8,22
CORIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,14,15,14,15,29
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,14,7,14,21
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,14,8,14,22
CORQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,9,7,9,16
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,33,2,33,35
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,92,25,92,25,117
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,26,7,26,7,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,5,0,5,5
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,8,1,8,9
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,23,19,23,19,42
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,0,4,0,4
CURVA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,15,0,15,15
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,417,34,417,34,451
EL CHORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,10,2,10,12
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,45,0,45,0,45
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,2,2,2,4
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,92,22,92,22,114
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,16,2,16,18
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,64,6,64,6,70
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,5,3,5,8
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,1,7,1,8
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,14,34,14,34,48
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,3,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,12,15,12,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,14,1,14,15
GUANAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,16,12,16,12,28
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,7,0,7,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,11,0,11,11
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,11,50,11,50,61
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,11,12,11,23
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,28,34,28,34,62
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,10,4,10,14
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,3,0,3,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,1,2,1,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,1,1,1,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,9,0,9,9
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,11,9,11,20
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,14,22,14,22,36
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,13,2,13,15
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,15,1,15,1,16
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,21,0,21,0,21
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,14,0,14,0,14
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,72,15,72,15,87
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,136,17,136,17,153
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,488,31,488,31,519
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,7,0,7,7
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,11,3,11,3,14
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,7,3,7,10
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,30,2,30,2,32
LLICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,0,4,0,4
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,11,0,11,0,11
LURIBAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,12,12,12,24
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,23,8,23,31
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,4,12,4,16
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,19,2,19,21
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,0,4,0,4
MALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,6,2,6,8
MAPIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,19,9,19,9,28
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,9,3,9,3,12
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,33,33,33,33,66
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,35,25,35,25,60
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,20,15,20,15,35
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,6,6,6,6,12
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,25,18,25,18,43
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,207,23,207,23,230
MORO MORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,2,4,2,6
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,24,0,24,24
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
OCURI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,10,6,10,6,16
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,5,7,5,7,12
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,2,1,2,3
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,78,0,78,0,78
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,16,21,16,21,37
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,23,1,23,1,24
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,43,27,43,27,70
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,10,2,10,12
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,34,33,34,33,67
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,19,7,19,7,26
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,2,13,2,13,15
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,3,0,3,0,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,26,25,26,25,51
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,11,7,11,18
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,12,8,12,8,20
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,8,11,8,11,19
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,17,0,17,17
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,19,10,19,10,29
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,1,7,1,7,8
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,27,0,27,0,27
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,26,38,26,38,64
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,17,7,17,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,13,3,13,3,16
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,34,18,34,18,52
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,12,0,12,12
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,25,31,25,31,56
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,19,4,19,23
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,0,23,0,23,23
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,7,3,7,3,10
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-04-01,4,15,4,15,19
