,group,variable,month,L 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS,L 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,11,0,11,11
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,3,0,3,0,3
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,16,0,16,0,16
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,24,0,24,0,24
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,3,1,3,1,4
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,5,1,5,1,6
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,7,0,7,7
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,12,9,12,9,21
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,7,0,7,7
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,5,0,5,5
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,6,0,6,6
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,2,2,2,2,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,5,0,5,0,5
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,2,0,2,0,2
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,4,3,4,3,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,20,15,20,15,35
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,1,0,1,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,4,4,4,4,8
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,2,0,2,0,2
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,4,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,86,131,86,131,217
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,5,0,5,0,5
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,6,3,6,3,9
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,4,0,4,0,4
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,0,2,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,2,0,2,0,2
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-04-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,0,5,0,5,5
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,9,1,9,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,0,1,0,1,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,11,0,11,0,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,0,4,0,4,4
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,3,0,3,0,3
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,46,0,46,0,46
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,0,4,0,4,4
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-05-01,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,3,2,3,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,0,2,0,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,12,0,12,0,12
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,4,0,4,0,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,13,0,13,0,13
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,9,0,9,0,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,2,0,2,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,2,0,2,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,4,0,4,0,4
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,27,0,27,0,27
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,0,2,0,2
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,1,0,1,1
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,0,2,0,2,2
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,2,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,0,2,0,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,5,0,5,0,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,2,2,2,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,5,1,5,1,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,9,1,9,10
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,7,0,7,0,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,0,2,0,2
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,0,2,0,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,1,2,1,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,23,6,23,6,29
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,0,3,0,3,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,0,2,0,2,2
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-07-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,5,0,5,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,10,0,10,0,10
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,5,0,5,0,5
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,2,1,2,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,9,2,9,2,11
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,1,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,7,0,7,0,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,5,1,5,1,6
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,13,1,13,1,14
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,1,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,3,1,3,1,4
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,3,0,3,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,2,1,2,1,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,41,4,41,4,45
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,3,0,3,0,3
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,0,3,0,3,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,2,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,8,7,8,7,15
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,2,0,2,0,2
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-08-01,1,0,1,0,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,7,0,7,7
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,3,1,3,1,4
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,4,0,4,0,4
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,15,4,15,4,19
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,3,0,3,0,3
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,5,0,5,0,5
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,1,1,1,2
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,6,0,6,0,6
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,1,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,11,1,11,1,12
