,group,variable,month,L 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS,L 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES,TOTALES,TOTALES
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,258,48,258,48,306
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,0,3,0,3
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,0,5,0,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,10,2,10,2,12
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,1,0,1,1
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,15,8,15,8,23
TARACO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,8,18,8,18,26
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,20,3,20,23
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,30,0,30,30
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,18,4,18,4,22
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,3,5,3,8
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,3,0,3,3
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,3,0,3,0,3
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,19,0,19,0,19
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,7,0,7,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,2,1,2,1,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,5,0,5,0,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,24,0,24,0,24
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-02-01,0,10,0,10,10
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,11,0,11,11
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,2,1,2,3
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,15,0,15,15
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,6,10,6,10,16
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,1,4,1,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,17,10,17,10,27
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,8,5,8,13
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,6,0,6,6
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,2,2,2,4
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,14,0,14,0,14
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,0,2,0,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,10,0,10,10
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,9,0,9,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,20,3,20,3,23
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,20,0,20,0,20
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,4,0,4,4
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,0,2,0,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,5,0,5,5
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,24,4,24,28
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,8,0,8,0,8
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,155,18,155,18,173
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,3,1,3,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,21,62,21,62,83
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,26,2,26,2,28
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,23,16,23,16,39
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,109,1,109,1,110
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,7,2,7,2,9
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,6,0,6,0,6
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,6,0,6,0,6
ESCOMA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,7,0,7,0,7
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,6,2,6,8
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,7,13,7,13,20
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,49,40,49,40,89
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,11,1,11,1,12
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,3,0,3,0,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,3,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,130,0,130,0,130
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
LAJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,3,0,3,3
MECAPACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,0,2,0,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,13,3,13,3,16
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,10,40,10,40,50
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,53,3,53,3,56
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,4,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,3,3,3,3,6
OCURI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,16,0,16,16
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,29,0,29,0,29
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,3,0,3,3
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,0,4,0,4
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,10,5,10,15
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,12,1,12,13
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,10,1,10,1,11
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,2,1,2,3
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,10,0,10,10
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,0,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,104,37,104,37,141
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,1,4,1,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,1,5,1,6
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,7,3,7,3,10
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,0,5,0,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,42,0,42,0,42
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,0,4,0,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,11,30,11,30,41
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,1,1,1,2
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,2,4,2,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,3,0,3,3
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,0,2,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,0,5,0,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,3,6,3,6,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,8,1,8,9
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,7,8,7,8,15
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,12,11,12,11,23
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,15,5,15,20
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,19,0,19,19
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,1,5,1,6
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,6,0,6,0,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,11,10,11,10,21
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,11,0,11,0,11
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,14,2,14,2,16
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,5,2,5,7
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,4,1,4,5
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,263,31,263,31,294
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,3,2,3,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,7,0,7,7
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,4,0,4,0,4
SICAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,26,8,26,8,34
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,9,7,9,7,16
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,7,17,7,17,24
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,2,0,2,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,20,37,20,37,57
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,9,1,9,1,10
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,8,0,8,8
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,16,8,16,8,24
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,3,2,3,5
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,11,1,11,1,12
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,6,0,6,0,6
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,8,0,8,0,8
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,0,8,0,8,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,39,0,39,0,39
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,6,3,6,3,9
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,2,1,2,1,3
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,3,0,3,0,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,5,5,5,5,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,8,7,8,7,15
VITICHI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,9,0,9,0,9
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,9,7,9,7,16
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,11,0,11,0,11
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,0,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-03-01,1,1,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,2,5,2,5,7
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,2,0,2,2
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,1,3,1,3,4
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,2,0,2,0,2
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,5,0,5,0,5
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,4,0,4,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,8,16,8,16,24
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,14,0,14,14
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,3,0,3,3
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,3,3,3,3,6
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,4,0,4,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,3,0,3,0,3
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,12,3,12,3,15
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,9,0,9,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,7,0,7,7
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,9,0,9,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,13,5,13,5,18
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,18,3,18,3,21
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,15,0,15,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,2,0,2,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,0,7,0,7,7
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,14,0,14,0,14
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.7       antipoliomielitica 1ra dosis,2012-04-01,29,0,29,0,29
