,group,variable,month,L 18.6 DPT 4TA DOSIS,L 18.6 DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,8,22,8,22,30
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,5,0,5,0,5
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,9,1,9,1,10
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,337,13,337,13,350
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,7,0,7,0,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,1,1,1,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,4,1,4,1,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,12,1,12,1,13
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,4,0,4,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,93,1,93,1,94
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,4,15,4,15,19
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,13,0,13,13
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,239,3,239,3,242
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,6,4,6,4,10
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,6,0,6,0,6
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,4,2,4,6
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,2,16,2,16,18
TRIGAL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,26,11,26,11,37
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,25,45,25,45,70
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,6,0,6,0,6
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,5,0,5,0,5
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,12,0,12,0,12
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,17,0,17,0,17
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,50,18,50,18,68
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,22,3,22,3,25
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,19,3,19,3,22
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,46,0,46,0,46
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,45,3,45,3,48
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,67,12,67,12,79
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,1,1,1,2
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-02-01,6,6,6,6,12
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,15,0,15,15
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,11,13,11,13,24
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,0,3,0,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,5,0,5,0,5
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,11,0,11,11
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,13,3,13,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,6,4,6,4,10
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,4,0,4,0,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,24,25,24,25,49
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,28,34,28,34,62
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,0,2,0,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,2,0,2,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,12,13,12,13,25
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,19,0,19,19
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,19,11,19,11,30
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,3,0,3,3
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,4,0,4,4
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,15,24,15,24,39
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,13,18,13,18,31
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,3,2,3,5
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,5,2,5,7
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,6,56,6,56,62
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,6,2,6,8
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,7,0,7,7
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,24,2,24,2,26
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,3,3,3,6
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,246,73,246,73,319
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,24,2,24,2,26
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,19,7,19,7,26
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,2,2,2,4
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,6,3,6,9
CORQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,7,3,7,3,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,14,11,14,11,25
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,24,1,24,1,25
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,7,0,7,0,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,19,21,19,21,40
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,305,14,305,14,319
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,4,3,4,7
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,62,8,62,8,70
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,2,0,2,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,5,4,5,4,9
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,17,18,17,18,35
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,6,0,6,6
GUAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,9,3,9,3,12
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,4,2,4,6
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,0,3,0,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,4,0,4,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,18,19,18,19,37
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,0,3,0,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,3,1,3,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,204,46,204,46,250
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,0,2,0,2
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,8,4,8,4,12
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,1,1,1,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,0,2,0,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,20,3,20,3,23
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,17,0,17,0,17
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,2,1,2,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,40,17,40,17,57
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,86,1,86,1,87
MORO MORO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,2,2,2,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,8,2,8,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,8,0,8,0,8
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,5,2,5,7
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,108,15,108,15,123
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,17,2,17,2,19
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,20,14,20,14,34
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,6,37,6,37,43
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,2,2,2,4
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,13,2,13,2,15
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,6,2,6,2,8
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,8,68,8,68,76
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,3,3,3,6
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,14,21,14,21,35
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,61,0,61,0,61
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,3,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,7,0,7,0,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,29,20,29,20,49
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,7,9,7,9,16
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,8,3,8,11
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,14,7,14,7,21
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,5,8,5,8,13
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,10,0,10,0,10
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,19,26,19,26,45
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,16,12,16,12,28
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,94,13,94,13,107
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,6,58,6,58,64
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,2,2,2,4
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,13,4,13,4,17
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,51,50,51,50,101
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,39,3,39,3,42
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,33,3,33,3,36
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,12,0,12,0,12
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,11,18,11,18,29
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,8,38,8,38,46
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,4,10,4,10,14
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,17,5,17,5,22
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,12,1,12,1,13
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,7,0,7,0,7
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,11,0,11,0,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,279,17,279,17,296
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,11,18,11,18,29
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,15,2,15,17
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,2,0,2,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,4,0,4,0,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,4,2,4,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,36,14,36,14,50
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,123,13,123,13,136
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,4,2,4,6
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,5,0,5,5
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,2,2,2,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,176,11,176,11,187
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,16,19,16,19,35
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,2,2,2,4
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,7,6,7,6,13
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,21,4,21,4,25
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,20,27,20,27,47
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,0,3,0,3,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,35,12,35,12,47
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,49,56,49,56,105
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,32,38,32,38,70
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,8,1,8,1,9
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,0,3,0,3
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,7,0,7,0,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,17,0,17,0,17
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,3,13,3,13,16
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,38,4,38,4,42
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,17,6,17,6,23
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,22,11,22,11,33
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,2,5,2,5,7
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,26,9,26,9,35
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,21,0,21,0,21
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,32,9,32,9,41
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,75,5,75,5,80
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-03-01,1,3,1,3,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,4,0,4,4
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,0,2,0,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,11,3,11,3,14
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,1,1,1,2
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,2,2,2,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,9,3,9,12
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,19,29,19,29,48
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,40,18,40,18,58
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,4,0,4,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,4,0,4,0,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,4,18,4,18,22
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,15,11,15,11,26
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,2,0,2,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,14,10,14,10,24
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,1,3,1,4
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,4,3,4,7
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,10,23,10,23,33
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,4,2,4,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,15,0,15,0,15
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,4,0,4,0,4
