,group,variable,month,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,5,0,5,0,5
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,4,5,4,5,9
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,5,5,5,5,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,3,0,3,0,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,2,1,2,1,3
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,63,72,63,72,135
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,1,1,1,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,0,7,0,7,7
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,4,0,4,0,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,2,1,2,1,3
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,2,0,2,0,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,7,0,7,0,7
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,3,0,3,0,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-04-01,9,24,9,24,33
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,2,0,2,0,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,6,0,6,0,6
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,3,5,3,5,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,3,0,3,0,3
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,10,0,10,0,10
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,5,0,5,0,5
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,2,0,2,0,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,3,0,3,0,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,64,0,64,0,64
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,3,0,3,0,3
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,2,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-05-01,2,1,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,6,3,6,3,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,2,1,2,1,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,4,0,4,0,4
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,5,1,5,1,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,2,0,2,0,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,0,5,0,5,5
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,17,0,17,0,17
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,10,0,10,0,10
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,2,0,2,0,2
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,2,0,2,0,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,7,0,7,0,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,48,9,48,9,57
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,0,2,0,2,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,2,3,2,3,5
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,1,1,1,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,3,1,3,4
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,1,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,4,0,4,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,7,1,7,1,8
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,3,0,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,2,3,2,3,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,6,1,6,1,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,4,0,4,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,4,0,4,0,4
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,2,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,6,0,6,0,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,3,1,3,1,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,3,0,3,0,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,2,2,2,2,4
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,6,1,6,1,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,1,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,33,2,33,2,35
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,6,1,6,1,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,2,1,2,1,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,0,1,0,1,1
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,3,0,3,0,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,2,1,2,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,6,1,6,1,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-07-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,9,0,9,0,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,8,1,8,1,9
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,2,2,2,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,5,1,5,1,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,13,3,13,3,16
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,1,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,9,0,9,0,9
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,3,1,3,1,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,3,2,3,2,5
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,10,1,10,1,11
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,3,0,3,0,3
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,3,1,3,4
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,3,1,3,1,4
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,3,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,49,4,49,4,53
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,5,1,5,1,6
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,4,1,4,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,0,2,0,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,3,0,3,0,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,6,1,6,1,7
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,8,1,8,1,9
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,3,2,3,2,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,8,0,8,0,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,8,1,8,1,9
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,3,1,3,1,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,1,1,1,2
