,group,variable,month,L 18.5 DPT 3RA DOSIS,L 18.5 DPT 3RA DOSIS,TOTALES,TOTALES,TOTALES
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,0,1,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,3,0,3,0,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,2,2,2,2,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,2,1,2,1,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,109,72,109,72,181
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,1,1,1,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,0,7,0,7,7
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,4,0,4,0,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,32,4,32,4,36
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,0,12,0,12,12
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,2,0,2,0,2
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,3,0,3,0,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,0,6,0,6,6
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-04-01,9,24,9,24,33
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,3,0,3,0,3
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,2,0,2,0,2
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,0,1,0,1,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,3,5,3,5,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,5,0,5,0,5
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,5,0,5,0,5
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,3,0,3,0,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,8,0,8,0,8
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,3,1,3,1,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-05-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,0,2,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,6,3,6,3,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,7,0,7,0,7
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,5,1,5,1,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,2,0,2,0,2
ICHOCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,3,0,3,0,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,8,0,8,0,8
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,3,0,3,0,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,2,2,2,2,4
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,17,1,17,1,18
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,3,1,3,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,1,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-06-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,9,0,9,0,9
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,2,3,2,3,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,5,1,5,1,6
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,3,0,3,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,3,0,3,0,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,6,0,6,0,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,7,1,7,1,8
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,3,0,3,0,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,2,2,2,2,4
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,6,1,6,1,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,36,10,36,10,46
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,6,1,6,1,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,2,1,2,1,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-07-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,1,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,9,0,9,0,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,4,3,4,3,7
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,2,2,2,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,5,1,5,1,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,7,3,7,3,10
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,1,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,0,2,0,2
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,4,0,4,0,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,7,0,7,0,7
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,3,1,3,1,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,10,1,10,1,11
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,3,0,3,0,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,0,2,0,2
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,3,1,3,4
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,3,1,3,1,4
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,3,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,58,0,58,0,58
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,3,1,3,1,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,1,2,1,3
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,4,0,4,0,4
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,2,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,8,1,8,1,9
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,3,2,3,2,5
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,8,0,8,0,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,8,1,8,1,9
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,3,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,2,1,2,1,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,7,1,7,1,8
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,2,1,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,24,1,24,1,25
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,12,0,12,0,12
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,2,4,2,4,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,4,1,4,1,5
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,5,8,5,8,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,5,0,5,0,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,9,3,9,3,12
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,2,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,3,5,3,5,8
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,3,3,3,3,6
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,0,2,0,2,2
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,3,0,3,0,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-09-01,1,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,4,0,4,0,4
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,24,0,24,0,24
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,2,2,2,2,4
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,3,4,3,4,7
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.5       dpt 3ra dosis,2012-10-01,1,0,1,0,1
