municipality,group,variable,month,Tratamientos iniciados por sospecha,TOTAL
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-10-01,4,4
IXIAMAS,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2008-10-01,4,4
LAGUNILLAS,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-10-01,4,4
PADCAYA,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
PASORAPA,malaria,tratamientos iniciados por sospecha,2008-10-01,2,2
PORONGO,malaria,tratamientos iniciados por sospecha,2008-10-01,8,8
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-10-01,20,20
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-10-01,7,7
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-10-01,0,0
SANTA ROSA,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
TARVITA,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-10-01,15,15
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-10-01,18,18
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-10-01,2,2
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-10-01,252,252
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-10-01,1,1
AIQUILE,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
APOLO,malaria,tratamientos iniciados por sospecha,2008-11-01,2,2
AYATA,malaria,tratamientos iniciados por sospecha,2008-11-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-11-01,13,13
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-11-01,50,50
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2008-11-01,3,3
CULPINA,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-11-01,12,12
GUANAY,malaria,tratamientos iniciados por sospecha,2008-11-01,2,2
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
ICLA,malaria,tratamientos iniciados por sospecha,2008-11-01,2,2
LA GUARDIA,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2008-11-01,2,2
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-11-01,4,4
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
OKINAWA,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
OMEREQUE,malaria,tratamientos iniciados por sospecha,2008-11-01,2,2
PADILLA,malaria,tratamientos iniciados por sospecha,2008-11-01,21,21
PALOS BLANCOS,malaria,tratamientos iniciados por sospecha,2008-11-01,5,5
PORONGO,malaria,tratamientos iniciados por sospecha,2008-11-01,19,19
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
SAN CARLOS,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-11-01,13,13
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-11-01,3,3
SAN MATIAS,malaria,tratamientos iniciados por sospecha,2008-11-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-11-01,5,5
SUCRE,malaria,tratamientos iniciados por sospecha,2008-11-01,3,3
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-11-01,41,41
TIRAQUE (CBBA),malaria,tratamientos iniciados por sospecha,2008-11-01,18,18
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
VILA VILA,malaria,tratamientos iniciados por sospecha,2008-11-01,3,3
VILLA MONTES,malaria,tratamientos iniciados por sospecha,2008-11-01,3,3
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-11-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-11-01,292,292
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-11-01,7,7
APOLO,malaria,tratamientos iniciados por sospecha,2008-12-01,9,9
AYATA,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
AZURDUY,malaria,tratamientos iniciados por sospecha,2008-12-01,6,6
BERMEJO,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-12-01,70,70
CABEZAS,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
COLOMI,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
CULPINA,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
EL TORNO,malaria,tratamientos iniciados por sospecha,2008-12-01,10,10
ENTRE RIOS,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
GUANAY,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
HUACARETA,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
MIZQUE,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
MOJOCOYA,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
OMEREQUE,malaria,tratamientos iniciados por sospecha,2008-12-01,3,3
PADCAYA,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
PADILLA,malaria,tratamientos iniciados por sospecha,2008-12-01,5,5
PORONGO,malaria,tratamientos iniciados por sospecha,2008-12-01,28,28
PUERTO VILLARROEL,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
RURRENABAQUE,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
SAIPINA,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados por sospecha,2008-12-01,15,15
SAN LUCAS,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2008-12-01,16,16
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
SANTA ROSA,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
SUCRE,malaria,tratamientos iniciados por sospecha,2008-12-01,5,5
TARVITA,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2008-12-01,19,19
TORO TORO,malaria,tratamientos iniciados por sospecha,2008-12-01,2,2
VALLEGRANDE,malaria,tratamientos iniciados por sospecha,2008-12-01,3,3
VILLA SERRANO,malaria,tratamientos iniciados por sospecha,2008-12-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados por sospecha,2008-12-01,116,116
YACUIBA,malaria,tratamientos iniciados por sospecha,2008-12-01,8,8
