,group,variable,month,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,0,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,50,12,62
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,1,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,0,3
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,8,0,8
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,6,6
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,18,18
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,4,4
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,8,10
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,1,4
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,5,16,21
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,9,15,24
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,3,6
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,9,12
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,57,33,90
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,1,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,15,15
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,10,12
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,7,8
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,17,18,35
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,3,3
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,7,8,15
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,5,6,11
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,9,10
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,6,7,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,7,7
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,0,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,7,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,135,18,153
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,11,12,23
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,5,8
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,6,0,6
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,10,0,10
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,11,56,67
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,41,15,56
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,15,15
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,21,24
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,0,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,19,0,19
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,1,1
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,4,1,5
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,7,7
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,3,6
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,4,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,7,0,7
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-03-01,0,2,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,6,27,33
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,7,8,15
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,10,0,10
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,2,2
ALCALA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,0,3
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,27,27
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,0,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,12,12
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,8,0,8
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,10,17,27
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,1,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,12,12
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,13,13
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,5,1,6
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,0,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,30,155,185
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,3,4
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,15,15
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,1,1
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,7,0,7
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,6,6
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,8,11
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,1,2
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,10,0,10
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,3,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,1,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,27,0,27
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,28,21,49
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,6,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,6,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,37,41
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,7,7
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,4,4
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,0,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,25,51,76
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,4,4
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,0,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,0,3
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,19,23
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,10,10
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,9,8,17
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,5,1,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,6,6
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,8,9
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,4,7
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,5,9
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,38,39
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,1,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,3,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,12,40,52
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,1,4
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,1,1
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,4,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,1,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,1,4
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,4,5
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,3,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,60,0,60
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,3,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,15,15
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,1,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,27,28
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,8,8
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,7,7
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,43,138,181
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,0,3,3
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,10,0,10
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,25,19,44
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,84,88
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,12,16
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,3,3,6
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,5,6
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,16,26,42
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,4,3,7
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,6,17,23
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,8,50,58
YANACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,30,22,52
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-04-01,1,5,6
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,6,6
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,7,0,7
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,2,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,18,0,18
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,15,17,32
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,5,2,7
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,6,6
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,3,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,2,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,1,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,1,1
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,0,3,3
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-05-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,8,8
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,3,1,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,4,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,3,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,1,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,3,20,23
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,2,0,2
ESMERALDA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,14,0,14
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,7,1,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,1,1
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,2,0,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,15,15
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,3,3
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,3,3
