,group,variable,month,L 19.9 SRP DOSIS ÚNICA CANTIDAD,L 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,6,6
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,12,3,15
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,23,1,24
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,6,6
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,5,5
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,3,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,3,0,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,3,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,34,1,35
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,8,10
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,23,24
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,6,0,6
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,6,16,22
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,3,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,11,18,29
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,4,3,7
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,3,4,7
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,11,19,30
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,3,4
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,3,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,176,31,207
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,1,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,0,2
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,23,7,30
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,5,0,5
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,15,0,15
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
UMALA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,3,7,10
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,13,7,20
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,3,8,11
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,8,1,9
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,4,0,4
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-03-01,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,10,10
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,5,6
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,1,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,7,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,4,4
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,7,9
CAMARGO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,5,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,2,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,33,33
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,3,3
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,7,7
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,18,19
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,28,0,28
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,65,65
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,2,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,63,531,594
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,9,25,34
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,4,1,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,2,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,6,8
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,6,6
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,4,7
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,0,3
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
CURVA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,318,1442,1760
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,4,5
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,2,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,6,8
ICLA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,9,3,12
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,8,15,23
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,12,7,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,214,46,260
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,2,5
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,5,0,5
MAPIRI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,33,35
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,22,0,22
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,3,5
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,31,13,44
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,14,15
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,4,0,4
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,5,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,44,283,327
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,0,3
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,8,10
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,4,2,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,5,7,12
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,4,7,11
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,13,55,68
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,8,1,9
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
SABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,10,10
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,15,5,20
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,8,9
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,1,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,14,16
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,37,39
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,190,390,580
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,2,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,24,24
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,64,11,75
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,2,2
TARATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,7,25,32
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,1,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,22,24
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,41,25,66
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,17,128,145
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,2,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,4,1,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,11,0,11
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,2,11,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,1,3,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-04-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,5,6
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,2,0,2
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,7,7
ARANI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,2,2,4
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,12,0,12
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,2,1,3
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,8,9
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,9,14,23
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,48,68,116
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,8,20,28
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,7,7,14
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,119,19,138
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,5,0,5
EXALTACION,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,7,7
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,5,5
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,6,6
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,9,0,9
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,48,16,64
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,4,4
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,3,112,115
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,3,3
MAPIRI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,10,10
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,8,0,8
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,4,4
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,2,0,2
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,8,6,14
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,2,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,4,4
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,1,1
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,4,3,7
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,365,5,370
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,2,2
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,0,3,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,13,9,22
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.9       srp dosis unica,2012-05-01,14,2,16
