,group,variable,month,L 19.3 DPT 3RA DOSIS CANTIDAD,L 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,107,68,175
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,1,1
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,40,40
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,6,2,8
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,10,0,10
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,3,0,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,4,0,4
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-04-01,0,73,73
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,0,2,2
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,9,0,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,0,28,28
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,4,0,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,3,0,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,4,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,0,5,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,2,0,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,2,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-05-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,3,0,3
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,9,9
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,4,4
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,3,0,3
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,3,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,3,0,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,2,0,2
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,5,0,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,1,1,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,0,1,1
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-06-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,2,3,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,11,12
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,4,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,4,0,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,6,0,6
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,4,4
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,84,5,89
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-07-01,1,1,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,2,0,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,0,2,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,0,1,1
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,9,1,10
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,6,0,6
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,10,0,10
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,4,2,6
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,2,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,2,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,1,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-08-01,1,0,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,27,28
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,3,0,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,8,10,18
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,9,2,11
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,21,0,21
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,3,0,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,5,0,5
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,8,1,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,1,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,10,22,32
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,4,5,9
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,2,0,2
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,5,2,7
SENA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,6,0,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,5,0,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,0,1
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-09-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,0,2
CAJUATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,3,0,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,4,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,25,0,25
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,1,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,3,4,7
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,11,6,17
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,5,5
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,8,0,8
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,4,2,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,9,3,12
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,5,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,4,7,11
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,34,110,144
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,4,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,5,5
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,37,84,121
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,4,6
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,4,3,7
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,4,4
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,11,0,11
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,7,7
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-10-01,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,1,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,2,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,3,0,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,9,13,22
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,4,7,11
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,3,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,8,0,8
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,3,2,5
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,4,0,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,2,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,3,15,18
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,25,50,75
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,4,4
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,4,6,10
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,8,19,27
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,1,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,12,12
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,5,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,1,1,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-11-01,11,29,40
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,2,3
