,group,variable,month,L 19.4 DPT 4TA DOSIS CANTIDAD,L 19.4 DPT 4TA DOSIS CANTIDAD,TOTALES
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,10,2,12
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,35,26,61
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,38,38
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,3,8
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,24,27,51
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,23,23
REYES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,0,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,15,0,15
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,37,0,37
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,49,57,106
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,42,102,144
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,20,20
SAIPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,5,5
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,0,5
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,13,17,30
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,31,13,44
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,69,6,75
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,10,11
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,11,11
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,4,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,4,0,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,18,20
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,5,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,2,5
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,10,29,39
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,6,3,9
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,1,4
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,11,0,11
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,5,5
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,7,15,22
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,11,0,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,286,142,428
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,13,1,14
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,8,6,14
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,0,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,14,4,18
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,35,6,41
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,16,16
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,131,48,179
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,0,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,14,36,50
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,9,9
TARATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,5,0,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,70,17,87
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,11,2,13
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,14,14
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,24,3,27
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,4,4
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,4,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,12,13
TRIGAL,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,39,39,78
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,29,120,149
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,2,0,2
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,7,0,7
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,1,3,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,8,0,8
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,3,22,25
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,11,10,21
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,25,30,55
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,31,35,66
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,4,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,15,7,22
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,6,0,6
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,69,14,83
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,36,3,39
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,37,0,37
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,15,3,18
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,0,4,4
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-02-01,30,51,81
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,59,68
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,73,74
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,12,18
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,1,1
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,20,20
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,23,32
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,13,0,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,9,11
AZURDUY,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,4,6
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,4,5
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,5,1,6
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,16,49,65
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,31,64,95
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,2,2
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,18,25,43
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,6,9
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,4,4
CAMARGO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,16,19
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,15,17
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,29,29
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,2,5
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,15,80,95
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,8,4,12
CATACORA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,8,23,31
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,35,41
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,20,224,244
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,4,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,13,17,30
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,12,12
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,12,13,25
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,0,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,12,24,36
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,18,22,40
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,289,328,617
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,22,3,25
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,35,15,50
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,34,74,108
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,0,9
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,12,12
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,17,18
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,5,28,33
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,48,57
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,18,3,21
CUEVO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,8,2,10
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,16,26,42
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,17,17
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,332,190,522
EL CHORO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,8,8
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,4,7
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,33,7,40
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,27,29,56
EUCALIPTUS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,3,3
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,4,4
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,90,99
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,5,14,19
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,0,6
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,0,1
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,12,12
ICLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,7,14,21
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,57,28,85
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,6,8
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,1,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,1,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,58,1,59
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,504,436,940
LA RIVERA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,5,6
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,15,20,35
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,2,2
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,77,388,465
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,0,4
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,18,27
MAIRANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,16,0,16
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,129,131
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,5,5
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,22,44,66
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,130,10,140
MORO MORO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,3,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,7,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,7,3,10
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,7,8
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,103,13,116
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,1,7
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,17,8,25
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,58,64
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,2,2
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,12,15
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,5,11
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,5,5
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,2,8
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,16,230,246
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,18,32,50
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,46,40,86
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,5,7
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,5,5
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,11,32,43
PORONGO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,3,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,54,0,54
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,87,0,87
PRESTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,38,42
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,12,1,13
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,34,76,110
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,14,19,33
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,441,0,441
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,29,93,122
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,31,66,97
REYES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,3,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,15,0,15
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,21,93,114
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,23,59,82
SABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,8,0,8
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,107,294,401
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,18,18
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,35,60,95
SAIPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,32,33
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,5,16,21
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,12,12
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,14,15
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,0,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,57,231,288
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,22,8,30
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,54,11,65
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,4,4
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,8,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,0,6
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,8,10
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,11,14
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,7,12,19
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,13,40,53
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,4,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,1,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,0,4
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,18,0,18
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,318,211,529
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,65,71
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,16,36,52
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,10,14
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,5,6
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,1,4
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,0,1
