,group,variable,month,L 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,L 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,10,10
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,7,1,8
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,6,7
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,2,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,34,0,34
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,39,42
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,4,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,12,0,12
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,1,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,12,12
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,6,24,30
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,5,0,5
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,9,10
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,5,5
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,10,5,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,10,21,31
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,20,0,20
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,1,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,294,23,317
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,9,34,43
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,11,1,12
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,4,0,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,17,36,53
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,5,0,5
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,8,76,84
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,14,14
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,7,10
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,10,10
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,11,20,31
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,3,3
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,0,3
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,3,3
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,0,3
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,5,5
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,9,5,14
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,1,4
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,3,8,11
TURCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,1,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,34,43,77
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,4,4
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,2,2,4
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,46,5,51
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,7,1,8
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,3,4
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,6,0,6
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
YANACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,16,17,33
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-02-01,0,74,74
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,8,6,14
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,3,4
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,2,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,53,55
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,6,6
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,13,32,45
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,2,7
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,7,12
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,36,35,71
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,4,9
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,2,2
AYO AYO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,8,0,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,16,16
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,5,5
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,17,17
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,38,45
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,3,3
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,14,14
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,24,31
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,4,0,4
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,17,18
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,15,2,17
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,0,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,27,27
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,6,177,183
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,11,11
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,28,23,51
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,16,23
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,0,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,14,27,41
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,11,1,12
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,5,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,92,83,175
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,0,3
COLLANA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,0,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,10,12
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,9,71,80
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,15,20
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,4,24,28
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,2,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,14,0,14
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,12,15
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,114,640,754
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,5,10
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,6,4,10
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,6,0,6
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,29,32
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,58,108,166
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,34,3,37
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,8,0,8
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,7,12
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,17,17
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,11,11
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,70,14,84
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,151,42,193
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,0,2
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,6,13
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,0,7
MACHARETI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,20,1,21
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,86,86
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,5,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,18,0,18
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,4,19,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,3,3
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,100,903,1003
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,2,7
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,0,5
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,4,9
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,11,34,45
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,12,10,22
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,1,2
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,18,20
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,6,6,12
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,0,7
PUERTO ACOSTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,10,10
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,3,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,56,21,77
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,4,4,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,8,2,10
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,67,22,89
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,24,0,24
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,1,4
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,63,100,163
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,10,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,4,5
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,11,12
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,11,0,11
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,7,7
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,7,12
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,1,8
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,12,17
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,14,31,45
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,3,3
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,6,1,7
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,8,8
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,9,0,9
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,6,0,6
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,6,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,5,5
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,11,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,320,248,568
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,7,3,10
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,7,9
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,4,2,6
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,3,3
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,5,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,8,4,12
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,4,0,4
SICAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,16,33,49
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,6,11
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,29,39,68
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,6,17,23
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,45,70,115
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,8,11,19
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,107,25,132
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,4,8,12
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,6,6
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,10,12
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,15,30,45
TOMINA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,1,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,67,7,74
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,2,7
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,1,2
