,group,variable,month,L 19.2 DPT 2DA DOSIS CANTIDAD,L 19.2 DPT 2DA DOSIS CANTIDAD,TOTALES
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,67,12,79
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,1,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,0,3
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,8,0,8
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,3,3
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,6,6
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,18,18
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,0,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,1,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,4,4
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,8,10
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,1,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,1,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,15,20
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,9,31,40
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,3,6
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,12,15
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,57,0,57
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,1,4
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,1,4
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,11,15,26
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,10,12
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,4,7
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,17,18,35
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,4,7,11
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,7,8,15
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,7,12
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,9,12
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,6,7,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,7,7
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,17,35,52
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,7,7
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,5,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,14,17
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,10,0,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,137,18,155
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,8,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,6,6
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,17,13,30
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,11,16
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,11,0,11
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,10,0,10
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,11,14,25
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,0,3
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,19,19
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,51,21,72
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,15,15
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,21,24
TORO TORO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,5,0,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,1,4
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,19,0,19
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,1,0,1
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,1,4
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,7,7
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,25,20,45
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,4,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,7,0,7
YACO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,6,7,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-03-01,0,2,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,2,4
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,7,8,15
ALCALA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,0,3
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,4,0,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,5,0,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,0,1
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,2,4
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,3,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,8,0,8
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,10,17,27
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,2,5
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,7,7
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,12,13
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,7,19,26
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,5,1,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,32,32
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,0,3
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,6,0,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,3,5
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,18,20
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,3,3
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,4,8,12
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,1,2
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,9,24,33
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,1,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,27,0,27
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,30,23,53
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,6,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,2,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,7,10
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,7,37,44
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,4,4
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,0,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,4,4
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,12,15
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,29,114,143
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,5,5
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,0,1
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,0,3
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,4,19,23
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,9,8,17
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,5,2,7
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,8,9
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,3,6
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,1,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,14,68,82
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,3,5
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,12,20,32
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,1,4
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,4,6
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,4,0,4
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,5,5
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,1,3
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,3,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,59,0,59
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,21,21
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,3,6
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,16,19
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,27,28
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,8,8
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,64,98,162
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,108,136,244
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,1,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,25,17,42
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,8,0,8
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,3,1,4
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,41,42
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,4,3,7
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,6,17,23
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,12,51,63
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-04-01,1,5,6
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,5,6
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,16,0,16
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,10,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,6,0,6
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,6,2,8
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,8,8
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,10,3,13
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,3,0,3
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,5,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,2,0,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,3,87,90
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,2,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,2,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,8,8
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,5,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,2,2
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,0,20,20
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,0,1
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-05-01,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,8,8
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,3,1,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,2,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,5,0,5
ESMERALDA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,3,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,5,0,5
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,11,11
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,7,1,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,1,1
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,2,0,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,15,15
SABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,1,0,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,0,14,14
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,l 19.2       dpt 2da dosis,2012-06-01,5,0,5
