,group,variable,month,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,23,23
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,5,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,17,18
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,10,0,10
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,6,7
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,6,2,8
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,2,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,35,88,123
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,10,10
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,6,7,13
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,6,7,13
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,5,5
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,13,0,13
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,3,3
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,2,11,13
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,4,0,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,1,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-04-01,0,73,73
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,3,7,10
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,2,7,9
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,10,0,10
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,4,0,4
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,2,5,7
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,0,1,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-05-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,2,0,2
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,3,0,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,2,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,14,0,14
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,4,4
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,4,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,3,2,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,2,0,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,7,1,8
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,1,0,1
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,1,1,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,0,1,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-06-01,5,0,5
CAIROMA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,51,0,51
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,2,2
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,3,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,2,3,5
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,4,0,4
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,4,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,7,0,7
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,4,0,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,35,5,40
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-07-01,1,0,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,2,0,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,5,5
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,1,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,5,5
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,9,1,10
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,5,0,5
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,3,1,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,2,2,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,3,0,3
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,28,0,28
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,4,1,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,2,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,0,3,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,2,1,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,4,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,2,1,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-08-01,1,0,1
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,4,0,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,2,0,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,2,2
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,3,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,9,2,11
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,21,0,21
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,6,1,7
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,6,0,6
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,8,1,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,2,1,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,1,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,3,5,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,11,2,13
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,4,1,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,2,0,2
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
TOLATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,11,23,34
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-09-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,2,0,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,2,0,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,4,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,14,0,14
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,1,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,3,4,7
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,12,5,17
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,8,0,8
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,4,2,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,9,3,12
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,5,1,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,4,7,11
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,31,100,131
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,4,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,5,5
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,59,32,91
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,4,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,4,4,8
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,4,4
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,11,0,11
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,2,0,2
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,2,1,3
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,2,0,2
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,0,2,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-10-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,2,2
