,group,variable,month,L 1910 ANTI AMARÍLICA CANTIDAD,L 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,1,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,3,4
SENA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,15,0,15
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
SORATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,7,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,16,1,17
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
TARACO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,2,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,37,12,49
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,8,10
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,3,11,14
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,12,3,15
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,1,3
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,7,0,7
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,0,2
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,7,0,7
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,2,2,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,8,8
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,6,0,6
WARNES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,21,1,22
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,6,1,7
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,0,3,3
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-02-01,4,0,4
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,3,4
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,1,2
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,9,9
APOLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,4,6
ARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,4,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,3,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,4,5
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,3,6
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,5,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,11,2,13
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,3,3
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,6,6
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,5,5
CAJUATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,2,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,2,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,3,5
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,6,6
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,1,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,0,3
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,10,10
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,5,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,19,19
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,3,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,8,2,10
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,5,12,17
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,126,29,155
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,65,37,102
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,6,3,9
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,27,1,28
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,4,5
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,4,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,8,4,12
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,0,3
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,130,9,139
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,1,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,8,3,11
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,0,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,10,10
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,8,14,22
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,27,31
ICLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,7,7
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,14,2,16
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,16,10,26
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,201,14,215
LAJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,1,3
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,2,3
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,12,14
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,0,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,11,14
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,20,0,20
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,4,4
OCURI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,16,16
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,25,25
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,35,22,57
PAILON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,12,12
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,8,8
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,2,3
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,15,15
POCONA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,1,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,0,2
POOPO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
PORCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
POROMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,0,4
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,3,3
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,2,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,58,4,62
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,1,4
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,5,1,6
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,4,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,3,6
PUNA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,4,7
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,5,1,6
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,19,21,40
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,5,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,5,3,8
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,2,3
SACABA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,29,45,74
SACACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,8,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,7,11,18
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,12,15
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,9,1,10
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,6,10
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,12,12
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,1,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,10,12
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,8,8
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,0,4
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,376,42,418
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,1,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,2,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,5,7
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,15,2,17
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,0,2
SORATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,0,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,30,15,45
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,8,9
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,29,10,39
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,2,3
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,6,7,13
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,9,0,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,1,2
TOCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
TOLATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,2,2,4
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,3,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,8,12,20
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,4,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,13,2,15
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,5,1,6
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,7,6,13
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,4,0,4
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,7,2,9
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,5,5
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,12,11,23
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,3,1,4
VINTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,10,0,10
WARNES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,10,4,14
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,12,2,14
YANACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,2,2
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,5,0,5
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,7,7
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-03-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,3,4
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,2,3
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,3,3
APOLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,2,3
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,10,14
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,0,4
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,0,3
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,4,6
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,14,14
CAJUATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,1,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,5,7
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,1,4
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,1,3
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,6,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,12,47,59
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,1,4
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,8,8
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,106,8,114
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,19,20,39
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,7,2,9
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,5,6,11
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,2,4
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,7,7
CORO CORO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,1,2
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,1,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,9,8,17
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,92,16,108
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,16,20
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,2,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,3,3
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,21,25
