,group,variable,month,L 19.1 DPT 1RA DOSIS CANTIDAD,L 19.1 DPT 1RA DOSIS CANTIDAD,TOTALES
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,5,2,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,47,8,55
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,4,0,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,17,33,50
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,2,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,7,2,9
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,7,10
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,12,20,32
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,1,4
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,5,5
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,6,5,11
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,1,4
TURCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,1,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,0,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,18,14,32
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,4,4
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,2,2,4
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,46,11,57
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,7,1,8
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,3,4
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,1,6,7
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-02-01,0,74,74
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,6,14
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,7,8
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,13,2,15
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,53,55
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,6,6
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,18,18
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,3,8
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,8,13
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,7,3,10
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,0,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,4,9
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,2,3
AYATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,30,30
AYO AYO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,0,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,78,79
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,2,7
BAURES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,5,6
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,17,17
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,38,46
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,18,21
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,5,5
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,14,14
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,7,14,21
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,17,18
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,11,1,12
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,20,22
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,5,5
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,163,169
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,10,10
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,28,23,51
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,14,14
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,41,43
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,13,18
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,28,31
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,12,16,28
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,11,1,12
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,91,19,110
COIPASA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,4,5
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,14,3,17
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,15,17
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,9,80,89
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,15,20
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,24,28
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,2,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,14,0,14
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,18,22
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,4,5
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,2,2
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,20,28
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,2,2
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,116,639,755
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,0,6
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,31,39
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,58,111,169
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,2,2
GUANAY,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,7,7
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,34,17,51
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,0,8
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,7,12
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,17,17
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,5,5
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,4,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,2,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,25,14,39
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,276,54,330
LICOMA PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,0,2
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,7,6,13
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,7,0,7
MACHARETI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,23,1,24
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,25,90,115
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,10,10
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,9,0,9
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,68,2,70
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,19,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,3,3
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,19,60,79
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,1,6
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,0,5
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,4,9
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,11,34,45
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,14,28,42
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,1,2
PORCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,18,20
PORVENIR,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,6,12
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,18,0,18
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,10,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,3,3
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,3,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,56,3,59
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,4,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,11,19
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,0,5
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,8,8
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,0,8
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,3,9
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,1,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,30,0,30
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,11,15,26
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,90,142,232
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,10,10
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,9,9
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,7,8
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,11,12
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,11,0,11
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,7,7
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,15,23
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,10,1,11
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,42,47
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,14,31,45
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,6,6
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,65,89,154
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,11,2,13
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,0,3
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,0,6
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,6,7
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,7,13
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,2,3
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,11,11
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,57,0,57
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,319,228,547
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,7,3,10
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,7,9
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,2,6
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,4,4
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,5,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,4,12
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,11,19
SICAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,18,48,66
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,18,24
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,35,25,60
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,20,20
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,37,33,70
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,0,2
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,8,47,55
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,119,120,239
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,4,7
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,3,3
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,10,12
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,15,30,45
TOMINA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,1,3
TORO TORO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,0,4
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,2,6
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,10,1,11
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,6,32,38
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,32,0,32
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,3,5,8
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,30,8,38
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,2,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,11,12
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,33,3,36
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,14,1,15
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,0,5
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,10,4,14
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,5,0,5
YACO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,20,24
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,4,11,15
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,12,4,16
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-03-01,13,11,24
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,3,4,7
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,2,3,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,1,1,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,14,2,16
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,1,0,1
AYO AYO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,0,23,23
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.1       dpt 1ra dosis,2012-04-01,3,33,36
