,group,variable,month,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,TOTALES,TOTALES,TOTALES
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,6,0,1,0,0,0,9,0,9
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,1,7,2,0,0,0,0,9,3,12
CALACOTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,1,0,0,0,3,3,0,1,0,0,4,4,8
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,10,0,2,0,0,0,14,0,14
CAMATAQUI (C. VILLA ABECIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,6,0,21,0,1,0,0,0,28,0,28
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,1,9,1,4,0,0,0,14,2,16
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,2,0,1,0,0,1,3,4
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,4,0,5,0,0,0,0,0,9,0,9
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,1,0,9,0,52,1,9,1,0,0,71,2,73
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,12,0,1,0,0,0,15,0,15
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,2,3,1,2,0,0,3,5,8
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,4,0,1,0,0,0,7,0,7
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,8,1,28,5,3,1,0,0,39,7,46
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,1,1,0,0,0,0,3,1,4
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,8,1,31,3,4,1,0,0,43,5,48
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,9,3,1,1,0,0,11,4,15
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,3,0,14,0,2,0,0,0,19,0,19
CHOQUE COTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,9,0,4,0,0,0,13,0,13
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,2,3,1,1,0,0,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,4,3,1,0,0,0,5,3,8
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,3,3,4,1,2,0,0,4,9,13
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,27,0,0,0,0,0,27,0,27
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,12,0,1,0,0,0,14,0,14
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,1,2,7,1,1,0,0,5,9,14
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,3,0,79,1,741,3,179,1,0,0,1002,5,1007
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,31,0,0,0,0,0,33,0,33
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,4,6,1,0,0,0,5,6,11
COLLANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,1,0,0,0,9,1,1,0,0,0,11,1,12
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,5,11,2,0,2,0,0,13,9,22
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,5,2,1,1,0,0,6,3,9
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,0,4,0,2,0,0,0,7,7
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,1,0,1,0,10,0,1,0,0,0,13,0,13
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,12,1,1,0,0,0,15,1,16
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,2,0,2,0,0,0,5,0,5
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,3,1,0,2,0,0,3,3,6
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,3,0,8,1,5,0,0,0,16,1,17
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,2,1,2,0,1,0,0,1,5,6
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,1,5,1,0,1,0,0,7,3,10
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,18,1,3,2,0,0,23,3,26
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,15,0,1,0,0,0,18,0,18
CUCHUMUELA (V. G. VILLARROEL),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,2,2,5,0,0,0,0,2,7,9
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CURVA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
DESAGUADERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,2,0,1,0,0,0,4,0,4
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,4,0,92,4,674,16,142,5,0,0,912,25,937
EL CHORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,2,0,2,0,0,0,4,0,4
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,20,0,0,0,0,0,20,1,21
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,7,0,20,1,3,2,0,0,30,3,33
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
EUCALIPTUS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
EUREKA (SANTOS MERCADO),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,3,0,2,0,0,0,0,0,5,0,5
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,2,2,6,0,0,0,0,2,8,10
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,3,1,1,0,0,0,6,1,7
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,1,2,0,0,0,0,2,2,4
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,8,0,22,0,4,0,0,0,34,0,34
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,9,2,1,3,0,0,12,5,17
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
HUACAYA (VILLA DE HUACAYA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,1,12,0,0,0,0,0,13,1,14
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,3,0,0,0,0,0,3,1,4
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,0,3,0,0,0,0,0,4,4
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,1,6,8,1,0,0,0,8,9,17
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,1,2,4,2,0,0,0,5,5,10
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,1,7,1,1,0,0,0,9,2,11
IXIAMAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,3,0,5,0,0,1,0,0,8,1,9
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,6,7,0,0,0,0,7,7,14
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,9,1,24,0,9,0,0,0,42,1,43
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,7,0,57,1,14,0,0,0,78,1,79
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,2,0,41,0,501,1,130,1,1,0,675,2,677
LA RIVERA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,3,0,1,0,0,0,0,0,4,0,4
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,7,3,1,0,0,0,8,3,11
LAS CARRERAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LICOMA PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,10,0,37,4,9,0,0,0,56,4,60
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
LURIBAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHACAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,8,0,3,0,0,0,12,0,12
MALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
MAPIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,17,1,0,0,0,0,17,1,18
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,3,0,9,0,0,0,0,0,12,0,12
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,4,0,4,0,1,0,0,0,9,0,9
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,3,3,0,2,0,0,0,0,3,5,8
MOJOCOYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,2,1,1,0,0,0,4,1,5
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,2,0,18,0,3,0,0,0,23,0,23
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,31,3,4,0,0,0,35,3,38
MORO MORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,3,0,2,0,0,1,5,6
NACEBE (SANTA ROSA DEL ABUNA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,2,7,2,1,0,0,0,9,4,13
OKINAWA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
OMEREQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,2,0,46,2,335,8,91,3,0,0,474,13,487
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,4,0,18,6,4,0,0,0,26,6,32
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-02-01,0,0,0,0,0,0,2,4,0,1,0,0,2,5,7
