,group,variable,month,CESAREAS < A 10,CESAREAS < A 10,CESAREAS 10 A 14,CESAREAS 10 A 14,CESAREAS 15 A 19,CESAREAS 15 A 19,CESAREAS 20 A 34,CESAREAS 20 A 34,CESAREAS 35 A 49,CESAREAS 35 A 49,CESAREAS 50 Y +,CESAREAS 50 Y +,TOTALES,TOTALES,TOTALES
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,4,0,3,0,0,0,7,0,7
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,11,0,5,0,0,0,16,0,16
VALLEGRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,5,0,1,0,0,0,6,0,6
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,1,0,10,0,3,0,0,0,14,0,14
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,4,0,29,0,7,0,0,0,40,0,40
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,1,0,5,0,40,0,14,0,0,0,60,0,60
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,6,0,1,0,0,0,7,0,7
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,0,0,13,0,5,0,0,0,18,0,18
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,8,0,49,0,6,0,0,0,63,0,63
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-02-01,0,0,0,0,5,0,41,0,13,0,0,0,59,0,59
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,3,0,3,0,0,0,7,0,7
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,5,0,12,0,4,0,0,0,21,0,21
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,4,0,16,0,4,0,0,0,24,0,24
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,2,0,19,0,2,0,0,0,24,0,24
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,7,0,31,0,10,0,0,0,49,0,49
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,13,0,2,0,0,0,17,0,17
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,12,0,3,0,0,0,17,0,17
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,4,0,0,0,0,0,6,0,6
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,8,0,7,0,0,0,17,0,17
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,12,0,57,0,0,0,0,0,69,0,69
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,1,0,2,0,35,0,524,0,222,0,0,0,784,0,784
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,15,0,3,0,0,0,20,0,20
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,4,0,7,0,2,0,0,0,13,0,13
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,2,0,5,0,4,0,0,0,12,0,12
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,24,0,4,0,0,0,29,0,29
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,6,0,2,0,0,0,9,0,9
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,31,0,254,0,80,0,0,0,366,0,366
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,3,0,41,0,1,0,0,0,46,0,46
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,5,0,2,0,0,0,8,0,8
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,5,0,27,0,8,0,0,0,41,0,41
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,3,0,16,0,1,0,0,0,20,0,20
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,1,0,42,0,2,0,0,0,46,0,46
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,2,0,24,0,506,0,123,0,0,0,655,0,655
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,7,0,16,0,3,0,0,0,26,0,26
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,7,0,2,0,0,0,9,0,9
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,5,0,0,0,0,0,7,0,7
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,4,0,12,0,3,0,0,0,19,0,19
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,29,0,139,0,27,0,0,0,195,0,195
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,22,0,200,0,62,0,0,0,284,0,284
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,5,0,2,0,0,0,8,0,8
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,3,0,12,0,1,0,0,0,16,0,16
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,5,0,2,0,0,0,7,0,7
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,5,0,18,0,4,0,0,0,27,0,27
POSTRER VALLE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,2,0,15,0,148,0,23,0,0,0,188,0,188
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,2,0,1,0,0,0,4,0,4
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,2,0,14,0,6,0,0,0,23,0,23
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,7,0,29,0,3,0,0,0,40,0,40
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,11,0,36,0,12,0,0,0,59,0,59
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,83,0,5,0,0,0,88,0,88
REYES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,4,0,23,0,69,0,9,0,0,0,105,0,105
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,8,0,2,0,0,0,12,0,12
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,13,0,81,0,13,0,0,0,107,0,107
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,2,0,8,0,2,0,0,0,13,0,13
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,6,0,2,0,0,0,8,0,8
SAN CARLOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,4,0,10,0,3,0,0,0,18,0,18
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,10,0,35,0,6,0,0,0,52,0,52
SAN JAVIER(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
SAN JOSE DE CHIQUITOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,8,0,20,0,4,0,0,0,32,0,32
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,20,0,5,0,0,0,27,0,27
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,6,0,2,0,0,0,8,0,8
SAN RAMON BENI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
SANTA ANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,2,0,5,0,2,0,0,0,10,0,10
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,15,0,8,0,182,0,1580,0,227,0,0,0,2012,0,2012
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,3,0,15,0,5,0,0,0,23,0,23
SOPACHUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,21,0,157,0,34,0,0,0,213,0,213
TARIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,7,0,96,0,60,0,0,0,163,0,163
TIQUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,6,0,14,0,7,0,0,0,27,0,27
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,3,0,2,0,0,0,5,0,5
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,2,0,18,0,115,0,18,0,1,0,154,0,154
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,7,0,7,0,0,0,15,0,15
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,1,0,14,0,4,0,0,0,19,0,19
VALLEGRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,0,0,12,0,1,0,0,0,13,0,13
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,5,0,20,0,7,0,0,0,32,0,32
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,8,0,24,0,4,0,0,0,37,0,37
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,9,0,47,0,10,0,0,0,66,0,66
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,2,0,3,0,2,0,0,0,7,0,7
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,3,0,10,0,2,0,0,0,15,0,15
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,19,0,43,0,1,0,0,0,63,0,63
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,0,0,8,0,59,0,11,0,0,0,78,0,78
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-03-01,0,0,1,0,4,0,31,0,0,0,0,0,36,0,36
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,6,0,14,0,0,0,20,0,20
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,8,0,0,0,0,0,10,0,10
ARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,5,0,21,0,6,0,0,0,33,0,33
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,6,0,16,0,3,0,0,0,25,0,25
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,2,0,3,0,0,0,6,0,6
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,7,0,31,0,6,0,0,0,45,0,45
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,7,0,2,0,0,0,12,0,12
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,4,0,7,0,0,0,0,0,11,0,11
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,7,0,1,0,0,0,8,0,8
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,18,0,0,0,0,0,18,0,18
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,2,0,7,0,51,0,4,0,0,0,64,0,64
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,24,0,488,0,210,0,0,0,723,0,723
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,14,0,4,0,0,0,18,0,18
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,6,0,2,0,0,0,10,0,10
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,9,0,1,0,0,0,12,0,12
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,6,0,17,0,5,0,0,0,28,0,28
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,11,0,0,0,0,0,11,0,11
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,34,0,294,0,52,0,0,0,380,0,380
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,5,0,34,0,1,0,0,0,40,0,40
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,2,0,1,0,0,0,5,0,5
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,1,0,0,0,0,0,4,0,4
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,2,0,6,0,23,0,6,0,0,0,37,0,37
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,12,0,2,0,0,0,16,0,16
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,4,0,25,0,6,0,0,0,35,0,35
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,26,0,497,0,141,0,0,0,664,0,664
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,5,0,23,0,1,0,0,0,29,0,29
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,5,0,1,0,0,0,7,0,7
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,3,0,1,0,0,0,6,0,6
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,4,0,14,0,4,0,0,0,23,0,23
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,13,0,150,0,6,0,0,0,170,0,170
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,20,0,215,0,82,0,0,0,317,0,317
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,1,0,2,0,0,0,5,0,5
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,11,0,3,0,0,0,17,0,17
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,5,0,2,0,0,0,9,0,9
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,3,0,13,0,1,0,0,0,18,0,18
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,26,0,151,0,33,0,0,0,210,0,210
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,11,0,1,0,0,0,13,0,13
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,4,0,14,0,3,0,0,0,22,0,22
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,2,0,6,0,25,0,8,0,0,0,41,0,41
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,9,0,34,0,4,0,0,0,47,0,47
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,13,0,54,0,16,0,0,0,83,0,83
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,3,0,17,0,75,0,17,0,0,0,112,0,112
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,5,0,1,0,0,0,7,0,7
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,8,0,1,0,0,0,12,0,12
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,17,0,92,0,12,0,0,0,121,0,121
SAN ANDRES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
