,group,variable,month,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 50 Y +,PRIMER CONTROL POST PARTO 50 Y +,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,7,0,23,1,3,0,0,0,33,1,34
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,9,2,1,3,0,0,12,5,17
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
HUACAYA (VILLA DE HUACAYA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,1,12,0,0,0,0,0,13,1,14
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,3,0,0,0,0,0,3,1,4
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,0,3,0,0,0,0,0,4,4
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,1,6,8,1,0,0,0,8,9,17
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,0,4,0,0,0,0,0,5,5
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,5,1,1,0,0,0,6,1,7
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,6,7,0,0,0,0,7,7,14
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,1,7,0,2,0,0,0,11,1,12
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,9,0,75,1,14,0,0,0,98,1,99
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,2,0,19,0,374,3,104,1,1,0,500,4,504
LA RIVERA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,1,0,0,0,0,0,4,0,4
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,7,3,1,0,0,0,8,3,11
LAS CARRERAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,4,2,1,1,0,0,6,3,9
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
LURIBAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MACHACAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,3,0,1,0,0,0,6,0,6
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,9,0,1,0,0,0,10,0,10
MALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
MAPIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,17,1,0,0,0,0,17,1,18
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,3,0,1,0,0,0,6,0,6
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,5,0,8,0,3,0,0,0,16,0,16
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,3,0,2,0,0,0,0,3,5,8
MOJOCOYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,2,1,1,0,0,0,4,1,5
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,41,0,1,0,0,0,42,0,42
MORO MORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
NACEBE (SANTA ROSA DEL ABUNA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
NAZACARA DE PACAJES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,2,7,2,1,0,0,0,10,4,14
OKINAWA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,1,0,35,0,260,7,51,3,0,0,347,10,357
PADCAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,5,1,2,0,0,0,10,1,11
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,4,0,17,0,0,0,0,0,21,0,21
PALCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,4,0,1,0,0,2,5,7
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,1,0,4,3,9,3,0,1,0,0,14,7,21
PAMPA AULLAGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
PAMPA GRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PAPEL PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
PASORAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,15,2,5,0,0,0,22,2,24
PAZÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
PELECHUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,2,3,0,0,0,0,2,4,6
POCOATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,1,4,5,3,5,0,0,10,11,21
POCONA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,1,0,1,0,3,0,1,0,0,0,6,0,6
POJO (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,7,0,2,0,0,0,9,1,10
PORCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
POROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,2,6,1,0,0,0,6,6,12
PORONGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,7,0,0,0,0,0,8,0,8
PORVENIR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,1,0,0,0,2,0,0,0,0,0,3,0,3
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,1,0,33,1,187,6,29,1,0,0,250,8,258
PRESTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,8,8,0,1,0,0,9,9,18
PUERTO ACOSTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,3,1,0,1,0,0,3,2,5
PUERTO CARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,2,1,4,0,1,0,0,2,7,9
PUERTO GONZALO MORENO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
PUERTO PEREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,2,1,1,0,1,0,0,1,4,5
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,13,0,1,0,0,0,15,0,15
PUERTO RICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,6,0,8,0,0,0,0,0,14,0,14
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,6,0,1,0,0,0,10,0,10
PUNA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,5,1,0,0,0,0,7,1,8
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,5,1,0,0,0,0,5,1,6
QUIABAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,156,2,0,0,0,0,157,2,159
QUIME,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,5,2,1,0,0,0,6,2,8
QUIRUSILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
RAQAYPAMPA(ETA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,2,0,2,2,0,0,0,4,4,8
RAVELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
REYES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,1,0,4,0,10,1,0,0,0,0,15,1,16
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,4,0,50,0,140,0,18,0,0,0,212,0,212
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,33,3,0,0,0,0,33,3,36
SABAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,9,0,77,0,11,0,0,0,97,0,97
SACABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,2,1,9,1,2,0,0,5,13,18
SAIPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SALINAS DE GARCI MENDOZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAMAIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SAN AGUSTIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN ANDRES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
SAN ANDRES DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
SAN ANTONIO DE ESMORUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,5,2,0,0,0,0,6,2,8
SAN BENITO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,1,9,7,1,1,0,0,13,9,22
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,6,0,3,0,0,0,11,0,11
SAN CARLOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,13,0,0,0,0,0,15,0,15
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,5,0,13,1,1,1,0,0,19,2,21
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,16,0,55,0,3,0,0,0,74,0,74
SAN JAVIER(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,4,0,13,0,3,0,0,0,20,0,20
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,7,0,38,0,6,0,0,0,51,0,51
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,1,2,4,1,0,0,0,4,5,9
SAN LORENZO(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,4,1,0,0,0,0,4,1,5
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,2,17,6,1,0,0,0,20,8,28
SAN MATIAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,13,0,0,0,0,0,13,0,13
SAN MIGUEL DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
SAN PABLO DE LIPEZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
SAN PEDRO DE BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,5,6,2,8,0,7,0,0,7,21,28
SAN PEDRO DE CURAHUARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO DE MACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,4,3,4,7,1,1,0,0,9,11,20
SAN PEDRO DE TIQUINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
SAN RAFAEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN RAMON SCZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,4,0,2,0,0,0,7,0,7
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,22,0,0,0,55,1,466,2,79,0,0,0,622,3,625
SANTA ROSA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,7,2,0,0,0,0,10,2,12
SANTA ROSA DEL SARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,5,0,0,0,0,0,6,0,6
SANTIAGO DE CALLAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTIAGO DE HUARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SANTIVAÑES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTUARIO DE QUILLACAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAPAHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
SENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,3,0,0,0,0,0,5,0,5
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,27,2,6,0,0,0,36,2,38
SICA SICA (VILLA AROMA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SICAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SIPE SIPE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,9,1,4,1,0,0,13,2,15
SOPACHUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,3,0,1,0,1,0,0,0,5,0,5
SORACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,2,2,0,0,0,0,2,3,5
SORATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,2,0,8,3,2,1,0,0,12,4,16
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,1,0,60,0,376,2,54,0,0,0,491,2,493
TACACOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,7,0,0,0,0,0,8,0,8
TACOBAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TACOPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAPACARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,3,1,12,0,3,0,0,2,18,20
TARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,2,0,0,1,4,1,0,0,0,0,6,2,8
TARATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
TARIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-02-01,0,0,0,0,22,0,220,1,44,1,0,0,286,2,288
