,group,variable,month,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 50 Y +,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 50 Y +,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,4,0,22,0,5,0,0,0,31,0,31
SICA SICA (VILLA AROMA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SORATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
YACO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-06-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,1,0,5,0,0,0,0,0,6,6
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,1,0,3,0,3,0,0,0,7,0,7
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO CARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
REYES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SACABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SACACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,3,0,0,1,0,0,3,1,4
SAN PEDRO DE BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO DE CURAHUARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,4,0,29,0,2,0,0,0,35,0,35
TARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
TINGUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,2,0,30,1,109,0,20,0,0,0,161,1,162
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,1,0,1,1,1,0,0,0,3,1,4
VILA VILA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GENERAL SAAVEDRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAZÑA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
POJO (CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUCARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,1,0,1,1,1,0,0,0,3,1,4
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,2,0,1,0,0,1,0,0,3,1,4
SAN PEDRO DE TIQUINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,13,0,6,0,0,0,19,0,19
SICA SICA (VILLA AROMA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
YANACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-08-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,2,0,3,2,0,2,0,0,5,4,9
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN RAFAEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN RAMON SCZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,25,0,0,0,0,0,25,0,25
TARVITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BOLPEBRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EXALTACION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
IXIAMAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,12,0,0,0,0,0,12,0,12
TAPACARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-10-01,0,0,0,0,0,0,17,0,0,0,0,0,17,0,17
ARAMPAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,3,0,6,0,1,0,0,0,10,0,10
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,17,0,8,0,0,0,25,0,25
SAMAIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,1,1,0,2,0,0,0,0,1,3,4
SAN LORENZO(PND),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
SAN PABLO DE LIPEZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,1,0,29,0,8,0,0,0,38,0,38
SAPAHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SICAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
