,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
CHUA COCANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,5,25,25,30,30,60
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,7,103,90,114,97,211
CHUMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,7,67,66,75,73,148
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,4,50,51,58,55,113
CKOCHAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,17,118,143,130,160,290
CLIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,63,60,176,144,239,204,443
COBIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,88,76,529,490,617,566,1183
COCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,89,15,158,142,247,157,404
COCHABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,991,1062,3687,3315,4678,4377,9055
COIPASA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,0,8,9,9,9,18
COLCAPIRHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,73,78,314,305,387,383,770
"COLCHA ""K""",control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,12,106,135,112,147,259
COLLANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,0,18,31,21,31,52
COLOMI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,25,19,197,176,222,195,417
COLPA BELGICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,7,2,2,9,9,18
COLQUECHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,35,22,271,267,306,289,595
COLQUENCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,7,64,80,71,87,158
COLQUIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,24,15,129,136,153,151,304
COMANCHE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,4,23,15,24,19,43
COMARAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,13,13,122,144,135,157,292
COMBAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,3,19,17,24,20,44
CONCEPCION,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,28,29,148,136,176,165,341
COPACABANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,7,71,64,83,71,154
CORIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,8,134,146,145,154,299
CORO CORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,14,2,51,54,65,56,121
COROICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,28,16,120,122,148,138,286
CORQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,4,66,45,70,49,119
COTAGAITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,22,13,156,129,178,142,320
COTOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,76,69,371,364,447,433,880
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,0,1,2,1,2,3
CUATRO CAÑADAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,23,24,52,69,75,93,168
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,3,9,11,11,14,25
CUEVO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,0,22,32,27,32,59
CULPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,8,154,153,160,161,321
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,4,45,43,56,47,103
CURVA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,1,29,23,31,24,55
DESAGUADERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,6,32,45,36,51,87
EL ALTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1584,1380,6413,5874,7997,7254,15251
EL CHORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,2,58,50,65,52,117
EL PUENTE(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,9,8,101,86,110,94,204
EL PUENTE(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,9,12,84,80,93,92,185
EL TORNO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,60,33,322,317,382,350,732
EL VILLAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,4,22,26,24,30,54
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,17,13,159,184,176,197,373
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,58,46,350,342,408,388,796
ESCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,0,2,7,2,7,9
ESCOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,5,33,35,40,40,80
ESMERALDA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,0,3,0,3,0,3
EUCALIPTUS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,12,31,37,39,49,88
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,0,12,9,14,9,23
EXALTACION,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,2,15,21,17,23,40
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,16,5,110,116,126,121,247
FILADELFIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,3,56,57,64,60,124
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,38,29,126,81,164,110,274
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,2,87,67,94,69,163
GUANAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,8,109,128,121,136,257
GUAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,1,38,32,43,33,76
GUAYARAMERIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,62,71,473,473,535,544,1079
GUTIERREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,15,18,124,130,139,148,287
HUACARETA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,10,87,67,95,77,172
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,1,23,24,28,25,53
HUACHACALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,1,8,14,9,15,24
HUANUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,23,29,193,215,216,244,460
HUARACAJE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,6,23,21,25,27,52
HUARINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,3,31,22,31,25,56
HUATAJATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,1,24,15,29,16,45
HUAYLLAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,4,36,39,38,43,81
HUMANATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,6,21,20,23,26,49
ICHOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,1,35,31,38,32,70
ICLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,5,60,55,64,60,124
INCAHUASI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,12,98,109,109,121,230
INGAVI (HUMAITA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,2,26,17,27,19,46
INQUISIVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,13,12,74,79,87,91,178
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,24,15,115,82,139,97,236
IXIAMAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,17,9,89,81,106,90,196
JESUS DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,12,97,89,107,101,208
LA ASUNTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,39,35,224,216,263,251,514
LA GUARDIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,75,62,622,594,697,656,1353
LA PAZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1660,1471,3849,3589,5509,5060,10569
LA RIVERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,2,0,0,5,2,7
LAGUNILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,8,53,44,57,52,109
LAJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,10,118,115,126,125,251
LAS CARRERAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,1,26,27,27,28,55
LICOMA PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,1,18,24,21,25,46
LLALLAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,81,86,305,304,386,390,776
LLICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,5,29,30,30,35,65
LORETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,11,20,20,30,31,61
LURIBAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,18,23,32,34,50,57,107
MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,1,32,37,33,38,71
MACHARETI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,4,66,77,68,81,149
MAGDALENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,15,19,118,101,133,120,253
MAIRANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,9,82,109,90,118,208
MALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,2,14,17,19,19,38
MAPIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,13,13,115,124,128,137,265
MECAPACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,21,19,80,69,101,88,189
MINEROS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,37,45,193,179,230,224,454
MIZQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,46,44,271,473,317,517,834
MOCOMOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,18,7,82,81,100,88,188
MOJINETE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,0,4,4,4,4,8
MOJOCOYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,3,57,41,62,44,106
MONTEAGUDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,21,20,209,173,230,193,423
MONTERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,283,214,1177,1022,1460,1236,2696
MORO MORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,2,19,13,25,15,40
MOROCHATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,18,15,115,97,133,112,245
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,3,25,25,28,28,56
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,0,3,5,5,5,10
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,0,25,6,26,6,32
OCURI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,18,25,111,123,129,148,277
OKINAWA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,11,121,117,133,128,261
OMEREQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,15,5,73,61,88,66,154
ORURO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,650,784,1975,1958,2625,2742,5367
PADCAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,21,15,135,134,156,149,305
PADILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,13,9,93,84,106,93,199
PAILON,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,49,46,178,166,227,212,439
PALCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,21,24,146,120,167,144,311
PALOS BLANCOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,29,39,271,238,300,277,577
PAMPA AULLAGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,4,25,25,27,29,56
PAMPA GRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,11,68,52,71,63,134
PAPEL PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,2,35,42,43,44,87
PASORAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,0,22,14,25,14,39
PATACAMAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,16,12,193,174,209,186,395
PAZÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,2,65,61,67,63,130
PELECHUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,4,66,47,72,51,123
POCOATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,19,20,185,179,204,199,403
POCONA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,11,110,131,120,142,262
POJO (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,10,132,122,143,132,275
POOPO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,1,50,46,51,47,98
PORCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,6,115,123,121,129,250
POROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,23,10,112,114,135,124,259
PORONGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,9,10,53,65,62,75,137
PORTACHUELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,22,23,96,70,118,93,211
PORVENIR,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,3,60,63,64,66,130
POSTRER VALLE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,0,11,6,12,6,18
POTOSI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,331,315,1311,1264,1642,1579,3221
PRESTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,14,12,69,62,83,74,157
PUCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,1,13,8,14,9,23
PUCARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,25,23,214,184,239,207,446
PUERTO ACOSTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,9,61,56,66,65,131
PUERTO CARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,20,10,94,81,114,91,205
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,6,101,79,111,85,196
PUERTO PEREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,2,37,39,42,41,83
PUERTO QUIJARRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,53,55,109,93,162,148,310
PUERTO RICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,13,12,83,86,96,98,194
PUERTO SILES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,2,6,4,7,6,13
PUERTO SUAREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,40,39,96,95,136,134,270
PUERTO VILLARROEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,142,130,625,492,767,622,1389
PUNA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,30,17,154,137,184,154,338
PUNATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,27,40,224,226,251,266,517
QUIABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,3,28,27,29,30,59
QUILLACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,612,536,1175,1103,1787,1639,3426
QUIME,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,9,68,88,78,97,175
QUIRUSILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,2,8,11,12,13,25
RAVELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,14,11,113,105,127,116,243
REYES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,14,99,89,106,103,209
RIBERALTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,172,154,934,927,1106,1081,2187
ROBORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,11,106,99,118,110,228
RURRENABAQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,24,106,130,118,154,272
SABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,1,24,22,27,23,50
SACABA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,177,174,1315,1263,1492,1437,2929
SACABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,7,35,28,39,35,74
SACACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,16,17,205,194,221,211,432
SAIPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,4,48,51,59,55,114
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,9,9,108,104,117,113,230
SAMAIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,11,71,81,75,92,167
SAN AGUSTIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,8,7,12,8,20,28
SAN ANDRES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,5,62,73,73,78,151
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,3,20,20,23,23,46
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,3,15,12,15,15,30
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,10,43,66,48,76,124
SAN BENITO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,22,15,106,101,128,116,244
SAN BORJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,69,70,354,366,423,436,859
SAN BUENA VENTURA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,21,18,84,55,105,73,178
SAN CARLOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,29,25,160,187,189,212,401
SAN IGNACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,62,59,200,179,262,238,500
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,92,88,661,606,753,694,1447
SAN JAVIER(BNI),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,11,2,8,5,19,7,26
SAN JAVIER(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,19,15,100,91,119,106,225
SAN JOAQUIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,10,31,28,39,38,77
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,36,38,96,79,132,117,249
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,2,85,66,87,68,155
SAN JULIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,55,46,412,360,467,406,873
SAN LORENZO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,1,5,42,42,43,47,90
SAN LORENZO(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,14,22,191,209,205,231,436
SAN LUCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,21,25,266,240,287,265,552
SAN MATIAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,9,6,82,90,91,96,187
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,15,13,123,116,138,129,267
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,2,12,21,17,23,40
SAN PEDRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,11,112,116,122,127,249
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,37,56,237,218,274,274,548
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,6,37,35,39,41,80
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,2,6,3,8,5,13
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,1,41,23,45,24,69
SAN PEDRO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,0,11,13,11,13,24
SAN RAFAEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,4,58,30,64,34,98
SAN RAMON BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,4,48,35,52,39,91
SAN RAMON SCZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,8,71,59,78,67,145
SANTA ANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,75,71,92,66,167,137,304
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4131,2802,5678,5018,9809,7820,17629
SANTA ROSA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,8,87,103,97,111,208
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,19,112,118,124,137,261
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,4,2,20,12,24,14,38
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,3,84,99,87,102,189
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,3,3,44,38,47,41,88
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,3,20,27,22,30,52
SANTIVAÑES,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,3,63,32,70,35,105
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,5,36,27,38,32,70
SAPAHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,9,68,51,75,60,135
SENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,12,10,35,25,47,35,82
SHINAOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,94,60,270,263,364,323,687
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,14,12,141,142,155,154,309
SICAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,1,41,41,43,42,85
SIPE SIPE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,87,86,493,423,580,509,1089
SOPACHUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,2,59,52,64,54,118
SORACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,10,11,90,88,100,99,199
SORATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,14,15,100,124,114,139,253
SUCRE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,373,417,2948,2560,3321,2977,6298
TACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,0,13,8,18,8,26
TACACOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,14,39,29,47,43,90
TACOBAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,9,65,72,72,81,153
TACOPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,8,52,47,57,55,112
TAHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,0,7,10,9,10,19
TAPACARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,20,16,218,225,238,241,479
TARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,15,16,101,105,116,121,237
TARACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,1,24,23,24,24,48
TARATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,25,18,100,85,125,103,228
TARIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,785,712,1364,1326,2149,2038,4187
TARVITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,22,109,108,116,130,246
TEOPONTE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,14,14,105,127,119,141,260
TIAWANACU,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,14,132,90,140,104,244
TINGUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,41,49,155,121,196,170,366
TIPUANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,25,148,95,80,120,228,348
TIQUIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,140,116,549,465,689,581,1270
TIRAQUE (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,19,18,151,164,170,182,352
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,1,5,5,10,6,16
TOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,3,46,41,51,44,95
TODOS SANTOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,0,3,0,3,0,3
TOLATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,6,53,68,59,74,133
TOLEDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,6,4,46,36,52,40,92
TOMAVE,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,15,7,94,96,109,103,212
TOMINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,8,14,70,70,78,84,162
TORO TORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,26,14,103,83,129,97,226
TOTORA(CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,40,27,137,143,177,170,347
TOTORA(ORR),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,5,3,49,29,54,32,86
TRIGAL,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,0,2,12,12,12,14,26
TRINIDAD,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,305,271,708,589,1013,860,1873
TUPIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,36,46,323,329,359,375,734
TURCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,1,41,30,43,31,74
UMALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,7,14,46,51,53,65,118
UNCIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,18,27,159,152,177,179,356
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,68,40,118,139,186,179,365
URUBICHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,2,3,72,66,74,69,143
UYUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-03-01,43,43,175,208,218,251,469
