,group,variable,month,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTAL 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
RIBERALTA,malaria,      numero de muestras hematicas tomadas,2014-03-01,547.0,566.0,2.0,0.0,549.0,566.0,1115.0
ROBORE,malaria,      numero de muestras hematicas tomadas,2014-03-01,4.0,9.0,0.0,0.0,4.0,9.0,13.0
RURRENABAQUE,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
SAIPINA,malaria,      numero de muestras hematicas tomadas,2014-03-01,129.0,59.0,0.0,0.0,129.0,59.0,188.0
SAN CARLOS,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,malaria,      numero de muestras hematicas tomadas,2014-03-01,21.0,24.0,0.0,0.0,21.0,24.0,45.0
SAN JAVIER(STC),malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN JOSE DE CHIQUITOS,malaria,      numero de muestras hematicas tomadas,2014-03-01,10.0,20.0,0.0,0.0,10.0,20.0,30.0
SAN LORENZO(PND),malaria,      numero de muestras hematicas tomadas,2014-03-01,13.0,17.0,0.0,0.0,13.0,17.0,30.0
SAN LORENZO(TJA),malaria,      numero de muestras hematicas tomadas,2014-03-01,6.0,1.0,0.0,0.0,6.0,1.0,7.0
SAN LUCAS,malaria,      numero de muestras hematicas tomadas,2014-03-01,6.0,34.0,0.0,0.0,6.0,34.0,40.0
SAN MATIAS,malaria,      numero de muestras hematicas tomadas,2014-03-01,141.0,127.0,0.0,0.0,141.0,127.0,268.0
SAN MIGUEL DE VELASCO,malaria,      numero de muestras hematicas tomadas,2014-03-01,7.0,28.0,0.0,0.0,7.0,28.0,35.0
SAN PEDRO(PND),malaria,      numero de muestras hematicas tomadas,2014-03-01,33.0,40.0,0.0,0.0,33.0,40.0,73.0
SANTA CRUZ DE LA SIERRA,malaria,      numero de muestras hematicas tomadas,2014-03-01,101.0,163.0,0.0,0.0,101.0,163.0,264.0
SENA,malaria,      numero de muestras hematicas tomadas,2014-03-01,70.0,65.0,0.0,0.0,70.0,65.0,135.0
SOPACHUY,malaria,      numero de muestras hematicas tomadas,2014-03-01,4.0,23.0,0.0,0.0,4.0,23.0,27.0
SUCRE,malaria,      numero de muestras hematicas tomadas,2014-03-01,10.0,24.0,0.0,0.0,10.0,24.0,34.0
TARABUCO,malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
TARVITA,malaria,      numero de muestras hematicas tomadas,2014-03-01,29.0,47.0,0.0,0.0,29.0,47.0,76.0
TEOPONTE,malaria,      numero de muestras hematicas tomadas,2014-03-01,3.0,3.0,0.0,0.0,3.0,3.0,6.0
TOMINA,malaria,      numero de muestras hematicas tomadas,2014-03-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
TORO TORO,malaria,      numero de muestras hematicas tomadas,2014-03-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
VALLEGRANDE,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA CHARCAS,malaria,      numero de muestras hematicas tomadas,2014-03-01,12.0,38.0,0.0,0.0,12.0,38.0,50.0
VILLA MONTES,malaria,      numero de muestras hematicas tomadas,2014-03-01,147.0,131.0,0.0,0.0,147.0,131.0,278.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de muestras hematicas tomadas,2014-03-01,38.0,41.0,0.0,0.0,38.0,41.0,79.0
VILLA SERRANO,malaria,      numero de muestras hematicas tomadas,2014-03-01,6.0,9.0,0.0,0.0,6.0,9.0,15.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      numero de muestras hematicas tomadas,2014-03-01,25.0,35.0,0.0,0.0,25.0,35.0,60.0
YACUIBA,malaria,      numero de muestras hematicas tomadas,2014-03-01,301.0,410.0,0.0,0.0,301.0,410.0,711.0
YAMPARAEZ,malaria,      numero de muestras hematicas tomadas,2014-03-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
YAPACANI,malaria,      numero de muestras hematicas tomadas,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
YOTALA,malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
ZUDAÑEZ,malaria,      numero de muestras hematicas tomadas,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ACACIO,malaria,      numero de muestras hematicas tomadas,2014-04-01,14.0,11.0,0.0,0.0,14.0,11.0,25.0
AIQUILE,malaria,      numero de muestras hematicas tomadas,2014-04-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
ALCALA,malaria,      numero de muestras hematicas tomadas,2014-04-01,1.0,7.0,0.0,0.0,1.0,7.0,8.0
AZURDUY,malaria,      numero de muestras hematicas tomadas,2014-04-01,99.0,120.0,0.0,0.0,99.0,120.0,219.0
BAURES,malaria,      numero de muestras hematicas tomadas,2014-04-01,17.0,12.0,0.0,0.0,17.0,12.0,29.0
BELLA FLOR,malaria,      numero de muestras hematicas tomadas,2014-04-01,54.0,54.0,0.0,0.0,54.0,54.0,108.0
BERMEJO,malaria,      numero de muestras hematicas tomadas,2014-04-01,11.0,17.0,0.0,0.0,11.0,17.0,28.0
BOLPEBRA,malaria,      numero de muestras hematicas tomadas,2014-04-01,7.0,7.0,0.0,0.0,7.0,7.0,14.0
CAMARGO,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,12.0,0.0,0.0,0.0,12.0,12.0
CAMATAQUI (C. VILLA ABECIA),malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
CAMIRI,malaria,      numero de muestras hematicas tomadas,2014-04-01,21.0,21.0,1.0,0.0,22.0,21.0,43.0
CARANAVI,malaria,      numero de muestras hematicas tomadas,2014-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CARAPARI,malaria,      numero de muestras hematicas tomadas,2014-04-01,108.0,107.0,0.0,0.0,108.0,107.0,215.0
COBIJA,malaria,      numero de muestras hematicas tomadas,2014-04-01,21.0,17.0,0.0,0.0,21.0,17.0,38.0
COMARAPA,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
CONCEPCION,malaria,      numero de muestras hematicas tomadas,2014-04-01,30.0,33.0,0.0,0.0,30.0,33.0,63.0
CULPINA,malaria,      numero de muestras hematicas tomadas,2014-04-01,47.0,84.0,0.0,0.0,47.0,84.0,131.0
EL TORNO,malaria,      numero de muestras hematicas tomadas,2014-04-01,10.0,21.0,0.0,0.0,10.0,21.0,31.0
EL VILLAR,malaria,      numero de muestras hematicas tomadas,2014-04-01,2.0,10.0,0.0,0.0,2.0,10.0,12.0
ENTRE RIOS TRJ,malaria,      numero de muestras hematicas tomadas,2014-04-01,159.0,151.0,0.0,0.0,159.0,151.0,310.0
EUREKA (SANTOS MERCADO),malaria,      numero de muestras hematicas tomadas,2014-04-01,88.0,104.0,0.0,0.0,88.0,104.0,192.0
FILADELFIA,malaria,      numero de muestras hematicas tomadas,2014-04-01,31.0,15.0,0.0,0.0,31.0,15.0,46.0
GUANAY,malaria,      numero de muestras hematicas tomadas,2014-04-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
GUAYARAMERIN,malaria,      numero de muestras hematicas tomadas,2014-04-01,686.0,785.0,0.0,0.0,686.0,785.0,1471.0
HUACARETA,malaria,      numero de muestras hematicas tomadas,2014-04-01,56.0,63.0,0.0,0.0,56.0,63.0,119.0
HUACAYA (VILLA DE HUACAYA),malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,1.0,2.0,4.0,2.0,5.0,7.0
ICLA,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
INCAHUASI,malaria,      numero de muestras hematicas tomadas,2014-04-01,2.0,7.0,0.0,0.0,2.0,7.0,9.0
INGAVI (HUMAITA),malaria,      numero de muestras hematicas tomadas,2014-04-01,95.0,70.0,0.0,0.0,95.0,70.0,165.0
LA GUARDIA,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LAGUNILLAS,malaria,      numero de muestras hematicas tomadas,2014-04-01,4.0,19.0,0.0,0.0,4.0,19.0,23.0
LAS CARRERAS,malaria,      numero de muestras hematicas tomadas,2014-04-01,6.0,13.0,0.0,0.0,6.0,13.0,19.0
MACHARETI,malaria,      numero de muestras hematicas tomadas,2014-04-01,19.0,45.0,0.0,0.0,19.0,45.0,64.0
MAGDALENA,malaria,      numero de muestras hematicas tomadas,2014-04-01,46.0,53.0,0.0,0.0,46.0,53.0,99.0
MAPIRI,malaria,      numero de muestras hematicas tomadas,2014-04-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
MOJOCOYA,malaria,      numero de muestras hematicas tomadas,2014-04-01,13.0,19.0,1.0,1.0,14.0,20.0,34.0
MONTEAGUDO,malaria,      numero de muestras hematicas tomadas,2014-04-01,72.0,111.0,0.0,0.0,72.0,111.0,183.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de muestras hematicas tomadas,2014-04-01,89.0,65.0,0.0,0.0,89.0,65.0,154.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de muestras hematicas tomadas,2014-04-01,189.0,130.0,0.0,0.0,189.0,130.0,319.0
PADCAYA,malaria,      numero de muestras hematicas tomadas,2014-04-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
PADILLA,malaria,      numero de muestras hematicas tomadas,2014-04-01,3.0,11.0,0.0,0.0,3.0,11.0,14.0
PALOS BLANCOS,malaria,      numero de muestras hematicas tomadas,2014-04-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
POROMA,malaria,      numero de muestras hematicas tomadas,2014-04-01,31.0,54.0,0.0,0.0,31.0,54.0,85.0
PORONGO,malaria,      numero de muestras hematicas tomadas,2014-04-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
PORVENIR,malaria,      numero de muestras hematicas tomadas,2014-04-01,92.0,105.0,0.0,0.0,92.0,105.0,197.0
PRESTO,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
PUERTO GONZALO MORENO,malaria,      numero de muestras hematicas tomadas,2014-04-01,42.0,33.0,0.0,0.0,42.0,33.0,75.0
PUERTO RICO,malaria,      numero de muestras hematicas tomadas,2014-04-01,83.0,48.0,0.0,0.0,83.0,48.0,131.0
PUERTO VILLARROEL,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RAVELO,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,0.0,5.0,4.0,5.0,4.0,9.0
REYES,malaria,      numero de muestras hematicas tomadas,2014-04-01,56.0,59.0,0.0,0.0,56.0,59.0,115.0
RIBERALTA,malaria,      numero de muestras hematicas tomadas,2014-04-01,763.0,721.0,0.0,89.0,763.0,810.0,1573.0
ROBORE,malaria,      numero de muestras hematicas tomadas,2014-04-01,5.0,20.0,0.0,0.0,5.0,20.0,25.0
SAIPINA,malaria,      numero de muestras hematicas tomadas,2014-04-01,58.0,86.0,0.0,0.0,58.0,86.0,144.0
SAN BUENA VENTURA,malaria,      numero de muestras hematicas tomadas,2014-04-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
SAN CARLOS,malaria,      numero de muestras hematicas tomadas,2014-04-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
SAN IGNACIO DE VELASCO,malaria,      numero de muestras hematicas tomadas,2014-04-01,33.0,41.0,0.0,0.0,33.0,41.0,74.0
SAN JAVIER(STC),malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,      numero de muestras hematicas tomadas,2014-04-01,173.0,148.0,0.0,0.0,173.0,148.0,321.0
SAN LUCAS,malaria,      numero de muestras hematicas tomadas,2014-04-01,15.0,25.0,0.0,0.0,15.0,25.0,40.0
SAN MATIAS,malaria,      numero de muestras hematicas tomadas,2014-04-01,12.0,16.0,0.0,0.0,12.0,16.0,28.0
SAN PEDRO(PND),malaria,      numero de muestras hematicas tomadas,2014-04-01,52.0,55.0,0.0,0.0,52.0,55.0,107.0
SANTA CRUZ DE LA SIERRA,malaria,      numero de muestras hematicas tomadas,2014-04-01,53.0,54.0,0.0,0.0,53.0,54.0,107.0
SANTA ROSA,malaria,      numero de muestras hematicas tomadas,2014-04-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
SENA,malaria,      numero de muestras hematicas tomadas,2014-04-01,62.0,22.0,0.0,0.0,62.0,22.0,84.0
SOPACHUY,malaria,      numero de muestras hematicas tomadas,2014-04-01,6.0,15.0,0.0,0.0,6.0,15.0,21.0
SUCRE,malaria,      numero de muestras hematicas tomadas,2014-04-01,4.0,21.0,0.0,0.0,4.0,21.0,25.0
TARABUCO,malaria,      numero de muestras hematicas tomadas,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TARVITA,malaria,      numero de muestras hematicas tomadas,2014-04-01,38.0,53.0,0.0,0.0,38.0,53.0,91.0
TEOPONTE,malaria,      numero de muestras hematicas tomadas,2014-04-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
TOMINA,malaria,      numero de muestras hematicas tomadas,2014-04-01,4.0,9.0,0.0,0.0,4.0,9.0,13.0
TORO TORO,malaria,      numero de muestras hematicas tomadas,2014-04-01,24.0,10.0,0.0,0.0,24.0,10.0,34.0
VALLEGRANDE,malaria,      numero de muestras hematicas tomadas,2014-04-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
VILLA CHARCAS,malaria,      numero de muestras hematicas tomadas,2014-04-01,9.0,25.0,0.0,0.0,9.0,25.0,34.0
VILLA MONTES,malaria,      numero de muestras hematicas tomadas,2014-04-01,72.0,86.0,0.0,0.0,72.0,86.0,158.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de muestras hematicas tomadas,2014-04-01,25.0,49.0,0.0,0.0,25.0,49.0,74.0
VILLA SERRANO,malaria,      numero de muestras hematicas tomadas,2014-04-01,3.0,9.0,0.0,0.0,3.0,9.0,12.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      numero de muestras hematicas tomadas,2014-04-01,38.0,53.0,0.0,0.0,38.0,53.0,91.0
YACUIBA,malaria,      numero de muestras hematicas tomadas,2014-04-01,383.0,485.0,0.0,0.0,383.0,485.0,868.0
YAMPARAEZ,malaria,      numero de muestras hematicas tomadas,2014-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
YAPACANI,malaria,      numero de muestras hematicas tomadas,2014-04-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
YOTALA,malaria,      numero de muestras hematicas tomadas,2014-04-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
ZUDAÑEZ,malaria,      numero de muestras hematicas tomadas,2014-04-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
AIQUILE,malaria,      numero de muestras hematicas tomadas,2014-05-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
ALCALA,malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
AZURDUY,malaria,      numero de muestras hematicas tomadas,2014-05-01,133.0,185.0,0.0,0.0,133.0,185.0,318.0
BAURES,malaria,      numero de muestras hematicas tomadas,2014-05-01,15.0,10.0,0.0,0.0,15.0,10.0,25.0
BELLA FLOR,malaria,      numero de muestras hematicas tomadas,2014-05-01,42.0,33.0,0.0,0.0,42.0,33.0,75.0
BERMEJO,malaria,      numero de muestras hematicas tomadas,2014-05-01,16.0,15.0,0.0,0.0,16.0,15.0,31.0
BOLPEBRA,malaria,      numero de muestras hematicas tomadas,2014-05-01,18.0,7.0,14.0,4.0,32.0,11.0,43.0
CAMARGO,malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CAMATAQUI (C. VILLA ABECIA),malaria,      numero de muestras hematicas tomadas,2014-05-01,9.0,11.0,0.0,0.0,9.0,11.0,20.0
CAMIRI,malaria,      numero de muestras hematicas tomadas,2014-05-01,14.0,15.0,0.0,0.0,14.0,15.0,29.0
CARANAVI,malaria,      numero de muestras hematicas tomadas,2014-05-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
CARAPARI,malaria,      numero de muestras hematicas tomadas,2014-05-01,20.0,16.0,0.0,0.0,20.0,16.0,36.0
COBIJA,malaria,      numero de muestras hematicas tomadas,2014-05-01,24.0,14.0,22.0,11.0,46.0,25.0,71.0
CONCEPCION,malaria,      numero de muestras hematicas tomadas,2014-05-01,15.0,17.0,0.0,0.0,15.0,17.0,32.0
CULPINA,malaria,      numero de muestras hematicas tomadas,2014-05-01,11.0,16.0,0.0,0.0,11.0,16.0,27.0
EL TORNO,malaria,      numero de muestras hematicas tomadas,2014-05-01,7.0,6.0,0.0,0.0,7.0,6.0,13.0
EL VILLAR,malaria,      numero de muestras hematicas tomadas,2014-05-01,8.0,7.0,0.0,0.0,8.0,7.0,15.0
ENTRE RIOS TRJ,malaria,      numero de muestras hematicas tomadas,2014-05-01,98.0,155.0,0.0,0.0,98.0,155.0,253.0
EUREKA (SANTOS MERCADO),malaria,      numero de muestras hematicas tomadas,2014-05-01,188.0,64.0,0.0,0.0,188.0,64.0,252.0
FILADELFIA,malaria,      numero de muestras hematicas tomadas,2014-05-01,42.0,25.0,0.0,0.0,42.0,25.0,67.0
GUANAY,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
GUAYARAMERIN,malaria,      numero de muestras hematicas tomadas,2014-05-01,714.0,894.0,0.0,0.0,714.0,894.0,1608.0
GUTIERREZ,malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,9.0,0.0,0.0,0.0,9.0,9.0
HUACARETA,malaria,      numero de muestras hematicas tomadas,2014-05-01,22.0,18.0,0.0,0.0,22.0,18.0,40.0
HUACAYA (VILLA DE HUACAYA),malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,0.0,0.0,4.0,0.0,4.0,4.0
ICLA,malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
INCAHUASI,malaria,      numero de muestras hematicas tomadas,2014-05-01,32.0,82.0,0.0,0.0,32.0,82.0,114.0
INGAVI (HUMAITA),malaria,      numero de muestras hematicas tomadas,2014-05-01,72.0,88.0,0.0,0.0,72.0,88.0,160.0
LA GUARDIA,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LAGUNILLAS,malaria,      numero de muestras hematicas tomadas,2014-05-01,4.0,11.0,0.0,0.0,4.0,11.0,15.0
LAS CARRERAS,malaria,      numero de muestras hematicas tomadas,2014-05-01,3.0,16.0,0.0,0.0,3.0,16.0,19.0
MACHARETI,malaria,      numero de muestras hematicas tomadas,2014-05-01,33.0,47.0,0.0,0.0,33.0,47.0,80.0
MAGDALENA,malaria,      numero de muestras hematicas tomadas,2014-05-01,88.0,70.0,0.0,0.0,88.0,70.0,158.0
MOJOCOYA,malaria,      numero de muestras hematicas tomadas,2014-05-01,25.0,38.0,0.0,0.0,25.0,38.0,63.0
MONTEAGUDO,malaria,      numero de muestras hematicas tomadas,2014-05-01,75.0,102.0,0.0,0.0,75.0,102.0,177.0
NACEBE (SANTA ROSA DEL ABUNA),malaria,      numero de muestras hematicas tomadas,2014-05-01,43.0,25.0,0.0,0.0,43.0,25.0,68.0
NUEVO MANOA (NUEVA ESPERANZA),malaria,      numero de muestras hematicas tomadas,2014-05-01,154.0,97.0,0.0,0.0,154.0,97.0,251.0
PADCAYA,malaria,      numero de muestras hematicas tomadas,2014-05-01,29.0,27.0,0.0,0.0,29.0,27.0,56.0
PADILLA,malaria,      numero de muestras hematicas tomadas,2014-05-01,26.0,33.0,0.0,0.0,26.0,33.0,59.0
PALOS BLANCOS,malaria,      numero de muestras hematicas tomadas,2014-05-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
POROMA,malaria,      numero de muestras hematicas tomadas,2014-05-01,27.0,51.0,0.0,0.0,27.0,51.0,78.0
PORONGO,malaria,      numero de muestras hematicas tomadas,2014-05-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
PORVENIR,malaria,      numero de muestras hematicas tomadas,2014-05-01,92.0,82.0,0.0,0.0,92.0,82.0,174.0
PUERTO GONZALO MORENO,malaria,      numero de muestras hematicas tomadas,2014-05-01,76.0,38.0,0.0,0.0,76.0,38.0,114.0
PUERTO RICO,malaria,      numero de muestras hematicas tomadas,2014-05-01,119.0,130.0,0.0,0.0,119.0,130.0,249.0
RAVELO,malaria,      numero de muestras hematicas tomadas,2014-05-01,10.0,4.0,0.0,0.0,10.0,4.0,14.0
REYES,malaria,      numero de muestras hematicas tomadas,2014-05-01,32.0,26.0,0.0,0.0,32.0,26.0,58.0
RIBERALTA,malaria,      numero de muestras hematicas tomadas,2014-05-01,931.0,813.0,20.0,26.0,951.0,839.0,1790.0
RURRENABAQUE,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAIPINA,malaria,      numero de muestras hematicas tomadas,2014-05-01,50.0,89.0,0.0,0.0,50.0,89.0,139.0
SAN CARLOS,malaria,      numero de muestras hematicas tomadas,2014-05-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
SAN IGNACIO DE VELASCO,malaria,      numero de muestras hematicas tomadas,2014-05-01,9.0,10.0,0.0,0.0,9.0,10.0,19.0
SAN JAVIER(STC),malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
SAN JOSE DE CHIQUITOS,malaria,      numero de muestras hematicas tomadas,2014-05-01,12.0,28.0,0.0,0.0,12.0,28.0,40.0
SAN JULIAN,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,      numero de muestras hematicas tomadas,2014-05-01,168.0,206.0,0.0,0.0,168.0,206.0,374.0
SAN LUCAS,malaria,      numero de muestras hematicas tomadas,2014-05-01,2.0,8.0,0.0,0.0,2.0,8.0,10.0
SAN MATIAS,malaria,      numero de muestras hematicas tomadas,2014-05-01,7.0,8.0,0.0,0.0,7.0,8.0,15.0
SAN PEDRO(PND),malaria,      numero de muestras hematicas tomadas,2014-05-01,60.0,51.0,0.0,0.0,60.0,51.0,111.0
SANTA CRUZ DE LA SIERRA,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SANTA ROSA,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SENA,malaria,      numero de muestras hematicas tomadas,2014-05-01,57.0,51.0,0.0,0.0,57.0,51.0,108.0
SOPACHUY,malaria,      numero de muestras hematicas tomadas,2014-05-01,3.0,15.0,0.0,4.0,3.0,19.0,22.0
SUCRE,malaria,      numero de muestras hematicas tomadas,2014-05-01,5.0,18.0,0.0,0.0,5.0,18.0,23.0
TARABUCO,malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TARVITA,malaria,      numero de muestras hematicas tomadas,2014-05-01,40.0,35.0,0.0,0.0,40.0,35.0,75.0
TEOPONTE,malaria,      numero de muestras hematicas tomadas,2014-05-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
TORO TORO,malaria,      numero de muestras hematicas tomadas,2014-05-01,4.0,7.0,0.0,0.0,4.0,7.0,11.0
VILLA CHARCAS,malaria,      numero de muestras hematicas tomadas,2014-05-01,19.0,60.0,0.0,0.0,19.0,60.0,79.0
VILLA MONTES,malaria,      numero de muestras hematicas tomadas,2014-05-01,155.0,148.0,0.0,0.0,155.0,148.0,303.0
VILLA NUEVA (LOMA ALTA),malaria,      numero de muestras hematicas tomadas,2014-05-01,54.0,58.0,0.0,0.0,54.0,58.0,112.0
VILLA SERRANO,malaria,      numero de muestras hematicas tomadas,2014-05-01,12.0,17.0,0.0,0.0,12.0,17.0,29.0
VILLA VACA GUZMAN (MUYUPAMPA),malaria,      numero de muestras hematicas tomadas,2014-05-01,29.0,30.0,0.0,0.0,29.0,30.0,59.0
YACUIBA,malaria,      numero de muestras hematicas tomadas,2014-05-01,452.0,684.0,0.0,0.0,452.0,684.0,1136.0
YAMPARAEZ,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,8.0,0.0,0.0,1.0,8.0,9.0
YAPACANI,malaria,      numero de muestras hematicas tomadas,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
YOTALA,malaria,      numero de muestras hematicas tomadas,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ZUDAÑEZ,malaria,      numero de muestras hematicas tomadas,2014-05-01,3.0,6.0,0.0,0.0,3.0,6.0,9.0
ACACIO,malaria,      numero de muestras hematicas tomadas,2014-06-01,10.0,18.0,0.0,0.0,10.0,18.0,28.0
AIQUILE,malaria,      numero de muestras hematicas tomadas,2014-06-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
ALCALA,malaria,      numero de muestras hematicas tomadas,2014-06-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
ALTO BENI,malaria,      numero de muestras hematicas tomadas,2014-06-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
APOLO,malaria,      numero de muestras hematicas tomadas,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
AZURDUY,malaria,      numero de muestras hematicas tomadas,2014-06-01,17.0,25.0,0.0,0.0,17.0,25.0,42.0
BAURES,malaria,      numero de muestras hematicas tomadas,2014-06-01,20.0,9.0,0.0,0.0,20.0,9.0,29.0
BELLA FLOR,malaria,      numero de muestras hematicas tomadas,2014-06-01,72.0,45.0,35.0,1.0,107.0,46.0,153.0
BERMEJO,malaria,      numero de muestras hematicas tomadas,2014-06-01,7.0,8.0,0.0,0.0,7.0,8.0,15.0
BOLPEBRA,malaria,      numero de muestras hematicas tomadas,2014-06-01,11.0,3.0,3.0,29.0,14.0,32.0,46.0
BUENA VISTA,malaria,      numero de muestras hematicas tomadas,2014-06-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
CAMARGO,malaria,      numero de muestras hematicas tomadas,2014-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CAMATAQUI (C. VILLA ABECIA),malaria,      numero de muestras hematicas tomadas,2014-06-01,12.0,17.0,0.0,0.0,12.0,17.0,29.0
CAMIRI,malaria,      numero de muestras hematicas tomadas,2014-06-01,21.0,25.0,0.0,0.0,21.0,25.0,46.0
CARANAVI,malaria,      numero de muestras hematicas tomadas,2014-06-01,3.0,10.0,0.0,0.0,3.0,10.0,13.0
CARAPARI,malaria,      numero de muestras hematicas tomadas,2014-06-01,107.0,124.0,0.0,0.0,107.0,124.0,231.0
COBIJA,malaria,      numero de muestras hematicas tomadas,2014-06-01,11.0,7.0,11.0,7.0,22.0,14.0,36.0
CONCEPCION,malaria,      numero de muestras hematicas tomadas,2014-06-01,23.0,22.0,0.0,0.0,23.0,22.0,45.0
