,group,variable,month,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 5 A 9 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 10 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 11 AÑOS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 12 A 20 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 21 A 59 - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - D,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,COVID-19 3RA DOSIS (INMUNODEPRIMIDOS) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
POTOSI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,4,0,2,0,0,1,2,8,8,16
PUERTO CARABUCO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RIBERALTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SACACA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN CARLOS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
SAN LORENZO(PND),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,4,2,0,0,0,1,0,0,1,0,2,0,2,2,0,0,1,0,0,0,0,0,10,5,15
SAN LORENZO(TJA),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SANTA ANA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,5
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
TODOS SANTOS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TORO TORO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,3,4
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,3,4
VILLAZON,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,3
VITICHI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
YOCALLA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
YOTALA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
BAURES,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
BELLA FLOR,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,9,0,9
CATACORA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CUEVO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
LAGUNILLAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
POCONA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
POTOSI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,12,1,0,0,0,0,13,19,32
PUERTO CARABUCO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,9
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,4,5
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,4,4,8
TOTORA(CBBA),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,4,5,9
TRINIDAD,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
BELLA FLOR,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,3,5
CABEZAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
CALACOTO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMIRI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAQUIAVIRI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CORO CORO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,23
LAGUNILLAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
LLICA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
POCONA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,33,12,27,24,4,5,0,0,67,45,112
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TOTORA(CBBA),otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ATOCHA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,3,5,8
CABEZAS,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,14,2,4,0,0,0,0,4,19,23
CAQUIAVIRI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHARAÑA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,5,6
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4,5
CAMIRI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4
CARAPARI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
COIPASA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,7
VITICHI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CUEVO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
MAIRANA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,3
POTOSI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,6,8
CAJUATA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUNA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RIBERALTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,5,5
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,5
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3
VITICHI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CHACARILLA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,10,2,1,2,2,11,19,30
MAPIRI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,15,15,30
PAPEL PAMPA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
POTOSI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,5,3,8
UMALA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,4,5,9
COBIJA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,3,4
COMANCHE,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CORO CORO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MAPIRI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,11
POTOSI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,3
TUPIZA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
UYUNI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,10,1,11
ACACIO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,3
ANCORAIMES,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,3,5
CHAYANTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,10,25,0,0,2,1,0,0,14,29,43
PADCAYA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
RIBERALTA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JULIAN,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
UMALA,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
UYUNI,otras vacunaciones,covid-19 3ra dosis (inmunodeprimidos),2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
