,group,variable,month,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 5 A 9 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 10 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 11 AÑOS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 12 A 20 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 21 A 59 - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - D,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,HEPATITIS B 2DA DOSIS POBLACION VULNERABLE RENALES 60 Y MAS - F,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,3,1,4
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,3
TUPIZA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
VIACHA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,1,1,0,0,6,7,13
VILLA MONTES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ARQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COBIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
COLCAPIRHUA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,4,2,6
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,6,5,10,3,0,13,6,28,28,56
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,1,0,2,6,8
MONTERO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PADCAYA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,3,4,7
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TOMAVE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TUPIZA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,3,4,8,12
COLCAPIRHUA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,7,8,11,19
COLQUIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,2,0,0,1,7,9,16
LA GUARDIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,7,14,1,0,2,0,0,0,13,32,45
MONTERO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,3
RIBERALTA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,4,4,8
SANTIAGO DE HUARI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
SUCRE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,3
TOMAVE,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
YACUIBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
YAPACANI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
ALCALA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COLQUIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORIPATA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,3,11,35,0,2,0,4,17,46,63
FILADELFIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,5,2,7
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
POTOSI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,3,4,7
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
SAN BUENA VENTURA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN LUCAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,1,0,0,5,7,12
TAPACARI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,3
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
UNCIA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,2,4
VILLA MONTES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
VILLA TUNARI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
WARNES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
AZURDUY,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,4,5
COLQUIRI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
COTOCA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,4,3,7
GENERAL SAAVEDRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
IXIAMAS,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
LA PAZ,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,3,2,0,0,8,13,21
ORURO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PAILON,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,5,7
QUILLACOLLO,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
RIBERALTA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3
SACABA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,1,2,6,4,10
SAN BORJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,4,0,0,10,7,17
TARIJA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,4,1,5
TRINIDAD,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
VILLA MONTES,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,8,8
VILLAZON,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b 2da dosis poblacion vulnerable renales,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
