,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 5 A 9 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 10 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 11 AÑOS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 12 A 20 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 21 A 59 - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - D,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - F,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADE CRONICAS 60 Y MAS - F,TOTALES,TOTALES,TOTALES
HUARINA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,8,13,1,17,16,29,22,39,2,2,16,28,65,128,193
HUATAJATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,0,0,3,6,9
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,5,6,9,15
ICHOCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,9,13
ICLA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,1,8,5,1,0,2,0,0,0,0,1,0,0,0,3,7,23,15,29,0,0,3,4,36,66,102
INCAHUASI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,9,21,3,3,1,5,19,35,54
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,3,2,3,6,13,19
INQUISIVI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,13,14,0,3,10,11,26,34,60
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,69,34,15,3,13,11,100,60,160
IXIAMAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,9,11,4,9,1,0,0,0,16,23,39
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,2,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,20,23,17,29,0,2,6,3,48,61,109
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,7,15,5,11,2,9,0,1,15,39,54
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,25,27,0,0,4,4,0,0,3,7,0,0,16,38,1,2,392,440,25,38,171,169,0,0,637,725,1362
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,192,189,21,20,12,40,5,3,26,19,7,7,103,159,239,395,1484,2500,1662,1739,499,878,79,143,4329,6092,10421
LA RIVERA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,4,5
LAGUNILLAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,1,8,21,9,12,4,5,2,1,26,45,71
LAJA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,8,22,20,0,2,3,1,33,32,65
LAS CARRERAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,18,5,15,0,0,2,2,17,36,53
LICOMA PAMPA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
LLALLAGUA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,5,50,61,80,100,0,0,6,15,141,182,323
LORETO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,2,3,0,0,1,0,0,0,0,0,0,0,2,3,0,0,14,25,1,2,0,0,20,33,53
LURIBAY,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,9,11,1,0,0,0,13,19,32
MACHACAMARCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,0,0,1,0,5,9,14
MACHARETI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,17,43,24,27,26,33,20,47,88,156,244
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,3,3,1,1,0,0,0,0,0,0,0,0,6,8,13,16,78,159,0,0,3,4,104,191,295
MAIRANA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,0,0,0,0,0,0,0,2,1,1,1,4,0,12,21,24,80,6,7,13,41,63,151,214
MALLA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,56,40,60,100
MECAPACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,10,3,6,2,4,2,3,12,24,36
MINEROS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,51,4,3,0,1,0,0,41,57,98
MIZQUE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,31,50,65,0,0,0,0,74,96,170
MOCOMOCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,9,18,12,19,0,0,2,1,27,41,68
MOJINETE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,1,2,7,9
MOJOCOYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,3,0,2,4,3,9,13,22
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,20,18,62,58,3,1,4,5,3,2,2,2,4,7,2,3,50,98,41,74,61,77,5,11,257,356,613
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,8,7,0,0,3,1,0,0,0,0,1,0,10,7,2,1,147,194,23,23,110,52,0,0,304,285,589
MORO MORO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,8,8,24,0,0,0,0,13,34,47
MOROCHATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,15,29,27,75,0,0,0,0,49,107,156
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,8
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,22,0,0,1,2,20,25,45
OCURI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,6,7,0,0,0,0,9,9,18
OKINAWA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,2,2,0,0,0,0,0,0,0,3,0,0,2,4,0,0,25,57,0,1,56,81,0,0,85,148,233
OMEREQUE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,32,68,0,0,5,6,39,78,117
ORURO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,4,3,16,2,1,1,5,2,2,1,16,1,9,6,22,23,380,453,712,768,85,66,53,97,1305,1423,2728
PADCAYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,13,50,12,84,11,20,18,68,58,225,283
PADILLA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,33,30,6,26,10,13,13,12,63,83,146
PAILON,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,10,7,0,0,1,3,0,1,1,3,0,0,6,5,0,0,19,28,43,31,34,46,66,86,180,210,390
PALCA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,13,24,78,4,12,13,30,42,136,178
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,15,23,68,79,5,6,8,16,100,127,227
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,4,0,0,0,0,0,10,8,18
PAMPA GRANDE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,12,25,11,20,0,0,0,0,25,49,74
PAPEL PAMPA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,8,1,5,6,4,0,2,14,20,34
PASORAPA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,14,35,0,0,0,0,16,41,57
PATACAMAYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,14,4,11,4,11,16,38,54
PAZÑA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,1,0,2,3,14,17
PELECHUCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,43,52,0,0,0,0,46,59,105
POCOATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,3,0,0,0,0,0,0,0,1,0,0,1,1,3,14,3,8,12,13,1,0,0,1,21,41,62
POCONA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,23,37,1,0,13,12,40,53,93
POJO (CBBA),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,6,0,0,0,0,4,9,13
POOPO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,10,12,27,0,0,0,7,16,47,63
PORCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,7,27,18,21,13,33,40,86,126
POROMA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,6,2,0,8,11,18,22,40
PORONGO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,2,2,0,0,3,1,0,0,2,2,0,0,10,8,0,0,75,131,6,6,35,25,12,6,145,181,326
PORTACHUELO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,37,50,20,5,26,52,16,17,0,0,0,0,99,124,223
PORVENIR,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,5,7,0,1,0,3,0,0,3,1,0,1,11,14,3,6,56,70,11,3,34,42,123,148,271
POSTRER VALLE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1,0,8,0,5,10,26,36
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,43,44,166,216,2,4,26,48,1,6,21,23,22,17,36,55,329,456,401,498,215,171,21,44,1283,1582,2865
PRESTO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,5,5,4,6,10,14,23,37
PUCARA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,15,0,0,0,0,0,0,9,16,25
PUCARANI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,15,36,51,7,5,5,5,54,84,138
PUERTO ACOSTA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,8,2,0,0,2,3,12,9,21
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,3,4,5,3,0,0,0,0,0,0,0,1,1,1,4,8,5,8,0,1,15,2,33,28,61
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,32,33,0,0,0,0,38,36,74
PUERTO PEREZ,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,0,3,2,6,7,13
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,7,34,68,62,105,0,5,0,7,106,192,298
PUERTO RICO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,21,2,1,20,28,32,53,85
PUERTO SILES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,24,16,0,0,0,0,28,22,50
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,1,0,0,1,0,0,0,0,1,0,0,5,1,0,0,15,26,2,10,12,30,5,17,41,86,127
PUERTO VILLARROEL,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,1,1,0,0,0,0,0,0,0,0,17,37,2,5,62,133,209,273,26,28,296,246,614,723,1337
PUNA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,8,14,19,1,1,7,10,30,43,73
PUNATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,26,40,60,109,55,55,39,51,183,257,440
QUIABAYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,5,0,6,4,10
QUILLACOLLO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,3,2,2,4,1,0,0,0,0,0,2,0,11,7,26,24,227,269,374,666,82,0,0,0,728,972,1700
QUIME,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,38,29,0,0,0,0,39,32,71
QUIRUSILLAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,7,13,12,5,7,11,16,36,45,81
RAQAYPAMPA(ETA),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,15,17,0,0,0,0,17,27,44
RAVELO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,11,0,0,7,6,19,18,37
REYES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,4,62,108,0,0,0,0,71,113,184
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,14,9,1,1,3,5,0,0,0,5,0,0,149,7,52,14,66,240,216,86,28,26,0,0,529,393,922
ROBORE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,2,2,4,1,3,0,1,2,0,2,1,12,8,11,8,39,82,126,227,14,10,0,0,209,346,555
RURRENABAQUE,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,1,1,3,0,1,0,0,0,1,0,0,1,3,14,4,9,9,52,60,31,33,42,70,150,185,335
SABAYA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,4,16,0,0,0,0,6,29,35
SACABA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,4,1,0,0,1,0,1,0,1,0,1,0,16,19,75,51,159,215,760,577,12,25,4,5,1034,893,1927
SACABAMBA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,7,6,1,0,0,2,11,9,20
SACACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,1,0,0,0,0,1,0,0,0,1,1,5,4,9,20,28,6,1,1,2,1,48,34,82
SAIPINA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,17,20,25,3,7,0,0,32,55,87
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,13,0,2,0,0,19,22,41
SAMAIPATA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,13,11,0,1,1,1,35,51,86
SAN AGUSTIN,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
SAN ANDRES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,3,4,16,31,75,0,0,0,2,38,99,137
SAN ANDRES DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
SAN ANTONIO DE ESMORUCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,9,10
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,10,2,10,9,17,17,44,61
SAN BENITO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,12,20,26,6,5,13,18,51,62,113
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,29,42,24,48,0,0,2,1,59,94,153
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,19,0,0,1,0,17,26,43
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,4,2,2,3,0,0,0,1,0,0,1,1,6,4,13,9,20,36,66,111,0,0,0,0,112,167,279
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,8,9,10,8,0,0,1,3,2,0,8,0,11,14,1,5,6,23,6,11,6,6,2,2,61,81,142
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,37,68,13,19,36,38,0,0,87,127,214
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,0,0,11,17,28
SAN JAVIER(STC),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,1,27,57,2,3,0,5,5,1,42,77,119
SAN JOAQUIN,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,42,46,2,5,26,35,73,90,163
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,34,13,37,0,0,0,0,39,72,111
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,1,4,3,0,0,2,1,0,0,1,0,2,9,2,2,16,45,22,43,0,0,0,0,49,104,153
SAN JULIAN,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,1,56,65,53,87,2,3,14,2,129,161,290
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,17,0,0,2,11,15,29,44
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,5,3,0,1,1,1,0,0,0,0,0,0,6,0,1,1,39,38,37,23,35,44,12,24,136,135,271
SAN LUCAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,1,1,1,0,0,0,0,0,0,0,0,2,5,2,2,9,24,37,51,23,25,23,20,98,129,227
SAN MATIAS,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,3,24,29,36,71,0,2,11,7,75,114,189
SAN MIGUEL DE VELASCO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,16,23,26,67,0,0,0,0,45,92,137
SAN PABLO DE LIPEZ,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,1,0,1,1,8,12,20
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,26,40,11,18,1,2,8,13,49,74,123
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,5,1,0,0,0,0,39,24,0,1,8,6,39,47,1,1,20,18,112,98,210
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,9,4,0,1,2,1,14,17,31
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,24,38,2,2,30,25,66,90,156
SAN PEDRO DE QUEMES,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,3,5,8
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,11,17,0,0,0,0,16,28,44
SAN PEDRO(PND),otras vacunaciones,influenza estacional a personas con enfermedade cronicas,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,11,7,18
